imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4731008,,The Wild Life (2016),"$358,794","$263,380","$649,351","$894,459","$156,466","$310,227","$166,052",,,"$7,901,120","$135,484","$162,051","$342,489","$381,753",,,,,"$91,349","$155,836","$2,599,130","$5,139,390",,"$174,693",,"$101,184","$49,412",,,"$336,074","$1,324,987",,,"$108,230",,"$137,613",,"$284,864","$838,062","$90,689",,"$361,825",,,,"$13,016",,,"$978,623","$211,459",,"$186,508","$1,341,748","$47,656","$24,506","$148,739","$94,338","$131,747","$922,167","$676,701","$435,406","$471,009","$137,141","$271,216",,,"$262,902","$379,014","$272,491","$1,381,128","$34,949",,"$132,432"
4083850,,Belle & Sebastian: The Adventure Continues (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,335",,,,,,,,,,,,,,,,,,,,
0293660,,The Touch (2002),,,,,,,,,,,,,,,,,,,,,,,,,"$1,393,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$237,975",,,,,,,,
1878870,,The Edge of Seventeen (2016),,"$3,123,625",,"$4,901",,,,,,,,,,"$18,572",,,,,,,,,,,,,,,,,"$59,591",,,,"$4,020",,,,,"$280,830",,,,,,,,,,,,,,,,,,"$84,812","$558,706",,,,,,,,,,"$128,000","$675,330",,,
1743993,,When the Lights Went Out (2012),,,,,,,,,,,,,,,,,"$10,111",,,,,,,,,,,,,,,,,,,,,"$512,439",,,,,,,,,"$468,597","$75,505",,,,,,,,,,,,,,,,,,,,,,"$115,277",,,
3014556,,Intruder (2016),"$69,090",,,,"$5,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,431",,,,,,,,,,,,,,,,,,,,,,,,,"$2,624",,
4190530,,Anthropoid (2016),"$36,150",,,,,,,,,,"$22,041",,"$790,284",,,,,,,,,,,"$19,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,997",,,"$79,967",,,,"$97,834",,,,,,,"$16,499",,,"$1,015,298",,,
3647498,,Blood Father (2016),,"$409,696",,,,"$274,177",,,,"$2,057,916","$85,386",,"$10,750",,,,,,,,"$1,403,392",,,"$56,367",,"$63,504",,,,,,,,,,,,"$323,350","$153,150","$50,419",,,,,,,,,,"$81,790",,,,,,"$19,421","$2,050","$163,131",,"$555,825",,,,,,,"$183,580",,"$923,568","$85,561",,,
5143700,,Snowtime! (2015),,,,,,,,,,"$6,272,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$361,350",,,,,,"$174,927",,,,,,,,,,,,,,
3716530,,Elle (2016),"$176,195","$197,734",,,,"$254,385",,,"$19,818",,,"$11,836",,"$82,607",,,,,,"$73,138","$4,215,020",,,"$182,842","$58,306",,,,,,"$1,006,440",,,,,,,"$146,528","$954,550","$7,314",,"$105,580",,,,,"$20,326",,"$27,490","$82,763",,,"$5,459",,"$25,480",,"$11,614",,"$228,704","$948,493","$271,951",,"$193,396",,"$44,873","$21,153","$18,485","$23,712",,"$642,158","$18,522","$30,875",
1517471,,Dough (2015),,,,,,,,,,,,,,,,,,,,,"$77,975",,,,,,,,,,,,,,,,,,,"$227,837",,,,,,,,,,,,,,,,,,,,"$15,550",,,,,,,,,,"$177,763",,,
