imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2520516,,The Stroller Strategy (2012),,,,,,,,,,,,,,,,,,,,,,,"$2,264,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$133,266",,,,,,
0368249,,School for Seduction (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0259567,,Perfect Opposites (2004),,,,,,,,,,,,,,,,,"$16,201",,,,,,,,,,,,"$14,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,164",,,,,,,,,"$36,003",,,,
0307156,,Michel Vaillant (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$736,842",,,,,,,,,,,,,,,,,,,
0248953,,Large (2001),,,,,,,,,,,,,,,"$15,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,925",,,,,,,,,,,,
4357170,,A la mala (2015),,,,,,"$5,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,185",,,,,,,,,,,,,,,,,,,,,,,,,
0481320,,Blue Eyelids (2007),,,,,,,,,,,,,,,,,,,,,,,"$18,020",,,,,,,,,,,,,,,,,,,,,"$270,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,093",,,
1479668,,Abel (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,534,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5390066,,Permission (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,594",,,,,,,,,,,,,
5687040,,Ismael's Ghosts (2017),,,,,,,,,,,"$1,304",,,,,,,,,,,,"$2,835,264",,,,,,,,,,,,,,,,,,,,,,,"$33,127",,,,,,,,,,,,"$6,873",,"$2,455","$69,974",,,,"$1,122",,,,,,,,,"$10,855",,,"$12,078",,,
