imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0204313,,Exorcist: The Beginning (2004),"$871,050","$869,617","$454,436",,,"$256,046",,"$2,600,000","$28,262",,,"$442,060",,"$124,000",,,"$39,278",,"$115,766",,,,,"$94,009",,"$125,841","$2,353,545","$661,540","$85,750","$361,549","$39,690","$47,960",,"$144,700",,"$7,576,873",,"$1,722,601",,,,,,,,"$96,000","$3,768,026",,,"$187,160","$262,044",,"$251,061",,,"$255,800","$78,947","$515,008","$317,300",,"$46,212",,"$509,371",,"$31,609","$200,000",,,"$141,080","$569,332","$5,284,764","$345,063","$415,398","$381,940","$205,600","$658,164",,"$229,523","$2,257,660",,"$266,400",
0366174,,Anacondas: The Hunt for the Blood Orchid (2004),"$134,019","$1,790,024","$301,539","$57,514",,"$451,464","$56,564","$1,822,123","$103,847",,"$820,996","$174,427","$3,032,810","$418,649","$19,198",,"$72,178",,"$115,041",,"$67,999","$28,870","$89,031","$33,483","$31,828",,"$1,243,714","$1,028,583","$181,740","$610,943","$56,326","$34,212","$4,261,984","$446,949",,"$570,300","$59,525","$53,365","$27,518",,"$320,298","$47,098","$95,016","$66,008","$53,126","$875,293","$3,824,792",,,"$404,036","$434,237","$23,484","$104,115","$18,731","$234,576","$858,219","$151,145","$170,594",,"$99,999","$55,434",,"$1,340,438",,"$63,562","$822,686","$21,899","$136,051","$624,774","$647,828","$2,634,756","$76,621",,"$607,390","$2,629,264","$266,034",,"$315,506","$626,648","$36,583","$386,116",
0324127,,Suspect Zero (2004),,"$11,415",,,,"$116,129",,,,,,,,,,,,,,,,,,,,,"$197,779","$255,160",,,,,,,,"$376,256",,"$579,827",,,,,,,,,"$585,403",,,,,,,,,,,"$58,836",,,,,,,,,,,,,"$49,253",,,,,,,,,,,
0374330,,Warriors of Heaven and Earth (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,479",,,,,,,,"$265,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$135,355",,,"$25,732",,,,,,,,
0241025,,Vanity Fair (2004),"$26,913","$763,268","$38,672",,,,,,"$17,834",,,,,,"$9,642",,"$6,764",,"$5,075",,,,,"$5,984",,,"$113,580","$191,841",,,,"$6,180",,,,"$121,856",,,,,,,,,,"$70,879",,,,,"$90,362",,"$53,033",,,,,"$26,949",,,"$27,255",,"$15,446",,,,"$2,946",,,,"$126,486",,,"$51,091",,,,,"$1,554,653",,,
0380277,,The Cookout (2004),,,,,,,,,,,,,,,,,,,,,,,,"$5,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,326",,"$36,024",,,,,,"$59,413",,,,,,,,,"$70,750",,,,
0338325,,Paparazzi (2004),,"$38,662",,,,,,,,,,,,,,,"$7,834",,,,,,,,,,,"$72,973",,"$72,148",,"$46,419",,,,,,,,,,,"$7,805",,,,"$254,797",,,,,,,,,,,"$138,026",,,,,"$210,360",,,,"$1,348",,,,"$42,248",,,"$1,122",,,,"$59,557","$31,265",,"$97,714",
0324554,,Wicker Park (2004),"$33,737","$109,870","$108,947",,,"$122,814",,,,,,"$8,392",,,,,"$26,266",,,"$13,001,257",,,,"$28,244",,"$15,036","$196,107","$564,571",,"$7,716",,"$18,583",,,,,,,,,,,"$29,681",,,,"$460,487",,,,"$25,658",,,,,,"$554,842","$135,455",,,"$17,650",,"$329,562",,"$4,201",,"$11,614",,"$115,000","$781,350","$2,991,224","$16,609",,"$171,419","$21,700","$172,780",,"$26,844","$1,282,125",,,
0339147,,Highwaymen (2004),,"$21,792",,,,"$22,426",,"$313,536",,,,,,,,,,,,,,,,,,,"$233,664",,,,,"$6,772",,"$29,057",,"$110,871",,"$81,725",,,,,"$175,258",,,"$46,907",,,,"$21,121","$9,615",,,,,"$56,548",,,"$186,055",,,,,,,,,,"$38,121",,"$424,965",,,,,,,"$110,737","$181,812",,,
0046521,,I Vitelloni (1953),,,,,,,,,,,,,,,,,,,,"$116,428",,,,,,,"$6,450",,,,,,,,,"$21,225",,,,,,,,,,,,,,,,,,,,,,"$4,318",,,,,,,,,,,,,,,,,,,,,,,,
