imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4733536,,American Hero (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,797",$27,,,
2241691,,Under the Rainbow (2013),,,,,,,"$67,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980554,,The Girl in the Book (2015),,,,,,,"$73,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322517,,Mojave (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$349,,,
2827708,,Steak (R)evolution (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228360,,Yalom's Cure (2014),,,"$135,939",,,,,,,,,,,,,,,,,,,,,"$528,435",,"$59,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,929",,,,,,,,,,,,,,
1322355,,Psalm 21 (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,722",,,,,,,,"$240,792",,,,,,,,,,,,,,"$29,577",,,,,,,,,,,,,
2338424,,Tumbledown (2015),,,,,,,,,,,,,"$13,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,185","$4,375",,,,"$7,739",,,"$2,600",,"$44,797","$1,325",,,,,,,,"$28,230",,,,,,
3104572,,Paris Follies (2014),,"$539,404","$138,669",,"$47,033",,"$149,842",,,,,,,,,,,,,,,,"$1,812,077",,,,,,,,,,,,,,,,,,,"$42,957",,,,,,,,,,,,,,,,,,,"$133,694",,,,,,,,,,,,,,
1706433,,To Live! (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,661",,,,,,,,,,,,,,,,,,,,,
1522296,,Snowman's Land (2010),,,,,,,,,,,,,,,,,"$1,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,938",,,,,,,,,,,,,,
4337072,,Ghost in the Shell: The New Movie (2015),,,,,,,,,,,,,,,,,"$101,203",,,,,,,,,,,,"$23,491",,,,"$1,231,108",,,,,,,,,,,"$174,520",,,,,,,,,,,,,,"$14,609","$168,475",,,,,,,,,,,,,,,,
