imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0245712,,Amores Perros (2000),,"$14,588",,,,,,,,,,,,,,"$35,100",,,,,,,,,,,"$243,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,938",,,,,"$252,266",,,,
0247380,,The Gleaners & I (2000),,"$3,387",,,,,,,,,,,,,,,,,"$155,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$458,,,,
0164334,,Along Came a Spider (2001),,"$2,334,726","$375,787",,,,,"$21,915",,,,,,,,"$55,234",,"$136,480",,,,,,,,,"$2,220,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,224,492",,,,
0221027,,Blow (2001),,"$2,111,740","$424,567",,,,,,,,,,,,,"$52,393",,"$127,859",,,,,,,,"$1,479,395","$2,921,695",,,,,,,,,,,,,,,,,,,,,"$569,507",,,,,,,,,,,,,,,,,,,,,,,,"$19,975",,,,,"$4,246,371",,,,
0189192,,Just Visiting (2001),,"$14,255",,,,,,"$12,427",,,,,,,,,,,,,,,,,"$7,158",,,,,,,,,,,,,,,,,,,,"$138,449",,,,,,,,,,,,,,,,,,,,,"$24,831",,"$963,063",,,,,,,,,"$858,301",,,,
0266860,,Pokémon 3 the Movie: Spell of the Unown (2000),,"$549,902","$327,752",,,,,,,,,,,,,,,"$277,444",,,,,,,,,"$2,736,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$714,016",,,,
0221889,,Beautiful Creatures (2000),,,,,,,,,,,,,,,,,,,"$55,835",,,,,,,,,,,,"$96,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,688",,,,,"$156,156",,,,
0243155,,Bridget Jones's Diary (2001),,"$11,632,274","$2,602,703",,,,"$1,819,409","$59,434",,,,,,,,"$954,573",,"$2,376,704","$71,543,427",,,,,,"$1,920,141","$17,962,308","$22,019,794",,,"$905,540",,,,,,,,,,,,,,,"$1,334,294",,,"$5,512,847",,,,,,,,,,,,,,,,,,,"$64,009","$11,830,932",,,,"$453,053",,,,,"$103,613,192",,,,
0245686,,Joe Dirt (2001),,"$1,969,897",,,,,,,,,,,,,,,,,,,,,,,,,"$153,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0236348,,Josie and the Pussycats (2001),,"$257,538",,,,,,,,,,,,,,,,,"$14,271,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,353",,,,
0201485,,The Body (2001),,,,,,,,"$10,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$233,440",,,,,,,,,
0221073,,Chopper (2000),,"$73,184",,,,,,,,,,,,,,,,,"$236,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0255094,,The Circle (2000),,,,,,,,,,,"$34,571",,,,,,,,"$440,554",,,,,,,,"$48,418",,,,"$85,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,867",,,,"$73,180",,,,,,,,,"$30,382",,,,
0231402,,Crocodile Dundee in Los Angeles (2001),,"$3,857,807","$125,425",,,,,,,,,,,,,"$70,810",,,,,,,,,,,"$1,984,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,047,576",,,,
0240515,,Freddy Got Fingered (2001),,,,,,,,,,,,,,,,,,,"$14,254,993",,,,,,,"$9,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
