imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1905041,,Fast & Furious 6 (2013),"$13,754,082","$24,693,368","$4,511,030",,"$4,614,190","$701,831","$23,027,484","$1,182,922","$5,136,230","$66,490,000","$7,847,291","$362,642","$1,174,364","$3,477,068","$238,679,850","$249,320","$1,830,340","$775,811","$1,654,743","$24,998,379","$29,915,431",,"$1,398,105","$3,125,668","$917,252","$216,451","$10,197,500","$9,134,211","$4,633,922","$16,681,782","$20,048,392",,"$787,780",,"$9,867,797","$35,860,202","$6,859,576","$3,358,287","$187,041","$4,565,526","$4,242,220","$5,916,627","$2,705,157","$3,283,020",,"$34,267,107","$96,412","$4,719,607","$457,353","$483,274","$3,780,718","$11,621,107","$12,652,861","$4,431,743",,,"$7,039,653","$5,975,431","$2,562,239","$5,803,034","$38,278,524","$790,805","$8,140,168",
0848537,,Epic (2013),"$2,824,008","$7,597,215","$1,339,663","$148,855","$1,506,178","$303,743","$8,093,616","$329,620","$2,092,471","$8,030,000","$2,868,191","$238,363","$567,529","$887,354",,"$44,154","$1,129,555","$142,741","$649,912","$10,211,348","$10,650,748",,"$187,399","$899,273","$578,119","$115,830","$1,138,513",,"$630,704","$3,468,815",,,"$82,588",,"$2,253,281","$10,063,340","$1,674,477","$1,356,985",,"$1,650,752","$1,617,831","$1,509,835","$2,392,214","$805,338",,"$14,836,929","$129,077","$1,212,501","$374,218","$148,918","$1,368,679","$6,027,097","$5,707,730","$1,693,636",,,"$375,359","$758,935","$1,030,053","$1,201,481","$20,981,796","$246,771","$5,475,886",
2404461,,The Past (2013),"$47,085",,"$48,277",,"$342,254",,"$117,530",,,,,,,,,,,,"$207,294","$7,638,959","$773,992",,"$172,211","$45,443",,$213,,,,"$696,087",,,,,,"$73,532","$160,868","$95,974",,,,,"$79,152","$58,581",,,,,,,,,"$328,447","$22,425",,,,"$28,374",,,"$372,348","$15,216","$17,453",
2024519,,The Broken Circle Breakdown (2012),,"$36,535","$45,657",,"$3,413,827",,"$117,819","$3,495",,,,,,,,,,,,"$306,257","$986,193",,,,,,,,,"$476,452",,,,,,"$56,134","$60,282","$36,606",,,,,,"$4,593",,,,,,,,,"$261,983",,,,,"$5,377",,,"$4,486",,,
2347569,,Frances Ha (2012),,"$392,537","$133,891",,"$57,668",,"$325,253",,,,,,,,,,,,"$49,224","$727,441","$862,085",,"$89,243",,,$726,,,,,,,,,,,"$85,391","$86,499",,,,,"$113,146","$49,841",,"$58,475",,,,,,"$495,815","$174,057","$105,541",,,,"$17,549",,,"$1,125,410",,,
1731697,,The Lords of Salem (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$373,824",,,,,,,,,,,,,,,,,,,,,,,"$5,283",,,,,,,,,,,
1291580,,Behind the Candelabra (2013),,"$2,363,978",,,,,,,,,,,,,,,,,,,,,,"$32,856",,,,,,,,,,,,,,"$207,168",,,,,,,,,,"$47,837",,,,,,,,,,,,,,,,
1784575,,The Parade (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,082",,,,,,,,,,,,,,,,,,
1780762,,Aftershock (2012),,,,,,,,,"$9,634",,,,,,,,,,,,,,,,,,,,,,,,"$17,770",,,,,,,,,,,,,,,"$67,313",,,,,,,,,"$24,496",,,"$112,103","$4,870",,,
1667355,,3096 Tage (2013),,,,,,,,,,,,,,,,,,,,,,,,"$78,432",,,,,,,,,,,,,,,,,,,,,,,,"$30,394",,,,,,,,,"$8,015",,,,,,,
1426371,,Little Girl (2009),"$118,507",,"$18,428",,"$1,709",,"$16,470",,,,,,,,,,,,,,,,,,,,,,,"$92,103",,,,$423,,"$10,593",,,,,,,,,,,,,,,,,,,,,,,,,,"$4,915",,
2125500,,The Last Elvis (2012),"$416,208",,,,,$675,"$29,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,246",,
