imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Djibouti,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mauritius,Mexico,Middle East,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Caledonia,New Zealand,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0268380,,Ice Age (2002),"$1,858,341",,"$10,869,472","$4,194,742",,,,"$2,619,626","$180,770","$5,641,527","$150,226",,"$1,752,644","$1,864,910",$0,"$2,244,435","$136,384",,,"$1,189,412","$1,330,264","$1,673,578",,,"$183,220",,"$452,629","$66,058","$320,060","$688,209","$14,439,942","$34,573,796","$693,016","$1,007,376","$1,577,763","$232,626","$138,230","$154,600","$831,788","$8,257,003","$53,706","$16,125,417",,,,"$81,990","$117,530",,"$245,585","$92,720","$373,760",,"$20,585,860",,,"$738,358",,"$1,918,042",,"$1,377,888","$3,822,024",,,,"$30,000","$1,154,382","$752,948","$2,199,848","$650,062","$1,570,546",,,"$56,749",,"$1,630,932",,"$83,642","$926,518",,"$114,910","$1,214,420","$3,725,875","$11,671,705",,"$1,442,385","$4,468,713","$3,623,255","$463,704",,"$925,110","$206,423",,"$21,708,088","$298,830","$2,092,179",,
0120804,,Resident Evil (2002),,,"$1,584,570","$762,969",,,,,,"$1,580,632","$40,567",,,"$139,111",,,,,,,,,,,,,,"$33,127",,"$207,916","$5,530,855","$5,015,157","$140,800","$827,986","$229,376",,,,,"$4,541,400",,"$17,477,878",,,,,,,,,,,"$3,075,683",,,,,"$399,464",,"$327,308","$118,224",,,,,,,,,,,,,"$511,492","$802,939",,,,,,"$169,948","$4,087,055","$4,582,633",,,,"$740,980",,,"$169,984",,,"$4,096,015",,,,
0284490,,Showtime (2002),"$310,840",,"$2,440,772","$517,514",,,,,,"$1,188,663","$64,378",,,,,,,,,"$68,534",,,,"$38,082,712",,,,"$134,190",,"$246,709","$2,969,013","$3,982,007","$665,000","$143,940","$220,953",,,,,"$1,325,426",,"$2,223,023",,,,,,,,,,,"$2,477,254",,,,,"$1,712,584",,"$178,475","$525,008",,,,,,,,,,,,,,,,,,,,"$575,709","$848,485","$2,750,858",,,,"$335,664",,,,,,"$2,176,906",,,,
0264761,,Kissing Jessica Stein (2001),,,"$178,192","$33,944",,,,,,,,,,"$39,664",,,,,,,,,,,,,,,,,"$90,168","$65,867",,,,,,,,"$76,144",,,,,,,,,,,,,"$278,972",,,,,"$56,978",,,"$32,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$660,604",,,,
0256259,,Pauline and Paulette (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,546",,,,,,,,,"$200,443",,,,,,,,,,,,,,,,,,"$31,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0282864,,Promises (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,342",,,,,,,,,,,,,,,,,,,,,,"$123,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,851",,,,,,,,,,
0245574,,And Your Mother Too (2001),,,"$371,670","$35,755",,,,,,"$234,208","$55,469",,,,,,,,,"$36,554",,,,,,,,,,"$179,939","$48,318","$66,060",,"$10,448","$11,155",,,,,,,,,,,,,,,,,,,,,,,"$464,636",,"$80,740","$354,296",,,,,,,,,,,,,,,,,,,,,,,,,,"$12,905",,,,,,"$1,430,670",,,,
0097106,,A Tale of Springtime (1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,617",,,,,,,,,,,,,,,,,,"$3,298",,,,,,,,,,
0076729,,Smokey and the Bandit (1977),,,,,,,,,,,,,,,,,,,,,,,,"$126,737,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0187738,,Blade II (2002),"$319,044",,"$3,328,382","$1,469,359",,"$155,146",,"$1,049,401","$7,965","$1,240,276","$66,786",,"$208,891","$380,293",,"$102,128","$81,938",,,"$75,207",,"$739,449",,,"$12,080",,,"$34,152",,"$246,380","$6,254,544","$10,346,127","$858,833","$97,793","$324,499","$76,200",,"$188,348","$266,759","$3,219,630",,"$2,586,818",,,,,"$453,742",,,,,,"$1,366,777",,,,,"$1,367,598",,"$457,764","$621,160",,,,,"$77,815","$490,084","$291,733","$721,812","$1,173,619",,,"$77,255",,"$1,819,090",,"$88,372","$444,115",,"$50,690","$491,133","$3,738,909","$8,485,384",,"$460,087","$1,337,993","$301,882","$526,906",,"$417,001",,,"$13,165,653",,"$213,108",,"$137,585"
