imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5042436,,Barbie: Spy Squad (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,781",,,,,,,,,,,,,,,,,,,,,,,,,,
3640424,,Allied (2016),"$526,107","$8,935,413","$558,285",,"$855,595","$28,929","$2,123,437","$279,035","$259,346","$4,330,432","$205,624",,,"$277,879","$511,112",,,,,,"$288,124","$7,390,093","$2,234,038","$815,866","$792,711","$432,573","$49,939","$250,748","$1,711,337","$977,585","$5,290,511",,"$2,681,281",,,,,"$91,500","$222,611","$3,770,425","$1,337,787","$563,196",,"$350,132",,,"$251,458","$37,549","$255,893","$281,483","$742,630","$932,006",,"$716,577","$4,487,984",,"$316,193","$114,978","$48,661","$187,001","$3,763,381","$4,753,847","$947,116","$1,107,296",,"$1,031,265","$244,992",,"$939,080","$770,941","$1,470,166","$5,254,198","$74,400","$74,823",
3976144,,The Monster (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,747",,,,"$50,409",,,,
1949605,,Who Gets the Dog? (2016),,,,,,,,,,,,,,,,,,,,,,,"$755,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,050",,,,,,,,,,,,,,,"$22,303",,,,,
1895315,,Brimstone (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$110,269",,,,,,,,,,,,,,,,,,,,
3062096,,Inferno (2016),"$1,985,039","$4,030,884","$1,721,585",,"$1,915,629","$194,263","$10,327,371","$490,856","$1,152,920","$19,371,553","$1,690,085","$371,842",,"$804,197","$2,570,419",,,"$618,464","$465,702","$195,321","$1,512,208","$7,006,062","$14,453,514","$1,840,501","$1,603,676","$1,106,905","$114,157","$2,455,817","$2,120,571","$698,123","$13,938,143",,"$14,456,437",,,"$178,300","$295,338","$153,105","$1,097,471","$6,343,785","$5,539,767","$629,407","$81,521","$874,438",,"$53,833",,"$58,466","$1,030,518","$1,336,616","$3,296,336","$1,579,524",,"$871,114","$9,265,309","$143,956","$1,189,473","$432,586","$159,204","$446,188","$5,013,643","$6,156,483","$2,397,901","$2,478,238",,"$2,818,938","$1,044,583",,"$2,164,289","$1,349,068","$2,082,480","$10,153,271","$175,222","$248,917","$633,295"
2387499,,Keeping Up with the Joneses (2016),,"$2,088,164",,,,"$86,843",,,,"$1,723,895","$390,120",,,,,,,,,,,,,,,,,,"$419,981","$1,091,350",,,,,,,,,,"$730,242","$561,941","$244,648",,,,,,,,,,,,,"$1,798,568",,,,,"$457,906",,"$61,318",,,,,,,,"$286,637","$638,809","$863,985","$70,425",,
4361050,,Ouija: Origin of Evil (2016),"$1,857,201","$1,765,832","$244,377",,"$327,642","$122,191","$1,795,635",,"$804,732",,"$1,243,726","$62,727",,,,,,"$450,891","$299,065","$54,565","$100,600","$2,616,956","$1,972,929","$148,358",,,,,"$3,115,055",,"$2,675,728",,,,,,"$89,641","$94,523","$1,489,286","$5,232,885","$569,872","$196,314",,,,"$74,113","$995,908","$58,042","$912,715","$791,048","$456,094",,,"$187,491","$1,071,659",,"$672,805",,"$49,227","$41,091","$2,257,288","$3,413,476","$384,256","$346,666",,"$613,541","$149,917",,"$105,438","$187,330","$699,936","$3,452,187","$89,800","$144,524","$1,153,848"
4065842,,What a Wonderful Family! (2016),,"$19,719",,,,,,,,"$4,587,849",,,,,,,,,,,,,,,,,,,,,,,"$10,728,188",,,,,,,,,"$2,298",,,,,,,,,,,,,,,,,,,,"$394,706",,,,,,,,,,,,,
1135972,,Le Grand Chef (2007),,,,,,,,,,"$427,710",,,,,,,,,,,,,,,"$28,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$216,374",,,,"$20,028,922",,,,,"$3,715","$70,751",,,,,,,,
