imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0351283,,Madagascar (2005),"$4,933,447","$19,539,058","$5,960,593",,,"$5,134,065",,"$11,724,562","$290,819",,"$2,520,012","$2,248,679","$3,399,000","$2,892,373","$357,135",,"$190,647","$1,222,997","$1,472,974","$3,932,213",,,,"$475,557","$42,492","$82,972","$1,865,445","$22,506,646","$42,605,461","$1,769,796","$2,885,257","$1,882,169","$475,305","$335,263","$533,716","$2,958,532","$28,044,781",,"$20,243,457",,"$54,500",,"$174,914","$163,214",,,"$102,192","$1,216,434","$18,328,833",,"$1,606,720","$6,254,920",,"$3,587,965",,,"$5,788,140",,,"$938,867","$941,733","$5,771,136","$3,535,907",,,"$103,589","$7,655,466","$7,461,616",,"$53,063","$2,150,865","$303,864","$242,837","$2,285,746","$9,754,887","$16,372,728",,"$4,514,955","$7,715,868",,,,"$3,906,162","$665,411","$1,101,105","$953,409","$647,285","$40,190,822",,"$1,287,462",,
0381429,,Somersault (2004),,"$1,390,102",,,,,,,,,,,,,,,,,,,"$92,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0438205,,Mad Hot Ballroom (2005),,"$392,408","$24,731",,,,,,,,,,,,,,,,,,"$8,117,961",,,,,,,,"$231,840",,,,,,,,,,,,,,,,,,,,"$25,285",,,,,"$72,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,429",,,,,"$203,673",,,,
0420952,,Tell Them Who You Are (2004),,,,,,,,,,,,,,,,,,,,,"$39,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,833",,,,
0398165,,The Longest Yard (2005),,"$8,123,714",,"$147,144",,,"$16,047",,"$67,068",,"$290,353","$36,669",,"$105,380","$31,524","$24,225",,,,"$400,469",,,"$32,760","$89,689","$119,793","$46,912",,"$22,304","$1,741,318",,"$35,736","$188,040","$154,718","$122,792",,"$214,381","$400,180",,"$179,471","$111,320",,"$326,077","$50,217","$81,502",,,,"$136,948","$2,722,170",,,,,"$1,387,872","$32,578",,"$207,983","$39,660",,"$118,369","$431,159",,"$303,551",,"$81,205","$110,386","$1,411,769","$1,161,220",,"$39,014","$481,303",,"$108,891","$1,055,444",,"$716,446",,"$228,907",,,,,,"$226,328",,,"$523,628","$8,282,250","$12,647","$367,565",,
0384504,,Saving Face (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,836",,,,,,,,,
0352248,,Cinderella Man (2005),"$348,258","$4,558,675","$220,841",,,"$522,398",,"$488,982","$30,091",,,"$87,355",,,,,,"$53,476",,"$127,629",,,,,"$40,677",,"$81,547","$2,132,066","$666,350","$568,200","$282,498",,"$34,246",,,,"$3,401,719",,"$10,149,037",,,,,"$49,069",,,,,"$3,221,978",,,"$379,734",,"$330,455",,,"$353,738",,,,,"$192,774","$476,166",,,"$45,824",,"$528,515",,"$10,443",,"$7,879",,"$158,893","$2,785,002","$3,905,918",,"$187,912","$467,799",,,,"$385,688",,"$979,052","$109,650","$164,222","$4,178,054",,,,
0403508,,The Sisterhood of the Traveling Pants (2005),,"$1,393,280",,,,,,"$77,522",,,,,,,,,,,,"$81,110",,,,,,,,,,,,,,,,,"$24,124",,,,,,,,,,,,,,,,,"$147,670",,,,,,,,,,,,,,,,,,,,"$167,303",,"$166,749",,"$54,078",,,,,,,,,"$27,386","$608,637",,,,
0355702,,Lords of Dogtown (2005),,"$247,737",,,,,,,,,,,,,,,,"$70,029",,,,,,,,,"$63,068","$340,379","$173,098",,,,,,,,"$280,461",,,,,,,,,,,,"$82,268",,,,,"$14,953",,,,,,,,,,,,,,,,,,"$3,862",,,,"$47,018",,"$44,769","$16,989",,,,,,,,,"$90,721",,,,
0344604,,Après Vous (2003),"$65,492","$337,776",,,,,,,,,,,,,,,,,,,,,,,,,"$66,428","$6,449,226",,,,"$39,812",,,,,"$430,008",,,,,,,,,,,,,,,,,"$157,362",,,,,,,,,,,,,,,,,,,,,,"$476,367",,,,,,,,,,,,,,,,
