imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1440161,,A Little Bit of Heaven (2011),"$55,150",,"$234,723",,,,"$230,702",,,"$104,586",,,"$26,157",,,,,,,,,"$467,272",,"$24,980","$118,949",,,,,,"$263,460",,"$64,521",,"$39,057",,,"$2,379,649",,,,,"$243,708",,"$204,048","$3,806",,"$353,972",,"$113,447",,,"$145,110",,"$32,328",,,,,,"$237,370",,"$134,371","$1,281,562","$4,085",,
1634122,,Johnny English Reborn (2011),"$328,636","$13,449,835","$2,542,767",,"$2,173,164","$34,626","$2,174,805","$204,798",,,,"$1,085,728","$466,412","$608,972","$882,712",,"$55,185","$234,998","$70,640","$3,160,535","$2,878,851","$14,175,999","$16,879","$1,465,789","$3,218,625","$543,077","$196,557","$856,014","$2,458,666","$1,513,986","$3,462,182",,"$1,530,015",,"$562,899",,"$5,201,268","$3,218,508","$4,502,430","$1,648,772","$33,756","$1,967,463","$454,898","$2,255,352","$958,051","$2,365,061",,"$5,420,809","$116,258","$4,597,349","$128,859","$579,329","$1,904,045","$229,270","$6,978,465","$1,626,300",,,"$2,253,973",,"$293,913","$854,570","$2,173,997","$33,096,980","$117,068","$1,035,140","$260,203"
1600195,,Abduction (2011),"$1,120,428","$4,312,770","$494,697",,"$1,835,151","$51,714","$6,114,581","$122,725",,,,"$434,319","$90,470","$50,847","$556,069",,"$9,476","$182,855",,"$96,048","$5,379,686","$4,147,250","$4,600","$286,013","$140,875","$170,881","$29,891",,,,"$2,025,794",,,,"$97,366",,"$563,113","$3,560,690","$606,148","$486,405","$24,450","$399,721","$646,768","$223,407","$440,435","$298,999",,"$2,908,573",,"$481,145",,,"$593,505","$921,992","$3,259,401","$502,135",,,"$755,872",,"$380,085","$328,043","$37,998","$3,668,455","$100,830","$625,974",
1699513,,Beginning of the Great Revival (2011),,,,,,,,,,,"$57,540,356",,,,,"$151,000",,,,,,,,,"$595,160",,,,,,,,,,,,,,,"$27,835",,,,,,,,,,,,,,,,,,,,,,,,,,,
1440345,,This Must Be the Place (2011),,"$264,872","$84,879",,"$64,076",,"$142,924",,,,,,,"$7,811","$81,790",,,,,"$71,064","$953,130","$860,956",,"$48,871",,,,,,,"$8,059,623",,,,,,,,"$42,541",,,,,,"$269,083","$47,259",,,"$8,665","$2,600",,,"$5,951",,"$367,254",,,,"$6,590",,"$72,089",,,"$322,902",,,
1723811,,Shame (2011),"$135,399","$380,366","$205,249",,"$547,500",,"$557,243",,,"$64,786",,"$62,884","$4,781","$32,053","$250,588",,,,,"$123,312","$2,290,991","$1,070,622",,"$284,898","$124,409",,"$5,611",,,,"$1,398,307",,,,,,,"$391,599","$555,221","$43,723",,"$277,708","$28,088",,"$551,501","$226,830",,"$422,561","$5,791",,,,"$28,451","$41,589","$1,425,419","$249,809",,,"$13,889",,"$119,746",,,"$3,203,687","$17,201","$72,953",
1664892,,"Happy, Happy (2010)",,,,,,,,,,,,,,"$5,057",,,,,,"$6,203",,,,,,,,,,,,,,,,,,,,"$27,847",,"$312,035",,,,,,,,,,,,,"$219,679",,,,,,,,,"$4,263",,,
1639901,,A Screaming Man (2010),,,,,"$10,178",,,,,,,,,,,,,,,,"$165,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,893",,,
1143148,,Nora's Will (2008),"$53,724",,,,,,"$99,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,447","$37,048",,,,,,,,,,"$12,136",,
0770703,,What's Your Number? (2011),,"$2,114,765",,,"$350,906","$36,506","$641,363",,,,,"$202,594","$61,393",,"$115,153",,"$14,387","$84,456",,"$140,072","$1,184,251","$250,259",,,"$216,777",,"$38,123","$97,325",,"$293,409",,,,,"$58,337",,"$279,673","$1,506,855","$378,461","$246,602",,"$191,655","$251,836","$260,046","$135,001","$315,716",,"$2,062,864","$49,484","$417,482",,"$72,974","$268,135",,"$271,455","$107,795",,,"$33,016",,,"$316,573",,"$1,278,571",,"$406,558",
1462041,,Dream House (2011),"$792,293",,,,"$413,665","$79,967","$1,415,999","$54,581",,,,"$625,231","$35,081","$70,835",,,,"$212,609",,,"$2,149,819",,,"$376,491","$63,196","$67,993","$18,872",,,,"$464,012",,,,"$7,749",,"$309,295","$2,420,251","$181,196",,,"$79,837","$398,880","$118,969","$851,748","$289,320",,"$2,004,613","$11,875","$121,300",,"$18,173","$89,661",,"$2,130,858",,,,"$193,333",,"$180,669","$97,740","$98,769","$1,288,780","$53,272","$895,128",
1614989,,Headhunters (2011),,"$844,874","$43,244",,"$171,556",,"$31,200",,,,,,,"$37,512","$2,242,495","$1,200,010",,,,"$99,813",,"$713,507","$82,691","$141,311","$72,721","$13,650","$49,602",,,,,,,,,,,,"$179,568","$163,192",,"$8,877,056",,,"$401,770","$3,032",,"$167,087",,"$26,429",,,,,"$1,200,560","$425,789",,,,,,,,"$2,198,419",,,
1308138,,Mulan: Rise of a Warrior (2009),,,,,,,,,,,,,,,,,,,,,,,,,"$175,087",,,,,,,,,,,,"$201,937",,,,,,,,,,,,,"$505,741",,,,"$741,821",,,,"$22,162","$152,409",,,,,,,,
