imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2841572,,A Borrowed Identity (2014),,,,"$34,068",,,,,,,,,,,,,,,,,,,,,,,"$394,565","$202,039",,,,,,,,,,,,,,,,,,"$1,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,129",,,,,,,,,,,,,,
1274295,,Kaminey (2009),,,"$188,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,741,053",,,,,,,,,,,,,"$18,731",,,,"$7,857",,,,,,,,,,,,,,,,,,,,,"$10,967",,,,,,,,,,,,,"$351,491",,,
2199711,,Vishwaroopam (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$325,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0488414,,Omkara (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$521,568",,,
0495034,,Golmaal Fun Unlimited (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,020",,,,,,,,,,,,,,,,,,,,,,,,"$348,928",,,
3495000,,Mardaani (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,988,944",,,,,,,,,,,,,,,,,"$10,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0811066,,Shootout at Lokhandwala (2007),,,"$26,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,669,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$305,912",,,
1833673,,Dhoom 3 (2013),,,"$1,501,190","$6,951",,,,,,,,,,"$2,970,000",,,,,,,,,"$32,946",,,,,"$86,207",,,,,,,,,,,,,,,,,"$7,010",,,,,,"$441,840",,,,,,,"$60,742",,,,,,,,,,,,,,,,,,,,,,"$45,674",,"$78,532",,,"$4,446,998",,,
0441048,,Dhoom 2 (2006),,,"$349,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,943,296",,,,,,,,,,,,,,,,"$66,441","$101,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,292,906",,,
0473310,,Ram Gopal Varma Ki Aag (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,609,577",,,,,,,,,,,,,"$6,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181831,,Shahid (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$365,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932606,,Siddharth (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0991243,,Like a Dragon (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$373,295",,,,,,,,,"$3,688,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,126,468",,,,,,"$27,695",,,,,,,,,
3302706,,Boychoir (2014),,,"$709,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$157,298",,,,,,,,,,,,,,,,,,,,"$382,681",,,,,,,,,,,,,,,,,,"$19,437",,,,"$10,202",,,,,,,"$17,376",,,,,,,,
