imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Costa Rica,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (French/Italian),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0409182,,Poseidon (2006),"$1,414,063",,"$3,413,274",,,,"$1,242,280",,"$3,193,171","$99,669",,,,"$8,800,000","$206,700",,,,,"$143,642",,"$565,764",,,,,"$194,566",,,"$404,277","$4,263,309","$2,594,928","$975,650",,,,"$1,812,826",,,"$1,967,000","$822,800","$100,000","$3,854,218",,"$9,941,041",,,,,"$55,040",,,"$1,086,703",,,,"$1,576,114",,"$499,889",,,,"$940,331",,,,,"$453,000","$841,387","$557,211","$722,429","$489,000",,"$78,234",,"$4,669,785",,,,"$48,765","$1,443,106","$40,458",,"$262,000",,"$14,093,621","$8,550,398",,"$580,366","$574,099",,,,,"$2,155,190","$1,837,128","$1,189,379","$618,197","$599,175","$6,744,755",,"$217,800",,
0382625,,The Da Vinci Code (2006),"$4,748,930","$64,900","$20,641,716","$7,122,318","$257,462",,"$7,623,643","$274,957","$18,035,534","$492,805",,"$1,712,696","$2,668,721","$13,206,121","$2,777,383",,"$605,981","$62,148",,"$2,339,258",,"$9,448,539",,"$427,969","$203,266","$670,541",,,"$375,441","$3,637,295","$33,177,033","$50,331,913","$6,640,131",,,,"$4,580,707","$2,360,464","$544,097","$3,139,109","$1,641,733","$1,715,217","$39,197,477","$160,020","$79,343,641",,,,"$446,619",,"$159,777","$461,031","$1,262,574","$19,275,573",,,"$10,308,341",,"$3,362,396",,"$53,290",,"$6,026,661","$61,303",,,,"$1,520,376","$2,261,435","$6,161,797","$4,207,315",,"$160,447","$522,796",,"$13,283,667",,,"$19,996","$398,029","$2,026,729","$737,703","$641,333","$2,080,579",,"$21,959,009","$34,543,406",,"$7,961,908",,"$1,933,226",,"$5,256,098","$297,634","$6,072,819","$2,202,295","$4,639,619","$2,111,254","$1,353,848","$55,532,575","$410,075","$2,528,108",,
0376994,,X-Men: The Last Stand (2006),"$2,202,510",,"$12,601,706","$1,709,845","$33,215",,"$2,649,265","$112,926","$11,181,839","$141,884",,"$1,511,157","$1,221,807","$2,657,186","$1,832,479",,"$141,053",,,"$257,736","$347,513","$2,000,828",,"$303,478",,"$523,280","$224,305",,"$70,999","$610,906","$22,320,911","$12,658,448","$1,632,774",,,,"$2,722,049","$640,352","$196,537","$943,600","$1,384,859","$600,075","$7,401,192","$182,521","$12,965,004",,,"$190,946","$72,923","$111,054","$356,199","$55,780","$1,962,167","$16,483,872",,"$1,472,958","$1,964,264",,"$1,877,508",,,,"$1,409,341","$21,104",,,,"$792,538","$3,133,607","$530,312","$1,068,695","$2,335,661","$52,270","$147,219",,"$6,071,371",,,,"$49,491","$3,070,217","$83,583","$102,796","$1,809,518",,"$12,406,569","$12,315,946",,"$2,315,060","$1,794,001",,,,,"$3,079,286","$2,815,626","$1,165,959","$688,535","$619,973","$35,645,846","$93,767","$1,802,556","$120,072",
0452594,,The Break-Up (2006),"$960,763",,"$7,417,033","$1,730,701",,,"$1,262,170",,"$3,684,216","$57,645","$601,355",,"$353,218",,"$298,493",,"$149,948",,"$106,521","$246,611","$304,227","$839,495",,,,"$157,063","$48,672",,"$103,746","$435,353","$3,167,714","$9,791,031","$1,576,800",,,,,"$954,528","$186,013","$238,336","$206,452","$728,268","$5,530,907",,,,"$22,842",,"$76,826","$75,308",,"$74,840","$197,458","$4,722,693","$249,509",,"$1,300,503",,"$644,439",,,"$4,077","$1,054,953",,,,,"$257,985","$232,519","$1,014,182","$1,275,918",,,"$148,499",,"$1,768,674",,,,"$29,744","$433,089","$68,566","$211,245","$1,304,651",,"$1,555,923","$4,154,697",,"$764,128","$1,644,912",,,,,"$842,375","$351,748","$537,283","$368,638","$435,331","$19,289,594",,"$683,255","$31,252",
0438315,,Peaceful Warrior (2006),,,,,,,,,,,,,,,,,,,,,,,"$3,960,414",,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,729",,,,"$209,611",,,,,,,,,,,,,,"$20,093",,,"$12,087",,,,,,,,,,,,,,,,,,,,,,,,"$95,838",,,,"$16,155",,,,,
0417385,,12 and Holding (2005),$902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,669",,,,,,,,,,,,,"$4,160",,,,
0419256,,Wah-Wah (2005),,,"$1,867,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$377,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$366,925",,,,
0415949,,Keeping Up with the Steins (2006),,,"$70,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0317219,,Cars (2006),"$3,100,679",,"$13,450,636","$3,321,892",,,"$2,734,883",,"$8,234,427","$90,981",,,"$1,317,329",,"$5,687",,,,,"$1,102,953",,"$2,806,399","$244,082,982",,,,"$16,931",,,"$1,959,896","$13,992,952","$14,888,356","$1,389,150",,,,"$1,909,135",,"$249,549",,,,"$16,456,342",,"$12,234,253",,,,,"$31,746",,"$260,074",,"$12,993,566",,,"$3,314,539",,"$2,207,860",,,,"$3,866,154",,,,,,,"$1,875,931","$1,095,548",,,"$71,565",,"$3,895,840",,,,"$22,411",,"$507,074",,"$1,463,339",,"$3,026,329","$16,342,337",,"$3,563,648","$2,503,304",,,,,"$902,415","$354,006","$1,737,408","$551,420",,"$30,867,088",,,,
0413466,,Wassup Rockers (2005),,,,,,,,,,"$4,960",,,,,,,,,,,,,,,,,,,,,"$153,169",,,,,,,$717,,,,,,,,,,,,,,,,"$2,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
