imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1116184,,Jackass 3D (2010),"$184,454",,"$9,881,627","$1,584,050",,"$404,501","$65,385","$511,516",,,"$94,721",,"$128,245",,,,,,,,"$62,194",,,,"$282,003","$3,799,115","$7,243,633",,,"$311,492","$42,452","$163,015",,,"$654,910","$2,122,575",,,,,,,,,"$622,524","$2,854,194","$749,658",,"$962,907",,,"$86,943",,"$818,728","$398,608",,,"$4,378,460",,"$74,112",,,"$506,596","$1,847","$1,463,857","$531,425","$810,147","$47,339","$100,631",,,"$201,857",,"$8,885,152","$18,604","$131,492",
1559549,,Restrepo (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,635",,,,,,,,,,,,,,,,,,,,"$92,016",,,
1085779,,The Hole (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$323,554",,,,,,,,,,,,,,"$139,937",,,,,,,,,"$141,880",,,,,"$1,636,848",,"$91,712",,,,,,,,"$89,585","$132,731",,,,,,,,
1566648,,Waiting for Superman (2010),,,"$7,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,$470,"$1,594",,,
1003034,,Perrier's Bounty (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,680","$160,430",,,
1245526,,RED (2010),"$691,246",,"$8,328,597","$1,370,268",,"$941,556","$20,143","$2,992,854","$229,742",,"$132,615",,"$347,545","$113,955",,"$345,875",,,,"$30,931",,"$147,519","$46,001",,"$312,864","$6,564,318","$8,208,370",,"$654,638","$514,548","$147,471","$61,096",,,,"$4,037,945",,"$14,239,761",,,"$80,555","$227,976","$70,045","$903,153","$2,050,154","$2,159,404","$840,976","$13,452","$456,146",,,"$268,551","$310,537","$1,492,302","$681,137",,"$333,617","$7,540,835","$46,340","$700,549","$48,416","$14,336","$815,188","$3,055,627","$4,589,438","$248,852","$2,018,650","$986,414","$674,419",,"$1,438,674","$344,815","$790,175","$10,969,022","$36,937","$425,764","$207,696"
1340107,,In a Better World (2010),"$75,452",,"$154,517","$36,701",,"$62,393","$8,198","$163,375",,,,,,,,,"$4,988,786",,,,,,,,"$98,821",,"$664,919",,"$52,738","$13,356",,"$24,370",,,,"$807,897",,,,,,,"$7,750",,"$109,668","$115,862","$93,016",,"$174,333",,,"$24,547",,"$66,927",,,,"$23,438",,"$11,604",,,,"$319,612","$1,351,523","$2,269,634",,,"$8,024",,"$52,662",,,"$129,998","$40,555","$45,730",
0872230,,My Soul to Take (2010),,,,,,,,"$226,504","$36,356",,,,,,,"$34,050",,,,,,,,,,,"$95,950",,"$381,593",,,,,,,,,,,,,,,"$150,781","$241,534",,,,,,,"$115,496","$125,009","$187,807",,,,"$4,211,467",,"$90,806",,,,,"$42,715",,,"$73,867","$77,900",,"$232,341","$101,171","$154,413",,,"$176,618",
1337137,,South of the Border (2009),"$65,940",,,,,,,"$9,608",,,,,,,,,,,,,"$5,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,896",,
1424327,,Eyes Wide Open (2009),,,,"$14,144",,"$80,455",,,,,,,,,,,,,,,,,,,,,"$120,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,933",,,,,,,,,,,,"$4,100",,
