imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0285531,,Dreamcatcher (2003),"$456,751","$1,892,168","$562,535",,,,,,,,"$208,521",,,,,"$45,608",,,"$33,715,436",,,,,,"$148,599","$3,148,376","$3,632,972","$526,400",,,"$133,046",,,,,"$2,810,369",,"$5,524,970",,,,,,,,"$2,362,015",,,,"$968,951","$311,819","$182,984",,,,,,,,,"$1,402,240",,,,,,"$84,014",,,"$5,177,282",,,"$399,022",,"$411,975",,,"$2,807,999",,,
0323642,,Piglet's Big Movie (2003),"$188,777","$2,315,222","$812,467",,,,,"$15,525",,,"$139,994",,,,,"$191,711",,,,,,,,,"$1,610,467","$4,905,647","$3,207,365",,,,"$114,968",,,,,"$625,647",,,,,,,,,,"$1,417,509",,,,"$1,322,317","$448,317","$1,297,112",,,,"$1,047,790",,,,,,,,,,,"$178,290",,,"$932,013",,,,,"$320,530",,,"$6,922,153",,,
0264150,,View from the Top (2003),,"$748,212","$146,956",,,,"$184,835","$4,981",,,,,,,,"$39,625",,,,,,,,,"$41,014","$111,080","$621,499","$167,800",,"$78,112",,,,,,"$175,587",,,,,,,,"$6,099",,,,,,"$150,912","$252,593","$15,248",,,,,,,"$38,281",,"$602,645",,"$4,975",,,,"$340,100",,,,"$29,577",,"$107,440",,"$43,137",,,,,,
0046247,,The Robe (1953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,866",,,,,,,,,,,,,
0318025,,Unknown Pleasures (2002),,,,,,,,,,,,,,,,,,,,,,,,,,"$44,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0264395,,Basic (2003),"$124,186","$1,386,905","$109,543",,,,,"$49,122",,,,,,,,"$22,631",,,,,,,"$24,457",,"$105,467","$1,675,440","$404,707","$100,800",,,,,,,,"$2,391,366",,"$2,433,935",,,,,,,,"$926,233",,,,"$463,430","$127,741","$128,016",,,,"$273,624",,,,,"$64,890",,,,,,"$288,267",,,"$1,501,745",,,"$172,764",,"$138,074",,,"$994,736",,,
0298814,,The Core (2003),"$136,550","$980,977","$354,181",,"$405,855",,"$545,707","$35,526",,"$274,609","$128,139","$1,361,040","$245,387","$8,919","$25,919","$57,746","$89,921","$126,913",,,,,"$42,160",,"$35,214","$957,183","$2,770,142","$346,776",,"$397,898","$140,199","$39,385","$96,462","$283,304","$229,096","$2,693,563",,"$12,500,000","$20,013",,,"$286,443",,"$11,000","$346,444","$3,282,256",,"$409,770",,"$184,618","$146,244","$79,309",,"$155,850","$568,670","$190,015","$260,546",,"$32,363",,"$828,433",,,"$375,958",,"$64,022","$378,144","$1,552,488",,"$2,194,107","$121,237","$403,367","$990,113","$565,610","$285,287","$160,455",,"$2,553,665",,"$107,701",
0325537,,Head of State (2003),,"$172,727",,,,,,,,,,,,,,,,,,,,,,,,"$14,684","$10,030",,,,,,,,,"$1,254",,,,,,"$161,738",,,,,,"$5,598",,,,,,,"$28,242",,,,,,,,,,,,,,,"$60,062",,,,,,,,,,,
0286788,,What a Girl Wants (2003),,"$3,534,182","$608,992",,"$312,024",,"$400,000","$25,606",,,"$27,886",,,,,"$9,955",,,,,,,"$23,842",,,"$223,657","$1,982,578",,,,"$32,232","$61,807",,,,"$382,950",,,,"$7,672",,,,"$13,469",,"$1,554,008",,,,"$499,560","$314,348","$245,278",,,"$79,000",,,"$65,071",,,,,,,,,"$575,814",,,"$735,521","$175,780","$369,667",,,"$184,633",,,"$1,400,365",,,
0316188,,Raising Victor Vargas (2002),,"$33,721",,,,,,,,,,,,,,,,,,,,,,,,"$117,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,542",,,
0100998,,Dreams (1990),,,,,,,,,,,,,,,,,,,"$1,963,207",,,,,,,"$1,006,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042593,,In a Lonely Place (1950),,,,,,,,,,,,,,,,,,,,,,,,,,"$13,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,401",,,
0080139,,Winter Kills (1979),,,,,,,,,,,,,,,,,,,"$1,157,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0314062,,Fellini: I'm a Born Liar (2002),,,,,,,,,,,,,,,,,,,,,,,,,,"$12,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0281820,,The Good Thief (2002),"$59,507","$243,863","$33,316",,,,,,,,"$15,220",,,,,,,,,,,,,,,"$254,060","$201,013",,,,,,,,,"$159,493",,,,,,,,,,"$147,115",,,,,"$43,665",,,,,,,,,,,,,,,,,,,"$532,821",,,,,,,"$36,781","$512,294",,,
0266465,,A Man Apart (2003),"$158,857","$788,976","$252,943","$18,463","$674,458",,"$800,000","$82,114","$42,168",,,,"$115,657",,,"$61,811",,,,,,,"$23,039",,,"$1,616,765","$364,592","$252,943",,"$65,986","$97,336","$44,826",,"$126,843","$109,802","$1,071,006",,"$332,206",,"$2,977",,,,"$10,193",,"$832,697","$279,997",,,"$539,048","$189,558",,,"$45,715","$152,556",,"$252,595","$854,489",,,"$835,213",,"$26,852",,,"$10,793","$509,779",,,"$2,026,645",,"$108,075","$568,082","$209,408","$33,763","$54,262",,"$2,037,053",,,"$63,690"
0183649,,Phone Booth (2002),"$476,500","$3,143,533","$594,240",,,,,"$30,980",,,"$211,207",,,,,"$184,432",,,,,,,,,"$245,769","$4,149,018","$4,132,687","$123,200",,,"$244,512",,,,,"$1,067,543",,"$3,753,782",,,,,,,,"$3,399,923",,,,"$570,163","$239,051","$277,740",,,,"$523,244",,,,,"$348,913",,,,,,"$359,295",,,"$5,890,593",,,"$237,669",,"$334,654",,"$118,920","$10,975,277",,,
