imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0120484,,The Waterboy (1998),,"$7,087,777","$501,217",,,,,,,,,,,,,,,,,,,,,,,,,"$2,970,091",,,,,,,,,,,,,,,,,,,,,"$1,414,068",,,,,,,,,,,,,,,,,,,,,,,"$650,246",,,,,,,,,,"$5,677,560",,,,
0127536,,Elizabeth (1998),"$1,420,142","$4,331,238","$284,123",,,"$340,786",,"$2,087,465","$34,978","$18,656",,"$176,805",,"$345,780","$11,028",,"$42,769",,"$397,420",,,,,,"$17,809","$77,421","$744,813","$3,650,035","$579,715",,"$225,181",,"$42,888",,,"$242,727","$392,247","$3,151,202",,"$15,807,893",,,"$57,182",,"$74,137",,"$31,700",,"$1,280,520",,,"$595,652","$923,080","$265,675",,"$13,781",,"$142,192","$71,441","$542,796",,"$19,406",,"$41,466",,,"$239,805","$67,456","$67,456","$339,888","$361,680","$1,145,943",,"$656,210","$593,430",,"$327,341","$180,503","$257,685",,,"$9,083,335","$93,915","$171,147",,
0091954,,Sid and Nancy (1986),,,,,,,,,,,,,,,,,,,,"$2,826,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,184",,,,
0050783,,Nights of Cabiria (1957),,,,,,,,,,,,,,,,,,,,"$766,530",,,,,,,"$3,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0085244,,The Big Chill (1983),,,,,,,,,,,,,,,,,,,,"$56,399,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120660,,Enemy of the State (1998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,308,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0140888,,Central Station (1998),,,,,,,,,,,,,,,,,,,,"$5,969,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,520",,,,,,,,,,,,,,,,,,,,,,,,,,
0154420,,The Celebration (1998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,555",,,,,,,,,,,,,,,,,,,,,,,,,,
0045826,,Glen or Glenda (1953),,,,,,,,,,,,,,,,,,,,"$10,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0047034,,Godzilla (1954),,,,,,,,,,,,,,,,,,,,"$562,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
