imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5168192,,"I, Daniel Blake (2016)","$99,769","$484,750",,,,,"$183,166","$6,690",,,,,,,,,,,,,,,"$98,792","$6,411,839",,"$242,729",,"$5,777","$4,260",,,,"$1,412,911",,,,,,,,,,"$765,666","$338,797",,"$116,671",,,,,,,,"$127,821",,"$6,873","$31,796",,,,"$14,985",,"$575,285","$173,680",,,,,,,"$40,788",,"$11,317","$4,275,018","$7,965",,
2573750,,Gulaab Gang (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,330,999",,,,,,,,,,,,,,"$10,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4619940,,Chronicles of Evil (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,315,552",,,,,,,,,,,,,,"$39,885"
2614722,,Umrika (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5157018,,Bad Guys Always Die (2015),,,,,,,,,,,,"$4,847,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4093680,,My Skinny Sister (2015),"$13,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787570,,A Serious Game (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,511",,,,,,,,,,,,,,
2200989,,Beatles (2014),"$9,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3908598,,Lamb (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,297",,,,,,,,,,,,,
5462400,,Kóblic (2016),"$1,325,375",,,,,,,,,,,,"$11,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0970933,,Film Noir (2007),,,,,,,,,,,,,,,,,,,,,,,,,,"$3,677",,$511,,,,,,,,,,,,,,"$5,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535492,,The Stool Pigeon (2010),,,,,,,,,,,,"$7,741,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4034354,,Swiss Army Man (2016),,,,,,,,,,,,,,,,,,,,,,,"$14,750",,,,,,,,,,,,,,,,,,,,,"$30,674",,"$51,924",,,,,,,,,,,"$409,403",,,,,,,"$7,463",,,,,,,"$2,062","$41,648","$62,771","$104,352",,,
1229827,,Jonas Brothers: The 3D Concert Experience (2009),"$313,395","$105,369",,,"$12,913","$22,952","$680,392","$7,073",,"$33,248","$126,592",,"$154,214",,,,,,"$129,717",,,,,"$9,926",,,,,,,,"$4,540","$54,974",,,,,,"$8,081","$4,820","$13,414","$1,035,798",,"$18,657",,,,,,,"$260,710","$31,915",,"$61,269",,,,,"$26,016",,,"$15,708",,"$355,798",,,,,,,"$9,188",,"$33,794","$409,245","$35,982","$48,520",
4906984,,Azhar (2016),,"$37,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392726,,Office (2015),,,,,,,,,,,,"$7,400,000",,,,,,,,,,,,,,,"$680,645",,,,,,,,,,,,,,"$45,989",,,"$6,087",,,,,,,,,,,,,,,"$29,871",,,,,,,,,,"$64,254",,,,,,,,
2168180,,Nise: The Heart of Madness (2015),,,,,,,"$641,510",,,,,"$137,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3174376,,Before I Wake (2016),"$101,017",,,,,"$30,420","$211,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$117,741","$706,653",,,,,,,,,,,,,,,"$1,016,441",,,,,,"$60,983",,,,,,,"$83,269",,,,,,,
4936450,,Graduation (2016),"$41,664","$3,167",,,,,,,,,,,"$14,691",,,,,,,,,,"$11,927","$855,448",,"$76,624",,,$574,,,,"$419,147",,,,,,,,,,"$51,930",,,"$18,173",,,,,,,,"$5,196",,"$155,654",,,,,"$4,851",,"$24,094","$99,055",,,,,,,"$14,624",,,"$42,208",,,
4900716,,Kapoor & Sons (2016),,"$198,623","$2,675",,,,,,,,,,,,,,,,,,,,,,"$22,430",,,,,"$12,456,265",,,,,,,,,,,,,,"$95,006",,"$12,314","$104,519",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,367,226","$546,533",,,
4126438,,The Ones Below (2015),,,,,,,,,,,,,,,,,,,,,,,"$8,174","$66,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,276","$29,799",,,
3949660,,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),"$1,992,608","$4,785,792","$446,840",,"$725,248",,"$5,573,345","$203,679",,,"$681,173","$58,933,101","$2,159,550",,"$224,367","$259,459",,,,,,,"$231,678","$5,599,359","$2,812,245",,"$676,125","$168,337","$77,796","$976,921",,"$733,350","$2,128,773","$4,144,751",,,,,,"$26,182","$3,241,524","$9,358,823","$579,004","$772,224",,"$258,168",,,,,"$2,030,922",,"$206,970","$320,109",,"$238,469","$9,600,759",,"$1,711,423","$104,875","$33,080","$633,611","$1,607,665","$1,785,915","$387,010","$212,952",,,"$2,227,907","$1,396,290","$1,099,213","$760,183","$1,958,975","$8,719,985",,"$7,306,069",
1878841,,The Darkness (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$144,719",,,
3779028,,Inside Men (2015),,"$55,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,066",,,,,,,,,,,,,,,,,,,"$61,580,590",,,,,,,,,,,,,,
4843012,,No Filter (2016),$174,,,,,,,,,,"$4,402,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960412,,Popstar: Never Stop Never Stopping (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,904",,,
