imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1925431,,Fire with Fire (2012),,,,,,,"$478,596",,,,,"$36,691",,,,,,,,,,,,,,,"$15,266",,,,,,,,,,,,"$115,217","$690,085",,,,,,,"$46,746",,,,,,,,,,,,,,,,,,,,,,,,,
1588173,,Warm Bodies (2013),"$445,262","$3,347,644","$264,311",,"$936,911","$100,787","$2,505,758",,,"$332,491",,"$372,614","$56,228",,,"$150,029",,"$3,149",,"$135,623",,"$331,738","$2,362,003","$2,013,184",,,"$1,848,070","$46,583","$35,593",,,,"$2,316,873",,,,"$94,625",,"$937,688","$1,274,888","$231,535","$447,519",,"$294,081",,,"$979,448","$975,046","$195,851","$255,136",,,"$5,902,565","$11,680","$1,309,471",,,"$216,305","$7,444,453","$1,389,607","$366,514",,,"$1,730,241",,"$332,878","$284,785","$356,928","$4,250,343","$82,856","$140,188",
1901040,,Wrong (2012),,,,,"$4,473",,"$9,292",,,,,,"$1,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,288",,,,,,,,,,,,,,,,,,,,,,,
2125698,,Young & Wild (2012),,,,,,,"$1,678",,,"$188,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,123",
1836987,,Trishna (2011),,"$185,333",,,"$46,423",,,,,,,,,,,,,,,,,,"$82,962",,,,,,,,,,,,,,,,,,"$15,105","$42,413",,,,,,,,,,,"$30,349",,,,,"$13,406",,,,,,,,,,,"$311,300",,,
1393746,,Aftershock (2010),,,,,,,,"$4,235",,,"$96,569,846",,,,,,"$62,962",,,,,,,,,,"$1,953,803",,,,,,,,,,,,"$99,384",,,"$76,345",,,,,,,,,,,,,"$598,718",,,,"$323,022",,,,"$413,373","$18,057",,,,,,,,"$177,763"
0411117,,The Ring Finger (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,973",,,,"$14,422",,,,,,,,,
1629376,,7 Khoon Maaf (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,559,178",,,,,,,,,"$12,764",,,"$3,686",,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,015",,,
0468683,,The Red Shoes (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,657,523",,,,"$43,035",,,,,,,,,
1540128,,Playing for Keeps (2012),"$74,813",,"$123,519",,"$203,048",,"$469,725",,,"$23,053",,,,,,,,,,,,"$73,484",,"$347,478",,"$39,924","$26,933","$134,274","$9,397",,,,"$6,015,377",,,,"$76,012",,,"$1,101,011","$306,637",,,,,,"$60,582",,"$87,227","$58,621",,,"$4,688,836",,"$1,714",,,"$398,699",,"$1,753,086",,,,"$33,706",,,"$418,084","$169,006","$1,162,000","$2,817",,
1124397,,Skate or Die (2008),,,,,"$24,962",,,,,,,,,,,,,,,,,,"$719,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,113,408",,,,,,,,,,"$8,479",,,,,"$30,114",,,,
1694020,,The Guilt Trip (2012),,"$1,616,810",,,,,,,,,,,,,,,,,,"$16,102",,,,"$214,754",,,,,,,,"$490,378",,,,,"$44,112",,,,,"$43,243",,,,,,,"$60,429",,,,,,,,,"$73,692",,,,,,,,,,"$131,127","$1,500,680",,,
0790724,,Jack Reacher (2012),"$492,993","$8,989,349","$727,227",,"$1,785,571","$42,404","$3,612,148","$481,963",,"$146,393","$15,090,000","$390,246","$109,130",,"$271,678","$753,389",,"$65,129","$215,728","$214,179",,"$656,701","$11,897,672","$5,511,119",,,"$1,162,042","$231,911","$88,499","$913,119","$2,393,101","$665,291","$4,384,056","$11,045,351",,,"$300,534",,"$1,759,801","$4,633,456","$2,074,762","$1,408,842","$48,120","$1,320,194",,,"$389,459","$683,860","$210,980","$1,145,536",,,"$4,629,810","$53,302","$1,383,532","$103,555","$91,405","$1,180,903","$5,039,774","$3,205,890","$1,908,506",,,"$839,796",,"$1,391,471","$687,121","$2,247,868","$15,230,207","$47,662","$1,350,982",
