imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
2414046,,The Amazing Catfish (2013),"$3,528",,"$11,465",,"$29,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$214,928",,,,,,,,,,,,,,,,,,"$38,012",,,,,,,,,,,,
3328716,,Paper Planes (2014),,"$7,360,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$236,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672214,,Bunny Drop (2011),,,,,,,,,,,,,,,,,,,,,,,"$62,546",,,,,"$6,569,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3626442,,Bjork: Biophilia Live (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,087",,
3045616,,Mortdecai (2015),,"$782,321","$460,008",,"$371,144","$12,851","$112,218","$159,299","$25,156","$3,530,000",,"$74,352","$199,622",,"$7,696,134","$25,162","$36,531","$114,910","$306,553","$1,477,859","$2,554,625","$209,987","$554,401","$259,343","$21,391",,"$1,672,838","$6,217,852","$22,234","$101,035","$84,224","$56,800","$199,378","$1,382,788","$106,780","$184,425",,"$40,464",,,"$405,481","$369,480",,"$425,489",,"$43,078","$373,360","$115,743","$6,525","$107,819","$475,361","$1,361,953",,,,,"$533,247","$426,820","$325,933",,"$435,861","$727,292","$24,828","$185,159"
2322441,,Fifty Shades of Grey (2015),"$3,222,236","$18,229,895","$5,397,769",,"$5,792,486","$481,608","$31,374,704","$837,393","$3,481,152",,"$4,281,356","$694,309","$2,983,151","$5,230,566",,"$1,609,451",,"$508,293","$1,772,426","$28,691,668","$41,430,653","$2,521,700","$1,590,469","$1,672,429","$2,792","$2,601,215","$20,498,944","$3,622,898",,"$477,562","$586,535","$664,105",,"$14,148,888","$6,907,429","$2,538,510","$2,083,791",,"$1,772,020","$3,565,511","$9,473,951","$3,176,173",,"$1,365,168","$17,659,358","$470,851","$1,837,395","$1,322,726","$845,583","$3,056,586","$2,483,760","$38,323,430","$4,885,001",,"$1,944,086","$4,311,891","$3,930,191","$1,205,094","$3,946,274","$2,413,538",,"$51,603,774","$572,450","$7,944,249"
0402378,,Mr. Average (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136752,,The Last Diamond (2014),,,,,"$50,888",,,,,,,,,,,,,,,"$1,024,562",,,,,,,,,,,,,,"$16,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,487",,
1403241,,Wolves (2014),,,,,"$2,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,544",,"$94,953",,,,,,,,,,,,,,,,"$197,320",,,,,,,"$70,749",,,"$34,078",,,
2923316,,American Heist (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,980",,,,,,,"$16,310",,,,,"$2,341,218",,"$22,259",,,,,,,,,,,,,,,,,
