imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2950418,,Greater (2016),,,,,,,,,,,,,,,,,,"$2,000,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753383,,A Dog's Purpose (2017),"$1,112,812","$3,577,022","$262,365",,"$177,566","$326,704","$2,166,627","$96,804",,"$1,304,318","$88,226,996","$1,000,590",,"$80,590","$8,457","$707,428",,,,"$938,834","$11,678","$92,371",,"$599,584","$1,076,869","$66,754","$359,347","$719,085","$21,854",,,"$387,186","$1,618,181",,"$8,119,759",,,"$90,846","$56,194","$174,846","$306,625","$6,121,122",,"$356,561","$338,116",,,,"$652,720","$93,682","$2,425,772","$489,481","$2,647,461","$168,059",,,"$318,077","$1,917,076","$11,650","$495,444","$323,446","$33,100","$124,125","$700,809","$923,194",,"$491,523",,"$2,235,998","$149,199","$37,026",,"$460,843","$161,815","$4,125,142","$103,699","$651,224",
4777584,,One Week and a Day (2016),"$47,800",,,,,,,,,,,,,,,,,,,,,,,"$60,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,162",,
5074352,,Dangal (2016),,"$1,451,253",,,,,,,,,"$193,050,870",,,,,,,,,,,,,,,,"$3,350,290",,,"$77,319,500",,,,,,,,,,,,,,,"$461,846","$97,152",,,,,,,,,,,,,,,,,,"$826,567",,,,,"$5,441,690",,,"$428,201",,"$6,085,633","$2,818,873",,,
3271700,,Blood and Ties (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,509,001",,,,,,,,,,,,,,
0110476,,Master i Margarita (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,117,461",,,,,,,,,,,,,,,,,,,,
4511200,,Manifesto (2015),,,,,,,,"$8,784",,,,,,,,,,,,,,,,,,"$36,223",,,,,,,,,,,,,,"$4,695",,,,,,,,,,,,,,"$15,535",,,,"$147,664",,,,,,,,,,,,,,"$42,387",,,,,,
5070130,,Rara (2016),"$10,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847713,,The Guillotines (2012),,,,,,,,,,,"$11,090,000",,,,,,,,,,,,,,,,"$345,894",,,,,,,,,,,,,,"$221,282",,,,"$5,080",,,,,,,,,,,,,,,"$434,635",,,,,,,,,,"$115,259",,,,,,,,
2126235,,Collide (2016),,,,,,"$18,002",,"$49,912",,,"$2,221,106","$168,360",,,,,,,,,,,,,"$228,117","$20,357",,"$50,976",$920,,,,"$336,448",,"$268,569",,,,,"$18,364",,"$113,229",,,,,,,,"$6,875",,,,"$99,027",,,"$141,254","$95,944",,,,"$2,890","$163,376","$161,197","$34,623",,,,,,,"$45,378",,"$292,607",,,,
4572514,,Patriots Day (2016),"$157,687","$2,318,564","$87,181",,"$206,533",,"$380,322","$15,518",,"$45,104","$3,172,378","$246,520",,"$25,427",,,"$59,954",,"$15,650","$95,380","$16,543","$16,558","$50,143","$345,307","$618,271","$50,631","$592,634",,"$39,894","$40,539",,"$299,371","$657,069",,"$1,501,956",,,"$8,664","$121,906","$22,448","$156,984","$978,784",,"$569,158","$118,697","$89,000",,"$2,822","$67,907","$6,001","$319,472","$310,377",,"$116,520",,,,,"$5,299","$268,215",,"$6,726","$175,001","$503,291","$299,089","$194,010","$167,960",,"$1,009,377","$255,652",,"$37,490",,"$922,743","$2,270,388","$19,859","$141,934","$78,482"
1800302,,Gold (2016),,"$608,448",,,,,,,,,,,,,,,,,,,,,,,,,,"$204,248",,,,,"$1,030,941",,,,,,,,,,,"$266,472","$83,065",,,,,,,,,"$124,712",,,,"$730,981",,,"$22,086",,,"$170,586",,,,,,,,,"$110,363",,"$507,302",,,
4283358,,Seasons (2015),,,"$4,495",,"$85,096",,,,,,"$722,684","$1,775",,,,"$82,165",,"$150,092",,,,"$5,089",,"$6,322,099","$81,283",,,"$62,942",,,,,,,"$3,543,547",,,,,"$16,966",,,,,,,,,,,,,"$55,901",,,,,,,,"$24,667",,,,"$44,770",,,"$223,304",,,,,,,,,,
2261287,,Leap! (2016),"$298,797","$6,838,366",,,"$182,366","$71,207","$1,855,108","$145,015",,,"$5,770,423","$342,377",,"$106,096",,"$276,737",,"$24,702,560",,,,"$30,066","$71,791","$14,498,422",,"$747,693","$336,139","$321,496","$75,329",,,"$1,617,269","$4,547,032",,"$1,506,409",,,,,"$310,507","$41,818","$1,843,179",,"$805,446","$483,482","$428,842",,,"$18,492",,,,"$1,992,960","$626,684",,,"$452,273","$4,362,364",,"$48,206","$410,016","$103,017","$545,996","$1,357,320","$7,664,290",,"$119,626",,"$47,357",,,"$454,145","$555,617","$354,267","$4,761,334","$54,898",,
3401882,,Fist Fight (2017),,"$1,400,000",,,,,,"$97,223",,,,,,,,,,,,,,,,,"$105,000",,,"$341,800","$51,858",,,,,,,,,,,"$27,632",,,,"$714,000","$80,255","$171,900",,,,,,,,,,,"$430,865",,,,,"$68,873","$230,053",,,,,,,,,,"$266,733","$1,416,688","$1,000,000",,,
3095734,,Monster Trucks (2016),"$624,287","$3,974,487","$244,941",,,,"$1,455,997",,,"$220,327",,"$918,333",,,,,,,,,,,,"$836,311","$1,562,575",,"$65,946",,"$43,179",,"$775,577",,"$35,031",,,,,,,,"$1,017,720","$3,428,117",,,"$305,099",,,,"$282,906",,"$843,380","$335,104","$608,185",,,,,"$4,282,386",,"$196,760",,,"$410,969",,"$963,371",,"$168,104",,"$360,704","$130,875",,,"$275,375","$397,366","$4,418,549",,"$283,956",
2072233,,Sleepless (2017),,"$5,277","$165,557",,"$166,242",,,,,,,,,,,,,,,,"$35,227",,,"$1,622,534","$1,171,661",,,,,,,"$419,948","$812,983",,"$156,062",,,,"$96,276",,"$54,183",,,"$1,246,640",,,,,,,,"$75,145",,"$425,870",,,"$172,077",,,"$73,685",,,"$248,173","$127,820","$601,639","$28,408","$281,947",,"$326,419","$42,817","$190,192",,,"$778,883","$1,108,880",,,"$124,455"
4731136,,A Cure for Wellness (2016),"$200,171","$453,720","$306,285",,"$251,018","$17,042","$467,877",,,"$189,707",,"$196,308",,"$50,384",,"$72,786","$107,134",,"$14,677","$133,758",,"$30,275","$158,650","$1,660,349","$2,383,628","$139,458","$474,362","$192,375",,,,,"$663,766","$1,326",,,,,"$11,995","$54,260",,"$1,084,481",,"$372,302","$60,279","$96,451",,,,"$11,707","$147,246","$88,140","$292,335",,,,"$96,391","$3,662,639",,"$118,497","$65,178",,"$23,479","$1,148,911","$210,828","$401,162","$318,158",,"$530,860","$174,973","$13,283","$66,413","$158,171",,"$934,679","$10,420","$42,580",
2468638,,Beyond the Edge (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$734,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4057376,,I Am Dragon (2015),,,,,,,,,,,"$8,814,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,638,290",,,,,,,,,,,,,,,,,,,,
