imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
0829176,,Gallowwalkers (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,670",,,,,,,,,,,,,,,,,,,,,,,,,,
0067541,,Wake in Fright (1971),,,"$167,770",,,,,,,,,,,,,,"$50,394",,,,,,,,,,,,,,,,,,,,,,,,,,$65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870529,,Won't Back Down (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,418",,,,,,,,,,,,"$7,542",,,,,,"$6,028",,,"$28,772",,,,,,,"$2,937",,,,"$14,814","$1,163",,
1713476,,The Bay (2012),,,,,,"$17,240","$35,944",,,,,,,,,,,,"$41,636","$30,033",,,"$352,431",,,,,,,,,,"$345,156",,,,,,,,"$306,014","$36,789",,,,,"$184,410",,,,,,,,,,,,,,,,,,,"$78,956",,,,"$121,113",$862,,
1556243,,The Hypnotist (2012),,,,"$34,030",,"$51,949",,,,,,"$62,467","$3,423",,"$40,845","$916,246",,,"$13,167",,,"$272,220","$114,772","$323,977",,"$26,820",,,,,,,"$302,865",,,,,,,,,,,,"$406,749",,,,"$125,585",,,,,,"$2,960",,,"$3,523",,,"$646,803","$3,803,292",,,,,,"$30,042",,,,,
2172071,,Student of the Year (2012),,,"$67,722",,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,776,712",,,,,,,,,,"$29,105",,,"$52,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$518,015",,
1226240,,A Late Quartet (2012),,,"$729,448",,,"$85,578",,"$69,280","$2,301",,,,,,,,,,,,,"$117,602","$70,364","$450,166",,,"$29,195",,,,,,"$78,581",,,,,,,,,"$367,653","$250,404",,,,,,,"$15,984",,,,,,,,,,"$341,162","$1,369,676",,,,,,,"$5,691",,,"$758,076",,
0970472,,Vexille (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,969",$743,,,,,,,"$1,075,168",,,,,,,,,,,,,,,,,,,"$8,978",,"$32,712",,,,"$34,145",,,,,,,,,,,"$6,377",,
1683921,,Sleepless Night (2011),,,,,,"$21,985",,,,,,,,,,,,,,,,,"$298,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$290,007",,,,,,,,,,,,,,"$11,180",,,,,
1802197,,The Lady (2011),"$29,404",,"$238,109","$40,880",,"$194,496","$5,800","$92,260",,"$56,170",,"$121,995","$2,301",,,"$144,073",,,"$5,209",,,,"$3,404,191","$224,468",,,"$587,525",,,,,,"$458,943",,,,,"$7,593",,"$120,669","$394,611",,,,"$113,080",,"$27,440",,"$16,957","$17,304",,,,"$8,233",,"$366,524",,,"$15,966",,,,,,,"$170,479",,,,"$70,954","$451,066","$17,518","$72,533"
1656186,,Stolen (2012),"$256,312",,,,,"$92,701","$2,645","$1,154,140","$58,655","$39,170","$6,900,000",,"$25,809",,,,,,,,,,"$895,000",,,"$48,921",,,,,,,,,,,,"$174,169",,"$802,486","$751,849","$155,482",,,,,"$117,420","$41,645",,,,,,"$2,491,001","$8,461","$50,028",,,,,"$720,216",,,,,"$498,695",,"$187,114","$240,030","$670,752","$490,395","$57,995","$180,009"
1602620,,Amour (2012),"$251,709",,"$1,004,085","$1,018,428",,"$668,430","$13,843","$1,320,218","$10,032","$175,839",,"$160,725","$12,338",,,"$757,992","$6,739,492",,,,,"$317,758","$4,255,623","$2,201,889",,"$381,947","$136,688",,"$21,340",,,,"$1,569,547",,,,,"$12,965",,,"$665,662","$2,232,194","$253,082",,"$1,077,294",,"$42,792",,"$249,908","$231,303",,,,"$86,631","$33,945","$29,416",,"$28,314",,,"$1,855,252","$276,304",,,,"$25,180",,"$147,746",,"$8,363","$1,323,206","$54,700","$11,960"
