imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3169770,,Retribution (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$190,627",,,,,,,,,,,,,,,,,,,,,,,,,"$13,068",,,,,,,
0496386,,The Secret of the Magic Gourd (2007),,,,,,,,,,,"$2,725,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0424359,,A Poem Is a Naked Person (1974),,,,,,,,,,,,,,,,"$96,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$183,,,
4080728,,A Man Called Ove (2015),"$22,207","$378,378","$115,741",,,,,"$1,193",,,,"$63,130",,,,"$3,479,315",,,,,"$464,636",,"$2,383,722",,,,,"$80,834",,,,,,,,,"$3,027",,"$77,598","$518,971","$134,722",,"$1,604,790",,,,,"$10,899",,,"$82,347",,,"$10,241",,,"$648,662","$192,261","$20,224,613",,,"$177,224",,,,,"$7,318","$44,795",,,
4466936,,Blind Date (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$89,795",,,,,,,,,,,,,,,,,,"$57,378",,,,,,,,,,,,,,
5251348,,Chico: Artista Brasileiro (2015),,,,,,,"$495,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,244",,,,,,,,,,,,,,,,,,,,,$558,,
5278868,,The Lovers & the Despot (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,996",,,,,,,,,,,"$12,014",,,
4144190,,Wiener-Dog (2016),,,,,,,,,,,,,,,,,,,,,,"$112,290",,,,,,,,,,,,,,,"$3,034",,,,,,,,,,,"$9,634",,,"$20,623",,,,,,,,,,,,,,,,,"$111,695",,,
1594972,,Norm of the North (2016),"$64,294",,,,,,"$193,669","$78,927",,"$47,197",,,"$125,685","$306,377",,,"$106,072",,,,,"$3,388,500",,,"$98,804",,"$136,161","$35,225",,,,"$1,426,587",,,,"$90,304","$123,154","$99,079","$1,263,254",,,,,"$14,186","$136,319",,"$1,189,659","$213,513",,"$206,994","$765,197","$48,938","$73,682","$224,110","$61,399","$214,187","$1,059,878","$496,255",,,,,,,"$610,348","$27,506","$263,023","$468,854","$14,666",,
2869728,,Ride Along 2 (2016),,"$2,218,932","$342,545","$818,373","$267,395","$77,370",,"$249,572",,"$14,799",,,"$57,905","$17,723",,"$91,221,830","$183,787",,,,,"$181,537","$3,772,997",,,,"$208,156","$72,710",,,"$1,063,867","$139,576",,"$42,164",,"$423,232",,"$440,034",,"$865,786","$217,146",,"$393,816","$173,402","$259,696",,,"$209,889",,"$821,479","$646,910","$37,230","$81,110","$36,197","$92,668","$1,040,371",,"$1,140,198","$483,063",,,"$518,863",,"$40,140",,"$132,475","$2,871,372","$7,998,710",,,"$246,096"
