imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0289229,,Hukkle (2002),,,,"$10,624",,,,,,,,,,,,,,,,,,,,,,,,,"$58,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,777",,,,,,,,
0290661,,Dog Days (2001),,,,"$395,591",,,,,,,,,,,,,,,,,,"$13,031",,,,,,,"$44,018","$83,464",,,$58,,,,,,,,,,,,,,,,,,,,,,"$8,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291032,,Balzac and the Little Chinese Seamstress (2002),"$34,406",,"$156,839","$125,436",,,,,,,,,,,,,,,,,,"$666,327",,,,,,,"$662,714","$1,196,572",,,,,,,,,,,,,,,,,,,,,,,"$54,587",,"$17,901",,,,,,,,,,,,,,,,,,"$204,954",,,"$12,946",,,,,,,,
0293715,,My Sassy Girl (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,297",,,,"$310,415",,,,,,,,
0295682,,The Warrior (2001),,,,,,,,,,,,,,,,,,,,,,"$50,257",,,,,,,"$23,798",,,,,,,,,,,,,,,,,,,,,,,,,,"$40,304",,,,,,,,,,,,,,,,,,"$29,612",,,,,,,,"$216,464",,,
0298504,,Undertaking Betty (2002),"$26,982",,"$356,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,991",,,,"$305,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304678,,Sex Is Comedy (2002),,,,,,,,,,,,,,,,,,,,,,"$40,470",,,,,,,"$319,940",,,,,,,,,"$51,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306432,,My Mother Likes Women (2002),,,,,,,,,,"$2,517",,,,,,,,,,,,"$82,916",,,,,,,"$37,840",,,,,,,,,"$718,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,605,665",,,,,,,,,,,
0310775,,Sympathy for Mr. Vengeance (2002),,,,,,,,,,,,,,,,,,,,,,"$45,289",,,,,,,"$46,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,213",,,,,,,"$1,818,524",,,,,,,,,"$22,620",,,
0314063,,Immortal (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,251,029","$91,312","$21,760","$170,713","$14,334",,,,,"$201,179",,,,,,,,,,,,,,,,,,,,,"$30,678",,,,,,"$391,447",,,,,,,,,,,,,,,,,,,
