Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
Quarantine (2008),"$475,528","$93,992","$238,976",,"$1,241,997","$567,921",,,"$166,202",,"$105,930","$81,699","$56,044",,"$1,542,213",,,"$63,140",,"$218,497","$35,027",,,,"$48,224",,,"$34,019",,"$30,702","$25,394","$10,654","$19,318",,"$31,297",,"$234,663","$305,137","$182,167","$393,526","$376,330","$335,855","$324,072","$139,687","$188,281","$26,212",,"$56,860",,"$236,286","$50,162","$53,566","$37,018","$9,801",$251,"$1,120","$7,527","$16,000","$18,000","$18,000","$10,876","$353,406","$157,587",,,"$770,741",,,,,,"$24,477","$31,321",,,,,"$142,024",,,,,,,,,,,,,
Pride and Glory (2008),"$1,345,250","$201,911","$349,597","$207,803","$3,501,092",,"$242,024","$20,914","$56,335","$124,389","$232,638","$14,530","$119,373","$77,038","$1,787,773",,"$1,206,940","$1,937,573","$456,894","$109,649","$241,362",,"$171,148","$35,681","$222,077",,"$61,289","$37,345","$23,833","$7,748","$12,657","$19,841",,,"$12,160",,"$142,846","$86,977","$90,123","$470,093","$133,700","$162,496","$143,760","$26,367","$36,564","$11,846","$49,489",,,,,,,,,,,"$137,511",,,,"$58,745",,"$263,141",,"$215,205",,"$78,235",,,,"$29,011","$23,014",,,,,,,"$7,209",,"$456,640",,,,,,,,,
RocknRolla (2008),"$234,268","$168,623","$301,572",,"$1,384,002",,"$512,850","$193,632","$138,302","$99,538","$72,163","$67,604","$53,772","$465,100","$8,915,788",,"$606,793","$386,404","$408,375",,"$194,228",,"$87,325","$66,471","$50,552","$16,628","$93,085","$55,691","$14,086","$62,430","$66,509",,,,"$46,289","$1,607,154",,"$9,332",,"$247,275","$92,024","$102,308","$20,909","$39,765","$45,151","$5,246","$8,574","$2,017",,,,,,,,,,"$49,472",,,,"$99,514","$259,517","$153,046",,"$2,358,271",,,,,,"$25,808","$64,405",,,"$79,209",,,,"$9,160",,,,,,,,,,,
High School Musical 3: Senior Year (2008),"$4,396,904","$640,432","$17,865,900","$612,341","$12,680,857","$960,529","$2,735,772","$2,536,890","$2,655,450","$2,651,366","$2,848,130","$92,436","$94,761","$1,074,533","$33,900,140",,"$15,763,462","$12,738,501","$899,400","$3,178,250","$699,477",,"$2,578,842","$856,357","$1,431,561","$2,047,935","$51,983","$133,295","$293,325","$49,360","$66,398","$41,144","$41,477","$65,940","$71,509","$733,886","$577,490","$1,435,234","$153,135","$5,578,999","$1,314,788","$1,448,347","$724,953","$1,005,424","$727,413","$52,754","$888,030","$123,188",,"$149,178",,"$136,107",,,,$305,,"$849,388",,,,"$1,554,970","$1,273,499","$579,329",,"$7,711,751",,,,,"$627,914","$285,994","$126,319",,,"$5,455,000","$1,423,450","$475,084",,"$183,113",,,,,,,,,,,
Madagascar: Escape 2 Africa (2008),"$16,865,859","$1,908,261","$45,757,904","$2,238,477","$19,610,109","$2,589,522","$8,604,006","$3,448,528","$3,830,482","$6,768,522","$6,565,460","$748,906","$449,696","$2,072,085","$35,471,617",,"$42,257,796","$34,915,869","$3,332,259","$11,636,020","$4,417,830","$2,909,047","$3,645,692","$2,524,521","$2,092,673","$11,010,683","$271,994","$528,610","$222,975","$255,037","$367,538","$214,338","$13,566","$98,636","$160,769","$40,776,157","$1,529,524","$1,547,897","$697,370","$16,949,456","$5,066,136","$5,452,823","$2,050,363","$2,522,010","$2,024,236","$264,231","$1,159,126","$279,580","$5,278,943",,,"$202,391",,,,,,,,,,"$2,755,573","$2,027,647","$2,582,508","$2,148,354","$15,093,421","$5,427,400",,"$933,125","$4,218,787","$3,550,816","$1,072,395","$772,438","$280,486","$2,797,643","$10,068,376","$2,408,643","$1,558,368","$157,224","$681,716",,,,,,,,,,,
Blindness (2008),"$1,186,307","$13,866","$362,474","$99,766","$828,898",,"$119,455",,"$5,054","$36,451","$182,351",,"$8,274","$12,156","$148,900",,"$378,794",,"$154,481",,"$1,011,160",,,"$32,359","$18,546","$156,483",,,"$8,729",,,,,,,"$24,654","$54,069",,,"$4,051,714","$190,174","$166,809","$129,590","$121,508","$95,292","$41,809","$100,825","$20,308",,,,,,,,,,"$123,967","$3,655","$9,479",,"$96,261",,"$86,248",,"$61,326","$3,312,141","$64,863",,,,,"$4,273",,,"$2,942,217","$27,542",,,,,,,,,,,,,,
Changeling (2008),"$1,893,315","$278,077","$2,257,195","$502,294","$11,683,293","$79,099","$712,343","$267,740","$1,893,982","$555,885","$969,755","$73,335","$113,823","$100,058","$7,565,982",,"$10,066,896","$6,693,283","$1,574,374","$325,050","$1,092,983","$298,512","$736,400","$274,190","$210,663","$1,460,706","$89,158","$102,477","$124,680","$14,238","$42,736","$37,508",,"$17,297","$31,495","$881,586","$530,379","$20,784",,"$1,106,760","$890,990","$348,994","$134,026","$134,105","$260,517","$122,030","$59,124","$5,895",,,,"$48,273",,,,,,,,"$17,727",,"$276,113","$171,641","$1,235,095","$182,194","$2,553,632","$2,562,470",,"$224,757",,"$231,128","$41,684","$83,931","$27,883","$191,945","$12,946,062","$132,842",,,"$97,046",,,,,,,,,,,
The Road (2009),"$382,749","$74,722","$314,013",,"$4,007,014",,"$86,803","$311,700","$605,425",,"$367,861",,"$28,742",,"$3,641,286",,"$3,531,349","$1,630,241",,,"$283,446",,"$186,579","$193,418","$37,796","$301,463",,,"$9,454",,,"$4,537",,,"$24,870","$10,585","$34,859","$64,708","$37,041","$312,953","$327,895",,"$40,356",,"$184,317","$16,198","$26,976","$4,274",,,,,,,,,,,,,,,"$147,089",,,"$1,135,520","$1,080,406",,,,"$75,934",,,,,,,,,,,,,,,,,,,,
Slumdog Millionaire (2008),"$6,390,432","$1,319,117","$19,188,873","$2,007,800","$14,887,637","$185,536","$5,268,767","$2,994,368","$1,823,565","$2,581,420","$3,794,750","$286,818","$203,030","$604,941","$52,213,042","$141,319,928","$21,595,065","$9,341,549","$3,875,184","$1,934,277","$2,537,022",,"$2,263,651","$2,170,664","$1,245,660","$4,809,452","$218,325","$800,872","$162,411","$129,599","$232,768","$65,339","$17,387","$47,052","$272,317","$3,462,843","$1,068,100","$143,440","$92,868","$6,215,957","$1,523,147","$1,748,182","$700,624","$1,650,380","$764,404","$285,996","$204,060","$111,240","$2,280,068","$177,721","$72,180",,"$139,769","$94,239",,"$5,268",,"$96,509","$33,917","$17,886",,"$1,286,393","$3,090,135","$1,915,760",,"$14,539,784","$6,193,387","$359,435",,,"$932,048","$147,879","$320,740",,,"$11,259,272","$3,129,612",,,"$7,380,960",,,,,"$177,721",,,,,,
Quantum of Solace (2008),"$6,049,122","$2,060,077","$40,804,735","$1,738,528","$12,029,112","$3,294,649","$8,891,362","$6,699,109","$7,405,861","$4,753,165","$4,745,885","$283,981","$546,787","$1,007,137","$80,805,643","$168,368,427","$30,829,209","$9,174,615","$4,033,157","$4,999,618","$2,334,870","$2,026,217","$8,990,483","$5,272,619","$1,957,830","$10,702,249","$363,630","$472,250","$377,512","$357,298","$389,579","$170,725","$283,462","$240,746","$415,259","$18,045,468","$3,685,154","$2,175,414","$3,044,260","$7,483,199","$1,280,370","$1,155,619","$539,450","$1,176,309","$949,223","$92,992","$494,860","$177,838","$20,623,947","$518,516","$219,438","$328,809","$197,567","$85,745","$14,388","$30,819","$50,592","$1,074,896","$197,969","$268,079","$56,115","$2,477,339","$3,015,992","$1,380,991",,"$20,145,097","$11,562,123",,,,"$1,419,955","$338,578","$496,139",,,"$21,685,734","$2,550,839","$2,518,434","$451,191","$9,127,201","$209,190","$4,190,172",,"$186,734",,"$8,522,377","$2,004,213","$175,659","$280,580",,
