Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
The Unborn (2009),"$5,249,945","$512,033","$1,665,286","$84,695","$3,459,431","$198,088","$366,974","$72,694","$47,314","$190,203","$288,914","$91,195","$60,630","$64,180","$5,574,004",,"$1,020,734","$2,470,810","$406,785","$323,465","$188,503","$236,571","$148,495","$119,765","$71,395","$246,805","$43,575","$33,909","$51,520","$15,982","$24,670",,,,"$18,277","$1,539,220","$115,233","$308,171",,"$873,034","$776,427","$1,620,599","$503,820","$476,433","$344,528","$7,351","$209,544","$9,892",,,,"$110,822",,,,,,"$89,568",,,,"$331,570","$80,893","$96,138",,"$1,399,052","$1,059,905",,"$184,703",,"$87,487",,"$67,116",,,,,,,,,,,,,,,,,,
The Uninvited (2009),"$2,612,910","$186,567","$1,253,346","$408,270","$1,597,235","$276,684","$198,929","$37,911",,,"$164,844","$22,666",,,"$1,487,818",,"$19,068","$73,717",,"$166,915","$109,319",,"$75,208",,"$47,887",,,,"$34,031",,"$13,005",,,,,"$1,130,822",,,,,,"$500,110","$210,553","$241,997","$150,478",,"$112,174","$38,553",,,,"$81,705",,,,,,"$69,393",,,,"$257,631","$98,064",,,"$1,023,158","$235,646",,,,,,,,,,,,"$99,952",,,,,,,,,,,,
Outlander (2008),"$700,694","$262,436",,"$143,156","$2,685,324","$265,755",,"$20,229",,,,"$12,475",,,"$52,237",,,"$1,662,491",,,"$50,669",,"$9,032",,,,,"$42,569","$24,546",,"$38,417",,,,,,"$69,160",,"$294,984",,,,,,,,,,,"$280,325",,"$47,811",,,,,,,,,,"$160,105",,,,,,,,,,,,,,,"$46,280",,,,,,,,,,,,,,
The Grudge 3 (2009),"$1,155,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$252,314",,,,,"$182,970",,,,"$37,973","$25,034",,,,,,,,,,,,,,,,,,,"$1,162",,,,,,,,,,,,,,,,,,,,,,,,
Eden Lake (2008),"$191,077","$145,776",,"$190,173",,"$207,859","$77,707",,,,"$87,980",,,,"$870,103","$7,321","$739,369",,,,"$26,984",,"$85,967",,,,,,,,,,,,,"$668,662","$14,136",,,,"$65,011","$232,033","$121,056","$99,461","$99,461",,,$672,,,,,,,,,,,,,,"$53,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coraline (2009),"$4,649,053","$171,880","$1,725,615","$309,735","$4,038,107",,"$344,879","$252,490",,"$365,019","$501,453","$51,771","$79,498","$75,925","$12,224,289","$82,435,595","$3,037,196","$4,957,811","$142,150","$522,039","$634,553","$203,758","$264,767","$201,495","$206,091",,"$41,839","$58,280","$52,747","$40,402","$32,575","$39,426","$1,632",,"$27,221","$1,723,252",,,,"$1,232,769","$141,818","$545,266","$245,332","$410,074","$332,484","$17,045","$261,989","$14,982",,,,"$17,051",,,,,,"$52,085",,,,"$242,744","$320,519","$341,195",,"$3,553,861","$1,149,300",,,,"$76,105",,"$60,658",,"$246,145","$2,401,658","$701,587",,,,,,,,,,,,,,
Push (2009),"$837,940","$419,769",,"$176,413","$2,879,434","$166,716",,,,,"$144,030","$6,179","$103,687",,"$3,879",,"$547,088","$1,902,080","$244,820","$59,991","$41,271",,,,,,"$63,822","$24,134","$28,568","$13,825","$21,273",,,,"$9,681","$647,168","$272,222","$426,270","$538,377","$171,028","$78,511","$325,103","$102,090","$13,827","$18,537","$4,665","$34,262","$6,516",,,,"$71,981",,,,,,"$29,324",,,,"$495,360",,,,"$765,880","$3,528,520",,,,,,,,,,,,,,,,,,,,,,,,
The International (2009),"$888,873","$421,084","$5,892,464","$4,519","$2,523,847","$254,454","$427,019","$335,674","$251,513","$444,151","$355,898","$32,367","$139,028",,"$4,458,452",,"$2,187,630","$1,375,443","$568,899","$258,624","$400,647","$130,343","$311,619","$70,880","$225,447","$611,161","$153,979","$56,601","$104,272","$24,028","$36,508","$29,725","$74,381","$62,421","$39,910","$865,252","$256,377","$292,474","$56,637","$625,835","$342,598","$573,995","$121,017","$194,895",,"$56,028","$71,153","$18,607",,"$181,612","$51,202","$42,721","$56,095","$28,957","$11,478","$12,463","$21,489",,,,"$25,028","$311,978","$228,394","$10,144",,"$1,955,162","$1,152,151",,,,,,"$39,243",,,"$2,283,016",,"$170,726",,"$235,154","$46,496","$548,403",,"$56,424",,"$609,757","$98,494",,,,
Two Lovers (2008),"$183,649","$34,347",,,"$1,768,721",,"$12,007",,,,"$485,054","$6,812","$49,645","$23,168","$384,653",,"$6,571,300","$1,339,026","$319,771",,"$226,610",,,,"$46,040","$36,893",,"$22,774","$30,813","$9,532","$28,906","$14,621",,,,"$59,562","$76,510",,,"$667,097","$394,416",,"$78,914","$55,980","$54,356","$15,817",,"$10,091",,,,,,,,,,,,,,,,,,"$70,572",,,,,"$59,657",,"$17,295",,,,,,,,,,,,,,,,,,
He's Just Not That Into You (2009),"$1,950,152","$478,102","$5,939,305","$1,003,526","$6,788,630","$227,438","$1,747,003","$592,152","$873,877","$1,216,379","$1,183,482","$144,144","$188,268","$567,349","$13,932,596",,"$4,965,142","$3,508,807","$611,002","$491,555","$814,645","$290,724","$292,461","$393,100","$931,784","$916,209","$96,233","$187,385","$98,577","$78,202","$125,542","$57,636",,"$29,446","$102,923","$2,863,198","$1,282,755","$235,427",,"$3,693,638","$1,065,060","$513,899","$335,286","$195,479","$279,930","$75,006","$67,617","$16,740",,,,,,,,,,"$291,478",,,,"$714,176","$981,462","$712,523",,"$10,401,965","$4,731,638","$231,674",,,"$182,972","$128,911","$132,728",,,"$3,191,585","$662,445",,,"$188,076",,,,,,"$913,061",,,,,
Hotel for Dogs (2009),"$3,484,506","$386,047","$3,463,761","$366,761","$2,369,928","$118,355","$1,186,296","$411,331","$545,808","$950,043","$1,302,755","$51,159","$93,891","$257,327","$10,814,090",,"$1,984,878","$98,529","$226,450","$544,170","$719,415","$113,145","$331,954","$104,310","$333,902","$937,916","$45,103","$36,565","$38,920","$36,540","$22,118","$34,410","$5,189",,"$31,159","$1,025,583",,,,"$1,868,930","$633,029","$1,217,689","$694,624","$677,715","$269,095","$59,054","$223,665","$40,412",,,,"$31,036",,,,,,"$105,401",,,,"$315,763","$476,546","$328,382",,"$4,096,741",,,,,"$45,801",,"$70,220",,"$465,778",,"$125,923",,,,,,,,,,,,,,
Frontier(s) (2007),"$358,000",,,"$169,255",,,,,,,,,,,"$10,073","$97,182","$861,484","$628,995",,"$122,561",,,,,,,"$21,354",,,,,,,,,"$481,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,107",,,,,,,,,,,,,,,,,,,,
The 11th Hour (2007),"$34,544","$5,411","$27,840",,,,"$3,232",,,"$9,722",,,,$653,"$2,457",,,,,,,,"$25,568",,"$13,605",,,,,,,,,"$1,559",,,"$8,769","$9,043",,"$3,858","$14,124","$2,081","$5,053","$2,178","$2,521",$542,"$6,148",$778,,,,,,,,,,,,,,"$22,947","$35,692",,,"$32,823",,,,,,,,,,,"$6,136",,,$580,,,,,,,,,,,
Fireflies in the Garden (2008),"$181,546","$40,770","$601,575","$172,701","$394,889",,"$26,956",,,"$63,581","$31,079",,,,"$97,167","$70,600",,"$910,176","$30,733",,"$61,006",,,"$31,447","$17,330",,,,"$5,160",,,,,,,"$244,071","$3,477",,"$10,466","$245,532","$75,443",,"$53,300",,"$15,440","$12,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures (2008),"$159,238",,"$509,742","$35,689","$726,311","$24,836",,"$8,338","$133,333","$38,344","$65,851",,,,,"$1,498,210","$416,411","$868,327","$10,162",,,,,,,,,"$2,596",,,,,,,,"$50,052","$1,011,410",,"$30,324","$394,224","$20,037",,"$25,892","$113,923",,"$11,896",,,"$3,600,000",,,,,,,,,,,,,"$340,134","$197,585",,,"$400,968","$854,536",,,,,,,,,"$61,010,217","$1,678,365",,,,,,,,,,,,,,
Funny People (2009),"$516,752","$366,346","$899,365","$182,464","$980,798",,"$383,301","$284,504","$72,331","$57,430","$185,215",,"$223,375",,"$5,575,738",,"$256,372","$196,082","$259,742",,,,"$80,572",,,,"$32,303",,"$76,176",,,,,,"$41,729","$973,507",,,,,,"$123,884","$158,523",,,"$9,076","$66,640",,,,,"$43,948",,,,,,,,,,"$235,813","$432,902",,,"$5,927,006",,,,,,,"$41,552",,,,,,,,,,,,,,,,,,
Street Fighter: The Legend of Chun-Li (2009),"$92,203","$354,453",,,"$808,145","$738,895","$86,670",,,,,,,,,,,,,,"$91,009",,,,"$69,699",,,,"$6,264",,,,"$15,168","$3,320",,,,"$278,483","$330,565",,"$5,788","$40,802",,,"$6,720",,,,,,,,,,,"$4,456",,,,,,"$306,333",,,,,,"$228,867",,,,,,,,"$554,100",,,,,,,,,,,,,,,
Away We Go (2009),"$74,986",,"$464,916","$38,268","$143,291",,"$68,841","$18,646","$156,948","$51,301","$20,544",,,,"$407,006",,"$1,996,528","$1,332,912","$33,382",,"$120,849",,"$26,312","$102,548","$22,429",,,,,,,"$3,694",,,,,,,,,,,,"$10,936",,"$9,719",,,,,,,,,,,,,,,,"$15,277","$48,879",,,"$154,707","$53,050",,,,"$927,405",,,,,,"$24,135",,,,,,,,,,,,,,
The Code (2009),"$1,142,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$199,621",,"$40,763","$1,081,542",,,"$109,350",,,,,"$1,081,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Il Divo (2008),"$19,309",,"$264,251",,"$352,198",,"$111,707",,,"$26,806","$83,537",,,,"$586,571",,"$911,115","$8,517,653","$135,613",,,,,,,,,,,,,,,,,"$11,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris (2008),"$72,137",,"$2,257,810","$36,667","$317,716",,"$45,159",,"$68,201","$351,119","$432,421","$22,518","$8,907","$4,891","$211,948",,"$15,473,499","$695,130","$28,352",,"$126,067","$12,995","$65,218",,,"$318,888",,,,,,,,,,"$317,468","$40,709",,,"$157,490","$212,523",,,"$47,512","$90,990","$8,319",,,,,,,,,,,,,,,,,"$106,556",,,"$694,134","$42,066",,,,"$27,805","$23,109",,,,,,,,,,,,,,,,,,,
Adrift in Manhattan (2007),"$88,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday the 13th (2009),"$780,380","$392,837","$1,790,037","$443,879","$1,830,235","$243,241","$595,703","$279,961","$441,966","$399,969","$413,600","$106,160","$42,269",,"$3,246,099",,"$977,156","$1,613,528","$272,161","$227,315","$395,530","$138,169","$417,388","$71,741","$78,023","$314,414","$25,871","$82,357","$27,597","$44,633","$36,610",,,,"$34,229","$3,090,220","$306,654","$174,070",,"$992,115","$391,821","$846,608","$345,532","$261,820","$270,539",,"$162,369","$10,876",,,,"$56,495",,,,,,"$73,679",,,,"$356,312","$111,005","$80,709","$50,229","$791,527","$1,089,479",,,,"$95,985",,,,"$247,008","$836,450","$102,575",,,,,,,,,,,,,,
The Pink Panther 2 (2009),"$2,178,265","$846,694","$1,555,027","$329,221","$3,806,443","$676,508","$369,094","$221,957","$212,375","$448,932","$454,561","$72,104","$223,376","$220,671","$4,675,653",,"$871,072","$1,284,973","$1,820,490","$305,528","$475,366","$359,836","$340,973","$421,282","$632,208","$241,728","$135,405","$62,228","$193,932","$24,700","$72,430","$43,677","$57,867","$86,210","$36,804","$3,298,745","$182,473","$225,132","$47,907","$1,954,340","$242,323","$991,694","$313,902","$184,294","$76,734","$99,408","$192,540","$20,220",,"$400,259","$135,233","$145,228","$122,430","$53,461","$5,604","$8,560","$25,216","$445,807","$26,021","$51,267","$43,668","$462,796","$378,057","$84,288",,"$2,085,678",,,,,"$118,923","$70,532","$69,859",,,"$171,566",,"$371,498","$180,347","$670,674","$36,181","$1,882,737",,"$66,067",,"$235,221","$81,911","$19,593",,,"$66,172"
"I Love You, Man (2009)","$601,354","$214,893","$1,384,912","$144,213","$1,242,115","$97,624","$300,561","$272,573",,"$330,141","$364,114","$37,227","$120,952","$203,718","$6,838,762",,"$34,958","$86,204",,"$221,981","$319,082","$244,972","$169,705",,"$293,781",,"$24,430","$54,019","$75,374","$22,986","$64,090",,,"$15,421","$107,473","$755,661",,,,"$536,762",,"$355,083",,"$56,825","$30,812",,"$222,948","$341,262",,,,"$25,780",,,,,,,,,,"$320,505","$340,008",,,"$3,487,256",,,,,"$39,809",,"$140,002",,,,,,,,,,,,,,,,,,
The Haunting in Connecticut (2009),"$2,705,122","$97,775","$429,072","$569,860","$2,430,568","$41,063","$280,327","$40,137",,"$55,369","$255,864","$25,026",,"$67,338","$6,191,957","$55,389,516",,"$1,900,389",,"$436,538","$253,839",,"$131,182","$23,208","$94,715",,,"$38,772","$18,698","$15,566","$16,651",,,,"$10,775","$530,989","$276,930","$243,731","$412,693","$1,682,223","$208,676","$275,080","$479,798",,"$214,186","$27,510",,"$41,961",,,,,,,,,,"$14,389",,,,"$382,978",,,,,"$432,568",,,,,,,,,,"$835,281",,,,,,,,,,,,,,
Duplicity (2009),"$1,796,746","$505,794","$2,789,468","$638,709","$3,394,289",,"$564,468","$200,152",,"$363,836","$956,611","$51,258","$131,694","$235,569","$4,383,941",,"$4,198,794","$2,847,062","$978,849","$189,734","$924,353","$184,725","$258,451","$94,243","$660,584","$339,439","$145,263","$38,194","$127,379","$30,928","$60,082",,"$11,386","$34,568","$27,041","$1,502,452","$205,018","$56,465",,"$697,183","$587,482","$613,906","$136,908","$232,785","$144,527","$33,550","$73,111","$9,934",,,,"$81,989",,,,,,"$47,118",,,,"$259,821","$267,624","$585,401",,"$3,799,322","$235,848",,,,"$121,333",,"$75,045",,,"$241,574","$431,350",,,,,,,,,,,,,,
Knowing (2009),"$4,764,802","$809,318","$4,994,862","$1,871,426","$6,612,965","$606,981","$1,569,491","$609,572",,"$609,380","$2,700,532","$81,859","$195,358","$334,447","$10,342,959",,"$11,819,402","$6,673,881","$1,145,774","$678,695","$968,022","$345,173","$162,634","$247,650","$881,794","$475,786","$99,453","$252,545","$116,103","$50,844","$83,546","$28,555","$9,083",,"$74,799","$6,046,454","$907,279","$936,262","$1,282,929","$4,357,618","$1,080,098","$817,528","$824,939","$673,618","$715,344","$89,102","$153,416","$33,784",,,,"$264,358",,,,,,"$62,620",,,,"$934,926","$377,588",,,"$5,795,063","$5,502,635",,,,"$483,156","$207,439","$22,672",,,"$10,311,799","$1,602,546",,,,,,,,,,,,,,
The Girl with the Dragon Tattoo (2009),"$566,526",,"$7,442,430","$330,566","$13,727,644",,"$1,950,789","$7,947,536","$16,983,990","$411,675","$604,455","$27,477","$25,164","$38,796","$2,342,433",,"$10,167,345","$5,295,520","$185,875","$70,999","$144,505",,"$16,379,466","$988,539","$276,717","$513,726",,,,,,,,,"$337,563","$67,333","$99,112","$25,663",,"$173,348","$278,936","$80,092","$50,514","$333,553","$144,435","$80,876",,"$17,781",,,,,,,,,,,,,,"$129,517","$987,505",,,"$4,849,540",,,,,"$133,814",,,,,,"$107,275",,,,,,,,,,,,,,
Monsters vs. Aliens (2009),"$10,569,999","$907,133","$6,874,432","$1,132,671","$14,174,228","$1,066,486","$2,201,054","$1,345,517","$315,494","$1,034,672","$1,796,363","$232,224","$219,974","$678,049","$34,956,968",,"$10,626,416","$10,546,331","$871,681","$4,947,959","$2,422,745","$842,356","$1,630,335","$1,225,859","$1,403,609","$709,745","$304,799","$215,345","$150,472","$138,992","$130,366","$37,549","$16,790","$35,783","$160,780","$13,523,812","$444,156","$1,162,535","$551,776","$6,947,463","$1,596,237","$3,033,291","$964,561","$2,088,430","$1,036,375","$218,719","$501,219","$115,993",,,,"$57,227",,,,,,"$196,497",,,,"$1,916,332","$1,710,569","$1,497,532",,"$16,257,222","$3,526,735",,,,"$988,724","$129,318","$218,376",,"$141,164","$4,337,518","$1,923,553","$804,189",,"$425,118",,,,,,,,,,,
The Baader Meinhof Complex (2008),"$17,040",,"$22,123,995",,"$119,880",,"$223,516","$126,021",,"$673,067","$36,966",,,"$4,148","$615,979",,"$431,840","$363,153","$241,562",,"$13,207",,"$289,266","$70,652","$25,775","$730,650",,"$13,053",,,,"$10,368",,,"$7,694",,,,,"$64,149",,,,,,,,,,,,,,,,,,,,,,"$17,193",,,,"$170,077","$21,205",,,,"$29,251",,,,,,"$21,378",,,,,,,,,,,,,,
Big Stan (2007),"$1,938,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,864,805","$364,842","$281,325","$8,503",,"$102,086","$83,115","$102,704",,,,"$57,348",,,,,,,,,,,,,,,"$225,680","$97,702",,,"$1,015,333",,,,,,,,,,,"$6,066",,,,,,,,,,,,,,
Confessions of a Shopaholic (2009),"$1,126,919","$361,219","$4,418,662","$328,638","$1,923,368","$427,156","$1,866,412","$536,777","$573,140","$657,984","$926,725","$82,855","$117,864","$248,887","$12,129,944",,"$3,684,815","$6,192,300","$601,396","$441,183","$472,790","$525,179","$729,863","$535,786","$710,605","$534,974","$49,968","$92,187","$104,508","$37,376","$63,356","$86,678","$16,141","$47,059","$60,193","$4,309,445","$828,714","$631,675","$408,168","$812,724","$338,497","$962,748","$226,301","$84,498","$106,491","$38,072","$154,769","$21,559",,,,"$43,321",,,,"$2,794",,"$60,521",,,,"$938,315","$553,700","$260,853",,"$6,577,386","$1,517,220",,,,"$95,177",,"$89,699",,,"$2,987,082","$575,503","$483,720",,"$294,880",,,,,,,,,,,
Dragonball Evolution (2009),"$2,414,834","$147,892","$23,719",,"$2,979,059","$1,591,204","$382,916",,,,"$271,749",,"$15,929","$79,151","$995,042",,"$2,556,423","$2,661,061",,"$180,206",,"$44,350","$78,743",,"$293,010",,,,,,,,"$12,168","$23,197","$3,935","$806,408","$174,310","$563,519","$907,264","$1,861,083","$578,542","$1,143,339","$448,035","$417,285","$357,254","$35,681","$384,761","$80,306","$7,936,392","$82,571","$37,439","$16,712","$15,166","$7,333","$2,060","$4,293",,"$63,749",,,,"$715,239","$443,490",,,"$2,046,264","$2,013,402",,,,,,,,,"$8,451,374","$699,847","$1,251,541",,"$58,740",,,,,,,,,,,
Fast & Furious (2009),"$13,210,004","$2,154,923","$15,423,592","$2,118,857","$8,747,242","$2,997,505","$3,559,229","$2,398,593","$696,694","$2,766,603","$3,357,800","$374,527","$463,900","$484,730","$20,546,785","$155,064,265","$14,829,172","$11,161,012","$2,450,550","$1,339,826","$1,623,427","$1,007,293","$1,878,872","$904,547","$1,830,098","$1,139,016","$387,813","$207,920","$236,939","$165,730","$222,074",,"$22,922","$80,518","$145,551","$14,294,286","$1,139,333","$1,664,302","$2,674,203","$10,348,525","$1,901,922","$4,604,144","$668,172","$885,350","$344,211","$54,936","$249,250","$23,965",,,,"$243,650",,,,,,"$345,890",,,,"$1,571,047","$1,656,046","$1,563,998",,"$13,665,948","$3,616,904",,,,"$628,647","$131,425","$334,388",,"$567,391","$10,198,630","$567,218","$2,291,140",,"$3,011,028",,,,,,,,,,,
17 Again (2009),"$2,623,446","$633,408","$5,556,424","$405,755","$1,924,817","$448,329","$2,303,876","$612,712",,"$849,515","$1,298,598","$131,594","$161,374","$576,878","$18,363,139",,"$8,488,958","$2,211,411","$241,295","$389,489","$366,762",,"$634,583","$279,524","$1,276,156",,"$117,988","$92,486","$61,038","$57,717","$95,570","$31,948","$39,598","$26,758","$114,173","$1,907,938","$743,424","$466,470","$156,314","$1,326,781","$421,582","$1,144,367","$305,114","$313,479","$136,867","$39,465","$175,666","$26,997",,,,,,,,,,"$81,411",,,,"$964,624","$833,566","$727,674",,"$10,079,700",,,,,"$167,038",,"$99,116",,,"$534,266","$1,082,633",,,,,,,,,,,,,,
Inglourious Basterds (2009),"$5,514,816","$584,925","$23,585,703","$1,925,299","$15,418,489","$267,020","$6,874,289","$4,184,347","$2,599,606","$4,508,064","$5,339,232","$189,884","$565,615","$1,320,254","$16,439,434","$120,540,719","$24,978,026","$13,380,924","$2,171,294","$3,272,227","$2,308,565","$571,061","$5,186,536","$2,248,461","$757,109",,"$314,544","$440,480","$178,271","$289,951","$185,532","$213,690","$21,185","$38,598","$226,081","$5,981,035","$418,586","$42,129","$311,150","$5,050,972","$1,216,394","$855,911","$465,891","$424,169","$900,805","$78,318","$1,224","$11,381",,,,"$145,799","$33,972",,,"$7,487",,,,,,"$700,280","$1,240,642","$2,255,778",,"$12,328,181","$2,135,174",,,,"$1,573,071","$273,116","$363,637",,,"$6,604,511","$772,626","$568,710",,,,,,,,,,,,,
State of Play (2009),"$1,620,557","$365,370","$4,500,691","$448,332","$6,298,330","$103,730","$381,660","$452,731",,"$486,074","$568,387","$7,725","$132,224","$199,794","$9,206,492",,"$5,924,105","$3,559,324","$427,318","$340,480","$585,941","$154,125","$417,752","$71,395","$346,560","$1,187,691","$91,361","$43,672","$80,416","$22,802","$22,114","$31,083","$28,435","$37,018","$33,224","$434,589",,,,"$850,464","$534,391","$547,506","$82,543","$185,658","$80,637","$31,136","$47,337","$4,944",,,,"$86,835",,,,,,"$49,823",,,,"$231,543","$346,878","$489,449",,"$5,702,156","$784,644",,,,"$107,211",,"$42,425",,,"$1,977,334",,,,,,,,,,,,,,,
The Young Victoria (2009),"$422,340","$38,199","$200,096","$30,889","$1,812,249",,"$152,956",,,"$39,857","$193,358","$43,988",,,"$8,179,212","$11,001,272","$798,669",,,,"$101,545","$52,907",,"$120,334","$111,940",,"$19,018","$27,188","$19,762",,,,,,,"$98,449",,,,"$511,100","$182,531",,"$59,905",,"$71,748","$40,665","$14,580",,,,,,,,,,,,,,,"$53,237","$757,867",,,"$3,993,751",,,,,,,,,,,"$46,797",,,,,,,,,,,,,,
X-Men Origins: Wolverine (2009),"$10,267,814","$1,011,233","$9,633,797","$949,765","$11,967,909","$2,322,754","$2,616,177","$1,242,359",,"$1,573,330","$2,342,715","$61,702","$178,973","$568,367","$26,884,047",,"$16,599,112","$6,945,272","$1,546,965","$685,884","$1,057,034","$483,429","$1,765,273","$499,225","$1,322,059",,"$199,456","$126,524","$83,627","$42,228","$67,435",,"$35,043","$89,017","$126,349","$7,644,722","$1,062,118","$2,049,825","$2,345,940","$14,135,273","$1,725,740","$2,524,914","$867,258","$1,648,322","$993,660","$73,958","$636,910","$147,666",,"$314,330","$163,714","$209,143","$135,519","$59,525","$8,488","$17,010",,"$249,039",,,,"$2,559,609","$1,740,515","$469,490",,"$14,924,362","$6,631,942",,,,"$287,909",,"$72,458",,,"$9,303,728","$1,911,652","$1,642,659",,,,,,"$43,999",,,,,,,
Sin Nombre (2009),"$610,225",,"$822,962",,"$124,832",,,,"$121,807","$75,742",,,,,"$260,033",,"$334,546",,"$9,638",,"$19,186",,"$162,067",,,,,,,,,,,,,,,,,,,,,"$11,236",,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,457",,"$9,309",,,,,,,,,,,,,,,,,,
Star Trek (2009),"$3,415,764","$329,065","$12,798,139","$519,562","$3,995,497","$960,679","$1,509,031","$1,036,013",,"$1,299,547","$1,030,703","$25,748","$115,608","$357,506","$35,392,062","$257,730,019","$6,976,214","$3,127,646","$537,423","$378,279","$573,825","$408,398","$1,017,818","$547,328","$383,493",,"$76,846","$206,166","$16,226","$42,027","$34,542","$43,749","$8,914","$24,501","$101,352","$4,122,486","$557,031","$776,927","$837,278","$1,907,913","$403,172","$568,721","$418,859","$281,553","$273,992","$12,758","$125,886","$30,804","$8,916,639",,,"$35,420",,,,,,"$53,814",,,,"$1,195,561","$1,817,496","$292,023",,"$12,650,526","$5,686,001",,,,"$516,679",,"$80,117",,,"$6,020,440","$1,282,243","$1,057,869",,,,,,,,,,,,,
Cherry Blossoms (2008),"$82,225",,"$10,127,883",,"$356,041",,"$48,735","$120,169","$46,880","$457,858","$10,390",,,,"$6,941",,"$195,199",,"$21,791",,,,,,,"$763,780",,,,,,,,,,"$4,201","$43,401",,,,"$73,095",,,"$123,621","$89,749",,,,,,,,,,,,,,,,,,,,,,"$158,124",,,,,,,,,,"$26,986",,,,,,,,,,,,,,
La fille de Monaco (2008),"$35,790",,"$59,474",,,,,,,,"$189,082",,,,,,"$6,215,039",,"$28,317",,,,,,,"$81,455",,,,,,,,,,"$291,121","$15,824",,,"$34,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth (2007),"$950,290","$18,189","$29,298,899",,"$2,899,993",,"$2,249,516",,"$74,264","$497,941","$296,795",,,"$8,350","$143,967","$32,011,576","$11,200,000","$1,046,151","$149,380",,"$1,296",,,"$135,435",,"$1,133,034",,,,,,,,,"$3,654",,,,,"$97,761","$480,164","$367,734","$104,560","$240,111","$372,880","$15,029","$181,924","$12,471",,,,,,,,,,"$24,513",,,,"$14,280","$408,412",,,"$92,555","$1,152,788",,,,,,,,,"$23,292,544",,,,,,,,,,,,,,,
Crossing Over (2009),"$1,289,318","$57,563","$91,235",,"$63,107","$57,308","$24,463","$3,439",,"$10,521","$69,545",,,,"$20,689",,"$406,464","$156,371","$38,857",,"$20,495",,,"$17,807","$77,151","$173,844",,,"$49,356",,,,,,"$11,964",,,,"$12,449","$137,284",,,,,,,,"$134,985",,"$108,243","$22,061","$46,417","$22,780",,,,,,,,,"$21,008",,"$60,191",,,,,,,,,,,,,"$15,964",,,,,,,,,,,,,,
Angels & Demons (2009),"$13,379,208","$1,088,855","$47,070,399","$3,998,699","$21,944,084","$1,364,412","$7,760,800","$4,697,237","$7,123,150","$5,657,219","$4,702,870","$293,688","$510,808","$1,563,828","$30,726,140",,"$17,369,122","$26,775,811","$4,742,120","$5,824,437","$3,256,725","$1,577,031","$5,008,827","$2,374,690","$1,052,036","$4,383,490","$639,449","$442,403","$189,627","$202,781","$305,510","$164,327","$157,911","$113,159","$287,459","$13,597,356","$4,162,577","$2,532,881","$1,458,792","$13,858,975","$3,330,559","$4,444,803","$1,339,785","$2,762,566","$2,211,285","$314,045","$543,396","$239,530",,"$317,276","$143,176","$263,363","$182,355","$59,052","$8,145","$43,414","$64,098","$1,453,509","$107,580",,"$44,758","$2,162,779","$1,875,626","$1,148,249",,"$14,065,391","$9,887,278",,,,"$1,906,993",,"$455,824",,,"$34,229,580","$2,708,192","$1,826,798","$292,350",,"$338,926",,,"$99,682",,,,,,,"$176,242"
Live! (2007),"$245,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$231,368",,,,,,,,,,,,,,,,,,,,,"$3,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
