imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5516464,,Xian yi ren X de xian shen (2017),,,,,,,,,,,"$58,320,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,582",,,
1730768,,The Zookeeper's Wife (2017),,,"$1,011,842",,"$9,032","$447,804",,,,,,,,,,"$76,188",,,,,"$8,252","$13,928",,,,"$32,818",,"$44,320","$50,846",,"$136,670",,"$922,036","$1,028,520",,"$616,579",,,"$12,850","$27,316","$45,831",,,,"$535,386","$325,940",,,,"$3,422",,,,,"$22,683","$821,648","$173,645","$15,153",,"$249,795",,"$25,892","$11,214",,"$100,596","$43,484","$940,700",,,"$147,297","$15,382",,"$39,317","$15,401","$74,397","$534,991",,,
0067409,,Max and the Junkmen (1971),,,$312,,,,,,,,,,,,,,,"$40,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5153860,,Female Fight Squad (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,491",,,,,,,,,,,,,
4481414,,Gifted (2017),"$64,462",,"$549,724",,,,"$18,558",,,,,"$299,436",,,,,,"$24,801,212",,,,,,"$796,952","$393,123",,,"$163,061",,,,,"$1,434,847","$613,713",,,,,,,"$22,664",,"$3,281,905",,"$231,836",,,,"$31,698",,,,,,"$169,082",,,,,"$77,586",,"$138,743",,,"$78,502","$28,233","$639,069",,"$95,871","$742,822",,,"$155,895",,"$19,972","$880,212","$19,899",,
4981966,,24 (2016),,,"$137,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4581576,,Aftermath (2017),,,,,,,,,"$36,827",,"$143,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,935",,,,,,,,,,,,,,,,,,,"$243,431",,,,$798,,,"$6,053",,,,,,,,"$387,129",,,,
3344694,,The Secret Scripture (2016),,,"$133,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,116",,,,,,,,,,,,,,"$41,513",,,,,,"$93,899",,,,,,,,,,,,,
6113488,,The Case for Christ (2017),,,"$675,441",,,,,"$458,965",,,,,,,,,,,,,,,,"$181,260",,,,,,,,,,,,,,,,,,,"$505,145",,,"$125,280",,"$49,264",,,,,,,,"$148,146",,,,,,"$109,839",,,"$111,322","$1,080,530","$38,639",,,,,,,,,"$9,148",,,
3228088,,Spark: A Space Tail (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$393,682",,,,,,"$235,668",,,,,,,"$44,120","$43,121","$83,702","$19,472",,,
