Movie Name,Germany,United Kingdom,Austria,France,Netherlands,Switzerland,Denmark,Spain,Italy,Belgium,Norway,Hungary,United Arab Emirates,Poland,Israel,Sweden,South Africa,Finland,Ukraine,Romania,Slovakia,Czech Republic,Croatia,Estonia,Portugal,Iceland,Bulgaria,Lebanon,Türkiye,Slovenia,Lithuania,Latvia,Egypt,Serbia and Montenegro,Greece,Mexico,Brazil,Peru,Ecuador,Argentina,Chile,Colombia,Panama,Bolivia,Uruguay,Paraguay,Australia,New Zealand,Russia/CIS,Hong Kong,India,Singapore,Malaysia,Taiwan,Vietnam,Indonesia,Thailand,Philippines,Domestic,South Korea,Japan,China,Venezuela,Cambodia,Pakistan,Switzerland (German),Switzerland (French),Nigeria,Dominican Republic,Ghana,Jordan,Qatar,Oman
Loving (2016),"$228,878","$1,119,821",,"$2,159,317","$12,730",,,"$312,907","$361,432",,,,"$7,108",,,,"$3,444",,,,,,,,,,,,,,,,,,,"$7,308",,,,,,,"$12,484",,,,"$488,591","$65,193",,,,,,,,,,,,"$68,448",,,,,,,,,,,,,
From the Land of the Moon (2016),"$123,740","$31,105",,"$4,718,885","$20,212","$235,090","$20,810","$152,981","$268,750","$118,547",,,,"$17,863",,"$63,282",,"$51,667","$19,225",,"$8,031",,,,"$32,014",,,,"$10,764","$5,964",,,,,"$51,192",,"$109,535",,,"$40,281","$5,747","$82,061",,,"$11,661",,,"$22,054","$144,097","$14,686",,,,,,,,,,,"$102,554",,,,,,,,,,,,
A Monster Calls (2016),"$465,300","$3,552,299","$83,970","$469,618","$99,665","$73,708","$35,957","$28,167,834","$61,206","$206,182","$25,982","$15,005","$221,627","$177,027","$20,091","$10,098","$35,411","$32,647","$64,675","$52,757",,"$15,525","$15,819","$13,931","$33,692","$4,602","$6,689","$31,638","$8,792",,"$11,407","$9,836","$14,914",,"$36,509","$1,520,054","$96,026","$223,390","$96,866","$111,563","$45,287","$85,780","$9,131","$51,353","$1,560","$5,282","$117,568",,"$652,769","$181,010","$42,447","$127,889","$120,980","$291,555","$53,824","$195,305","$263,615","$254,026",,"$618,645","$340,582","$2,109,658",,,,,,,"$1,112",,,,
Arrival (2016),"$5,750,435","$11,784,140","$699,433","$6,518,552","$1,180,385","$865,430","$1,318,740","$5,011,815","$3,112,114","$902,679","$873,931","$723,067","$1,145,410","$1,009,937","$507,280","$1,656,254","$203,158","$798,387","$502,195","$546,407","$310,919","$764,767","$193,812","$175,285","$408,028","$135,789","$146,568","$115,354","$883,881","$65,980","$197,063","$116,224","$77,696",,"$410,081","$2,087,682","$2,814,789","$429,392","$153,943","$578,829","$506,089","$368,883",,"$121,960","$90,681","$25,235","$6,164,359","$1,011,049","$4,403,096","$1,124,259","$631,346","$851,069","$769,021","$877,112","$249,407","$1,165,878","$1,085,592","$235,862","$100,546,139","$4,662,755","$5,342,886","$15,884,890","$145,765",,,,,,,,,,
Storks (2016),"$516,439","$8,587,514",,"$7,164,637","$1,504,788",,,"$6,704,057","$1,413,945",,"$843,534","$385,485","$1,147,530","$2,277,744",,,"$443,459","$415,853","$712,501","$613,390","$420,082","$357,835",,,"$740,214","$221,488","$296,106",,"$780,004","$106,737","$240,711",,,,"$602,329","$1,211,748","$5,448,039",,,"$3,238,388",,"$2,302,686",,"$872,869","$202,760","$64,081","$6,170,908","$1,018,243","$4,900,684","$352,000",,,,,,"$551,000","$257,954",,"$72,800,603","$366,291",,"$11,461,078",,,,,,,,,,,
Hell or High Water (2016),,"$2,164,087",,"$1,707,177","$505,957",,,"$1,062,432",,,"$45,267",,"$82,161",,,,"$34,164",,"$17,135","$62,818",,,,,"$20,446","$50,451",,,,"$7,228",,,,,"$137,991","$115,993",,,,"$261,722",,"$52,398",,"$18,377","$21,198",,"$912,240","$144,928","$161,239",,,,,,,,,,"$27,007,844","$522,922",,,,,,,,,,,,,
Southside with You (2016),,"$8,026",,"$78,637",,,,$564,"$220,701",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,149",,,,,,,"$14,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Men (2016),,"$230,588",,"$749,901","$50,269",,,"$170,068",,,,,,,,,,,,,,,,,"$23,333",,,,"$7,016",,,,,,,,,,,"$54,274",,,,,,,,"$20,663",,,,,,,,,,,,,,,,,,,,,,,,,
Clash (2016),,"$19,036",,,,,,"$32,214",,,,,"$30,346",,,,,,,,,,,,"$6,541",,,,"$1,064",,,,,,"$10,454",,,,,,,"$25,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 Meters Down (2017),,"$1,725,296",,,"$494,297",,,"$1,218,994","$676,904",,"$115,298","$41,089","$572,336",,,,,,"$19,109",,"$70,047",,,,"$78,866","$5,806",,,"$120,398",,,,,,,"$781,355","$138,087",,,"$178,845",,"$203,707",,"$27,161","$19,278",,"$330,679","$109,089","$747,662",,,,,,,,"$206,346",,"$44,307,191","$4,143,244",,"$5,867,377",,,,,,,,,,,
