Movie Name,Domestic,United Kingdom,Italy,Germany,Poland,Spain,Netherlands,France,Finland,Norway,Portugal,South Africa,Czech Republic,Hungary,Türkiye,Romania,Slovakia,Lithuania,Bulgaria,Slovenia,United Arab Emirates,Iceland,Australia,Japan,South Korea,New Zealand,Russia/CIS,Argentina,Brazil,Colombia,Bolivia,Greece,Belgium,Uruguay,Sweden,Lebanon,Austria,Denmark,Croatia,Serbia and Montenegro,Switzerland (French),Ukraine,Oman,Mexico,Peru,Ecuador,Venezuela,Thailand,Taiwan,Switzerland (German),Egypt,Chile,Malaysia,Philippines,Singapore,Hong Kong,Vietnam,China,Israel,Switzerland,Paraguay,India,Bahrain,Panama,Estonia,Latvia,Costa Rica,Honduras,Indonesia,Kuwait,Qatar,Nigeria,Jordan,Kenya,Ghana,Trinidad & Tobago,Dominican Republic,Jamaica,Pakistan,Mongolia,Cambodia
Money Monster (2016),,"$3,930,445","$2,432,639","$4,229,441","$520,270","$3,026,970","$1,255,468","$6,660,018","$189,498","$166,137","$587,186","$224,580","$124,714","$192,318","$383,940","$217,306","$43,420","$17,512","$78,661","$20,736","$1,320,781","$27,414","$5,298,100","$3,000,465","$331,768","$483,014","$1,251,875","$1,224,282","$1,850,483","$361,155","$44,494","$489,031","$799,799","$122,479","$329,101","$252,980","$441,728","$247,007","$77,406","$34,808","$387,889","$128,711",,"$1,794,338","$294,793","$134,515","$207,102","$149,459","$940,002","$620,717","$125,206","$176,265","$186,325","$109,298","$457,175","$1,067,130","$41,621",,"$911,744","$1,092,637",,"$368,223",,,"$43,560","$23,335",,,,,,,,,,,,,,,
Nine Lives (2016),,"$2,892,060","$1,143,422",,"$3,007,568","$1,557,744","$143,862","$1,700,110",,,"$117,954","$352,543","$188,413","$208,613",,"$216,118","$72,016","$14,165",,,"$704,430","$36,729",,"$186,136","$154,722",,"$1,168,095","$709,036","$144,508","$444,977","$153,432",,,"$72,722",,,,,,,,"$266,732",,"$1,666,401",,,,"$10,988","$351,655",,,"$165,065",,,,,,"$16,793,054",,"$80,080","$13,125",,,,,,,,,,,,,,,,,,,,
Our Kind of Traitor (2016),,"$1,774,423","$399,762","$667,048",,"$313,906","$161,003","$747,429","$74,105","$98,303","$72,780","$45,503",,,"$56,500",,,"$7,902","$28,504","$4,709","$203,684",,"$65,244","$275,593","$13,280","$212,702","$140,292","$101,129","$88,131","$45,587",,"$135,956","$97,201","$7,821","$96,706",,"$95,237","$87,138","$26,695","$15,639","$39,227",,,"$91,748","$33,176","$15,010",,"$12,485",,,,,"$25,037","$18,821","$40,193","$44,664",,,"$144,255","$207,428",,,,"$8,318","$13,585","$11,037","$8,787","$1,905","$66,106",,,,,,,,,,,,
Suntan (2016),,"$4,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$145,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boss (2016),,"$2,435,799","$108,341","$1,400,000","$235,785","$23,026","$518,673",,,"$346,849","$215,339","$283,172",,"$532,212",,"$280,804",,"$39,061","$59,173","$38,588","$768,164","$83,693","$4,468,588",,,"$486,689",,,,,,,,,,"$97,589","$412,409",,"$44,139","$19,942",,"$285,342","$4,015",,,,,,,"$334,580",,,,,,,,,,,,,,,"$17,305",,,,,,,,,,,,,,,,
The Take (2016),,"$2,948,233","$303,114","$924,034","$93,677",,"$673,702",,,,"$68,317","$129,043",,,"$146,937","$247,159",,"$13,963","$14,255",,"$753,255","$12,896","$369,211",,"$666,946","$81,736","$231,099","$136,808",,"$289,260","$25,723",,"$152,848","$12,047","$132,668",,"$162,626",,"$16,705",,"$227,583","$25,551",,"$799,684",,,,"$40,495",,,,,,"$110,562","$158,017",,"$37,668","$2,148,284","$383,494","$147,099","$6,107",,,,"$6,862","$4,410",,,,,,,,,,,,,,,
Goodbye Mr. Loser (2015),,"$55,717",,,,,,,,,,,,,,,,,,,,,"$443,300",,,"$83,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,489","$21,596",,"$226,161,196",,,,,,,,,,,,,,,,,,,,,,,
Free State of Jones (2016),,"$153,971","$243,200",,,"$698,246","$82,167","$704,593",,,"$76,431",,,,,,,,"$6,627",,"$143,833",,"$190,009",,"$18,126","$53,821",,,,"$66,816","$11,705",,,,,,,,,,,,,"$174,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Angry Birds Movie (2016),,"$15,383,360","$3,645,280","$12,057,834","$4,914,882","$6,187,047","$4,280,374","$6,090,747","$3,688,791","$1,898,332","$1,487,310","$607,180","$1,091,959","$749,705","$1,440,715","$701,816","$538,373","$511,573","$828,988","$276,184","$2,459,899","$119,545","$6,873,041","$2,279,856","$4,508,004","$808,190","$12,018,010","$4,629,273","$4,637,516","$1,931,421","$393,234","$799,066","$1,823,989","$286,412","$2,115,345","$264,593","$2,036,913","$2,060,835","$431,228","$215,459","$452,356","$1,464,962","$222,671","$7,057,097","$3,092,725","$972,762","$585,887","$1,390,465","$1,162,391","$1,383,684","$153,008","$2,151,235","$3,300,220","$1,443,538","$2,025,377","$2,144,191","$2,030,673","$75,872,971","$1,256,871","$1,978,168","$94,942","$4,130,526","$526,760",,"$344,319","$364,368",,,"$2,501,250","$1,129,631","$499,409","$134,112","$128,538","$67,775","$7,151","$190,759","$136,665","$83,400","$180,771","$101,872",
Tickled (2016),,"$33,489",,,,,,,,,,,,,,,,,,,,,,,,"$143,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
