imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Chile,China,Colombia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Kenya,Kuwait,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2571140,,Boss (2013),,"$53,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,138",,,,,,,,,,,,,,,,,,,,,,,,,,,
2621000,,Jolly LLB (2013),,,,,,,,,,,,,,,,,,,,,,,"$5,586,355",,,,,,,,,,,"$26,157",,,,,,,,,,,,,,,,,,,,,,,,,,,
2988272,,Shuddh Desi Romance (2013),,"$42,654",,,,,,,,,,,,,,,,,,,,,"$6,453,007",,,,,,,,,,,"$20,942",,,,,,,,,,,,,,,,,,,,,,,,,,,
2406676,,Ek Thi Daayan (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,455",,,,,,,,,,,,,,,,,,,,,,,,,,,"$89,689",,,
0293849,,The Little Polar Bear (2001),,,"$861,882",,,,,,,,,,,,,"$964,747","$10,381,665",,,,,,,,,,,,,,,,"$703,440",,,,,,,,,,,,,,,,,,,"$767,524",,,,,,"$1,167,736",,,
0095967,,Directed by Andrei Tarkovsky (1988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,851",,,,,,,,,,,,,,,,,,,,
3480886,,Ma ma (2015),,,,,,"$20,810",,,"$21,015","$13,363",,"$47,258",,,"$7,121","$70,386",,,,,,,,,"$78,801",,,,"$13,380","$1,731",,,,,,,,,,"$68,719",,"$2,196","$28,357",,,"$1,172","$3,648",,"$45,445","$934,143",,,"$4,560",,"$6,613",,,"$8,806",,,
2309764,,Singham Returns (2014),,"$137,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,553",,,,,,,,,,,,,,,,,,,,,,,,"$596,561",,,
3483712,,Raja Natwarlal (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$125,873",,,
2675978,,Dedh Ishqiya (2014),,,,,,,,,,,,,,,,,,,,,,,"$5,429,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3173910,,Hasee Toh Phasee (2014),,,,,,,,,,,,,,,,,,,,,,,"$5,998,081",,,,,,,,,,,"$22,947",,,,,,,,,,,,,,,,,,,,,,,,"$247,924",,,
2372678,,2 States (2014),,"$330,321",,,,,,,,,,,,,,,,,,,,,"$18,827,631",,,,,,,,,,,"$109,497",,,,,,,,,,,,,,,,,,,,,,,,"$880,895",,,
3142232,,Heropanti (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,136",,,,,,,,,,,,,,,,,,,,,,,,,,,
3202202,,Palm Trees in the Snow (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$95,383",,,,,,,,,,,"$25,317",,,,,,,,,,,,,,,,,,
3626742,,Spanish Affair 2 (2015),"$86,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,273",,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,072",,
0924004,,The Prisoner (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,246",,,,,,,,,,,,
1087841,,Sunshine Barry and the Disco Worms (2008),,,,,"$276,734",,,,,,,,,,,,,,,,,,,,,,,,,,"$24,277","$19,074",,,,,,,,,,,"$185,621",,"$1,970",,,,"$51,165",,,,,,,,,,,,
0314502,,Phileine Says Sorry (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$392,633",,,,,,,,,,,,,,,,,,,,"$3,351",,,,,,,,
3022458,,The Shamer's Daughter (2015),,,"$4,225",,,,,"$23,562",,,"$2,134,294",,,,,,"$32,507",,,,,"$4,284",,,,,,,,,,,,,,"$91,691",,,,,,,,,,,,,,,,,,"$31,624","$9,167",,"$17,358",,,,
2043879,,Found Memories (2011),,,,,"$30,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0959324,,Max & Co (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$264,648",,,,,,,,,,,"$459,378",,,,,,,,,,,,,,,,,,
1757939,,¡Vivan las Antipodas! (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,578",,,,,,,,,,,,,,,,,,
3165552,,Ciudad Delirio (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,109",,,,,,,,,,,,,,,,,,,,,,,
2124829,,The Field of Enchantment (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,615",,,,,,,,,,,,,,,,,,
1245775,,Twigson (2009),,,"$3,691",$666,,,,,,,,,,,,,"$139,075",,,,,,,,,,,,,,,,,,,"$4,202,665",,,,,,,,,,,,,,,,,,,,,,,,,
4613272,,Kaili Blues (2015),,,,,,,,"$903,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,350",,,,,,,,,,,,
3451720,,Francofonia (2015),"$174,500",,"$6,332",,"$56,613","$3,509",,,,,,,,,,,"$17,190",,"$19,247",,,,,,"$190,423",,,,,,,,,,,,,,,,"$35,061","$5,148","$64,762",,,,"$4,838",,"$20,157","$70,680",,,,,,,,"$32,654",,,
3704050,,Remember (2015),"$57,117",,,,"$243,811",,,,,,,"$1,184,564",,,,,"$48,900",,,,,,,,"$623,506",,,,,,,,"$47,442","$82,308",,,,,,,"$7,882","$1,645","$24,800",,,,,"$55,317",,"$76,386",,,"$20,302",,"$23,146",,,"$3,075",,,
4701660,,The Mermaid (2016),,"$843,885",,,,,,"$526,848,189",,,,,,,,,,,,"$7,698,235",,,,,,,,,,,"$7,025,381",,,"$177,911",,,,,,,,,,,"$3,110,642",,,,,,,,,"$279,960",,,,"$173,553",,,"$4,419,787"
3169832,,Incidencias (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,770",,,,,,,,,,,,,,,,,,
0267261,,Black Angel (2002),,,,,,,,,,,,,,,,,,,,,,,,,"$346,481",,,,,,,,,,,,,,,,,,,,,,,,,"$1,067",,,,,,,,,,,
2318360,,Morgana (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,340,446",,,,,,"$136,053",,,,,,,,,,,,,,,,,,,,,,,
3955894,,Girl Asleep (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,767",,,,,,,,,,,,,,,,,,,,,,,,,,,
1974419,,The Neon Demon (2016),,,,,,,,,,,,,,,"$30,043","$960,581",,,"$5,035",,,"$6,825",,,"$129,660",,,,,"$15,362",,,"$77,824","$7,014",,"$23,860",,,,,"$12,718","$8,226","$11,284",,,,,,"$7,390","$16,614",,,,"$5,792","$27,072",,"$24,447","$370,829",,,
4291590,,Évolution (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$261,,$735,,,,,,,,,,,,"$5,060",,,"$25,159",,,
2262161,,Sunset Song (2015),,"$69,346",,,,,,,,,,,,,,"$64,465",,,,,,,,,,,,,,,,,,"$71,481",,,,,,,,,"$11,847",,,,,,,"$209,860",,,,,,,,"$715,769",,,
