Movie Name,Belgium,Argentina,Uruguay,Russia/CIS,Domestic,Brazil,Thailand,South Korea,Spain,Italy,Germany,France,Austria,Norway,United Arab Emirates,Bulgaria,Türkiye,Greece,Portugal,Croatia,South Africa,Slovenia,Iceland,Serbia and Montenegro,Oman,Australia,United Kingdom,Romania,Ukraine,Switzerland,Hungary,Chile,Switzerland (German),Finland,Poland,Slovakia,New Zealand,Singapore,Netherlands,Denmark,Sweden,Lebanon,Switzerland (French),Czech Republic,Lithuania,Latvia,Switzerland (Italian),Kenya,Mexico,Venezuela,Colombia,Peru,Bolivia,Ecuador,Japan,Hong Kong,India,Taiwan,Malaysia,Philippines,Vietnam,China,Qatar,Egypt,Israel,Bahrain,Jordan,Nigeria,Estonia,Ethiopia,Ghana,Cyprus,Panama,Paraguay,Cambodia
"Sexo fácil, películas tristes (2014)",,"$56,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wave (2015),,"$109,057",,"$113,054",,,"$62,848","$87,579",,,,"$155,385",,"$10,768,607","$220,583",,,,"$9,113",,,,"$19,735",,"$21,995",,"$16,884",,"$15,323",,,,,"$99,190",,,,,"$63,227",,,,,,"$2,568",,,,"$617,614",,,,"$141,448",,,,,"$136,523",,,"$137,006",,,,,,,,,,,,,,
Truth (2015),,"$53,948","$17,960",,,"$237,836",,"$129,233","$358,475","$800,334",,"$340,749",,,,,"$21,224",,"$68,686",,"$54,703",,,,,"$238,823","$38,000",,,,,"$17,060",,"$5,420",,,,"$13,624",,"$31,672",,,"$27,934",,,,,,"$58,536",,"$18,436","$23,467",,,,,,"$285,123",,,,,,,,,,,,,,,,,
Back to the Jurassic (2012),,"$102,492","$13,068","$721,787",,,,"$1,831,658",,"$714,589","$57,186",,"$14,258",,"$135,409",,"$436,473",,"$65,072",,"$220,966",,,,,"$79,918",,,,,"$41,443","$133,870",,,"$986,644","$78,198","$29,852",,,,,"$27,191",,"$142,739",,,,,"$386,586",,"$63,084","$58,935","$30,707",,,,,,"$46,803",,,,,,,,,,,,,,,,
Top Cat (2011),,"$675,219","$16,914",,,"$1,093,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,199,985","$639,216",,"$960,880",,,,,,,,,,,,,,,,,,,,,,,
The Kindergarten Teacher (2014),,"$83,325",,,,,,,"$14,619",,,"$140,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,660",,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat Vanishes (2011),,"$208,868","$4,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gone Fishing (2012),,"$154,710",,,,"$22,590",,,"$122,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Little Pony: Equestria Girls - Rainbow Rocks Animated (2014),,,"$7,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$124,601",,,,,,,,,,,,,,,,,,,,,,,,,,
Sisters (2015),,,"$16,313","$235,403",,"$49,670",,,"$257,418","$97,559","$1,373,846","$99,714","$137,573",,"$286,670","$120,619",,,"$186,069","$45,904","$271,361","$101,480","$112,653","$34,239","$15,025","$8,360,646","$3,979,713","$276,223","$173,344",,,"$38,092","$111,973",,,,"$482,370","$54,252",,,,"$46,307",,,"$35,987","$28,193",,,,"$23,697",,"$93,370","$27,443","$131,252",,,,"$130,925","$53,262","$1,494",,,,,,,,,,,,,,,
