imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Yugoslavia
0109781,,Faust (1994),"$47,614",,,,,,"$178,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,991",,,,,,,,,,,,,,,"$782,040",,,,,,,,,,,,,,,,,,,,$676,,,
0115610,,Bad Moon (1996),,,,,,,,,,,,,,,,,,,"$1,055,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,739",,,,,,,,,
0095765,,Cinema Paradiso (1988),"$21,761",,,,,,,,,,,,,,,,,,"$12,397,210",,,,,,,,,,,,"$4,465",,,,,,,,,,,,,,,,,,,,,,$476,"$88,483",,,,,,"$40,920",,,,,,,,,,,,"$308,579","$116,594",,,,"$3,637",,,,,"$36,938",,,,
0097108,,"The Cook, the Thief, His Wife & Her Lover (1989)",,,,,,,,,,,,,,,,,,,"$7,724,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$798,446",,,,
0101700,,Delicatessen (1991),,,,,,,,,,,,,,,,,,,"$1,794,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101765,,The Double Life of Véronique (1991),,,,,,,,,,,,,,,,,,,"$1,999,955",,,,,,,,,"$90,450",,"$32,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,014",,,,,,,,,,,,"$20,818",,,,,,,"$24,998",,,,,,,
0050825,,Paths of Glory (1957),,,,,,,,,,,,,,,,,,,,,,,,,,"$5,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0098724,,"Sex, Lies, and Videotape (1989)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$422,,,,,,,,,,,,,,,,,,,,,,,,,,
0105488,,Strictly Ballroom (1992),,"$11,573",,,,,,,,,,,,,,,,,"$11,738,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101026,,Tie Me Up! Tie Me Down! (1989),,$779,,,,,,,,,,,,,,,,,"$4,087,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
