imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
1930546,,Arthur Newman (2012),,,,,,,,,,,,,,,,,,,,,,"$65,666",,,,,,,,,"$272,913",,,,,,"$4,676",,,,,,,,,,"$16,936",,"$26,081",,,,"$12,895",,,"$26,534",,,,,,"$7,008",,,"$37,369","$69,209",,
1731141,,Ender's Game (2013),"$270,683","$2,281,002","$169,537",,"$250,802","$7,100","$2,296,170","$76,357",,"$142,832","$22,710,000","$377,899","$67,007","$153,798","$49,107",,,"$248,397","$9,115",,"$84,722","$3,496,632","$1,684,158",,,"$456,911","$82,906","$36,079",,,"$1,357,470",,"$1,538,161",,,,,,"$1,185,991","$3,028,212","$249,759","$582,591",,"$85,178",,"$332,151","$505,290","$641,748","$123,808",,"$2,499,124","$14,975","$979,996","$48,208","$14,772","$258,888","$4,587,139","$2,867,193","$304,881",,,"$1,034,533","$218,289","$264,788","$339,488","$4,790,708","$22,223","$980,055"
1709143,,The Last Days on Mars (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,540",,,,,,,,,,,,"$29,047","$78,520",,
0825244,,Conversations with My Gardener (2007),"$221,688","$464,056",,,,,"$127,839",,,"$11,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$400,913",,,,,,,,,,,,,,,,,,,,,,,,,"$74,888",
3063516,,Jackass Presents: Bad Grandpa (2013),"$280,756","$8,560,988","$1,255,530",,,"$51,527","$2,105,455",,,"$64,706",,"$155,087","$286,438",,"$403,948",,,"$143,302","$39,623",,"$549,426","$358,562","$9,260,136",,,,,"$143,230",,,,,,,,,"$158,898",,,"$3,109,862","$1,251,590","$452,595",,"$1,143,813",,"$260,747",,,,,"$3,925,483",,"$106,608",,"$268,726","$81,500",,,"$216,745",,,"$73,991",,,"$374,526","$10,493,198",,"$684,804"
1017456,,Race (2008),,"$330,599",,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,833,227",,,,,,"$69,181",,,,"$23,884",,,"$39,130",,,,,,,,,,,,,,"$89,307",,,,,,,,,,"$1,750,917",,
1981115,,Thor: The Dark World (2013),"$5,646,086","$20,494,942","$2,561,728",,"$2,230,285","$1,108,797","$27,751,884","$883,334",,"$3,330,635","$55,340,000","$4,085,479","$309,572","$1,398,191","$2,128,547",,"$204,454","$2,790,162","$536,616",,"$1,129,411","$22,289,092","$20,356,156",,"$1,267,903","$4,730,882","$1,104,097","$306,525","$3,598,734","$1,149,742","$11,176,894",,"$6,017,520",,,,"$523,712",,"$8,819,558","$23,857,540","$3,212,754","$2,790,409","$164,215","$2,546,889",,"$4,040,720","$7,950,502","$3,160,256","$1,485,608",,"$35,732,140","$146,913","$6,300,035","$493,999","$148,061","$2,068,342","$21,114,584","$8,862,218","$3,944,319",,,"$4,552,606","$3,692,896","$2,787,498","$3,451,574","$26,224,037","$205,337","$9,147,580"
0790636,,Dallas Buyers Club (2013),"$312,235","$2,038,722","$460,776",,"$220,625","$15,616","$823,858",,,"$119,048",,"$135,745","$88,683","$22,181","$73,443",,,"$72,264",,,"$359,598","$1,803,273","$1,718,555",,"$200,151","$176,785","$191,573","$39,201",,,"$1,700,465",,"$508,812",,,,"$32,712",,,"$815,918","$246,951","$477,849",,"$437,870",,"$140,588",,"$853,702","$391,212",,"$1,377,152","$8,929","$111,941","$11,096","$22,136","$138,547","$262,385","$1,641,722","$568,417",,,"$33,521","$173,591",,,"$8,755,794","$59,263","$72,862"
0404978,,Gambit (2012),,,,,,,"$169,500",,,,,,,,,,,,,,,,,,,"$149,714",,,,,,,"$281,594",,,,,,,,,"$288,197",,,,,"$10,704",,,,"$1,347,682",,"$12,018",,,,,,,,,"$49,561",,,,,,
2290840,,Masquerade (2012),,,,,,,,,,,,,,,,,"$8,416,146",,,,,,,,,,,,,,,,"$3,082,338",,,,,,,,,,,,,,,,,,,,"$17,871",,,,"$81,829,156",,,,,,,,,,,
2304426,,The Selfish Giant (2013),,,,,"$73,800",,,,,,,,,,,,,,,,,"$244,131",,,"$43,809",,,,,,,,,,,,,,,"$53,950","$119,194","$97,075",,,,,,,,,,,,,,,,,"$19,793",,,,,,,"$450,086",,
