Movie Name,Hong Kong,United Kingdom,Italy,France,United Arab Emirates,Poland,Greece,Portugal,Lebanon,Ukraine,Croatia,Iceland,Serbia and Montenegro,Oman,Spain,Russia/CIS,Singapore,Vietnam,Thailand,Malaysia,Philippines,South Korea,New Zealand,China,Domestic,Germany,Netherlands,Belgium,Sweden,Austria,Switzerland (German),Israel,Denmark,Norway,Finland,Czech Republic,Türkiye,Hungary,South Africa,Switzerland (French),Switzerland,Slovakia,Romania,Ghana,Lithuania,Bulgaria,Slovenia,Latvia,Estonia,Jordan,Egypt,Kenya,Nigeria,Mexico,Brazil,Argentina,Venezuela,Chile,Colombia,Peru,Ecuador,Uruguay,Bolivia,Japan,Australia,Taiwan,India,Ethiopia,Russia,Indonesia,Cambodia,Qatar,Bahrain,Pakistan
13 Hours (2016),"$762,505","$339,443","$155,260","$681,210","$483,388",,,"$96,022","$96,404","$33,713",,"$30,061",,"$27,957","$581,860","$295,988","$406,077","$73,293","$652,000","$592,862","$419,697","$1,002,552","$109,073",,,"$515,942","$182,041",,"$89,165","$90,639","$68,898",,,"$93,089",,"$64,131",,,"$39,423",,,"$32,890",,,,,,,,,,,,"$323,263","$272,376","$78,017","$53,324","$34,493","$46,744","$30,712","$57,431","$5,185","$12,031",,"$962,948","$1,385,274",,,,,,,,
Absolutely Anything (2015),,"$2,126,769","$641,529","$385,552","$170,404","$134,940","$111,438","$101,978","$93,636","$73,377","$48,171","$26,352","$22,316","$3,844","$2,492","$552,367","$236,955","$90,810","$78,515","$64,208","$45,770","$30,077","$4,376","$1,237,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hottie & the Nottie (2008),,"$67,371",,,,,,,,"$90,785","$38,871",,,,,"$970,952","$132,864",,"$5,953",,"$88,068",,,,,,,,,,,,,,,,"$141,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,031",,,,,,,,
Khosla Ka Ghosla! (2006),,"$13,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya the Bee Movie (2014),,"$399,843","$946,492","$6,169,494","$260,088","$1,628,587","$122,233","$220,426","$59,530","$95,027","$203,099","$11,488","$88,078",,"$1,251,685","$1,580,114",,,,,,"$1,874,090","$13,009","$997,780",,"$6,122,813","$637,271","$1,353,648","$330,902","$927,306",,,"$166,042","$139,868","$44,352","$146,829","$1,644,816","$16,768","$357,826",,,"$66,054","$244,223",,"$69,466","$2,321","$330,065","$33,152",,,,,,"$178,347",,,"$154,455","$62,712","$212,966","$219,599","$79,196",,,,"$185,811",,,,,,,,,
Postman Pat: The Movie (2014),,"$5,515,679",,,"$98,222","$193,489",,,,,"$72,520","$17,521",,,,,,,,,,,"$37,441",,,,"$168,920","$105,073","$82,177",,,,"$53,814","$240,780","$97,379","$104,383","$24,199",,"$68,345",,,"$14,185",,,"$44,983",,,,,,,,,,,,,,,,,,,,"$161,826",,,,,,,,,
Salt of This Sea (2008),,"$174,383",,"$438,295",,,"$43,581",,,,,,,,"$63,361",,,,,,,,,,"$11,662",,,"$5,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heaven Knows What (2014),,"$1,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,357",,,,,,,,,,,,,,,,,,,
Bombay Velvet (2015),,"$145,195",,,,,,,,,,,,"$43,445",,,,,,"$11,374",,,"$10,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,055",,,,,,,"$35,326","$20,277",
Nasty Baby (2015),,$972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
