Movie Name,United Kingdom,Spain,Germany,France,Netherlands,Italy,United Arab Emirates,Poland,Sweden,Greece,Belgium,Norway,Israel,Denmark,Türkiye,Ukraine,Portugal,Bahrain,Austria,South Africa,Hungary,Finland,Lebanon,Egypt,Czech Republic,Nigeria,Croatia,Slovakia,Bulgaria,Iceland,East Africa,Slovenia,Serbia and Montenegro,Mexico,Brazil,Venezuela,Argentina,Peru,Colombia,Chile,Ecuador,Uruguay,Bolivia,Australia,Japan,Russia/CIS,Singapore,Hong Kong,South Korea,New Zealand,India,Philippines,Thailand,Malaysia,Domestic,Latvia,China,Oman,Taiwan,Kuwait,Lithuania,Ghana,Romania,Switzerland,Estonia,Central America,Jamaica,Jordan
Free Birds (2013),"$4,380,164","$1,245,474","$3,952,862",,"$51,069","$1,522,249","$679,520","$2,104,068",,"$238,177","$103,098",,,,"$417,393","$202,713","$913,644",,"$765,355","$501,791","$235,987",,"$12,961","$12,766","$274,568",,,"$198,721","$103,288","$60,209","$2,639","$186,221","$64,636","$1,808,282","$4,626,987","$1,426,211","$1,628,546","$684,196","$718,925","$338,336",,"$216,529","$173,674","$5,196,966",,"$5,914,861","$150,612","$58,105","$704,951",,,"$37,105","$104,657","$362,875",,,"$7,990,000",,,,,,,,,,,
Last Vegas (2013),"$11,476,116","$1,546,963","$2,597,023","$1,467,170","$2,504,125","$868,493","$1,234,023","$2,195,186","$296,781","$231,954","$541,288","$131,068",,,"$527,547","$609,062","$687,557",,"$914,176","$641,728","$1,259,401","$296,377","$328,649","$296,265","$282,113","$30,393","$238,552","$324,505","$598,003","$57,577","$9,713","$173,214","$65,997","$8,388,133","$3,636,422","$728,390","$1,380,876","$494,062","$526,909","$201,962",,"$518,463","$77,180","$6,053,969","$296,200","$7,996,317","$258,998","$568,660","$1,236,460","$629,654",,"$52,653","$54,208",,"$63,914,167",,,,,,,,,,,,,
Muscle Shoals (2013),"$13,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philomena (2013),"$18,474,238","$2,280,059","$3,074,776","$4,955,518","$1,753,840","$8,017,373","$44,340","$546,916","$1,835,436","$470,646","$933,076","$263,366",,"$476,892","$11,790",,"$455,571",,"$302,431","$157,062","$28,768","$598,518",,,"$6,751",,"$12,480",,,"$47,605",,"$32,094","$28,000","$410,388","$1,255,975","$111,730","$395,133","$52,546","$230,103","$90,221",,"$137,321","$8,029","$10,175,238",,,"$60,348","$90,833",,"$3,058,734",,,,"$11,599",,,,,,,,,,,,,,
The Book Thief (2013),"$6,826,511","$7,121,641","$1,781,787","$796,933","$308,679","$4,968,674","$66,377","$34,509","$770,140","$410,092","$231,185","$797,774","$404,000",,,,"$302,355","$28,005","$189,942","$229,776","$28,526","$100,218","$33,422",,"$54,558",,"$76,260","$15,419",,"$18,135",,,"$18,965","$3,804,647","$6,713,800","$327,046","$274,082","$190,710","$523,176","$588,589","$134,254","$160,322","$20,964","$12,571,569",,"$1,198,782","$205,387","$284,475",,"$1,832,436",,"$116,506",,"$37,874",,,,,,,,,,,,,,
The Best Man Holiday (2013),"$731,738",,,,,"$15,475","$188,393",,,,,,,,,,,,,"$638,688",,,"$26,782","$9,030",,"$50,685",,,,,"$7,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ida (2013),"$600,324","$630,180","$94,786","$3,192,706","$254,598","$681,460",,"$333,714","$248,785","$109,425","$185,026","$59,920",,,,,,,"$14,854",,,"$198,973",,,"$31,640",,,,,,,"$8,292",,,,,"$89,370",,"$62,932",,"$24,771","$44,526",,"$206,616",,,,,,"$248,173",,,,,,,,,,,"$8,705",,,,,,,
The Hunger Games: Catching Fire (2013),"$55,501,664","$15,174,823","$43,428,464","$29,672,593","$8,845,950","$11,032,504","$2,801,046","$4,018,813","$10,982,878","$730,476","$7,638,468","$5,619,053","$3,739,694","$6,337,154","$3,951,498","$1,914,837","$1,955,652",,"$4,300,510","$1,718,297","$1,054,785","$3,191,978","$390,166",,"$919,662","$194,450","$302,745","$363,109","$660,827","$377,587","$101,187","$245,568","$69,049","$25,157,484","$17,291,146","$4,049,230","$4,976,163","$2,376,477","$3,919,810","$2,868,078","$1,036,612","$363,167","$382,406","$26,324,299","$1,749,023","$23,244,105","$4,798,663","$3,533,717","$7,347,573","$4,132,877",,"$5,838,664","$3,327,030","$3,663,266",,,"$27,920,000",,,,,"$35,629",,,,,,
The Hobbit: The Desolation of Smaug (2013),"$70,275,514","$23,551,615","$88,076,370","$44,723,924","$16,286,314","$17,305,657","$2,706,715","$12,908,529","$20,532,539","$3,981,305","$8,614,032","$11,371,258","$2,061,767","$12,292,692","$6,918,739","$4,788,551","$2,490,047",,"$8,573,280","$1,841,586","$2,421,573","$6,905,914","$484,274","$473,939","$4,578,821",,"$1,434,769","$1,164,616","$1,441,312","$791,080","$215,442","$693,538","$639,986","$18,394,490","$17,821,725","$3,089,425","$5,158,520","$2,509,097","$4,713,891","$3,663,776","$1,465,574","$226,579","$926,306","$34,565,817","$13,655,556","$45,032,050","$4,176,530","$4,081,279","$16,392,050","$6,796,878","$1,826,729","$3,567,068","$3,188,861","$5,383,458","$258,387,334",,"$74,730,000",,,,,,,,,,,
47 Ronin (2013),"$5,282,209","$4,294,943","$4,405,267","$1,837,024","$1,513,226","$1,617,971","$1,463,553","$1,412,604",,"$650,770","$246,342","$335,392",,,"$2,386,696","$2,587,040","$1,161,095",,"$768,471","$915,587","$1,020,647",,"$220,446","$139,359","$479,050","$25,457","$144,198","$203,958","$1,084,897","$33,042","$46,241","$63,482","$100,171","$5,844,181","$3,113,774","$1,369,078","$2,182,666","$1,229,356","$2,009,851","$962,060","$359,083","$86,516","$309,689","$4,027,901","$2,864,072","$26,058,135","$2,525,054","$568,507",,"$847,356","$342,716","$1,896,291","$2,563,770","$3,489,532",,,,,,,,,,,,,,
