Movie Name,United Kingdom,Spain,Germany,France,Netherlands,Italy,United Arab Emirates,Poland,Sweden,Greece,Belgium,Norway,Israel,Denmark,Türkiye,Ukraine,Portugal,Bahrain,Austria,South Africa,Hungary,Finland,Lebanon,Egypt,Czech Republic,Nigeria,Croatia,Slovakia,Bulgaria,Iceland,East Africa,Slovenia,Serbia and Montenegro,Mexico,Brazil,Venezuela,Argentina,Peru,Colombia,Chile,Ecuador,Uruguay,Bolivia,Australia,Japan,Russia/CIS,Singapore,Hong Kong,South Korea,New Zealand,India,Philippines,Thailand,Malaysia,Domestic,Latvia,China,Oman,Taiwan,Kuwait,Lithuania,Ghana,Romania,Switzerland,Estonia,Central America,Jamaica,Jordan
Up & Away (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,920",,,,,"$64,148",,,,,,,,"$18,439","$18,404",,"$57,815",,,,,,,,,,,,,,,,,,
9-Month Stretch (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,869","$40,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Love (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$252,111","$169,372",,"$16,478",,"$98,048",,,"$11,321",,,,,,,,"$59,316",,,,,,,,,,,,,,,,,,
Grave Encounters 2 (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$189,184",,"$117,121","$215,964","$210,537","$108,762","$127,968",,"$11,823","$37,851",,,,,,,,,,,,,,,,,,,,,,,,,
Ghetto (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Style (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$276,917",,"$108,591",,"$51,544","$28,134",,"$49,867","$4,919",,,,,,,,,,,,,,,,,,,,,,,,"$45,288","$9,987",
The Physician (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$426,384","$538,701",,,,,,,,,,,"$1,250,976",,,,,,,,,,,,,,,,,,,,,,
The Secret (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$373,145",,,,,,,,,,,,,,,"$199,386",,,,,,,,,,,,,,,,,,,
A Turtle's Tale 2: Sammy's Escape from Paradise (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,839,173","$1,428,112","$1,354,801","$996,427","$470,598","$702,602","$446,915","$519,441","$66,059","$55,143",,,"$2,652,777","$122,216","$321,211","$9,587,612",,,,"$38,451","$269,528",,,"$1,700,000",,,,,,,,,,,
Cousinhood (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$89,095",,"$60,589",,"$144,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom at the Farm (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyjafjallajökull (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,502",,,,,,,,,,,,,,,,"$23,004",,,,,,,,,,,,,,,,,,
August (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,324",,,,,,,,"$8,034",,,,,,,,,,,,,,,,,,,,,,,,,
Conversations with My Gardener (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$127,839",,"$221,688",,,"$11,811",,"$74,888",,"$464,056",,,,,,"$400,913",,,,,,,,,,,,,,,,,,
Gambit (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$169,500",,,,,,,,,,"$281,594","$1,347,682","$12,018","$149,714",,"$288,197",,"$10,704","$49,561",,,,,,,,,,,,,,,
Bed & Breakfast: Love is a Happy Accident (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$268,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Deep (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Me, Myself and Mum (2013)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$303,474",,"$42,200",,,,,"$10,457",,,,,,,,"$18,232",,,,,,,,,,,,,,,,,,
2 + 2 (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$135,037",,"$5,648,736",,,,,"$571,293",,,,,,,,,,,,,,,,,,,,,,,,,,
Heartbreak Hotel (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,714",,,,,,,,,,,,,,$480,"$72,206",,,,,,,,,,,,,,,,,,
Haunter (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$425,235",,,,"$53,685","$16,678",,,,,"$578,851","$73,748",,,,,"$40,547",,,,,,,,,,,,,,,,
Hours (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$145,308",,,,"$11,757","$6,229",,,,,"$70,500","$87,754",,,,"$34,950",,,,,,,,,,,,,,,,
French Fried Vacation 3: Friends Forever (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,354",,,,,,,,,"$380,000",,,,,,,,,,,,,,,,,,,,,,
The Starving Games (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,962",,,,,"$6,562",,,,"$60,098","$8,133",,,,,,,,,,,,,,,,,,,,
Ninja: Shadow of a Tear (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,210",,,"$16,891",,,,,,,,,,,"$38,147",,,,,,,,,,,,,,,,
Superclásico (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,443",,,,,,,"$11,214",,,,,,,,,,,,,,,,,,,,,,
Sunshine on Leith (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$588,998",,,,,,"$502,602",,,,,,,,,,,,,,,,,,
The Day of the Doctor (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,705,815",,"$178,034",,,,"$204,804",,,,,,,,,,,,,,,,,,
Evangelion: 3.0 You Can (Not) Redo (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,658","$60,035,858",,,"$190,748","$213,459","$2,043",,,"$17,951",,"$174,945",,,,,,,,,,,,,
River Queen (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$154,738",,,,,,"$617,299",,,,,,,,,,,,,,,,,,
Drift (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$912,636",,,,,,,,,,,,,,,,,,,,,,,,
One Piece: Strong World (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,192,309",,,,"$852,420",,,,"$14,490",,,,,,"$136,030",,,,,,,,,
Guilty of Romance (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$161,972",,"$31,067","$23,357",,,,,,,,,,,,,,,,,,,,
Trigun: Badlands Rumble (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,431",,,,,,,,,,"$62,027",,,,,,,,,,,,,
Yu-Gi-Oh! Bonds Beyond Time (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,017,928",,,,"$1,136,170",,,,,,,,,,,,,,,,,,,
After the Dark (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,532,173",,"$72,038",,,,,,,,,,,,,,,,,,,,
The Day of the Crows (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$86,421",,,,,,,,,,,,,,,,,,,,,,
De l'autre côté du lit (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$459,206",,,,,,,,,,,,,,,,,,,,,,
Devil's Pass (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,951,853",,,,,,,,,,,,,,,,,,,,,,
Gorko! (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,121,336",,,,,,,,,,,,,,,,,,,,,,
The Geographer Drank His Globe Away (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,191,435",,,,,,,,,,,,,,,,,,,,,,
HOUBA! On the Trail of the Marsupilami (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,790,759",,,,,,,,,,,"$650,000",,,,,,,,,,,
Easy Money II: Hard to Kill (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,481",,,,,,,,,,,,,,,,,,,,,,
My Son (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,896",,,,,,,,,,,,,,,,,,,,,,
It Boy (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$451,109",,,,,,,,,,,,,,,,,,,,,,
So Young (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,252","$183,256",,,,,,,,,"$114,710,000",,,,,,,,,,,
The Fourth Angel (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,211",,,,,,,,,,,,,,,,,,,,
A Perfect Man (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,030",,,,,,,,,,,,,,,,,,,,
Private Lessons (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,603",,,,,,,,,,,,,,,,,,,,
The Flower of Kim Jong II (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,085",,,,,,"$4,362",,,,,,,,,,,,,
Free the Mind (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,715",,,,,,,,,,,,,,,,,,,
Spinning Plates (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,407",,,,,,,,,,,,,,,,,,
Being Cyrus (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,246,407",,,,,,,,,,,,,,,,,
Linsanity (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,345",,,,,,,,,,,,,,,,
Open Grave (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,370","$21,065",,,,,,,,,,,,,,,
The Road (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$849,565",,,,,,,,,,,,,,,,
The Ferryman (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,628",,,,,,,,,,,,,,
Unbeatable (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,540,000",,,,,,,,,,,
Viper in the Fist (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,134",,,,,,,,,
