imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1754656,,The Little Prince (2015),"$964,460",,"$399,288",,"$941,911","$96,863","$7,243,920","$129,591",,,"$524,766","$24,037,389","$1,121,845","$178,020",,"$442,107",,,"$226,848",,"$66,525",,"$131,706","$11,547,541","$1,850,702",,"$641,920","$1,755,125","$283,519",,,,,,,"$10,254,077","$4,785,971",,,,"$135,478","$185,554","$247,271",,"$6,073,185",,"$260,243",,,"$235,685",$219,,,,"$426,567","$84,765","$3,325,436","$608,038",,"$151,168",,"$6,312","$129,649",,"$205,090","$111,700","$392,479","$3,559,516","$661,536",,"$110,010","$402,828","$64,994","$2,017,047","$265,810",,"$1,404,194","$383,143","$212,157",,"$151,342","$683,780","$19,244"
3774466,,Ashby (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,764",,,,,,,,,,,,,,,,,"$10,524",,,,
4082068,,Dheepan (2015),,,"$11,062",,"$202,689",,"$1,813",,,,,,,"$1,512",,,,,,,,,"$48,448","$3,882,022","$130,041",,"$63,645","$34,481",,"$3,247",,,,,,"$157,317",,,,,,,,,,,"$155,691",,,"$40,873",,,,,,,"$13,435","$18,534",,"$5,909",,"$4,867",,,,"$1,052",,"$32,355","$150,511","$60,475",,"$58,631",,,,,"$24,964",,,"$197,182",,,
4103404,,The Forecaster (2014),,,$652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210769,,Liza the Fox-Fairy (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$532,381",,,,,,,,,,,,,,,,,,"$8,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705388,,An Italian Name (2015),"$36,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,152,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,091",,,,,,,,,,,,,,
2245171,,The Cut (2014),,,"$15,945",,"$6,467",,,"$10,698",,,,,,,,,,,,,,,,"$153,083","$751,789",,,,,,,,,,,"$50,434",,,,,,,,,,,,,,,,,,,,,,,,"$2,008",,"$135,711",,,,,,,"$77,939",,,,,,,,,,,,,,
0451279,,Wonder Woman (2017),"$3,700,000","$23,921,017",,,"$713,000","$964,205","$33,500,000","$279,264",,,,"$90,498,909","$6,355,612",,,"$605,048",,"$412,845,172",,,,,"$981,610","$16,300,000","$9,200,000",,"$981,640","$6,500,000","$843,293","$317,791","$2,563,510","$8,600,000",,,,"$3,900,000","$12,200,000",,,,,,"$124,388",,"$22,686,262",,"$3,700,000","$3,631,668",,"$2,857,232",,,,"$221,718",,"$9,900,000","$1,366,850","$1,040,816",,"$1,114,612",,"$8,500,000",,,"$348,897","$88,325","$1,530,519","$15,500,000","$8,300,000",,"$2,300,000",,,"$11,000,000","$3,446,962",,"$1,700,000","$826,118","$4,322,551","$28,100,000","$213,556",,
4287320,,The Circle (2017),"$537,852","$7,827",,,,"$45,394","$2,617,294","$81,468",,,,,"$246,987",,,"$184,193",,,,,,,"$146,416","$2,710,162","$3,627,344",,"$147,121",,"$209,505","$9,459",,,,,,"$2,328,649",,,,,,,"$35,082",,"$325,468",,"$1,361,225",,,,,,,"$31,828",,,"$499,631","$314,072",,"$138,277",,"$1,055,767",,,"$101,675","$18,659","$127,224","$484,333","$1,813,176",,,,,,,,"$208,758","$138,996","$558,422",,"$46,291",,
0490215,,Silence (2016),"$106,685",,,,,,"$318,985","$13,209",,,,,"$151,600",,,"$22,452",,,,,,,"$41,782","$2,186,142",,,"$406,930",,"$57,792","$13,536",,,,,,"$1,722,338","$4,662,108",,,,,,"$69,156",,"$275,720",,"$115,183","$80,022",,"$23,417",,,,"$1,850",,,"$187,762","$964,332",,"$125,616",,"$440,590",,,"$15,496",$894,"$61,797","$663,037","$1,852,862",,,,,,"$39,111",,"$38,258","$48,128","$120,044","$1,895,486","$12,312",,
4411504,,The Clan (2015),"$10,360,307",,"$19,652",,,"$15,731","$415,277",$855,,,"$367,427",,,,,,,,"$46,825",,,,,"$272,944","$165,895",,,,,,,,,,,"$147,653",,,,,,,,,"$229,559",,"$210,556","$40,504",,,,,,,"$157,115",,,"$2,574",,,,"$12,739",,,,,,"$29,052","$630,309",,,,,,,,,,,"$55,878","$476,692",,
0889212,,The Victim (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$183,790","$368,626",,,,,,,,,,,,,,,,,,,,,,,"$6,417",,,,,,"$136,321","$908,435",,,,,,,,
3682448,,Bridge of Spies (2015),"$1,291,043","$5,432,428","$289,477","$171,871","$1,288,159","$48,995","$1,851,682","$93,852",,,"$224,726",,"$109,609","$116,421",,"$276,715","$925,491",,"$145,922",,"$31,519","$4,853","$320,675","$6,740,265","$3,878,006",,"$914,976","$1,343,544","$545,110","$33,512",,,,,"$1,764,598","$12,123,245","$5,517,223",,"$22,694",,"$57,074","$237,624","$92,970","$162,411","$1,752,608",,"$1,653,385","$764,117",,"$962,633","$106,992",,,,"$197,370","$379,087","$1,222,893","$581,409","$125,413","$550,870",,"$2,058,944","$107,579","$868,191","$4,440","$5,923","$267,760","$1,746,868","$9,783,901","$882,675",,"$593,973","$480,332","$1,270,978","$209,932",,"$884,235","$281,690","$1,194,467","$11,044,990","$73,211",,"$86,398"
