imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
3906444,,But Always (2014),,,"$132,337",,,,,,,,,"$36,590,000",,,,,,,,,,,,,,,,"$815,635",,,,,,,,,,,,,,,,,,"$31,524",,,,,,,,,,,,,,"$38,992",,,,,,,,,,,,,,,,,,,
3043630,,Tiny Times (2013),,,,,,,,,,,,"$77,600,000",,,,,,,,,,,,,,,,"$93,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086582,,Tiny Times 2.0 (2013),,,,,,,,,,,,"$47,220,000",,,,,,,,,,,,,,,,"$26,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4074958,,Somewhere Only We Know (2015),,,"$69,994",,,,,,,,,"$45,160,000",,,,,,,,,,,,,,,,"$6,642",,,,,,,,,,,,,,,,,,"$18,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3896016,,The Continent (2014),,,,,,,,,,,,"$100,110,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929433,,Triumph in the Skies (2015),,,,,,,,,,,,"$24,590,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3667648,,Do Not Disturb (2014),,,,,,,,"$30,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,374",,,,,,,"$14,547",,,,,,,,,,,,,,,,,,,,,
1725986,,Some Kind of Beautiful (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,773",,,,,,,,,,,,,,,"$815,338",,,,,,,,,,,,,,,"$194,787",,,,,,,,,,,,,,,,,,,,,
2737926,,Always Watching: A Marble Hornets Story (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,763",,,,,,"$660,972",,,,,,,,,,,,,,,,,,,,,
1528750,,Four Lovers (2010),,,,,,"$33,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,482",,,,"$16,210",,,"$14,071",,,,,,,
1524575,,The Vatican Tapes (2015),"$836,399",,,"$180,952",,,"$115,525","$855,419",,,"$175,480",,"$609,101",,,,,,"$253,897","$63,914","$6,558",,,"$769,688","$161,403",,"$96,246",,,,"$55,376",,,"$668,333",,"$42,809",,,"$9,120","$65,026","$42,218","$278,893","$2,990,474",,,,,,,,"$882,952","$97,221","$508,558","$73,110",,,,"$990,769","$13,165","$137,535",,,"$29,144",,"$130,596",,,,,"$9,389",,,"$45,173",,$201,"$36,357",,,
2822742,,3 Hearts (2014),,,,"$24,379",,"$182,451",,"$39,965",,,,,,,,,,,,,,,,"$2,319,513",,,,,,,,,,"$240,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$109,822",,,,,,,,,,,,,,
3756788,,Our Little Sister (2015),"$17,738",,,"$16,240",,,,"$44,078",,,,,"$16,004",,,"$2,691",,"$467,555",,,,,,,"$128,916",,,"$277,289",,,,,,"$67,258","$13,306,967",,,,,,,,"$32,493",,,"$196,520",,,,,,,,,,,,,,,,"$7,315",,"$653,340","$460,062",,,,"$138,068","$36,226",,,,,"$68,160","$9,189",,,
2361509,,The Intern (2015),"$1,301,285",,"$6,722,298","$736,034",,"$854,260","$34,617","$2,258,044","$134,937",,"$307,795",,"$606,280","$155,334",,"$223,184","$1,842,371",,"$227,618",,"$113,210",,"$342,561","$2,597,353","$4,953,126","$148,374","$479,350","$3,936,786","$765,922","$58,404","$759,132",,"$1,778,538","$2,355,374","$14,015,444","$31,969","$15,017",,"$101,642","$436,365","$22,670","$241,912","$5,940,670",,"$1,639,265","$619,143","$76,222",,"$7,881",,"$586,717","$462,188","$1,050,920","$754,647",,"$474,279","$3,000,000","$4,434,498","$72,767","$1,227,995","$209,630","$29,687","$521,070","$24,069,877","$3,463,866","$1,008,546","$284,235","$1,142,225","$7,687,807","$713,665",,"$711,593","$494,226","$1,582,839","$4,121,679","$131,656","$2,866,948","$111,779",
0428965,,La petite Jérusalem (2005),,,,,,,,,,,,,,,,,,"$53,580",,,,,,"$378,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,890",,,
3467412,,Extinction (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074784,,Intrepido: A Lonely Hero (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,544,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082496,,A Bottle in the Gaza Sea (2010),,,,,,"$33,598",,"$175,721",,,,,,,,,,,,,,,,"$305,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$144,854",,,,,,,,,,,,,,
3774694,,Love (2015),,,,"$39,548",,,,"$58,857",,,,,"$9,625","$8,464",,"$48,377",,,,,,,"$12,746","$101,157","$45,918",,,,,"$12,221",,,,,,,,,,,"$58,042",,"$80,067",,,,,,,,,,,"$10,660",,"$11,471",,,"$9,608",,"$2,234","$37,150",,,,,,,,,,,,,"$65,829",,,,
3170832,,Room (2015),"$321,150",,"$697,777","$80,509",,"$164,150","$17,052","$1,185,909",,,"$47,468",,,"$28,359",,"$9,489","$241,863","$14,677,654","$73,188",,,,"$116,321","$738,683","$684,658",,"$303,871","$649,972",,"$70,502",,,,"$1,230,899","$1,620,378",,,,,"$22,972",,,"$1,760,929",,"$675,388","$151,159",,"$131,944","$1,060",,"$71,806",,"$464,911","$232,960",,,,"$14,962","$12,697","$142,669","$29,385","$12,448","$95,892","$596,351","$2,165,418","$43,872",,,"$460,186","$29,837",,"$139,670",,"$56,096","$4,418,834","$60,279","$22,965",,
1945044,,Exeter (2015),,,,,,,"$16,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$137,913",,,,,,,,,"$43,397","$17,554",,,,,,,,,,,,,,,,,,"$9,567",,,,,,,,,
1178197,,The World is Big and Salvation Lurks Around the Corner (2008),"$17,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593224,,In the Courtyard (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,690",,,
