imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2333784,,The Expendables 3 (2014),"$815,764","$3,951,610","$1,225,144",,"$1,384,771","$113,008","$10,787,256","$100,139",,,"$72,870,000","$659,219","$187,720","$496,419","$821,703",,,"$220,894","$279,840",,"$908,777","$8,670,253","$7,170,445",,"$435,646","$1,743,201","$593,498","$98,699","$2,379,090",,,"$3,936,843","$4,887,712",,,,"$330,796",,"$2,176,373","$5,746,377","$1,888,338","$525,021","$28,404","$831,999",,,"$1,003,968","$578,705","$801,556","$914,057",,,"$6,476","$50,071","$1,331,311","$187,373","$43,370","$420,030","$886,603","$4,145,916","$621,774",,,,,"$1,190,629","$3,112,485","$315,140","$2,219,393","$6,473,058","$47,398","$1,142,725",
2574698,,Gunday (2014),,"$91,302",,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,218,581",,,,,,,,,,,,,"$58,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215477,,RamLeela (2013),,"$428,991",,,,,,,,,,,,,,"$2,738,863",,,,,,,"$62,131",,,,,,,,,,,,,,,,,,,"$107,045",,,,,,,,,,,$790,,,,,,,,,,,,,,,,,"$1,503,029",,,
3175038,,The Villain (2014),,"$118,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$428,741",,,
1198101,,Kites (2010),,"$272,835",,,,,,,,,,,,,,"$1,685,269",,,,,,,,"$5,545",,,,,"$8,937,348",,,,,,,,"$3,305",,"$51,831",,,"$111,576","$9,303",,,,,,,,,,,,,,,"$81,429",,,,,,,$584,,"$16,325",,"$51,617","$679,530",,,
1267297,,Hercules (2014),"$2,201,725","$7,623,857","$1,105,416",,"$943,481","$569,930","$14,209,119","$839,485",,"$1,453,979","$13,170,000","$3,332,172","$122,757","$440,343","$395,702",,"$116,108","$1,050,515","$253,477",,"$191,601","$6,598,150","$7,824,447",,"$1,028,070","$582,498","$677,457","$96,323","$4,677,722",,"$1,111,078","$4,696,683","$3,447,257",,,,"$460,485",,"$4,291,639","$9,812,367","$1,597,704","$1,398,865","$115,064","$2,492,496",,,"$2,711,069","$2,120,304","$1,184,756","$657,779",,,"$22,250,541","$70,743","$2,270,200","$264,873","$83,020","$787,609","$520,039","$4,277,275","$589,873",,,,,"$1,667,529","$2,075,474","$1,506,855","$2,468,167","$9,112,916","$124,588","$518,585",
3872778,,Monty Python Live (Mostly) (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2371834,,Paradise: Hope (2013),,,"$168,059",,"$8,636",,,"$3,085",,,,,,,,,,,,,,,"$189,781",,,,,,,,,,,,,,,,,,,,,"$6,034",,,,,,,,,"$26,157",,,,,,,"$44,863",,,,,,,,,,"$3,816",,,
1348327,,Villa Amalia (2009),"$57,945",,,,"$10,135",,,,,,,,,,,,,,,,,"$2,522,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$402,622",,,,,"$15,903",,,,,,,,
1107807,,The Detective (2007),,,,,,,,,,,"$1,205,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972571,,A Most Wanted Man (2014),"$235,339","$1,238,949","$238,614",,"$302,335",,"$253,149","$68,175",,"$122,508",,"$66,602","$4,813","$78,181",,,,,,,"$39,164","$1,224,185","$2,576,077",,"$178,181","$55,917",,"$10,621",,,,"$1,279,330",,,,,,,,,"$1,030,455","$68,990",,"$154,399",,,"$103,091",,"$557,518",,,,"$348,600",,"$100,814","$25,958",,"$61,231",,"$1,882,957","$148,450",,,,,,"$94,158","$61,523",,"$3,254,206","$26,132",,
2870708,,Wish I Was Here (2014),,"$143,598","$61,241",,,,,,,,,,,,,,,,,,"$6,661","$556,958","$266,602",,,"$8,123",,,,,,,,,,,,,,,,"$10,496",,"$7,796",,,,"$17,801","$62,325",,,"$8,113","$419,860",,,,,"$24,938",,"$30,404",,,,,,,"$409,380",,,"$45,181",,,
2252680,,Family United (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,291",,,,,,,,,,,,,,,,,,,,"$4,202,521",,,,,,,,,,,,,
1235827,,Boogie (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,121",,,,,,,,,,,,,,,,,,,,
1192620,,Call of the Wild (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$206,094",,,,,,,,,,,,,,,,,,,,"$35,434",,,,,,,,,,,,,,,,,,,,,
2967006,,The Trip to Italy (2014),,"$2,562,401",,,,,,,,,,,,,,"$2,880,537",,,,"$43,492",,,,,"$12,258",,,,,,,,,,,,,,,,"$103,551","$454,227",,"$20,215",,,,,,,,,,,,,,,,"$43,766","$12,428",,,,,,,,,,,,
2176786,,For a Woman (2013),,,,,"$7,920",,"$20,439",,,,,,,,,,,,,,,"$1,191,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183034,,Earth to Echo (2014),,,,,,,,,,,,"$317,278",,,,,,"$110,518","$4,293",,,"$715,846",,,,,,,,,,,,,,,,,"$130,783","$188,176",,,,,,,"$201,429","$24,426",,,,,,,"$16,835",,,"$33,715",,,,,,,"$14,503","$31,703",,,"$113,830","$4,842,885",,,
