Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
Brokeback Mountain (2005),"$8,157,320",,,"$83,043,761",,"$17,957,778","$1,140,650","$324,604","$926,596","$7,179,701","$3,150,951",,"$1,536,782","$1,426,575","$11,172,574","$2,248,602","$1,062,447","$1,914,719","$3,389,280","$888,952","$929,808","$1,988,502","$573,184",,"$449,045","$254,587","$140,578","$382,426","$8,527,730","$5,132,953","$11,320",,"$36,312","$21,374","$36,880","$3,049,527","$781,901",,,"$47,626",,,,,,,,,"$2,136,998","$161,900","$448,905",,,,,,,,,,,,"$47,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabethtown (2005),"$1,330,324","$411,978","$28,695",,"$281,745","$2,848,129","$327,616","$569,810","$73,439","$2,155,147","$744,298",,,,"$2,644,635","$65,457","$465,151","$183,514","$473,790","$39,463","$42,642","$352,461","$321,753","$115,934","$82,509","$219,488","$27,516","$572,640","$1,325,418","$2,653,862","$37,026",,"$4,974","$11,794","$52,210","$968,704","$204,656","$101,582","$4,615","$54,154",,"$23,046","$113,284","$64,228","$46,885",,"$4,024,569",,"$552,244",,"$39,038",,,,,,,"$28,466",,"$19,603",,"$19,780","$13,063",,,,,"$132,296","$120,568","$161,488","$44,486",,,,"$71,164",,,,,"$34,873","$7,380",,,,,,,,,,,
North Country (2005),"$336,269",,,,,"$200,362",,,"$38,961","$644,643","$524,565",,"$75,472",,"$208,551","$23,477","$75,120",,"$43,063",,,"$16,573",,,,"$502,980","$12,071",,"$396,154","$531,358",,,,,,,"$355,951",,,,,,,,,,"$436,473",,,,"$7,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leila (1997),"$2,937",,,"$5,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Good Night, and Good Luck. (2005)","$2,645,417","$269,630",,,,"$4,400,071","$939,600","$55,064","$341,419","$2,396,646","$226,746",,"$37,552",,"$1,408,388","$81,979","$344,741","$182,754","$520,363","$17,886","$359,131","$173,063","$63,858",,,,"$20,848",,"$4,329,211","$2,890,928",,"$16,659",,"$13,749","$3,990",,"$154,452",,,"$8,591",,,,,,,,,"$74,597",,"$94,639",,,,,,,,,,,,,,,,,,"$11,216",,,,,,,,,,,,,,,,,,,,,,,
The Fog (2005),"$673,971","$131,237","$197,367",,,"$861,502",,"$142,695","$196,215","$493,504","$3,794,741","$14,550",,,"$1,645,012","$209,400","$117,634",,,,,,"$251,158","$82,004","$74,566","$163,142","$29,108","$874,491","$1,655,587","$969,171","$42,385","$200,852","$11,225",,,,"$18,497","$295,237","$118,391","$23,811",,"$202,339","$162,095","$94,115","$235,154","$16,849","$10,731","$321,174",,"$334,819","$149,344","$439,813","$207,195","$66,498","$46,355","$3,110","$30,022",,"$4,281","$37,243","$17,815","$26,925",,"$99,779","$204,979",,,,,,"$59,613","$31,000",,"$31,000",,,,,,,,"$11,066",,,,,,,,,,
Where the Truth Lies (2005),"$824,794",,,,,"$383,760","$134,900","$117,364",,"$178,526",,,"$28,557","$24,640","$269,363","$13,590","$50,457","$3,899",,,,,,,,,,,,"$459,374",,,,,,,,,,"$4,991",,,,,,,,,"$121,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stay (2005),"$1,288,789","$15,516",,,,"$56,727","$47,698",,,"$264,791","$959,753",,,,"$223,275",,"$65,052","$15,104","$159,146",,,,"$9,626","$38,361","$3,648","$9,921",,"$80,552","$130,672","$348,851",,"$23,860","$3,722",,,"$500,153",,,,"$1,800","$5,387",,,,,,"$135,971",,"$226,122",,,,,,,,,,,"$21,461",,,"$11,149",,,,,"$63,429","$20,755","$15,188",,,,,,,,,,,,,,"$103,995",,"$6,440",,,,,,
The Legend of Zorro (2005),"$14,030,764","$1,481,154","$623,028",,"$816,228","$7,082,711",,"$3,193,047","$965,093","$2,830,338","$5,192,366","$60,172","$598,732","$224,897","$5,709,859","$1,146,761","$1,148,079","$616,814","$1,036,222","$406,153","$783,428","$1,228,142","$222,952",,"$151,608","$907,419",,"$968,935","$9,952,755","$4,129,361","$196,045","$705,252","$36,458","$60,800","$48,581","$3,472,051","$502,280","$558,130","$194,050","$384,204",,"$705,039","$482,603","$262,804","$760,578","$77,293","$3,099,363","$578,952","$1,983,644","$752,929","$556,467","$3,896,419","$376,990","$154,840","$88,150","$39,538","$73,864","$67,189",,"$96,751","$44,528","$76,535","$52,872","$1,269,437","$920,401","$563,132","$3,773,735",,,,"$153,930",,,,,,,,,,,,,,,,,,,,,
The Weather Man (2005),"$24,660","$70,053",,,,"$1,947,395","$145,863",,,"$283,422","$282,098",,,,"$307,309",,,,,,,"$68,823","$51,826","$56,000",,"$29,214",,"$382,055","$588,069","$1,776,668",,"$86,628",,,,"$224,150","$33,773",,,"$13,062",,,"$46,631",,"$61,742",,,,,,,,,,,,,,,,,,,,,,,"$164,182",,,,,,,,,,,,,,,,,,,,,,,,
Saw II (2005),"$4,139,424","$1,255,227",,,,"$13,701,335",,"$788,237","$732,549","$4,524,055","$1,390,992",,"$421,412",,"$7,591,896","$273,668","$1,124,284","$248,355","$967,067","$167,797","$458,987","$1,137,425","$503,580",,"$162,378","$307,122","$100,698","$1,827,038","$4,116,688","$6,984,945","$48,015","$184,368","$25,771",,"$65,360",,"$317,409",,"$56,063","$6,358",,,,,,,"$2,870,442",,"$2,273,378","$97,400","$106,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime (2005),"$5,060,302","$366,892",,,,"$5,203,312",,"$1,684,347","$1,310,973","$2,236,291","$1,237,541",,"$202,889","$163,613","$8,092,972","$188,955","$1,670,816","$123,902","$1,017,528","$131,594","$195,939","$458,319","$622,308",,"$110,774","$1,112,861","$28,891",,"$2,453,321","$5,235,824","$33,942",,"$24,826",,"$79,251","$2,111,507",,,,"$28,155",,,,,,,,,"$1,512,003",,"$331,409",,,,,,,,,,,,,,,,,,,,,,,,"$279,636",,,,,,,,,,,,,,,,,
Empire of the Wolves (2005),"$5,152,138",,,,"$37,250",,"$443,100","$732,346",,,"$497,279",,"$271,973",,"$786,782",,,,,,,,"$192,774","$95,936","$114,428",,,"$938,222","$1,011,040","$1,356,699","$29,449","$151,970","$51,392",,"$8,046",,,,"$6,421",,,,,,,,"$270,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revolver (2005),"$1,062,590",,"$6,949","$84,738",,"$3,091,499",,"$2,206,780",,,"$105,091",,,,,,,,,,,,"$79,216",,,,,"$93,854","$49,670",,,"$61,322",,,,,,,,"$7,691",,,,,,,"$19,305",,"$8,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarhead (2005),"$1,791,480","$959,335","$85,573",,"$449,722","$9,551,884","$126,894","$398,844","$74,401","$2,682,850","$1,482,711",,"$251,949","$29,023","$4,718,788","$580,097","$873,792","$522,543","$587,663","$115,767","$438,743","$645,731","$311,392","$139,225","$45,200","$134,143","$61,903","$136,259","$2,122,937","$1,026,737","$44,159","$99,502",,"$4,839","$43,699","$447,137","$319,654","$123,179","$4,278","$16,432",,"$88,187","$46,754","$17,891","$152,761",,"$1,806,492",,,,"$22,169",,,,,,,"$13,842",,"$23,317",,"$40,608","$20,614",,"$83,471","$79,304",,"$243,433","$88,455","$100,073","$60,449",,,,"$70,160",,,,,,"$10,827",,,,,,,,$660,,,
Chicken Little (2005),"$14,704,069","$2,179,660",,,,"$23,557,158",,"$2,411,140","$2,316,024","$10,033,503","$11,352,998",,"$1,088,083","$1,997,675","$11,942,994","$4,805,503","$2,403,889","$3,173,658","$2,198,437","$975,688","$3,030,923","$2,316,917","$3,285,419",,"$363,495","$1,144,013","$210,335","$1,360,714","$11,077,762","$8,983,961","$34,174","$256,115","$143,951","$28,766","$42,696","$4,512,411","$1,286,993",,"$15,983","$86,845",,,,,,,"$22,295,952",,"$3,101,125","$805,400","$1,197,922",,,,,,,,,,,,,,,,,,,,,,,,"$171,813",,,,,,,,,,,,,,,,,
Joyeux Noel (2005),"$12,576,961",,,,,"$102,002","$96,300",,,"$406,955","$194,800",,"$12,213","$93,490","$1,331,057",,,"$42,265","$238,773","$20,780",,,,,,,,,"$511,525",,"$1,706",,,,,,"$130,525",,,,,"$16,941",,,,,,,"$43,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Rich or Die Tryin' (2005),"$4,844,667","$549,806",,,,"$3,699,933",,,,"$1,676,974",,,,,"$3,226,751","$76,714","$179,794","$34,326",,,"$59,362","$341,008",,,,"$194,287",,,"$19,247",,,"$94,433",,,,,"$250,149",,,"$7,719",,,,,,,"$102,198",,,,,,,,,,,,,,,,,,,,,"$221,241",,,,,,,,,,,,,,,,,,,,,,,,
Syriana (2005),"$3,775,479","$999,799",,,"$94,300","$7,162,144","$1,520,550","$279,830","$380,116","$2,844,996","$640,452",,"$489,883","$135,356","$4,433,699","$527,871","$648,989","$544,484","$1,072,911","$137,746","$798,165","$719,433","$184,070",,"$75,973","$254,564","$53,489","$483,413","$3,702,318","$4,340,039","$59,760","$124,228","$27,625","$26,007","$45,140","$696,510","$187,732",,"$103,266",,,,,,,,"$1,400,000",,"$544,451",,"$89,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derailed (2005),"$2,714,463","$425,500",,,,"$4,059,799","$306,700","$446,670","$796,018","$1,003,714","$1,665,805",,"$218,144","$135,365","$702,574","$246,866","$293,166","$215,293",,"$85,237","$83,981",,"$57,130",,"$68,453","$456,358","$49,661","$139,784","$1,488,122","$990,482","$44,617","$88,288","$38,115",,"$48,394","$504,733","$106,549",,"$40,331","$21,487",,,,,,,,,,,"$35,445",,,,,,,,,,,,,,,,,,,,,,,,"$50,679",,,,,,,,,,,,,,,,,
Pride & Prejudice (2005),"$2,705,558","$689,149","$143,593",,"$835,129","$26,561,151","$1,188,454","$601,208","$404,001","$5,332,568","$871,013",,"$1,031,645","$471,453","$7,144,454","$815,155","$700,157","$1,625,205","$1,495,454","$410,004","$608,171","$1,753,514","$1,005,422","$377,945","$442,993","$783,311","$78,734","$1,006,854","$3,726,496","$5,373,436","$51,166","$54,005","$26,847","$49,132","$71,024","$1,005,210","$1,049,314","$150,170","$17,558","$70,161",,"$43,661","$135,024","$15,834","$165,517","$45,961","$3,322,259","$103,426","$5,938,445",,"$217,590","$843,054",,,,,,"$42,507",,"$69,554",,"$105,709","$54,482","$167,670","$74,991",,,"$165,326","$332,491","$366,483","$89,031",,,,"$170,949",,,,,"$9,058","$5,631",,,,,,,,,,,
Edison (2005),"$512,850",,,,"$80,747",,,"$127,045",,,,,"$97,369",,,,,,,,,"$217,564",,,,,,,"$1,623,929","$502,753",,"$234,058",,,,,,,,,,,,,,,,,"$624,703","$100,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,261",,,,,,,,,,,,,,
Wolf Creek (2005),"$1,146,798","$26,745",,"$16,188,180",,"$3,040,179","$87,750","$132,978","$100,134","$4,692,266","$348,014","$5,385",$557,,"$722,327",,"$32,416","$52,706",,,"$43,398",,,,,,"$28,577","$212,278","$524,469","$89,023",,"$78,807",,,"$16,488",,"$91,039",,,"$4,964",,"$111,042","$26,092",,,,,,"$7,173",,"$59,695",,,,,,,,,,,,,,,,,,,,,,,,"$13,600",,,"$11,716",,,,,,,,,,,,,,
The Descent (2005),"$2,716,875",,,"$26,024,456",,"$4,838,455","$237,600","$558,071","$302,312","$627,446","$2,052,830",,"$85,287","$78,974","$631,215",,"$235,334","$138,344","$198,308","$11,377",,"$244,132","$141,462",,,,,"$485,133","$1,429,063","$419,065",,"$226,460",,,,"$158,166","$175,575",,"$63,325",,,,,,,,,,"$1,657,299",,"$215,981",,,,,,,,,,,,,,,,,,,,,,,,"$56,831",,,,,,,,,,,,,,,,,
Harry Potter and the Goblet of Fire (2005),"$50,780,955","$9,647,641",$47,"$290,469,928",,"$85,927,617","$1,500,000","$7,851,101","$3,426,597","$26,734,967","$20,736,930",,"$7,100,000","$5,966,462","$63,464,106","$9,234,565","$6,366,933","$7,185,393","$7,885,285","$3,764,485","$9,665,540","$12,124,503","$6,156,946",,"$2,726,003","$2,577,611","$614,236","$3,953,195","$24,156,390","$24,489,466","$252,160","$910,014","$679,392","$260,059","$220,063","$13,751,677","$4,095,716",,"$253,145","$183,315",,"$529,000",,,,,"$91,438,660","$2,060,000","$23,161,873","$4,644,800","$2,260,374",,,,,,,,,,,,,,,,"$11,500,000",,,"$814,000",,,,,"$1,196,175",,,,,,,,"$63,583",,,,,,,,,
Walk the Line (2005),"$2,074,086","$689,480","$59,316",,"$219,877","$17,780,351","$227,347",,"$58,496","$11,237,936","$780,505","$8,758","$336,206","$129,300","$13,189,684","$1,666,324","$1,807,012","$2,641,372","$1,956,148","$561,958","$1,323,329","$904,195","$122,715","$134,803","$46,910","$471,289","$263,265","$86,372","$1,185,249","$596,329","$10,931","$115,808",,"$32,030","$29,866","$720,467","$1,866,575","$137,861","$41,672","$50,226","$33,563","$88,170","$49,201","$31,672","$67,209","$16,958","$1,034,907","$20,993","$1,295,488","$56,862","$23,811","$120,285",,,,,,"$81,067",,"$25,486",,"$40,910","$15,314","$120,084","$86,999",,,"$158,814","$115,719","$145,916","$44,723","$15,755","$11,855","$12,775",,,,,,,,,,,,,,,,,,
Rent (2005),"$41,925","$3,269",,,,"$95,078",,,"$31,689","$139,246","$136,469",,"$226,684",,"$20,993","$98,631",,,,,,,,,,"$21,089","$35,896",,,"$15,348",,,,,,"$23,377","$2,558","$17,438",,$990,,,,,,,,,"$159,099",,,,,,,,,,$822,,,,,"$9,244","$29,450",,,,,,,"$17,000",,"$17,000",,,,,,,,,,,,,,,,,,
My Mother's Smile (2002),"$91,666",,,"$41,432",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,946,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zathura: A Space Adventure (2005),"$1,512,475","$91,427","$446,979",,"$94,655","$7,650,052","$232,684","$722,162","$406,840","$2,357,945","$4,576,129","$47,333","$1,251,783",,"$985,401","$67,843","$104,824","$44,353",,,"$68,459",,"$410,208","$167,637","$115,206","$243,268","$58,669","$433,477","$2,340,597","$250,076","$90,028","$129,951","$16,398","$9,567","$25,645","$855,494","$310,727","$381,362","$17,071","$11,825",,"$546,633","$205,775","$218,847","$267,962","$39,849","$3,512,580","$539,522","$309,507","$786,903","$213,713","$872,989","$171,643","$22,322","$19,370","$15,495","$5,245","$17,835","$15,040","$25,096","$11,657","$9,032","$6,810","$527,685","$347,672","$204,427",,,,"$129,516","$39,109","$16,195",,"$16,195",,,,,,,,"$8,125",,"$88,494","$80,442",,,,,,,
C.R.A.Z.Y. (2005),"$2,277,866","$70,039",,,,"$175,862","$20,500",,"$49,324",,"$7,915",,"$56,800",,,,,,"$157,441",,,,,,,,,"$46,084","$622,932","$166,162",,,,,,,,,,,,"$17,752",,,,,,,"$8,569",,"$15,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Season (2005),"$126,953","$11,426",,,,"$19,162","$26,970",,"$99,951","$70,495","$579,092",,,,,"$3,508",,,,,,,,,,"$42,229",,"$146,335","$2,342,463","$1,789,397",,,,,,"$158,136",,,,,"$2,142",,,,,,"$246,703",,"$7,675",,,,,,,,,,,,,,,,,,,,,"$3,792",,,,,,,,,,,,,,,,,,,,,,
The Ice Harvest (2005),"$254,522",,,,,"$22,622",,"$123,703",,,,,,,,,,"$17,161",,,"$16,211","$38,467",,,,,"$33,391",,"$599,747",,"$20,461","$12,241",,,,,,,,"$1,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yours, Mine & Ours (2005)","$37,455","$20,483","$266,014",,"$105,987","$2,369,263",,"$624,610","$156,338","$1,772,743","$4,398,746","$33,585",,,"$608,551","$21,206","$208,357","$25,845",,,"$1,679",,,,,"$971,135","$22,520",,"$1,778,306","$193,004","$52,859","$245,139",,"$13,992","$52,701","$1,627,801","$10,139","$267,022","$68,942","$48,814",,"$703,000","$213,201","$118,572","$306,506","$58,518",,"$90,751",$896,,"$277,387","$747,934","$163,944","$38,734","$29,442","$34,527","$31,712",,"$47,318",,"$14,914",,,"$32,251","$113,896","$78,726",,,,,"$15,654","$23,000","$70,192","$23,000",,,,,,,,,,,,,,,,"$12,750",,
The Libertine (2004),"$298,009","$86,723",,,,"$1,109,945","$224,600","$135,952","$153,513","$177,137","$586,513",,,"$34,317",,,,,,"$17,836",,"$58,746","$216,369",,"$58,990",,"$4,717",,"$388,265","$1,991,302",,,"$14,340",,"$38,895","$146,241",,,,,,,"$21,527",,,,,,"$119,254",,"$69,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to the Roses (2003),"$1,703,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$375,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondovino (2004),"$1,312,246",,,,,"$104,983",,,"$8,602","$68,638",,,,,"$64,303",,"$12,473",,,,,,,,,,,,"$7,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Point (2005),"$10,289,606","$766,634",,,,"$4,370,254","$2,089,900","$357,929","$1,286,092","$3,160,514","$847,564",,"$184,629","$275,764","$6,383,431","$829,201","$1,101,640","$733,585","$2,114,177","$155,087","$1,987,096","$816,285","$716,922","$54,376","$100,440",,"$14,490","$405,378","$9,142,118","$10,793,551","$26,107","$25,008","$45,518",,"$14,992","$1,634,140","$236,642",,,"$33,604",,"$81,827",,,,,,,"$765,795","$118,521","$477,095",,,,,,,,,"$25,193",,,"$9,466",,,,,,,,,,,,"$8,453",,,"$8,103",,,,,,,,,,,,,,
Paradise Now (2005),"$361,635","$36,865",,,"$19,038","$257,795","$23,200",,"$128,803","$116,650","$82,359",,,"$17,790","$501,420",,"$27,591",,,,"$3,078","$192,930",,,,"$2,140",,,"$233,775",,,,"$2,222",,,,,"$27,211","$19,560","$23,907",,,,,,,,,"$11,932",,"$32,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)","$33,829,693","$5,687,583",,,,"$77,933,064","$2,085,600","$8,098,706","$4,663,562","$25,842,771","$22,508,488",,"$3,750,000","$3,915,444","$27,615,030","$10,466,461","$3,356,567","$6,567,600","$4,693,960","$2,299,343","$5,652,970","$6,168,428","$7,024,581",,"$1,650,565","$2,521,435","$532,232","$2,409,907","$22,545,083","$21,649,934","$259,261","$946,830",,"$28,766","$202,155","$8,317,193","$5,599,603",,"$183,612","$237,237",,,,,,,"$57,301,079","$1,940,000","$13,983,100","$2,357,400","$2,683,520","$7,800,000",,,,,,,,,,,,,,,"$7,800,000",,,,,,,,"$1,170,518",,,,,,,,,,,,,,,,,
King Kong (2005),"$26,629,505","$4,683,067","$1,753,067",,"$1,878,143","$52,619,933","$1,945,286","$9,901,273","$1,962,899","$15,985,810","$16,424,831",,"$7,350,836","$5,079,955","$20,987,563","$4,119,017","$2,113,927","$4,590,812","$2,809,674","$1,206,257","$4,013,106","$4,796,229","$1,664,250","$559,088","$746,836","$2,261,789","$477,008","$2,262,188","$15,149,112","$10,920,325","$367,431","$1,856,959","$63,710","$129,986","$151,887","$5,987,670","$1,782","$3,038,821","$423,687","$398,207",,"$1,414,958","$1,368,397","$495,340","$1,889,304","$17,125","$19,533,654","$3,265,934","$24,777,357","$3,018,600","$1,459,715","$9,901,273",,,,,,"$167,587",,"$178,351",,"$427,080","$179,159","$7,672,734","$3,166,492","$1,909,701","$12,684,023","$3,369,650","$785,922","$1,346,385","$294,227",,,,"$1,610,500",,,,,"$203,979","$80,597",,,,,,,"$296,383",,,,
Memoirs of a Geisha (2005),"$5,438,950","$640,934","$705,485",,,"$12,663,017","$1,699,200","$1,783,166","$437,980","$7,797,594","$4,015,109","$25,025","$1,830,505","$720,024","$8,121,404","$661,707","$964,364","$317,589","$1,505,939","$839,474","$1,633,366","$1,038,326","$1,303,403","$496,947","$337,045","$230,823","$65,197","$974,101","$14,289,365","$5,356,263","$100,135","$238,317","$34,345","$172,347","$117,870","$933,891","$760,707","$1,138,000","$39,573","$164,865",,"$358,195","$195,103","$141,658","$357,067","$80,049","$10,974,880","$532,463","$6,332,236","$670,417","$303,387",,"$38,515","$41,724","$27,703","$28,299","$27,736",,"$23,141",,"$17,127","$195,311","$195,570","$192,772","$279,142","$603,467",,,,,"$224,861","$19,000",,"$19,000","$317,933",,,,,,,,,,,,,,,,,
The Family Stone (2005),"$2,524,833","$656,262","$136,480",,"$366,567","$2,122,771","$310,407","$572,020","$439,779","$3,876,354","$2,810,937","$12,885","$451,965",,"$3,606,811","$277,436","$624,738","$194,327","$689,706","$115,895","$258,911",,"$203,004","$289,585",,"$793,167","$79,931","$210,732","$4,510,592","$936,019","$32,401","$118,996",,"$42,701",,"$1,135,050","$292,873","$369,566","$34,867","$75,770","$303,721","$224,105","$99,229","$75,950","$279,128","$80,490","$377,386",,"$506,220","$28,848","$155,377","$654,199",,,,,,"$29,496",,"$62,975",,"$53,334","$34,375","$28,794","$207,997","$52,566",,,,"$175,956","$116,799","$47,306","$26,642","$26,330",,,,,,,,,,,,,,,,,,
The Promise (2005),"$1,159,735","$17,194",,"$669,625","$14,490",,"$220,478","$441,964",,,,,"$637,475","$654,435",,,,,"$90,898",,,"$3,605","$80,376",,,,,,"$55,741",,"$25,863","$62,737",,,"$16,220",,,,,,,,,,,,"$3,694,030",,"$4,547,427","$533,400",,,,,,,,,,,,,,,,,"$18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
The Matador (2005),"$315,933","$59,741",,"$12,594,698",,"$1,511,538",,"$495,769","$85,289",,"$306,033",,,,"$245,964","$94,122","$95,171","$130,983",,,,,"$141,158",,,"$101,554","$45,634","$49,977","$488,518","$9,037",,"$167,809",,,"$9,726","$176,391","$45,885",,,,,,,,,,,,,"$43,700","$36,571",,,,,,,"$4,110",,"$18,862",,,"$1,512",,,,,,,,,,,,"$80,583",,,,,,,,,,,,,,,,,
The Three Burials of Melquiades Estrada (2005),"$3,757,065","$253,934",,,,"$720,843","$216,150","$6,554",,"$533,114","$283,931",,"$21,288",,"$60,472",,,,"$137,757",,,"$17,011","$36,468","$5,256",,,,,"$812,026","$81,618",,,,"$5,186",,,"$69,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munich (2005),"$8,158,720","$1,554,667","$556,821","$47,403,685","$1,287,769","$8,959,351","$1,183,714","$763,934","$615,511","$4,028,980","$3,129,306",,"$734,059","$762,215","$7,138,856","$639,497","$807,055","$766,097","$1,315,441","$246,344","$1,368,854","$1,825,569","$1,015,460","$391,405","$273,994","$366,724","$130,292","$1,380,961","$7,308,697","$5,797,288","$84,400","$289,416",,"$55,899","$81,622","$1,892,306","$414,778","$338,132","$82,659","$62,784",,"$400,385","$229,071","$71,759","$356,731",,"$8,421,540",,"$5,247,924","$346,240","$308,494",,,,,,,"$30,014",,"$34,907",,"$89,770","$35,685","$288,587","$132,259","$113,149",,"$463,088","$317,607","$559,036","$114,436",,,,"$182,576",,,,,,"$17,252",,,,,,,,"$8,357",,,
The Producers (2005),"$189,524","$22,336",,,"$135,684","$4,919,699",,,"$232,373","$3,357,159","$83,125",,,,"$97,446","$57,889","$34,499","$15,020",,,"$21,409",,,,"$2,439","$73,524","$18,939",,"$134,687","$435,912","$15,453","$41,643",,,"$19,106","$410,986","$152,842","$57,960","$3,106","$1,309",,,,,,"$14,685","$7,910,540","$29,813","$10,185",,,,,"$4,712","$7,377",,,"$3,416","$8,274","$11,016",,"$7,591","$2,770","$15,744","$5,252",,,,,"$71,344","$3,645",,,,,,,,,,,,,"$15,431","$20,217",$705,,,,,,
Transamerica (2005),"$693,635","$13,929",,,,"$1,392,753",,,"$153,455","$421,768","$336,092",,"$14,654","$63,974","$418,852",,"$164,535",,"$333,708","$17,446","$44,323","$73,364",,,,,"$9,849",,"$539,289","$1,232,815",,,,,"$4,488","$49,331","$68,105",,,,,,"$40,281",,,,,,"$9,845",,"$33,974",,,,,,,,,,,,,,,,,,,,"$5,976",,,,,,,,,,,,,,,,,,,,,
Rumor Has It... (2005),"$1,500,000","$846,683",,,,"$4,402,147","$709,900","$745,988","$409,173","$6,252,677","$2,175,909",,"$180,818",,"$7,339,641","$367,886","$1,568,780","$260,550","$1,158,657","$45,252","$524,360","$1,262,563","$61,774",,"$34,334","$1,098,039","$125,289","$817,798","$2,736,483","$3,860,000","$60,283","$88,011",,"$44,577","$57,847","$1,515,258","$552,019",,"$74,831","$41,927",,,,,,,,,,,"$140,667",,,,,,,,,,,,"$46,230",,,,,,,,,,,,"$72,404",,,,,,,,,,,,,,,,,
Cheaper by the Dozen 2 (2005),"$21,719","$109,164","$295,612",,,"$11,100,702","$138,600","$634,784","$341,078","$6,775,165","$7,277,396","$39,624","$220,262",,"$893,031",,"$563,956",,,,,,,,,"$1,402,085","$62,367",,"$6,588,656","$70,307","$78,960","$337,954",,"$28,564","$40,536","$2,466,719","$789,152","$258,122","$70,214","$80,196","$1,125,495","$890,419","$355,731","$250,184","$569,061","$91,778",,"$254,572","$82,237","$87,100","$305,002","$1,007,047",,,,,,"$13,958",,"$7,782",,,,"$67,741","$249,655","$167,967",,"$853,268",,,"$86,554","$96,007","$39,394","$109,650","$187,868",,,,,,,,,,,,,,,,,
Fun with Dick and Jane (2005),"$4,031,813","$1,343,645","$328,246",,"$1,171,259","$12,250,387","$1,484,680","$3,096,605","$655,834","$8,656,151","$7,225,086","$30,901","$2,841,810","$1,137,110","$6,935,227","$2,287,693","$1,189,144","$980,437",,"$360,554","$1,413,534","$1,806,528","$506,848","$379,735","$85,746","$1,023,083","$222,510","$832,491","$4,472,511","$5,844,106","$69,136","$433,481","$35,840","$29,123","$133,995","$3,760,865","$895,575","$718,358","$91,946","$158,743",,"$899,869","$258,802","$113,995","$328,817","$61,496","$1,388,354","$360,248","$3,271,980","$635,258","$372,865","$3,750,459","$285,486","$151,794","$99,982","$32,458","$64,336","$75,845","$24,520","$111,227","$32,818","$25,883","$121,473","$263,012","$259,698","$266,994",,,,"$326,622","$188,825","$80,193",,"$80,193",,,,,,,,"$36,051",,"$1,188,384","$238,885","$31,604",,,,,,
