Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
Après Vous (2003),"$6,449,226",,,,,,,,"$65,492","$337,776",,,,,,,,,,"$66,428",,,,"$39,812",,,,,"$476,367","$430,008",,,,,,,"$157,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. & Mrs. Smith (2005),"$21,938,141","$4,655,460","$1,101,866",,"$2,346,756","$24,619,123","$2,963,780","$8,637,197","$1,785,119","$15,564,796","$11,021,415","$80,356","$8,449,213","$3,027,991","$25,475,366","$3,722,457","$4,617,069","$3,546,012","$4,961,220","$1,103,632","$2,377,197","$4,585,304","$2,090,155","$1,348,456","$950,610","$2,538,602","$391,792","$2,095,434","$15,474,522","$9,311,462","$261,186","$2,014,993","$209,548","$171,861","$191,689","$6,931,590","$2,573,584","$1,581,393","$339,060","$331,234","$1,526,901","$1,230,169","$600,124","$358,450","$1,006,906","$121,615","$38,730,834","$1,072,734","$21,583,459","$2,357,008","$617,198","$10,102,859",,"$391,124","$161,669",,"$180,615","$172,924",,"$196,573","$65,975","$384,634","$126,873","$1,237,270","$2,122,998","$1,114,065","$7,508,590",,,"$1,537,666","$312,130","$201,566","$362,056","$179,741",,,,,,,,,,,,,,,,,,
The Adventures of Sharkboy and Lavagirl 3-D (2005),"$303,014","$20,496","$733,683",,,"$4,104,037",,"$2,566,691","$555,399","$4,385,173","$3,162,038","$49,049",,,"$151,560","$208,407",,"$260,603",,,,,"$894,848","$236,701",,"$545,759","$57,973",,"$1,572,280","$171,042",,"$93,316",,"$16,315",,"$2,789,401","$919,527","$318,575",,,,"$829,380","$242,792","$234,901","$468,253","$94,943","$2,486,113","$95,812","$226,364",,"$438,726","$2,926,829","$63,045","$31,677","$25,033","$13,080","$7,021","$35,021",,"$52,968","$5,110","$64,762","$12,811","$31,852","$99,758",,,,,,"$139,015","$27,208",,"$27,208",,,,,,,,"$19,402",,,,,,,,,,
High Tension (2003),"$700,000","$30,476",,,,"$55,745",,,"$103,082",,"$499,236",,"$109,758",,,,,,,,,,,,"$20,398",,,,"$173,642","$874,157",,,"$2,575",$332,,,,,,,,,,,,,,,,,"$41,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladies in Lavender (2004),"$241,186",,,"$6,765,081",,"$6,086,902",,,,"$2,824,577","$206,004",,,,"$1,643,139",,"$92,620","$12,448",,,,"$89,024",,,,"$200,000",,"$29,895","$970,121",,,,,,,,"$1,172,023",,,,,,,,,,,,"$44,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman Begins (2005),"$10,069,984","$1,507,079",,"$206,863,479","$978,544","$21,311,957","$1,454,400","$1,295,104","$1,798,508","$12,262,670","$12,829,600",,"$1,331,204","$1,847,378","$7,035,261","$3,461,355","$1,629,100","$2,272,108","$1,084,811","$1,276,287","$2,903,727","$1,425,842","$780,360","$266,303","$221,135","$850,292","$436,199","$1,052,362","$8,680,753","$8,366,802","$75,626","$946,702","$53,004","$50,856","$108,181","$7,436,675","$1,668,960",,"$206,947","$98,849",,,,,,,"$12,375,128",,"$6,380,946","$1,693,000","$948,597",,,,,,,,,,,,,,"$1,000,000","$422,700","$1,049,000",,,,,,,,,,,,,,,,"$35,962",,,,,,,,,
Kings & Queen (2004),"$3,277,278",,,"$290,973",,"$193,332","$20,100",,"$23,631",,"$25,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Summer of Love (2004),"$597,308",,,,,"$551,872","$22,500",,"$43,786","$188,048",,,,,"$75,981",,,"$25,053",,,,"$40,845","$36,267",,,,,,,"$95,353",,,"$3,215",,"$4,329",,"$77,900",,,,,,,,,,,,,,"$3,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bridge of San Luis Rey (2004),"$244,278",,,"$49,981",,,,,,,"$70,220",,,,,,,,,,,,,,,,,,"$1,395,477",,,,,,,,,,,,,"$36,469","$3,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Ralph (2004),"$132,749",,,"$489,389",,,,,"$1,229",,"$213,908","$6,536",,,"$201,957",,"$11,847",,"$103,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$246,972",,"$2,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbie Fully Loaded (2005),"$8,667,406","$2,387,883",,,"$574,859","$11,937,455","$578,900","$1,250,329","$1,561,678","$7,221,400","$6,630,684",,"$349,466","$311,136","$4,859,509","$1,627,573","$1,204,315","$1,355,519","$1,906,923","$424,674","$490,663","$1,653,384","$428,783",,"$235,067","$826,806","$158,415","$413,323","$4,099,164","$3,241,316","$14,029","$226,700","$43,214","$9,015","$26,538","$1,730,786","$1,012,187",,"$13,669","$97,009",,,,,,,"$190,645",,,"$320,400","$263,144",,,,,,,,,,,,,,,,,,,,,,,,"$185,792",,,,,,,,,,,,,,,,,
Land of the Dead (2005),"$2,409,214","$314,256","$103,539",,"$250,072","$3,892,309","$236,352","$843,800","$262,951","$1,100,344","$834,204",,"$661,595","$436,098","$1,811,001","$336,496","$441,197","$134,388","$190,974","$62,766","$142,407","$116,916","$222,274","$135,682","$49,600","$84,817","$46,789","$508,808","$1,441,398","$1,664,345","$13,794","$230,359",,"$14,040","$38,886","$276,974","$180,122","$323,291","$31,558","$7,530",,"$91,636","$172,252",,,,"$2,776,071","$362,849","$567,549","$363,102","$104,152","$1,202,263",,,,,,,,,,"$45,939",,,"$412,518","$147,996",,,,,"$45,782",,,,"$32,505",,,"$198,291",,,,,,,,,,,,,,
Bewitched (2005),"$5,652,088","$757,984","$317,254",,"$574,332","$8,148,111","$1,776,185","$630,684","$108,793","$7,357,198","$3,981,902","$16,770","$1,286,151","$520,336","$7,520,257","$70,436","$1,419,152","$39,373",,"$77,202","$41,326","$327,152","$257,602","$220,712","$72,078","$494,301","$86,367","$692,538","$4,995,679","$3,562,134","$40,872","$222,818","$20,730","$24,986","$107,232","$2,171,497","$555,177","$543,277","$56,322","$93,277",,"$325,789","$241,529","$153,510",,"$48,194","$6,238,875","$358,500","$1,636,594","$208,672","$178,125",,"$110,020","$38,539","$38,729","$17,120","$39,285","$39,475","$27,545","$38,586","$18,502","$43,893","$34,022","$96,187","$288,303","$240,238",,,,"$134,045","$67,166",,,,,"$937,418",,"$324,983",,,,,,"$550,584","$244,084","$35,482",,,,,,
Rize (2005),"$904,384",,,,,"$75,933",,,,"$156,418",,,,,"$92,537",,"$13,234",,,,,,,,,,,,,,,,,,,,"$67,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
