Movie Name,South Africa,United Kingdom,Türkiye,United Arab Emirates,Portugal,Spain,Israel,Lebanon,Colombia,Ecuador,Uruguay,New Zealand,Germany,Italy,Netherlands,Austria,Sweden,Belgium,Greece,Ukraine,Norway,Romania,Czech Republic,France,Slovenia,Bulgaria,Croatia,Egypt,Finland,Estonia,Lithuania,Serbia and Montenegro,Latvia,Hungary,Iceland,Mexico,Argentina,Brazil,Venezuela,Peru,Bolivia,Russia/CIS,Australia,South Korea,Hong Kong,Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,Taiwan,Poland,Switzerland,Nigeria,Slovakia,Chile,Domestic,Denmark,Japan,India,Kuwait,East Africa,Central America,China,Ghana,Qatar,Oman,Bahrain,Ethiopia,Panama,Dominican Republic,Trinidad & Tobago,Jamaica,Curaçao,Aruba,Jordan
Somewhere (2010),"$16,311","$744,681","$40,068",,"$129,339","$708,159",,,"$23,480","$14,931","$26,183","$46,741","$1,410,752","$2,783,084","$317,822","$80,218","$144,639","$315,381","$79,368","$40,038",,,,"$3,372,519",,,"$7,719",,"$107,259","$3,108","$6,464",,"$14,176",,"$7,438","$84,728","$144,769","$301,085",,"$14,423",,"$525,831","$690,030",,"$61,872",,,,,,,,"$62,573","$318,972",,,,,"$358,836",,,,,,,,,,,,,,,,,,
Biutiful (2010),"$31,938","$922,687","$451,048",,"$212,860","$4,576,349",,"$3,463",,,"$41,876","$49,086","$1,062,656","$458,791","$790,782","$183,633","$304,015","$249,500","$247,403","$24,142","$60,580","$22,890","$139,648","$2,211,820","$39,191",,"$24,494",,"$112,158",,"$42,350",,"$28,189",,"$17,917","$2,789,488","$241,780","$499,662","$54,699","$61,448","$14,304","$27,135","$282,808","$100,148","$34,741","$30,529",,"$10,658",,,,"$36,200",,,,,,,"$469,730",,,,,,,,,,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 1 (2010),"$2,271,192","$86,087,576","$5,191,530","$1,763,995","$2,639,605","$19,019,199","$2,457,641","$247,426","$4,141,436","$1,672,807","$387,688","$5,172","$65,963,672","$24,923,463","$13,790,585","$5,987,866","$15,700,220","$8,944,329","$4,035,048","$2,929,841","$7,144,020","$640,734","$4,355,720","$51,104,397","$416,863","$422,072","$547,275","$403,632","$3,946,861","$210,781","$240,902","$238,911","$242,241","$2,174,361","$368,257","$22,901,947","$5,871,222","$23,910,192","$4,743,014","$2,359,543","$616,542","$26,318,659","$41,706,397","$18,084,930","$5,771,812","$4,546,240","$3,561,688","$5,714,696","$6,149,448","$4,688,620","$548,387","$6,233,772","$6,679,851","$7,468,284","$62,336","$1,006,050","$3,885,473","$296,374,621","$8,737,407","$82,471,556","$5,379,231",,"$81,777",,"$33,250,471","$36,655",,,,,"$2,806,092",,,,,,
The King's Speech (2010),"$1,392,993","$131,572,411","$1,070,958","$544,331","$2,182,740","$15,863,460",,"$132,260","$1,187,971",,"$419,050","$4,235,414","$23,598,859","$12,493,249","$5,243,043","$2,397,550","$5,387,966","$2,772,835","$2,553,444","$76,929","$3,944,392","$269,808","$1,125,784","$26,779,314","$288,335","$147,898","$211,430","$41,730","$2,380,158","$180,778","$111,392","$86,214","$169,742","$927,154","$207,995","$4,145,244","$2,649,964","$7,028,443","$547,794","$591,039","$18,219","$1,681,032","$32,552,584","$5,573,633","$1,313,009","$564,254","$112,194","$154,102",,,"$12,690","$1,670,607","$6,164,454","$5,240,346",,"$140,570","$347,653","$138,797,449","$3,365,113","$21,400,881",,,,,,,,,,,,,,,,,
Tangled (2010),"$3,090,371","$32,871,348","$1,754,015","$1,431,006","$3,354,699","$19,948,977","$2,400,516","$467,381","$5,315,615","$1,900,325","$298,901","$2,606,833","$41,402,705","$14,670,362","$5,271,277","$6,287,267","$8,136,288","$5,037,681","$2,787,668","$2,112,218","$4,277,671","$1,332,984","$1,505,262","$39,405,587","$450,847","$874,504","$219,250","$203,308","$2,193,981","$425,903","$441,097","$134,754","$266,338","$1,662,758","$160,873","$14,131,811","$8,228,969","$24,341,705","$6,863,748","$1,934,530","$744,876","$23,380,205","$22,557,011","$8,552,922","$1,898,944","$3,031,106","$3,000,230","$849,562","$1,894,079","$1,082,188","$1,114,664","$764,794","$5,211,955","$5,537,744","$19,890","$895,433","$4,380,606","$200,821,936","$5,339,406","$31,081,461",,,"$91,744",,,"$10,727",,,,,,,,,,,
The Fighter (2010),"$195,761","$10,143,236","$195,379","$312,778","$279,104","$1,994,268",,"$20,809",,,"$32,265","$695,146","$1,166,409","$3,200,200","$367,349","$99,285","$478,535","$194,445","$131,454",,"$441,612",,"$30,291","$2,290,863",,"$32,899","$35,257",,"$112,295","$12,480","$31,626","$3,012","$9,942",,"$32,699","$1,324,973","$155,834","$1,010,078","$184,128","$104,303","$28,043","$910,942","$6,120,836","$953,839","$116,043","$379,631","$112,358","$85,786",,"$35,240",,"$109,142","$190,217","$81,864",,,,,,"$226,233",,,,,,,,,,,,,,,,,
The World Unseen (2007),"$4,903",$390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London River (2009),"$54,261",,,,,"$412,385",,,"$64,891",,"$15,911",,,"$324,215",,,,"$73,176",,,,,,,,,,,,,,,,,,,"$77,714",,,,,,,,,,,,,,,,,,,,,"$7,200","$53,109",,,,,,,,,,,,,,,,,,
London Boulevard (2010),"$65,483","$2,101,617","$100,100","$249,278","$121,934","$572,756",,"$32,812",,,,,"$352,810","$825,402","$135,763",,,,"$227,808",,,"$86,308","$110,091","$1,075,397",,"$137,964",,,,,,,,"$29,388","$8,483",,,,,,,"$1,662,842",,"$73,704","$49,040","$25,836",,,,,,"$72,528","$143,703",,,"$30,105",,,,,,,,,,,,,,,,,,,,,
Skyline (2010),"$14,856","$4,318,687","$586,768","$324,877","$312,452","$3,198,153",,"$18,146","$288,896",,"$7,880","$191,815","$1,995,638","$2,238,925","$77,099","$43,982",,"$278,784","$60,834","$573,298","$108,448",,"$7,376","$1,424,403",,,"$14,979",,"$8,509","$13,416","$50,226",,"$25,972",,"$23,171","$1,909,935","$565,237","$1,069,222","$151,722","$365,612","$35,320","$9,358,456","$2,513,009","$5,480,835","$953,914","$285,666","$1,460,702","$1,334,122",,"$487,414","$91,026","$732,819","$235,029",,,,,,,"$2,353,637",,,,,,,,,,,,,,,,,
