Movie Name,South Africa,United Kingdom,Türkiye,United Arab Emirates,Portugal,Spain,Israel,Lebanon,Colombia,Ecuador,Uruguay,New Zealand,Germany,Italy,Netherlands,Austria,Sweden,Belgium,Greece,Ukraine,Norway,Romania,Czech Republic,France,Slovenia,Bulgaria,Croatia,Egypt,Finland,Estonia,Lithuania,Serbia and Montenegro,Latvia,Hungary,Iceland,Mexico,Argentina,Brazil,Venezuela,Peru,Bolivia,Russia/CIS,Australia,South Korea,Hong Kong,Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,Taiwan,Poland,Switzerland,Nigeria,Slovakia,Chile,Domestic,Denmark,Japan,India,Kuwait,East Africa,Central America,China,Ghana,Qatar,Oman,Bahrain,Ethiopia,Panama,Dominican Republic,Trinidad & Tobago,Jamaica,Curaçao,Aruba,Jordan
Peepli Live (2010),,"$136,106",,,,,,,,,,"$7,248",,,,$932,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (2010),,"$1,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restrepo (2010),,"$92,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,635",,,,,,,,,,,,,,,,,,,,,,,,
Waiting for Superman (2010),,"$1,594",,$470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,348",,,,,,,"$7,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perrier's Bounty (2009),,"$160,430",,"$6,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In a Better World (2010),,"$129,998","$52,662",,,"$1,351,523",,,,,"$40,555","$93,016","$664,919","$807,897","$115,862","$36,701","$2,269,634","$62,393","$52,738",,"$174,333",,,,,,,,"$98,821",,"$7,750",,,,"$24,370","$109,668","$75,452","$163,375","$45,730","$24,547","$8,198","$23,438","$154,517","$319,612","$13,356","$11,604",,"$8,024",,,,,"$66,927",,,,,,"$4,988,786",,,,,,,,,,,,,,,,,,
Heartbreaker (2010),,"$935,327","$123,105",,"$13,314","$1,510,738",,"$12,574",,,,"$188,672","$2,114,901","$729,592",,"$594,441","$24,711","$143,573","$49,323",,,,"$132,528","$37,273,565","$21,679","$13,130","$90,875",,"$131,602",,"$25,248",,"$7,667",,,"$63,125","$124,197",,,"$62,301",,"$1,380,860","$551,652","$199,020","$34,873","$89,491",,,,,,"$6,149","$523,587",,,"$39,819",,,,,,,,,"$307,840",,,,,,,,,,,,
Heartbeats (2010),,"$15,730","$6,377",,"$2,739",,,,,,,,"$159,828",,,"$20,656",,"$40,158",,,,,"$4,078","$411,042",,,,,"$4,345",,,,"$11,897",,,,$791,"$31,148",,,,,"$1,691","$29,951",,,,,,,,,"$34,269",,,,,,,,,,,,,,,,,,,,,,,,
Jack Goes Boating (2010),,"$10,832",,,,"$163,727",,,,,,,"$77,578",,,"$7,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$541,992",,,,,,,,,,,,,,,,,,,
Lourdes (2009),,"$58,882",,,,"$82,474",,,,,,,"$263,748","$510,877","$8,719","$136,245","$30,653","$7,735",,,"$93,789",,,"$1,676,475",,,,,,,,,,,,,,,,,,"$20,430",,"$55,687",,,,,,,,"$1,556",,,,,,,,,,,,,,,,,,,,,,,,,
How I Ended This Summer (2010),,"$40,601",,,,,,,,,,"$8,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$607,115","$58,951",,,,,,,,,"$6,796",,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Boonmee Who Can Recall His Past Lives (2010),,"$135,857","$7,797",,,"$123,310",,,,,,,"$27,605","$161,192",,"$28,781",,"$58,514",,,,,,"$292,213",,,,,,,,,,,,"$12,819","$42,809",,,,,"$34,748",,"$39,012",,"$17,870",,"$33,084",,,,"$14,521",,,,,,"$184,292",,,,,,,,,,,,,,,,,,,
Certified Copy (2010),,"$497,860","$41,902",,"$15,038","$1,053,670",,"$9,032",,,"$56,324","$164,418","$386,766","$338,271","$134,217","$27,033","$100,404","$99,030",,,"$356,547",,,"$1,445,896",,,,,"$124,952",,,,,,,"$126,926","$275,763","$592,640",,,,"$46,802","$196,843","$123,055","$48,705",,,,,,,"$32,094",,,,,,,"$68,469",,,,,,,,,,,,,,,,,,
Wild Target (2010),,"$818,508","$79,553","$94,833",,,,"$15,856",,,,"$214,458",,,,,,,,,,"$86,258",,"$421,825",,,,,,,,,,,,,,,,,,,"$1,616,234",,"$38,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let it Rain (2008),,"$251,439",,,"$25,469","$257,516",,,,,"$15,072",,"$114,429",,,"$59,638","$209,908","$231,065",,,,,,"$8,367,768",,,,,,,,,,,,,"$140,668","$40,023",,,,,,,,,,,,,,,"$49,770","$221,317",,,"$11,608",,"$26,832",,,,,,,,,,,,,,,,,,
Tiny Furniture (2010),,"$24,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$391,674",,,,,,,,,,,,,,,,,,,
Rare Exports (2010),,"$121,191",,,,"$13,838",,,,,,"$15,586",,,,,,,,"$44,860","$64,263",,,,,,,,"$3,028,688",,"$14,131",,,,,,,,,,,"$472,170","$76,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blossoming of Maximo Oliveros (2005),,"$10,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet II (2010),,"$4,140",,,,,,"$5,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stray Dogs (2004),,"$13,639",,,,,,,,,,,,"$31,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Company Men (2010),,"$114,749",,"$63,192","$89,744","$1,441,493",,"$6,600",,,,"$102,848","$163,801",,,,,"$87,955","$56,839",,,,,"$1,096,948",,,,,,,,,,,,,,,,,,,"$421,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother and Child (2009),,"$7,472","$87,085","$4,843","$61,558","$1,636,486",,,,,"$22,686","$181,219","$364,550","$10,015",,"$72,345","$14,423","$128,467",,,,,,"$331,427","$18,531",,,,,,"$11,210","$3,317",,,,"$323,132","$52,955","$106,023","$32,401","$22,550","$4,707","$20,788","$854,432","$49,879","$50,738","$10,578","$13,903",,,,,,,,,,"$13,742",,,,,,,,,,,,,,,,,,,,
I Saw the Devil (2010),,"$1,464","$43,854",,"$13,817",,,,,,,,,,,,,,,,,,,"$82,333",,,,,,,,,,,,,,,,,,"$14,395",,"$12,068,632","$11,797","$24,707",,,,,,"$6,445",,,,,,,,"$569,703",,,,,,,,,,,,,,,,,
Sweetgrass (2009),,"$1,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$207,473",,,,,,,,,,,,,,,,,,,
Baghban (2003),,"$1,212,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,613,875",,,,,,,,,,,,,,,,
Mujhse Shaadi Karogi (2004),,"$1,082,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,864,815",,,,,,,,,,,,,,,,
White Material (2009),,"$134,404",,,,"$414,579",,,,,,,,,"$6,851",,"$110,155","$5,075",,,,,,"$404,077",,,,,,,,,,,,"$4,581",,,,,,"$8,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Secret World of Arrietty (2010),,"$659,608","$6,105","$74,788",,"$522,832",,"$4,430",,,,"$51,260","$9,608","$808,392",,"$5,261","$103,643","$42,368",,,"$293,036",,,"$7,010,476",,,,,"$263,337",,,,,,,,,,,,,"$124,751","$428,799","$6,857,295","$1,750,575",,,"$26,631",,,,"$695,973",,,,,,"$19,587,032","$141,225","$110,013,058",,,,,,,,,,,,,,,,,
Tucker and Dale vs Evil (2010),,"$1,825",,"$63,849","$7,414",,,,,,,,"$439,270",,"$147,077","$161,818",,,,"$78,533",,,,"$935,023",,,"$26,966",,,"$22,470","$56,585",,"$12,001",,,,,,,,,"$3,048,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countdown to Zero (2010),,"$15,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band Baaja Baaraat (2010),,"$39,004",,,,,,,,,,"$2,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$448,"$19,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Land (2010),,"$36,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Night (2010),,"$258,250","$155,276","$85,869","$173,152","$587,676",,"$43,631",,,"$26,635","$3,026","$898,100","$1,517,431","$26,850","$40,803",,"$373,949","$130,026",,"$25,946",,,"$2,386,504",,,,"$11,642",,"$15,809","$47,336",,"$35,201","$69,290",,"$467,954","$96,619","$237,769","$160,344","$45,554",,"$1,916,510","$11,820","$833,587","$107,134",,,"$13,527",,,,"$91,879",,"$47,969",,,,"$99,000",,,,,,,,,,,,,,,,,,,
Main Prem Ki Diwani Hoon (2003),,"$828,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,183,904",,,,,,,,,,,,,,,,
Ghajini (2008),,"$1,059,429",,,,,,,,,,"$64,844",,,"$70,554",,,"$22,708",,,,,,,,,,,,,,,,,,,,,,,,,"$338,434",,,,,,,,,,,,"$9,966",,,,,,"$34,320,022",,,,,,,,,,,,,,,,
Kisses (2008),,"$28,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,253",,,,,,,,,,,,"$81,680",,,,,,,,,,,,,,,,,,,
The Nun (1966),,"$2,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poetry (2010),,"$12,289",,,"$33,992","$155,966",,,,,"$5,951",,,"$252,125",,,,"$48,849",,,,,,"$348,556",,,,,,,,,,,,,"$20,405",,,,,"$3,701",,"$1,301,057",,,,,,,,,,,,,,"$356,149",,,,,,,,,,,,,,,,,,,
I Spit on Your Grave (2010),,$967,"$59,233",,,,,,,"$55,673","$10,109",,,,,,,,,,,,,,,,,,,,,,,,,"$328,763","$62,694","$150,110","$91,354","$222,714","$34,669","$126,778",,,,"$42,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mademoiselle Chambon (2009),,"$33,851",,,,"$182,622",,,,,"$26,880","$49,297","$473,674",,,"$75,132","$10,768","$4,324",,,,,,"$3,870,839",,,,,,,,,,,,,"$137,726",,,,,,"$106,940",,,,,,,,,"$7,633",,,,,,,,,,,,,,,,,,,,,,,,,
Even the Rain (2010),,"$44,783","$17,356",,"$10,150","$5,722,780",,,,,,,"$702,688",,,"$42,206",,"$109,994",,,,,,,,,,,"$17,529",,,,,,,,,,,,"$127,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to the Rileys (2010),,$817,,,"$3,946",,,,,,,,"$39,815",,,,,,,,,,,"$158,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$158,898",,,,,,,,,,,,,,,,,,,
The Right of the Weakest (2006),,"$1,742",,,,,,,,,,,,,,,,"$44,335",,,,,,"$1,007,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadewijch (2009),,"$2,014",,,"$10,104",,,,,,,,,,,,,"$3,788",,,,,,,,,,,,,,,,,,"$21,503","$25,715",,,,,,,,,,,,,,,,"$6,456",,,,,,,,,,,,,,,,,,,,,,,,
Silent Souls (2010),,"$15,592",,,,,,,,,,,,"$95,864",,,,"$43,962",,,,,,,,,,,,,,,,,,,,,,,,"$394,753","$13,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Strong (2010),,"$70,772",,,,"$61,588",,,,,,,"$125,526",,,,,"$2,610",,,"$2,225",,,"$24,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Rapids (2011),,"$527,937",,,,"$24,940",,,,,,,"$111,192",,,,,,,,,,,"$1,006",,,,,,,,,,,,,,,,,,"$202,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burke and Hare (2010),,"$3,661,217",,"$11,277",,,,"$5,521",,,,"$31,484",,"$325,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$675,334","$76,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client 9 (2010),,"$3,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul (2011),,"$23,329,759",,"$333,471",,"$3,514,809",,"$43,115","$93,952","$48,732","$4,758","$1,110,657","$6,006,157","$2,404,667","$337,821","$1,456,253","$38,775","$573,918",,"$360,221","$177,119","$89,604","$108,100","$6,216,220","$68,933",,"$48,385","$19,858","$102,688","$39,299","$32,991","$13,124","$34,131","$37,360","$60,007","$408,685","$13,600",,"$177,597","$128,275","$16,046","$2,884,009","$7,029,774","$417,407",,"$323,416","$220,225",,,"$66,230","$78,281",,,"$125,071",,"$40,166",,,,"$245,364",,,,,,,,,,,,,,,,,
Drive Angry (2011),,"$2,026,367","$935,591","$877,929","$88,306","$1,040,772",,"$95,855","$197,097","$208,960","$23,673",,"$2,853,626","$1,173,146","$1,078,706","$562,611",,"$508,356","$295,825","$566,160",,"$448,319","$159,422","$2,200,002","$65,346","$213,300","$67,393",,,"$52,284","$71,441","$41,251","$33,261","$389,740","$7,808","$889,447","$1,006,202","$2,319,614","$721,493","$255,370","$84,496","$5,749,682",,"$226,928",,"$74,437","$749,659","$203,159",,"$322,358",,"$205,240","$685,583","$334,624",,"$78,037",,,,,,,,,,,,,,,,,,,,,
Take Me Home Tonight (2011),,"$134,482",,"$72,414",,,,"$51,229",,,,,,"$286,932",,,,,,,,,,"$11,226",,,,,,,,,,,,,,,,,,,,,,,"$65,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tempest (2010),,"$37,380",,,"$4,006",,,"$15,824",,,,"$12,667",,,,,,,,,,,,,,,,,,,,"$10,931",,,,,,,,,,"$32,139",,,"$14,461",,,,,,,$510,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Wood (2010),,"$550,334","$38,003",,,"$383,827",,,,,,"$6,752","$114,183",,"$194,767","$32,607","$190,850","$101,772",,,"$125,832",,"$31,284",,,,,,"$80,312",,,,,,,,,"$28,998",,,,"$225,053",,"$132,453","$257,320","$77,990",,"$19,783",,,,"$150,304",,,,,,"$13,000","$49,609","$16,339,686",,,,,,,,,,,,,,,,,
Crude (2009),,"$15,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Rollers (2010),,"$117,046",,,,,,,,,,"$19,193",,,,,,"$27,235",,,,,,"$277,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potiche (2010),,"$1,312,028","$43,879",,,"$828,305",,"$11,782",,,"$22,733","$216,769","$4,254,683","$1,051,787","$508,221","$634,316","$301,836","$894,767","$69,716",,"$192,299","$12,614",,"$18,154,444",,,,,"$53,423",,"$10,043","$18,644","$24,144",,,"$68,976","$163,230","$501,602","$113,623",,,"$193,330","$832,364",,,,,,,,,,"$201,479",,,,,,,,,,,,,,,,,,,,,,,,
Cave of Forgotten Dreams (2010),,"$959,905",,,"$28,954","$138,116",,,,,"$21,681","$180,591","$629,949","$25,100","$44,939","$149,771",,,,,,,,"$202,523",,,,,,,,,,,,"$19,587","$139,327","$45,233",,,,,"$292,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super (2010),,"$28,411",,,,,,,,,,,,"$66,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troll Hunter (2010),,"$781,458","$14,386",,"$5,828",,,,,,,,,,,,,"$21,946",,,"$3,906,234",,,"$23,737",,,"$2,850",,,,,,,,,"$202,745",,,,"$27,643","$19,641",,,,,,"$67,807",,,,,,"$13,379",,,,,,,,,,,,,,,,,,,,,,,,
Senna (2010),,"$4,938,220","$1,441",,,"$104,526",,,,,"$1,951","$189,793","$128,217","$14,683",,,,,,,,,,"$9,640",,,,,,,,,,,,"$282,068",,"$1,330,503",,,,,"$1,334,411","$13,668",,,,,,,,,,,,,,,,"$236,110",,,,,,,,,,,,,,,,,
Death Note: The Last Name (2006),,"$2,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,307,434","$1,837,633",,"$428,294","$579,658",,,,"$591,416",,,,,,,,"$41,171,082",,,,,,,,,,,,,,,,,
Stone (2010),,,"$738,913","$366,385","$269,494","$2,296,632",,"$29,692",,,"$26,226",,,,,,,"$36,697","$470,417","$40,006",,,,"$555,014",,"$73,331","$13,965",,,"$16,926","$22,156","$37,585","$16,928",,"$1,540","$655,036","$263,515","$279,806",,"$123,863","$1,123","$1,932,313",,"$69,351",,,,,,,,"$153,424",,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Girl (2010),,,"$43,827",,,,,,,,,,,,,,,,,,,,,,"$26,616",,,,,,,,,,,,,,,,,,,,,,,"$17,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Soul to Take (2010),,,"$232,341","$154,413",,"$42,715",,,,,,,"$95,950",,,,,,"$381,593","$101,171",,,"$34,050",,,"$36,356",,,,,,,,,,"$241,534",,"$226,504","$176,618","$115,496",,"$4,211,467",,,,"$90,806","$150,781","$77,900",,"$125,009",,"$73,867","$187,807",,,,,,,,,,,,,,,,,,,,,,,,
Eden Is West (2009),,,"$14,817",,$433,"$99,470",,,,,,,,"$550,811",,,,"$13,973","$633,532",,,"$6,863",,"$839,486",,,,,,,,,,,,,,,,,,,"$28,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The First Beautiful Thing (2010),,,"$16,239",,,"$675,848",,,,,"$38,929",,,"$9,115,665","$36,643","$10,564","$85,888","$52,228",,,,,,"$97,010",,,,,,,,,,,,,"$258,357","$169,334",,,,,,,,,,,,,,,,,,,"$12,473",,,,,,,,,,,,,,,,,,,,
The Reef (2010),,,"$9,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home for Christmas (2010),,,"$1,875",,,"$30,883",,,,,,,"$40,087","$79,112",,"$13,973",,,,,"$1,118,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,270",,,,,,,,,,,,,,,,,,,,,,,,,
We Are the Night (2010),,,"$62,237","$60,163",,"$19,606",,,,,,,"$859,026",,,"$69,609",,,,,,,,"$323,356",,,,,,,,,,,,,,,,,,"$1,011,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Simon (2010),,,"$14,299",,,,,,,,,,,,,,"$3,462,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Letter (2010),,,"$118,665","$85,413",,,,,,,,,,,,,,,,,,"$18,110","$23,691",,,"$7,819",,,,,,,,,,"$51,049",,,,"$107,432",,"$304,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanishing on 7th Street (2010),,,"$445,320","$62,556",,,,,,,,,,"$46,957",,,,,,,,,,,,,,,,,,,"$7,619",,,,"$198,343","$130,600",,"$57,101","$5,104",,,"$497,441",,,,"$98,039",,"$60,922",,"$1,502",,,,,"$36,963",,,,,,,,,,,,,,,,,,,,
Süt (2008),,,"$37,552",,,"$9,875",,,,,,,,,,"$1,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hideaway (2009),,,"$12,995",,"$10,332","$117,067",,,,,"$4,150",,"$111,286","$53,683","$20,864","$7,315",,"$7,380",,,,,,"$363,871",,,,,,,,,,,,"$35,853","$47,796",,,,,"$53,169",,"$28,706","$11,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happythankyoumoreplease (2010),,,"$60,765",,,"$551,472",,,,,,,,,,,,"$7,959","$17,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesrine: Public Enemy No. 1 (2008),,,"$29,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,763",,,,,,,,,,,,,,"$275,387",,,,,,,,,,,,,,,,,,,
Undisputed 3: Redemption (2010),,,,"$278,573","$3,161",,,"$3,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos (2010),,,,"$90,943","$26,503","$58,286",,"$14,915",,,"$1,128",,"$590,710",,,"$45,001",,,"$54,129",,,,,,,,,,,,,,,,,"$11,476","$18,809",,,,"$1,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Romantics (2010),,,,"$47,228",,,,"$19,971",,,,,,,,,,,,,,,,,"$16,453",,,,,,,,,,$843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casino Jack (2010),,,,"$4,499","$13,381","$21,224",,,,,,,,,,,,,"$126,026",,,,,,,,,,,,"$12,278",,"$10,566",,,,,,,,,,,,,,,,,,,,,,,,,"$1,042,959",,,,,,,,,,,,,,,,,,,
13 (2010),,,,"$304,115",,,,"$15,434",,,,,,,"$158,519",,,,"$70,849","$440,135",,,,,,,"$46,001",,,"$8,260","$21,388",,"$14,704",,,,,,,,,"$2,565,907",,"$56,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's Alive (2009),,,,"$121,768",,,,"$24,261",,"$10,756",,,,,,,,,,,,,,,,,,"$23,936",,,,,,,,"$224,474","$118,181",,"$111,002","$129,909","$38,219",,,,,,,,,"$136,787",,,,,,,"$95,974",,,,,,,,,,,,,,,,,,,,
Blackout (2007),,,,"$37,464",,,,,"$19,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$177,157",,"$296,411",,,,,,,,,,,,,,,"$23,460",,,,,,,,,,,,,,,,,,,,
Grimm Love (2006),,,,,"$21,862",,,,,,,,"$36,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Paint or Make Love (2005),,,,,"$4,496","$216,052",,,,,,,"$235,567","$39,589",,,,,,,,"$2,437",,"$4,301,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,657",,"$122,157",,,,,,,,,,,,,,,,,,,,,,,
Under the Sun of Satan (1987),,,,,$923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,765",,,,,,,,,,,,,,,,,,,
Beware of a Holy Whore (1971),,,,,$957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,144",,,,,,,,,,,,,,,,,,,
Army of Crime (2009),,,,,"$1,159",,,,,,,,,,,,,"$26,370",,,,,,"$1,135,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspector Bellamy (2009),,,,,"$18,116",,,,,,"$10,467",,"$556,266",,,"$86,810",,"$5,943",,,,,,"$2,725,242",,,,,,,,,,,,"$39,440","$140,116",,,,,,,,,,,,,,,,,,,,"$9,129","$107,612",,,,,,,,,,,,,,,,,,,
Desert Flower (2009),,,,,"$42,672","$249,048",,,,,,"$83,277","$9,708,595",,"$69,728","$1,937,745",,"$212,918","$673,082",,"$41,554","$5,614","$21,077","$454,299",,,,,"$259,802","$22,720",,,,,,,,"$201,442",,,,,"$89,766","$57,668",,,,,,,,,"$394,009",,,"$113,579",,"$44,348",,,,,,,,,,,,,,,,,,,
The City of Your Final Destination (2009),,,,,"$4,387",,,,,,,,,"$916,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,630",,,"$4,821",,,,,,,,,,,,"$493,296",,,,,,,,,,,,,,,,,,,
Afterwards (2008),,,,,,"$324,158",,,,,,,,,,,,"$88,415",,,,,,"$2,332,825",,,,,,,,,,,,,,,,,,"$551,443",,,,,,,,,,"$7,125",,,,,,,,,,,,,,,,,,,,,,,,,
'R Xmas (2001),,,,,,"$17,604",,,,,,,,,,,,,,,,,,"$80,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$850,,,,,,,,,,,,,,,,,,,
Agnosia (2010),,,,,,"$760,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,708",,,,,,,,,,,,,"$15,002",,,,,,,,,,,,,,,,,,,,,,,,
The Last Summer of La Boyita (2009),,,,,,"$11,322",,,,,,,,,"$2,770",,,,,,,,,,,,,,,,,,,,,"$6,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Virgins (2005),,,,,,"$5,651,668",,,,,,,,,,,,,,,,,,"$24,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Circus (2010),,,,,,"$3,126,895",,,,,"$4,466",,"$14,485",,,,,"$12,389","$9,456",,,,,"$145,631",,,,,"$16,733",,,,,,,,"$100,395",,,"$63,762",,"$52,878","$3,822",,,"$7,928",,,,,,,,,,,"$5,210",,,,,,,,,,,,,,,,,,,,
The Outrage (2010),,,,,,"$2,244",,,,,,,,,,,,,,,,,,"$141,174",,,,,,,,,,,,,,,,,,"$26,861",,"$7,275","$21,424","$23,214",,,,,,,,,,,,,,"$8,190,804",,,,,,,,,,,,,,,,,
Madeinusa (2006),,,,,,"$202,241",,,,,,,,,,,,,"$3,973",,,,,,,,,,,,,,,,,"$36,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stella (2008),,,,,,"$56,541",,,,,,,,"$491,218","$9,630","$8,901",,"$32,909","$41,729",,,,,"$692,001",,,,,,,,,,,,,"$17,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Ange (2004),,,,,,"$1,724,086",,,,,,,,"$240,769",,,,,,,,,,"$1,581,320",,,,,,,,,,,,"$1,012,236",,,"$331,810","$102,800","$29,644",,,,,,,,,,,,,,,,"$129,826",,,,,,,"$11,738",,,,,,,,,,,,,
A Film Unfinished (2010),,,,,,$410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$320,486",,,,,,,,,,,,,,,,,,,
