Movie Name,Chile,South Korea,South Africa,New Zealand,Australia,Singapore,Russia/CIS,Peru,Uruguay,Colombia,Ecuador,Bolivia,United Kingdom,Germany,France,Spain,Italy,Austria,Belgium,Netherlands,Poland,Israel,Egypt,Qatar,Switzerland (German),Portugal,Ukraine,Hungary,Greece,Sweden,Norway,Czech Republic,Slovakia,Bulgaria,Bahrain,Serbia and Montenegro,Switzerland (French),Lithuania,Oman,Lebanon,Estonia,Jordan,Croatia,Latvia,Kenya,Nigeria,Brazil,Mexico,Argentina,Venezuela,Malaysia,India,Philippines,Vietnam,Hong Kong,Taiwan,Thailand,United Arab Emirates,Romania,Denmark,Türkiye,Iceland,Finland,Slovenia,Japan,China,Domestic,Kuwait,East Africa,Cyprus,Iraq,Ethiopia,Cambodia,Ghana,Switzerland,Russia
One More Time (2015),,"$8,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man Up (2015),,"$23,516",,"$478,209","$245,965","$45,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,671",,,"$9,856",,,,,,,,,,,,,,,,,,,,,,
Sweet Home (2015),,$595,,,,,,,,,,,,,,"$425,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,049",,,,,,,,,,,,,,,
Regression (2015),,"$121,003","$19,020",,,"$42,864","$237,033",,,,,,"$329,167","$551,494","$875,515","$9,722,131","$1,370,648","$119,072","$192,187","$229,964",,,,,"$86,197","$71,168","$19,194",,"$70,465",,,,,,,,"$66,190",,,,,,,,,,,,,,"$54,213",,"$51,957","$75,210",,"$76,176","$33,125",,,,"$100,830",,,,,,,,,,,,,,,
Mr. Pip (2012),,,"$24,226","$896,525","$52,018","$3,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Game (2014),,,"$59,484",,,"$90,385","$317,818",,,,,,"$1,376,191","$247,453",,,"$453,397","$110,640","$108,408","$295,062","$104,804",,"$7,992","$126,247","$128,514","$78,408",,,,"$73,662",,,"$5,962","$21,674","$107,958",,,,"$60,744","$26,588",,"$15,705",,"$6,098",,,,,,,"$114,559",,"$172,994","$186,455",,"$397,320","$491,558","$677,774","$161,821",,"$70,918",,"$1,331,047","$3,006",,,,,,,,,,,,
Get Hard (2015),,,"$297,923","$597,106","$4,551,821","$292,754",,,,,,,"$7,930,891","$220,089",,"$92,914","$96,453","$299,148",,"$650,831",,"$426,975","$43,608",,"$378,058","$124,956",,,,,"$496,415",,,"$107,815",,,,"$22,164","$99,147","$221,603","$43,037","$58,420","$66,800","$30,313","$28,582",,,,,,,,"$94,232",,,,,"$1,214,377","$460,255",,,"$126,102","$141,225",,,,,,"$28,582",,,,,,,
That Sugar Film (2014),,,"$45,569","$289,293","$770,932",,"$26,702",,,,,,,"$51,094",,,,"$39,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Deeds (2012),,,"$544,865",,,"$8,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Royal Night Out (2015),,,"$39,291","$512,220","$1,680,930","$32,912",,,,,,,"$1,590,567","$128,871",,"$220,130","$90,652","$28,049",,,"$114,383",,,,,"$23,493",,,"$21,278",,,,,,,,,"$6,027",,"$9,925","$3,504",,,"$8,352",,,,,,,,,,,"$26,803",,,,,,"$13,647",,,,,,,,,,,,,,,
