Movie Name,Domestic,United Kingdom,Spain,Germany,Italy,France,Netherlands,Switzerland,Austria,South Africa,Belgium,Israel,Portugal,Poland,Norway,Türkiye,Denmark,Greece,Hungary,Sweden,Lebanon/United Arab Emirates,Middle East Other,Finland,Ukraine,Czech Republic/Slovakia,Slovenia,Iceland,Egypt,Romania,Czech Republic,Cyprus,Estonia,Croatia,Bulgaria,Lithuania,Latvia,Kenya,Serbia and Montenegro,Mexico,Brazil,Argentina,Venezuela,Central America+,Colombia,Peru,Chile,Australia,Japan,South Korea,Russia/CIS,Taiwan,New Zealand,Philippines,Singapore,Thailand,Hong Kong,Malaysia,India,Indonesia,Puerto Rico,Ecuador,West Indies,China,United Arab Emirates,Middle East,Baltic States,Central America,Middle East/UAE,Lebanon,Lesser Antilles,Dominican Republic,Jamaica,Bolivia,Uruguay,East Africa,Russia,Palestine,Soviet Union,Greece and Cyprus,S/E/W Africa,Slovakia
Spellbound (2002),,"$538,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$480,777",,,,,"$115,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lizzie McGuire Movie (2003),,"$2,985,402","$382,738","$152,577","$17,871",,"$1,326,083",,"$188,034","$221,180",,,,,"$205,874",,,,,,,,"$63,345",,,,,"$12,269",,,,,,"$4,021",,,,,"$1,105,923",,,,,,,"$9,498","$3,212,434",,,,,"$258,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2 (2003),,"$34,125,442","$1,409,780","$15,698,891","$6,612,206","$16,274,682","$2,099,353","$2,039,833","$1,663,514","$1,384,872","$2,098,818","$584,857","$891,462","$345,667","$1,271,806","$775,741","$1,618,430","$1,363,312","$460,473","$2,249,670",,,"$599,492",,"$270,289","$79,373","$210,034","$152,020","$103,176","$214,557",,"$57,138","$106,212","$118,968","$35,270","$44,684",,"$71,923","$14,151,893","$7,408,338","$1,713,486","$1,205,005","$1,391,089","$1,181,416","$627,158","$889,438","$10,654,741","$15,253,232","$7,360,012","$3,650,616","$1,368,739","$2,089,070","$2,294,628","$2,197,707","$2,356,921","$1,820,023","$1,193,532","$781,689","$885,930","$2,419,752","$383,745",,"$1,072,098",,,,,"$589,738","$73,076","$409,751","$261,530","$194,649","$114,805","$81,659",,,,,,,
The Dancer Upstairs (2002),,"$584,531","$300,628","$210,874","$344,320","$332,479","$5,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$165,733",,"$11,644",,,,,"$2,111","$560,032",,,,,"$20,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy Day Care (2003),,"$8,085,784","$5,195,952","$8,283,451","$1,235,324","$2,569,169","$1,285,975",,"$1,475,064","$889,348",,,,"$364,733","$22,968","$339,690",,"$115,360","$365,947",,,,"$57,359",,,,,"$54,718",,"$159,746",,,,"$63,110",,,,,"$4,341,765",,"$265,398",,,,,"$398,385","$9,817,371","$727,670",,"$883,201",,"$947,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Down with Love (2003),,"$3,484,385","$3,427,238","$117,872","$1,778,302","$644,606","$160,091",,,"$97,983",,,,"$23,574","$26,470","$229,292",,"$80,350","$121,251",,,,"$128,714",,,,,"$11,847",,"$116,041",,,,"$19,297",,,,,"$949,584",,"$95,072",,,,,"$49,489","$1,711,224",,,"$467,992","$168,296","$227,933",,,,"$78,895",,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Almighty (2003),,"$37,412,900","$19,523,747","$21,078,402","$16,035,288","$15,271,326","$6,247,959",,"$3,235,672","$1,427,350",,,,"$2,112,096","$3,270,843","$2,498,072",,"$3,072,300","$424,210",,,,"$2,332,943",,,,,,,"$626,775",,,,"$39,228",,,,,"$13,614,792",,"$2,682,332",,,,,"$1,111,600","$13,558,467","$9,084,382",,"$3,900,000","$1,765,353","$1,781,024",,,,"$2,134,552",,"$100,194",,,,,,,,,,,,,,,,,,,,,,,
The In-Laws (2003),,"$390,248","$777,898","$213,677","$1,247,155","$166,512","$116,843",,"$31,636","$350,132",,,,"$30,175","$14,820","$178,360",,,"$137,176",,,,,,,,,,,"$17,622",,,,,,,,,"$701,658",,"$182,473",,,,,"$45,656","$655,216",,,"$541,306",,,,,,"$117,222",,,,,,,,,,,,,,,,,,,,,,,,,
Respiro (2002),,"$260,409","$288,247","$520,072","$466,127","$3,237,045",,,"$84,795",,,,,,"$73,944",,,,,,,,,,,,,,,,,,,,,,,,,,"$35,828",,,,,,"$44,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Italian Job (2003),,"$12,879,003","$4,519,992","$3,133,614","$2,621,197","$3,674,473","$2,005,405","$1,284,662","$569,796","$1,576,469","$1,757,106","$851,359","$703,969","$229,907","$263,872","$739,851","$580,881","$732,927","$246,965","$364,909",,,"$299,150","$240,788","$99,686","$61,842","$75,421","$82,643","$86,057","$68,161","$86,071","$13,147","$249,624","$64,669","$15,701",,"$42,723",,"$3,900,687","$1,079,761","$331,422","$334,561","$280,908","$421,831","$166,735","$73,099","$6,904,291","$4,500,000","$2,750,363","$1,148,480","$919,953","$1,047,360","$478,194","$571,557","$205,070","$236,276","$352,092","$192,859","$321,685",,"$29,759",,"$2,108,767",,,,,"$445,745","$93,362",,,,,,,,,,,,
Wrong Turn (2003),,"$2,407,475","$717,096","$1,269,557","$728,063","$571,375","$828,060",,,"$85,361",,,"$102,103","$83,858",,"$220,657",,"$220,100",,,,,"$37,827",,,,,"$53,271",,"$7,508",,,,,,,,,"$1,677,298",,"$51,660",,,,,"$45,630","$123,972",,,"$522,501",,"$62,083",,,,"$56,828",,,,,,,,,,,,,,,,,,,,,,,,,
Capturing the Friedmans (2003),,"$435,442","$19,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,846",,,,,,,,"$65,409",,,,,"$20,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whale Rider (2002),,"$1,723,685","$71,259","$2,568,271","$88,680","$75,892","$27,029",,"$262,270","$158,701",,,,,"$188,124",,,"$29,440",,,,,"$48,056",,,,,,,"$30,307",,,,,,,,,"$218,553",,"$98,763",,,,,"$34,401","$5,208,397",,,,,$160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilee (1978),,$718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumb and Dumberer: When Harry Met Lloyd (2003),,"$2,785,648","$1,855,873","$413,738","$1,082,744","$707,019","$137,652",,"$212,398","$282,790","$117,285","$81,805","$391,381",,,"$36,157",,"$248,583",,,,,,"$142,461",,"$140,684","$82,888",,,"$37,398",,,,"$21,642",,,,"$20,276","$1,184,414","$313,705","$58,215",,,,,,"$183,267",,,"$976,662","$8,530",,"$115,697","$193,334","$80,872",,"$79,357",,"$79,836","$186,448",,,,,"$206,588","$26,844",,,,,,,,,,,,,,,
Hollywood Homicide (2003),,"$1,436,217","$3,732,168","$1,746,217",,"$977,874",,,"$255,441","$443,375",,,,"$26,468","$49,384","$224,819",,"$363,900",,,,,"$62,878",,,,,"$19,601",,,,,,"$110,112",,,,,"$1,780,624",,,,,,,,"$1,090,661","$1,511,355",,"$234,738","$242,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rugrats Go Wild (2003),,"$5,358,218","$1,180,833","$59,667",,"$2,457,628","$396,796",,,"$124,876","$93,769",,,,,,,,,,,$945,,,,,,,,,,,,,,,,,"$1,002,740","$651,304","$174,252","$131,767","$20,000","$38,376","$55,531","$334,331","$2,662,316",,,,,"$771,516","$41,811","$88,258",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heart of Me (2002),,"$84,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie's Angels: Full Throttle (2003),,"$19,623,936","$6,765,491","$11,042,167","$2,907,629","$9,142,292","$2,147,967",,"$1,677,993","$1,932,664",,,,"$332,272","$1,897,776","$1,014,611",,"$1,022,000","$377,076",,,,"$958,701",,,,,"$102,967",,"$515,472",,,,"$139,767",,,,,"$5,249,726",,"$370,737",,,,,"$213,658","$12,517,483","$24,823,638",,"$3,295,277","$1,009,560","$2,072,675",,,,"$734,322",,"$95,922",,,,,,,,,,,,,,,,,,,,,,,
Hulk (2003),,"$13,901,681","$7,791,126","$4,133,221","$8,025,426","$9,647,469","$939,518","$815,793","$837,240","$927,317","$1,261,766","$481,890","$938,476","$374,059","$1,021,419","$547,161","$871,352","$729,520","$167,993","$1,428,822","$751,553","$641,116","$508,705","$241,079","$131,273","$65,825","$137,563","$74,097","$41,139","$83,388","$70,745",,"$42,800","$33,057",,,"$29,420","$42,255","$11,686,550","$3,470,305","$1,239,988","$892,836",,"$620,325","$640,937","$497,503","$6,449,412","$7,686,571","$2,589,458","$1,394,113","$3,714,427","$1,078,444","$1,262,713","$1,022,880","$994,306","$1,182,727","$110,813","$822,320","$660,949",,,,$0,,,,"$2,000,000",,,,,,,,,,,,,,
"Legally Blonde 2: Red, White & Blonde (2003)",,"$8,034,904","$777,898","$5,237,505","$33,564","$232,110","$455,266",,"$820,298","$408,220",,,,"$56,388","$420,532","$156,312",,,"$306,467",,,,"$44,334",,,,,"$7,634",,"$131,742",,,,"$42,428",,,,,"$1,165,263",,,,,,,,"$4,255,293","$289,379",,"$1,302,000",,"$741,961",,,,"$9,412",,,,,,,,,,,,,,,,,,,,,,,,,
Sinbad: Legend of the Seven Seas (2003),,"$4,696,088","$5,189,566","$3,425,966","$2,655,669","$7,986,604","$552,351","$930,776","$527,594","$574,514","$1,353,831","$999,459","$650,829","$646,495","$768,316","$499,043","$999,584","$527,929","$170,350","$989,942","$142,711","$159,427","$486,465","$56,684",,"$28,806","$80,970",,"$19,458",,"$37,319","$8,576","$19,961",,"$60,766","$11,503","$13,212","$20,512","$3,454,370","$946,853","$490,369","$245,528","$314,890","$343,812","$194,107","$565,289","$2,942,814",,"$6,606,600","$230,528","$898,284","$422,221","$160,287","$300,699","$122,796","$235,896","$132,149",,"$39,755",,,,,,,,,,,,,,,,,"$351,102",,,,,
Terminator 3: Rise of the Machines (2003),,"$31,289,575","$13,056,166","$19,596,608","$6,273,074","$18,923,089","$2,372,949",,"$3,454,024","$1,079,478",,,,"$1,614,192","$1,688,126","$1,397,286",,"$340,150","$787,040",,,,"$1,653,213",,,,,"$89,280",,"$1,057,933",,,,"$222,000",,,,,"$8,975,367",,"$2,559,512",,,,,"$1,010,938","$12,352,558","$67,509,623",,"$12,820,000","$683,951","$2,362,096",,,,"$2,291,969",,"$2,160,028",,,,,,,,,,,,,,,,,,,,,,,
Swimming Pool (2003),,"$779,636","$99,937","$3,046,485","$100,820","$4,036,523","$456,973",,"$243,816","$51,259",,,,"$231,804","$70,775",,,,"$13,392",,,,"$45,184",,,,,,,"$46,852",,,,"$24,479",,,,,"$59,934",,"$172,647",,,,,,"$776,614",,,"$192,376",,"$77,315",,,,"$87,694",,,,,,,,,,,,,,,,,,,,,,,,,
The League of Extraordinary Gentlemen (2003),,"$12,603,037","$12,033,033","$12,052,361","$7,513,558","$6,466,668","$1,374,605",,"$1,470,625","$386,673",,,,"$166,338",,"$464,445",,"$603,400","$254,208",,,,"$416,007",,,,,"$107,013",,"$191,355",,,,"$138,487",,,,,"$6,595,490",,"$753,005",,,,,,"$6,425,735","$10,231,740",,"$2,709,070",,"$994,068",,,,"$735,745",,,,,,,,,,,,,,,,,,,,,,,,,
I Capture the Castle (2003),,"$1,205,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$807,747",,,,,"$218,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny English (2003),,"$31,936,155","$6,406,873","$20,864,008","$4,707,057","$5,615,082","$4,106,931","$4,863,585","$3,121,438","$2,243,282","$3,062,950","$1,191,821","$2,145,860","$1,402,178","$1,576,110","$326,746","$820,626","$1,210,513","$578,657","$1,768,722","$743,250","$834,171","$2,015,524","$230,828","$839,871","$391,516","$231,638","$67,581","$140,071","$744,565","$237,218",,"$167,998","$73,212",,,"$58,269","$117,018","$3,208,528","$816,008","$47,681","$214,187",,"$325,599","$195,164","$145,239","$7,664,271","$2,970,965","$973,342","$808,720","$330,659","$1,074,193","$997,193","$1,221,810","$978,983","$1,551,436","$631,713","$203,266","$803,469",,,,$0,,,,"$244,644",,,,,,,,,,,,,,
Dirty Pretty Things (2002),,"$852,571","$135,819",,"$384,298","$1,355,410",,,,,,,,,"$77,598","$19,261",,,"$10,255",,,,"$75,038",,,,,,,"$19,178",,,,,,,,,,,"$84,729",,,,,"$19,650","$506,929",,,"$267,769",,"$24,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lara Croft: Tomb Raider - The Cradle of Life (2003),,"$8,660,559","$5,876,918","$6,914,873","$2,295,544","$7,126,488","$6,400,481",,"$1,171,924","$872,241","$1,091,436","$317,518","$1,467,996","$286,276","$722,253","$724,331","$847,694","$1,006,939","$184,816","$1,112,223",,"$424,911","$326,083","$412,029","$329,390","$115,922","$73,160","$29,035","$66,579","$252,191",,"$46,532","$117,172","$51,325","$51,097","$35,171","$35,980","$41,782","$2,289,979","$1,286,553","$242,651","$238,224",,"$170,904","$90,667","$177,549","$4,173,144","$15,850,737","$5,200,000","$3,015,100","$3,301,107","$625,896","$1,634,262","$1,002,061","$1,358,929","$1,646,974","$1,041,129","$593,715","$691,295",,,,,,,,"$319,281",,,,,,,,,,,,,,
Seabiscuit (2003),,"$5,214,289","$964,816","$1,290,724","$634,825","$1,860,421","$125,458","$673,474","$159,987","$536,817","$393,860",,,"$21,237","$86,811","$57,086","$42,888","$138,700","$12,194","$50,931",,,"$25,532",,,,"$19,494",,,,,,,"$2,344",,,,,"$339,464",,"$126,489",,,,,"$29,140","$2,377,263","$11,657,756",,"$359,897","$46,422","$300,101",,,,"$203,666",,,,,,,,,,,,,,,,,,,,,,,,,
American Wedding (2003),,"$27,826,516","$8,263,605","$18,745,370","$6,541,377","$12,919,448","$3,446,513","$2,886,510","$3,094,528","$926,471","$2,679,155","$763,691","$2,139,566","$669,701","$1,657,586","$1,192,584","$1,165,214","$674,530","$707,425","$1,597,710",,,"$673,997","$438,221","$1,448,212","$299,289","$200,188",,"$154,261","$1,448,212","$202,203",,"$188,368",,,,"$28,738","$24,532","$4,494,945","$2,890,492","$532,425","$516,348","$128,889","$244,050","$212,955","$291,321","$8,370,008",,"$595,947","$3,013,595","$636,905","$1,124,264","$499,791","$252,733","$538,274","$300,219",,,"$294,323",,"$106,141",,,,,,,,"$110,475",,,,,,,,,,,,
Gigli (2003),,"$24,352","$34,238","$87,414","$212,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$355,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.W.A.T. (2003),,"$9,731,149","$7,121,362","$6,473,138",,"$4,199,043","$2,043,370",,"$1,119,565","$1,600,197",,,"$547,943","$373,050","$866,558","$467,200",,,"$140,629",,,,"$329,009",,,,,"$123,122",,"$290,693",,,,"$207,104",,,,,"$3,462,914",,"$455,914",,,,,,"$5,911,294","$16,915,755",,"$1,055,852","$657,671","$758,343",,,,"$450,475",,,,,,,,,,,,,,,,,,,,,,,,,
The Divorce (2003),,"$353,169","$457,698","$125,569",,"$181,812",,,,,,,,,,,,,"$12,620",,,,,,,,,,,"$10,968",,,,,,,,,"$219,110",,"$104,586",,,,,,"$651,762",,,,,"$85,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Range (2003),,"$1,957,727","$557,315","$973,914","$1,423,564","$2,789,028",,,"$198,797","$43,282",,,,,"$59,226",,,,,,,,"$18,769",,,,,"$7,516",,"$25,003",,,,,,,,,"$304,129",,"$52,314",,,,,"$6,616","$389,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaolin Soccer (2001),,"$134,111",,"$51,518","$1,448,789","$3,252,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,420,135","$4,360,518","$274,603",,,,"$855,958",,"$7,384,615",,,,,,,,,,,,,,,,,,,,,,,,,
Uptown Girls (2003),,"$1,188,054",,"$83,884",,,,,,"$498,891",,,,,,,,,"$13,881",,,,,,,,,,,,,,,,,,,,"$1,296,236",,,,,,,,"$1,055,607",,,"$202,331",,"$96,276",,,"$37,500",,,,,,,,,,,,,,,,,,,,,,,,,,
American Splendor (2003),,"$701,463","$38,898",,,"$155,516","$42,222",,,,,,"$34,818",,"$74,356",,,,,,,,,,,,,,,,,,,,,,,,,,"$13,055",,,,,"$10,883","$287,525",,,,,"$81,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Cody Banks (2003),,"$2,136,652","$922,737","$116,890",,"$306,265","$39,572",,,"$348,391",,,,,"$482,418",,,,,,,,,,,,,,,,,,,"$18,686",,,,,"$707,365",,"$16,468",,,,,"$74,736","$2,472,917",,,"$466,162",,"$332,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo Story (1953),,"$8,218",,,,,"$4,616",,,,,,"$32,196",,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,621",,,,,,,$63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Medallion (2003),,"$331,917","$1,678,512","$1,531,101",,"$826,577",,,,"$236,661",,,,"$25,648","$37,799",,,"$51,200","$56,769",,,,"$23,255",,,,,"$4,863",,,,,,"$109,767",,,,,"$662,019",,,,,,,,"$600,948","$265,532",,"$719,230","$156,444",,,,,"$929,544",,,,,,,,,,,,,,,,,,,,,,,,,
Jeepers Creepers 2 (2003),,"$5,749,567","$1,471,396","$667,556","$939,030","$372,404","$352,961",,"$36,612","$44,261",,,,,,"$51,938",,"$30,600",,,,,,,,,,"$36,329",,"$28,824",,,,,,,,,"$1,534,242",,"$292,358",,,,,"$24,237","$1,423,971",,,"$188,843",,"$245,735",,,"$98,000","$62,170",,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time in the Midlands (2002),,"$202,715",,,"$19,600",,,,,,,,,,"$9,018",,,,,,,,,,,,,,,"$4,151",,,,,,,,,,,,,,,,,"$86,821",,,,,"$49,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickie Roberts: Former Child Star (2003),,"$112,820","$11,596","$27,806","$2,388","$6,086","$3,618",,,"$51,412","$4,107",,,,$307,,"$2,353",,,"$3,357",,,,,,,,,,,,,,,,,,,"$64,838",,,,,,,,"$722,896",,,,,,,,,,,,,,,,,,,,,"$17,250",,,,,,,,,,,,,
The Order (2003),,"$483,263","$615,731","$123,815","$14,726",,,,,,,,,,,"$111,072",,,,,,,,,,,,,,,,,,,,,,,"$1,390,927",,"$123,162",,,,,,"$57,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabin Fever (2002),,"$4,792,578","$825,855","$106,202","$1,051,011","$633,924",,,,,,,"$42,599","$18,435",,"$208,274",,,,,,,"$38,441",,,,,"$5,277",,,,,,,,,,,"$96,822",,,,,,,,"$531,561",,,"$75,679",$523,"$95,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchstick Men (2003),,"$2,235,422","$2,830,029","$1,371,380","$3,763,597","$2,001,741","$345,501",,"$315,353","$143,694",,,,,"$713,786","$472,290",,"$86,250","$55,641",,,,"$107,922",,,,,"$47,159",,"$51,518",,,,"$18,079",,,,,"$1,549,158",,"$298,295",,,,,,"$1,849,458","$1,634,363",,"$1,038,501",,"$197,068",,,,"$69,928",,,,,,,,,,,,,,,,,,,,,,,,,
Anything Else (2003),,"$263,272","$3,109,262","$231,061","$2,153,012","$3,072,903","$41,764",,"$76,138",,,,"$17,627","$290,430",,,,"$112,000","$70,541",,,,,,,,,,,"$18,296",,,,,,,,,"$246,521",,"$229,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Creek Manor (2003),,"$248,013","$5,349,804","$150,309",,,,,"$54,558",,,,,,,"$331,266",,,,,,,,,,,,,,,,,,,,,,,"$1,133,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fighting Temptations (2003),,"$600,891","$69,681","$1,698,698","$4,408","$101,650","$404,126",,,"$72,485","$56,723",,,,"$8,580",,"$9,402",,,"$3,931",,"$34,283",,,,,"$5,263",,,,,,,,,,"$11,874",,"$64,974","$28,666",,,"$8,706",,,,"$398,925","$22,122",,,,"$54,427","$52,915",,,,,,,,,,,,,,,,"$8,587",,,,,,,,,,,,
Underworld (2003),,"$7,339,819","$5,507,929","$3,121,498","$2,182,859","$3,519,266","$454,692",,"$610,746","$390,133",,,,"$320,831","$175,557","$374,589",,"$662,000","$117,411",,,,"$179,110",,,,,"$62,432",,"$203,112",,,,"$64,762",,,,,"$1,197,501",,"$40,011",,,,,"$79,956","$3,715,582","$1,697,300",,"$1,004,102","$113,778","$567,421",,,,"$223,710",,,,,,,,,,,,,,,,,,,,,,,,,
Duplex (2003),,"$258,973","$145,009","$266,489","$45,679","$1,272,971","$70,208",,"$86,260","$308,984",,,"$328,404","$503,275",,"$114,329",,"$372,000","$148,545",,,,"$61,782",,,,,"$9,702",,"$76,924",,,,"$14,820",,,,,,,"$94,370",,,,,,"$18,318",,,"$1,171,478",,,,,,"$91,344",,,,,,,,,,,,,,,,,,,,,,,,,
Under the Tuscan Sun (2003),,"$806,314","$2,406,641","$1,052,787","$28,191",,,,"$493,383","$584,038",,,"$30,722","$466,399",,,,,,,,,"$367,241",,,,,,,,,,,,,,,,"$261,102",,"$276,830",,,,,"$82,320","$4,447,208",,,,,"$905,419",,,,"$66,324",,,,,,,,,,,,,,,,,,,,,,,,,
The Triplets of Belleville (2003),,"$863,209","$60,388","$135,940","$448,718","$4,450,885",,,"$58,336",,,,"$154,122","$26,072","$21,554",,,"$78,400","$40,084",,,,"$5,547",,,,,,,"$26,383",,,,,,,,,,,"$67,912",,,,,,"$203,767",,,"$52,482","$46,248","$57,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out of Time (2003),,"$2,498,081","$2,411,742","$716,533","$2,205,075","$1,419,154","$302,091",,"$106,018","$276,038",,,"$205,382","$63,566","$101,789","$14,443",,,"$81,730",,,,"$15,794",,,,,"$5,636",,"$30,942",,,,"$17,124",,,,,"$649,108",,"$287,075",,,,,,"$875,451","$433,023",,"$159,128",,"$121,346",,,"$60,700",,,,,,,,,,,,,,,,,,,,,,,,,,
Wonderland (2003),,"$302,963","$36,086",,"$86,157","$312,069",,,,,,,"$35,654",,,,,,,,,,,,,,,,,,,,,,,,,,"$154,288",,"$28,677",,,,,"$18,663","$103,137",,,,,"$9,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic River (2003),,"$4,284,056","$6,953,801","$1,056,161","$7,071,998","$7,641,391","$392,693",,"$514,943",,,,"$560,040","$80,849","$300,442","$422,134",,"$2,304,000","$59,440",,,,"$225,370",,,,,"$17,650",,"$41,800",,,,"$73,965",,,,,"$2,361,267",,"$1,562,289",,,,,"$551,258","$4,765,090","$7,411,838",,"$632,764",,"$439,082",,,,"$83,196",,,,,,,,,,,,,,,,,,,,,,,,,
House of the Dead (2003),,"$197,282","$546,647",,"$732,645",,,,,,,,"$35,833",,,,,,,,,,,,,,,"$9,933",,,,,,,,,,,"$1,100,668",,"$95,011",,,,,"$59,122",,,,"$245,150",,,,,"$52,600","$309,915",,,,,,,,,,,,,,,,,,,,,,,,,
Runaway Jury (2003),,"$2,775,361","$3,887,630","$1,776,124","$3,767,970","$3,767,970","$442,814",,"$267,363","$607,455","$558,301",,"$209,701","$201,321","$202,419","$79,608",,"$462,743","$102,168","$374,473",,,"$180,153",,,,"$24,452","$21,067",,"$36,835",,,,"$69,632",,,,,"$1,536,388",,,,,,,,"$2,220,579","$330,575",,"$129,239",,"$292,056",,,"$61,200",,,,,,,,,,,,,,"$33,650",,,,,,,,,,,,
Sylvia (2003),,"$484,989","$137,313",,,,,,,,,,"$41,396",,"$53,551","$11,201",,"$179,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$92,042",,"$33,103",,"$17,960","$107,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica Guerin (2003),,"$4,836,419","$664,944","$160,949","$74,207","$143,033","$75,906",,"$45,401","$20,596",,,,,,,,"$128,900",,,,,,,,,,,,,,,,,,,,,"$51,725",,,,,,,,"$284,193",,,,,"$68,008",,,,,,,,,,,,,,,,,"$6,625",,,,,,,,,,,,
In the Cut (2003),,"$1,625,239","$270,701","$238,720","$5,886,478","$2,482,197","$65,825",,,,,,,"$134,847","$18,509","$48,399",,"$327,050",,,,,"$27,417",,,,,,,"$81,161",,,,,,,,,"$1,141,880",,,,,,,"$49,926","$1,097,392","$1,733,492",,,,"$183,939",,,"$27,900","$128,884",,,,,,,,"$25,232",,,,,,,,,,,,,,,,,
Radio (2003),,"$16,442","$183,418","$31,383",,,,,,"$34,455",,,"$15,560",,,,,,,,,,,,,,,,,,,,,,,,,,"$41,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scary Movie 3 (2003),,"$16,733,649","$10,738,654","$16,331,124","$11,038,572","$9,774,867","$3,672,242",,"$2,119,945","$1,099,760",,,"$896,383","$848,546","$985,112","$230,230",,"$1,438,812","$271,616",,,,"$584,996",,,,,"$13,206",,"$356,319",,,,,,,,,"$5,428,334",,"$873,055",,,,,"$535,065","$6,072,297",,,"$3,710,000",,"$756,374",,,"$418,200","$427,872",,,,,,,,,,,,,"$117,115",,,,,,,,,,,,
Brother Bear (2003),,"$10,612,646","$9,527,739","$19,368,256","$7,485,862","$24,240,164","$3,615,282",,"$3,376,119","$1,083,023",,,"$758,338","$3,475,150","$2,636,235","$646,003",,"$381,000","$445,991",,,,"$2,123,668",,,,,"$6,478",,"$384,589",,,,"$33,035",,,,,"$13,652,622",,"$1,519,309",,,,,"$1,084,495","$6,747,370","$14,409,556",,"$971,204",,"$851,758",,,"$271,200","$1,105,497",,,,,,,,,,,,,"$65,572",,,,,,,,,,,,
Elephant (2003),,"$357,998","$129,367","$99,921","$1,037,301","$4,477,286","$88,646",,,,,,,,"$72,964",,,,,,,,"$106,416",,,,,,,,,,,,,,,,"$48,339",,"$14,386",,,,,"$56,895","$26,783",,"$81,523",,,"$115,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Singing Detective (2003),,"$42,116","$31,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Italian Job (1969),,"$113,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Human Stain (2003),,"$134,053","$2,443,578","$975,192","$6,038,778","$2,066,663","$86,512",,"$23,583",,,,,"$219,009","$68,285","$486,212",,"$585,750",,,,,"$143,376",,,,,"$10,195",,"$39,466",,,,"$36,519",,,,,"$761,219",,,,,,,,"$131,596","$1,374,000",,"$313,898",,"$21,417",,,,"$31,287",,,,,,,,,,,,,,,,,,,,,,,,,
Shattered Glass (2003),,"$337,281","$99,124",,,,,,,,,,"$21,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
