Movie Name,Domestic,United Kingdom,Spain,Germany,Italy,France,Netherlands,Switzerland,Austria,South Africa,Belgium,Israel,Portugal,Poland,Norway,Türkiye,Denmark,Greece,Hungary,Sweden,Lebanon/United Arab Emirates,Middle East Other,Finland,Ukraine,Czech Republic/Slovakia,Slovenia,Iceland,Egypt,Romania,Czech Republic,Cyprus,Estonia,Croatia,Bulgaria,Lithuania,Latvia,Kenya,Serbia and Montenegro,Mexico,Brazil,Argentina,Venezuela,Central America+,Colombia,Peru,Chile,Australia,Japan,South Korea,Russia/CIS,Taiwan,New Zealand,Philippines,Singapore,Thailand,Hong Kong,Malaysia,India,Indonesia,Puerto Rico,Ecuador,West Indies,China,United Arab Emirates,Middle East,Baltic States,Central America,Middle East/UAE,Lebanon,Lesser Antilles,Dominican Republic,Jamaica,Bolivia,Uruguay,East Africa,Russia,Palestine,Soviet Union,Greece and Cyprus,S/E/W Africa,Slovakia
Spy Kids 3: Game Over (2003),"$111,761,982","$12,047,855","$5,495,297","$4,284,173","$2,104,175","$3,080,435","$936,070",,"$559,773","$539,275",,,"$102,060","$2,154,775","$1,446,339","$89,696",,,"$453,021",,,,,,,,,"$38,008",,"$235,412",,,,"$25,577",,,,,"$8,223,986",,"$1,011,186",,,,,"$643,653","$10,300,588","$12,729,240",,"$6,500,000",,"$1,391,417",,,"$598,000","$702,171",,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Soldiers (2001),"$354,421","$1,313,514","$133,091","$111,135","$5,410",,,,,,,,,,,"$78,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$280,099",,,,"$2,301",,,,,"$21,891",,,,,,,,,,,,,,,,,,,,,,,,,
Camp (2003),"$1,629,862","$897,861",,,"$55,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,118",,,,"$1,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel (2001),"$29,813",,,,,,,,,,,,"$3,741",,,,,,,,,,,,,,,,,,,,,$617,,,,,,,,,,,,,,,,,"$1,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorched (2003),"$8,000",,"$289,183","$65,874",,,,,,,,,,"$6,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Magdalene Sisters (2002),"$4,890,878","$3,318,128","$566,429","$812,147","$3,341,047","$3,339,765","$97,800",,"$39,385",,,,,"$27,925",,"$81,942","$81,668",,"$14,544",,,,,,,,"$24,756",,,,,,,$861,,,,,"$3,151,062",,"$24,949",,,,,"$42,254","$711,770",,,"$34,890",,"$314,757",,,,"$40,044",,,,,,,,,,,,,,,,,,,,,,,,,
Freaky Friday (2003),"$110,230,332","$11,982,475","$3,014,628","$6,063,827",,"$4,685,861","$745,811",,"$1,807,210","$1,100,121",,,,"$467,761","$1,129,209",,,,"$34,108",,,,"$1,040,241",,,,,"$4,344",,"$100,243",,,,"$15,638",,,,,"$3,180,253",,"$42,491",,,,,"$81,922","$4,570,622",,,"$1,042,215",,"$364,096",,,"$190,100","$52,745",,,,,,,,,,,,,,,,,,,,,,,,,
Freddy vs. Jason (2003),"$82,633,448","$4,448,904","$3,566,995","$1,676,277","$2,105,853","$2,118,415","$388,159","$202,519","$555,227","$334,259","$431,874","$222,477","$174,145",,,"$287,058","$206,077",,,,,,,"$135,290",,,"$46,915","$85,403",,,,,,,,,,,"$1,953,720","$1,460,581","$577,025","$166,102","$392,617","$200,795","$226,336","$129,895","$2,129,638","$3,759,624",,"$1,238,562","$297,934","$231,368","$368,297","$102,940","$358,706","$302,383",,,"$170,471","$1,157,262",,"$80,018","$202,519",,,,,,"$174,145",,,,"$5,187","$4,377",,"$941,989","$391,635",,,,
House of Wax (1953),"$23,750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Girl (1983),"$17,343,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Green Ray (1986),"$43,839",,,,,,,,,,,,"$1,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THX 1138 (1971),"$2,437,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kind Hearts and Coronets (1949),"$35,948","$93,818",,,,"$9,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Wednesday (2002),"$2,942",,"$54,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremors (1990),"$16,667,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pink Panther (1963),"$10,878,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commando (1985),"$35,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Discreet Charm of the Bourgeoisie (1972),"$82,471","$12,862",,,,,,,,,,,"$4,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikiru (1952),"$60,239","$30,534",,,,,,,,,,,"$5,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Angel at My Table (1990),"$1,054,638",,,,,"$1,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Spring (2001),"$96,269",,,,,,,,,,,,,,"$6,688",,,,,,,,,,,,,,,"$177,180",,,,,,,,,,,,,,,,,,,,,"$52,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venus Boyz (2002),"$18,515",,,"$11,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollywood/Hollywood (2002),"$1,492,472",,,"$82,568",,,,,"$22,741","$90,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Other Side of the Bed (2002),"$113,543",,"$11,879,707",,"$271,931",,,,,,,,,,,,,,,,,,,,,,,,,"$2,206",,,,,,,,,"$341,836",,"$18,758",,,,,"$69,905",,,,"$48,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time in Mexico (2003),"$56,359,780","$4,426,636","$3,045,958","$3,486,835","$2,405,149","$2,760,663","$1,160,193",,"$872,345","$673,364",,,,"$327,753","$472,841","$806,058",,,"$225,423",,,,"$202,505",,,,,"$64,573",,"$280,820",,,,"$104,397",,,,,"$2,293,512",,"$320,185",,,,,,"$3,084,292","$7,159,547",,"$1,198,412",,"$338,425",,,"$344,900","$93,503",,,,,,,,,,,,,,,,,,,,,,,,,
Lost in Translation (2003),"$44,585,453","$17,986,199","$6,904,520","$7,410,337","$3,447,429","$8,730,794","$1,571,127",,"$1,034,853","$108,808",,,"$639,563","$917,530","$934,999","$218,436",,"$588,150","$80,376",,,,"$920,338",,,,,,,"$182,701",,,,"$38,727",,,,,"$1,147,606","$1,351,146","$542,377","$122,706","$72,137","$177,512","$109,019","$283,898","$4,683,378",,,"$349,128",,"$948,252",,,,"$333,628",,,,,"$34,376",,,"$63,900",,,,,,,,,,,,,,,,,
Millennium Actress (2001),"$262,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hello, Dolly! (1969)","$400,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondhand Lions (2003),"$42,070,939","$1,276,949","$1,055,200",,,"$130,561","$13,589",,,"$144,532","$23,193","$18,145","$351,140",,,,,,,,,,,,,,"$11,491",,,,,,,,,,,,"$166,283","$337,098",,"$34,152","$25,918",,"$47,943",,"$29,262","$2,159,711","$64,903",,"$3,898",,,"$91,670",,"$76,371","$11,262",,,"$65,398",,,,,,,,,"$35,475",,,,,,,,"$15,196",,,,
The Rundown (2003),"$47,726,342","$3,742,875","$1,748,152","$2,365,283","$256,161","$638,938","$227,856",,"$483,155","$323,993",,,"$169,447",,"$154,514",,,,"$124,111",,,,"$90,076",,,,,"$23,589",,"$65,173",,,,"$239,341",,,,,"$2,095,693",,,,,,,"$80,347","$5,628,101","$258,681",,"$1,734,245",,"$604,833",,,"$806,000","$147,098",,,,,,,,,,,,,,,,,,,,,,,,,
Camera Obscura (2000),"$11,384",,"$36,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$65,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther (2003),"$5,791,328",,"$1,798,095","$19,207,661","$1,199,866","$12,708",,,"$925,628",,,,,,"$46,476",,,,,,,,"$74,663",,,,,,,,,,,,,,,,"$231,360",,,"$11,570",,,,,,,"$194,506",,,"$114,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mambo Italiano (2003),"$6,253,026","$206,960",,"$842,252","$491,489","$476,146",,,"$243,923",,,,,,,"$7,173",,,"$114,492",,,,,,,,,,,"$19,422",,,,,,,,,,,"$62,870",,,,,,"$841,655",,,,,"$78,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Life Without Me (2003),"$400,948","$58,895","$2,441,378","$453,328","$57,647","$400,570","$12,705",,"$108,867",,,,,,,,,,,,,,,,,,,,,"$8,522",,,,,,,,,"$147,625",,"$71,103",,,,,,"$118,726","$5,391,959","$54,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Be and to Have (2002),"$777,129","$707,541","$548,566","$1,040,201","$430,148","$9,518,564",,,"$83,842",,,,$178,,"$17,213",,,,,,,,"$8,013",,,,,,,,,,,,,,,,,,"$28,818",,,,,,"$643,435",,,,"$47,254","$7,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Videodrome (1983),"$2,120,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagaan: Once Upon a Time in India (2001),"$909,043","$710,967",,$450,"$62,689",,,,"$41,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss of the Spider Woman (1985),"$17,005,229",,,,,"$4,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babette's Feast (1987),"$4,398,938","$58,717","$180,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
