imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Costa Rica,Croatia,Curaçao,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,E/W Africa,East Africa,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
1798243,,Rudderless (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,109","$473,092",,,,,,,,,,,,,,,,,
1951265,,The Hunger Games: Mockingjay - Part 1 (2014),"$1,987","$52,762","$29,791,881","$4,397,806","$334,488","$6,448,425","$478,493","$22,463,783","$613,838","$120,660",,$873,"$36,512,218","$4,164,583","$1,206,555","$366,239","$30,280","$108,182","$1,053,927","$4,845,273",,"$374,612",,,"$1,717,383","$356,350","$386,024","$207,974",,"$2,401,956","$25,974,637","$35,590,677",,"$985,681","$556,380","$287,633","$3,050,333","$1,379,196","$292,563","$669,276","$1,905,000","$52,755","$2,591,828","$11,087,256",,"$1,601,971","$203,143","$50,159","$613,896","$240,360","$390,922","$261,980","$3,344,417","$23,729,251","$2,853,696","$7,968,057","$4,780,014","$172,473",,"$5,246,547","$195,493","$155,057","$17,317","$562,274","$139,812","$2,852,463","$5,652,411","$3,995,989","$2,266,349",,"$405,825","$864,425",,"$15,216,903","$97,996","$3,801,448","$561,410","$168,758","$2,025,971","$5,804,110","$15,391,282","$16,184","$9,389,935",,"$484,255","$1,398,449","$5,094,771","$3,171,816",,"$4,063,087","$1,191,495","$2,663,742","$48,669,241","$408,881","$9,340,966","$613,179","$448,384"
3062880,,Gett (2014),,,,,,"$36,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,926",,,,,$810,,,,,"$71,089",,,,,,,,,,"$85,449",,,,,,"$5,287",,,,,,,,"$6,219",,,,,,,,,,,,,"$52,854",,,,,,,,,,,,,,,,
2752688,,Rosewater (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,458",,,,,,,,,,"$11,147",,,,,,,,,,,,,,"$18,047",,,,
1702014,,The Way He Looks (2014),,,,,,,,"$1,016,161",,,,,,,,,,,,,,,,,,,,,,,"$48,396",,,,,,"$31,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,659",,,,,,,,,,,,,,,,
1976989,,Love and Honor (2013),,,,,,"$119,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,909",,,,,"$295,574",,,,,,,,,,,,,,,,,,"$122,275",,,,,,,,,,,,,,,,,,"$60,216",,,,,
2261749,,The Gilded Cage (2013),,,"$640,245",,,,,"$155,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$226,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528100,,Exodus: Gods and Kings (2014),,,"$7,054,991","$1,274,446",,"$2,021,868",,"$14,765,284","$712,768",,,,,,,"$188,952",,,"$579,893",,,,,,"$931,446",,,"$122,870",,"$725,150","$13,594,202","$8,802,948",,"$579,724",,,"$2,888,085","$650,465","$66,744","$3,013,963",,,"$1,628,871","$6,817,325",,"$6,349,153",,,,"$42,988","$544,539",,,,,"$3,230,098","$1,043,655",,,"$365,654",,,,,,"$2,132,206",,"$1,504,557","$1,269,243",,,"$541,106",,"$14,822,276","$196,570","$2,013,494","$279,905","$37,141","$1,282,830","$11,293,844","$18,107,577",,"$2,756,240",,,,"$3,199,522","$1,205,195",,"$1,809,780","$947,869",,"$11,418,004","$87,676","$2,881,143",,
1921149,,Trash (2014),"$23,135",,,,"$1,713",,,"$1,246,678","$53,074",,,,,,,,,,"$53,083",,,,,,,"$5,680",,"$32,293",,,"$664,134",,,,,,,,,,,,"$305,457","$605,461",,,"$5,639",,,,"$10,513",,,,,"$114,618",,,,,"$5,779",,,,,,,"$88,510",,,,,,,"$11,097","$123,232","$14,243","$6,082",,,,,,,,,,,,,"$217,283","$35,780",,"$13,542",,,
3011894,,Wild Tales (2014),"$11,783,141",,"$319,552","$149,830",,"$182,752",,"$1,034,264","$17,732",,,"$573,730",,"$299,540",,"$12,371",,,"$281,842",,,,,,"$77,445",,,,,"$15,128","$2,661,864","$1,178,255",,"$256,137",,,"$302,084","$113,746","$10,745",,,,,"$1,103,954",,"$268,270",,,,,"$12,604",,,,,"$112,308",,,,,,,,,,"$199,296",,,"$27,109",,,,,"$334,439","$16,254",,"$32,366",,,,"$5,220,118",,,,,,"$35,936",,,"$17,940",,,"$613,979","$788,678","$318,954",,
1179773,,Summer Days with Coo (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,988,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$210,399",,,,,,,,,,,,,,,,,
2381335,,Fed Up (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,330",,,,,,,,,,,,,,,,,,
2241605,,Thesis on a Homicide (2013),"$6,006,766",,,,,,,"$432,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$343,706",,,
1495823,,Freedom (2009),,,,,,"$17,594",,,,,,,,,,,,,,,,,,,,,,,,,"$601,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096672,,Dumb and Dumber To (2014),"$755,928",,"$4,869,580","$869,132","$381,427","$1,013,087","$54,465","$6,167,010","$118,374",,,,,"$422,151",,"$570,019",,,"$238,761",,,,,,,"$43,613",,"$42,277",,"$793,773","$2,185,843","$3,729,390",,"$753,244",,,"$415,238","$633,760","$269,063","$122,565",,,,"$3,122,098",,,"$229,870",,,"$41,130","$669,756","$98,461","$247,876","$881,061",,"$1,793,350","$243,778",,"$7,086","$1,511,272","$49,108",,,,,,,"$1,586,532","$632,701",,,"$633,753",,"$2,507,832","$85,777","$278,373","$289,294","$381,957","$670,472","$1,290,534","$1,869,756",,"$1,495,497",,,"$435,603","$363,783","$27,923",,"$364,231","$195,067","$1,441,962","$9,118,292","$172,601","$188,379",,
2296935,,The Legend of Sarila (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$513,885",,,,,,"$231,965","$21,223",,,"$11,302",,,"$6,468",,,,,,,,,,"$7,138","$109,615",,,,,
2064968,,The Longest Week (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,964",,,,,,,,,,,,,,,,,,,,,
2531282,,The Yes Men Are Revolting (2014),,,,"$1,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387408,,The Damned (2013),,,,,,"$22,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$680,444","$678,939",,,,,,,,,,,,"$26,805","$23,185",,,,,,,,,"$18,365",,,,,,,,,,,,,,"$33,867",,,,"$14,276",,,
2012665,,Repentance (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
