imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1978567,,The Reef 2: High Tide (2012),,,,,,"$9,159","$1,486,228",,,"$2,390,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,122",,,,,,,,,,,,,,,,,,,"$2,458,622",,,,,,"$1,590,071",,,,,,,,,"$530,537",,"$171,945","$158,097",,,
1869425,,Filly Brown (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$90,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224378,,Forbidden Empire (2014),,,,,,"$23,918","$14,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,925",,,,,,"$34,125,682",,,,,,,,,,,,,"$102,241",,,"$4,554,937",,,,,
0839976,,Santos (2007),,,,,,,,,"$11,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702443,,Justin Bieber: Never Say Never (2011),"$651,935","$4,577,280","$214,819",,"$433,783","$39,570","$3,126,978",,,,"$246,165","$86,842",,,"$376,509",,,,"$290,326","$15,521",,,"$108,688","$284,479","$2,100,201",,,,,"$83,950",,,"$99,154","$139,259",,,,,,,"$77,043","$25,518","$427,203","$1,091,675",,"$620,895","$431,057",,"$803,508",,,,,"$356,727","$315,777","$180,203","$53,508",,,,,"$270,699",,"$54,616","$250,849",,"$1,088,985","$537,179","$122,837",,,"$56,523",,,,,"$409,635","$3,741,695","$107,212",,
1705952,,Tarzan (2013),"$854,137",,,,,"$52,497","$5,026,193",,"$208,838","$3,010,000","$394,942",,,,,,,,,,,,,,,,,"$113,658",,,,,,,,,,,,,,,"$54,032","$2,474,594",,,"$227,345",,,,,,,"$458,027","$33,056",,,,,"$5,589,673",,"$170,194",,,,"$4,158,722",,,,,,,"$93,181",,,,,,"$43,017","$908,190",
0299981,,Highlander: The Source (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,061",,,,,,,,,,,,,,,,,,,,,,,,,"$90,856",
0758781,,Seed (2006),,,,,,,,,,,,,,,,,,,,,,,,,"$48,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,652",,,,
1718903,,StreetDance 2 (2012),,"$2,374,619","$1,035,187",,"$1,044,675",,,"$215,716",,,,"$232,988",,"$636,851",,,,,,"$41,664",,,"$359,315","$8,644,880","$10,052,865",,"$430,686","$697,281","$260,033","$22,352",,,,"$3,545,952",,,,,,,"$145,429","$198,113","$1,019,478",,,"$1,263,173","$507,443",,"$320,224",,,,,,"$320,648","$2,042,439","$444,270",,,"$4,687,779",,"$476,752","$112,354","$91,201",,"$1,273,142","$1,607,853","$162,723",,,,"$295,467","$457,934",,,"$198,253","$1,036,349","$22,294,205",,,"$49,393"
1913166,,Nurse (2013),,,,,,,,,,,,,,,,,,,,,,,,"$626,386",,,,,,$699,,,,"$68,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,225",,,,,,,,
2351310,,Flu (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,731",,,,,,,,,,,,,,,"$178,146",,,,,,,,,,,,,,,,,,,"$30,336",,,,"$19,504,706",,,,,,,,,,,,,,,
0756648,,The Fox and the Child (2007),,"$85,331",,,,,,,,,,,,,,,,,,,,,,,,,,"$24,665",,,,,,,,,,,,,,,,"$25,455",,,,,,,,,,,,,,,,,,"$9,035",,,,,,,,,,"$138,300",,,,,,,,,
0359144,,Lili's Apron (2004),"$2,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,422",,,,,,,,,,,,,,
3465456,,The White Haired Witch of Lunar Kingdom (2014),,,,,,,,,,"$61,850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609912,,Kevin Hart: Let Me Explain (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,648",,,
1764625,,Tad: The Lost Explorer (2012),"$572,901",,,,"$1,003,019","$102,505","$3,353,750",$746,"$900,301",,"$940,129","$98,728",,"$76,352",,,,,"$524,867",,,,,"$2,053,874",,,"$187,105",,,"$38,334",,,,"$847,513",,,,,,,"$54,289",,,"$7,274,656",,"$1,179,043",,,,,,,,"$2,232,646",,"$984,064","$342,017",,,"$396,917",,"$64,854","$119,844","$9,459",,"$1,279,209","$23,871,402",,,,,,,,"$570,433",,"$287,155",,"$125,493",,
