imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0456630,,Reincarnation (2005),"$191,210",,,,,,,,,,,"$68,087",,,,,,,,,"$321,875",,,,,,,,"$9,012",,,,"$353,253",,,,,,,,"$1,688,919",,,,,,,,,,,,,,,,,,,,,,,,,"$79,600",,,,,,,,"$1,632,100",,,,,,,"$193,551","$58,947",,,,,,,,
0362225,,Tell No One (2006),"$21,807",,"$312,617",,,"$693,168",,,"$45,666",,,,,,,,,,,,"$6,177,192",,,,,,,"$2,353","$22,194,261",,"$121,078",,,,,,,,,,,,,,"$10,994",,,,"$85,442",,,,,,,,,,,,"$254,366","$68,723",,,,"$545,000",,"$13,634",,,"$13,687",,,,,"$89,582","$177,343",,,,,,"$46,954",,"$49,135","$2,483,990",,,,
0890882,,A Man's Job (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,876",,,,,,,,,
0402906,,Czech Dream (2004),,,,,,,,,,,,,,,,,,"$33,343",,,"$21,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0809407,,12:08 East of Bucharest (2006),"$86,363",,,"$31,482",,,,"$44,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,712",,,,,,,,,,"$12,521",,,,,,,,,,"$6,257",,,"$7,876",,,"$39,212",,,,,,,,,"$11,250","$56,097",,,,,,,,,,,"$72,568",,,,
0829482,,Superbad (2007),"$396,284",,"$6,287,231","$369,041",,"$682,706","$31,275","$1,647,233","$71,236","$279,996",,"$139,952",,"$218,078","$35,826",,,"$51,806",,"$626,946",,"$33,088","$13,538","$102,084",,"$75,243",,"$117,330","$2,893,656","$2,047,011","$210,952",,,"$88,059","$223,712","$38,814",,"$362,009","$889,369","$15,034",,,,"$134,398","$16,700","$49,226","$357,676",,"$1,288,983",,,,"$917,588","$748,270","$12,459","$843,435",,,"$170,139","$69,259","$722,408","$271,634",,,"$112,899","$2,219,459",,"$20,505","$254,223","$35,977","$74,996","$295,080",,,"$6,053,517","$1,485,126","$349,805","$45,830","$300,901","$8,745",,,"$383,528","$496,904",,"$13,377,716","$39,299","$245,106",,
0488508,,The Call of Wild (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$419,505",,,"$37,556",,,,,,,,"$150,285",,,"$13,550",,,,,,,,,,,,,,,,,,,,,,,,"$3,495",,,,,,"$219,639","$96,220",,,,,,"$47,395",,,,,"$43,459",,,,
0808331,,Joshua (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,074","$42,643",,,,,,,,,"$28,437",,,,,,,,,,,,,,,"$6,658",,,,,,"$11,184","$11,102",,,,,,"$43,291",,"$26,670",,,,,,"$37,554",,,,,,,,,,,,,,,
0796368,,Talk to Me (2007),,,"$4,152","$7,110",,,,,,,,,,,,,,,,,,,,,,,,,,"$79,587",,,,"$3,567",,,,,,,,,,,,,,,,,,,"$4,644","$26,217",,,,,,,,,,,,,,,"$15,969",,,"$45,522",,"$22,555","$10,733",,,,,,,,,,,"$25,059",,,,
0434292,,Princesses (2005),"$26,394",,,"$54,750",,,,"$100,903",,,,"$6,701",,,,,,,,,,,,,,,,,,"$523,456",,,,,,,,,,,,,,,,,,,"$106,144",,,,,,,,,,"$29,784",,,,,,,,,,,,,,,,"$7,480,848",,"$85,911",,,,,,,,,"$1,822",,,,
0432325,,The Cave of the Yellow Dog (2005),"$29,703",,"$208,831",,,,,,,,,,,,,,,,,,"$141,803",,,,,,,,"$962,450","$901,788",,,,,,,,,"$162,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$220,408",,"$499,459",,,,"$31,909",,,,,"$258,893",,,,
0431979,,The Young Lieutenant (2005),,,,"$12,044",,,,,,,,,,,,,,,,,,,,,,,,,"$3,755,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0416185,,Resurrecting the Champ (2007),,,,,,"$13,221",,,,,,,,,,,,,,,"$3,172,573",,,,,,,,,,,,,,,,,,,,,,,,$547,,,,,,,,,,,,,,,,,"$39,813",,,,,,,,"$2,957",,,,,,,,,,,,,,,"$13,953",,,,,
0796335,,Molière (2007),"$27,870",,"$382,847",,,"$46,165",,"$101,307","$1,276",,,,,,,,,,,,,,,,,,,,"$7,999,801",,,,,"$15,092","$4,509",,,,"$134,143",,,,,,"$30,532",,"$14,009","$1,955","$182,993",,,,"$1,706","$61,188",,,,,,,,,,,"$11,379","$166,180",,,"$26,318",,,,,,"$100,650","$49,443","$180,243",,,,,,,,,"$691,003","$12,525",,,
0293564,,Rush Hour 3 (2007),"$193,944",,"$9,080,541","$1,595,844","$345,744","$1,538,289","$65,935","$2,251,353","$308,875","$482,195",,"$208,762",,"$253,431","$198,093",,,"$39,274",,"$1,563,398",,"$29,094","$103,833","$161,303","$143,969","$70,952",,"$479,889","$7,188,624","$11,644,582","$1,419,110",,"$1,057,751","$248,167","$238,546","$924,718","$1,827,826","$806,212","$516,889",,"$8,147,455",,,"$151,297","$253,160","$242,494","$234,621","$2,595,065","$3,758,080",,,,"$1,446,393","$1,362,618","$72,546","$1,550,307",,,"$363,975","$1,797,878","$256,808","$988,543","$1,512,170",,"$214,657","$4,292,073",,"$32,800","$2,416,166","$53,488","$241,790","$2,026,858",,"$5,313,326","$3,438,386","$1,439,343","$1,613,795",,,,"$863,253","$1,582,540","$913,195","$523,980","$1,534,375","$21,227,981","$6,244","$516,351",,
0462396,,The Last Legion (2007),,,,"$157,365",,"$386,831",,"$431,943",,,,,,,,,,"$36,004",,,,,"$23,339",,,,,,"$1,791,820","$627,156","$229,010",,,,,,,,"$2,387,367",,,,,,"$29,235",,,"$162,841","$897,002",,,,"$193,600",,"$17,018",,,,,"$101,967",,"$490,987",,,"$75,023","$3,426,524",,"$10,719","$116,726","$58,484","$16,956","$94,985",,,"$5,693,155",,,,,,,"$229,530",,"$378,755","$455,223","$849,979",,,,
0459880,,Lady Chatterley (2006),,,"$281,991","$59,403",,,,"$125,851",,,,,,,,,,,,,,,,,,,,"$10,850","$542,728","$26,251","$45,834",,"$43,784",,,,,,,,,,,,"$8,903",,,,,,,,,"$30,389",,"$105,056",,,,,,"$39,455",,,,"$18,134",,,"$17,242",,,,,"$106,441","$105,087","$116,680","$270,288",,,,"$73,405",,,,,"$485,197",,,,
0424823,,Balls of Fury (2007),,,"$48,624",,"$21,679",,$655,,,,,,,,,,,"$18,694",,,"$32,886,940",,,"$6,043",,,,,"$25,804","$21,217","$109,253",,,,"$93,736","$29,322",,,,,"$422,334",,"$48,625","$13,908","$7,013",,"$25,589","$189,184","$105,855",,,,,,,,"$8,482",,"$35,380","$275,199",,"$259,504",,"$23,181",,"$840,500",,,"$742,661","$11,448","$17,357","$287,935",,,"$6,090",,,,,,,"$265,367",,"$76,216","$151,806","$4,425,910",,"$238,255",,
0815244,,Sydney White (2007),,,"$642,598",,,,,,,,,,,,,,,,,,,,"$7,062",,,,,,,,,,,,"$52,187",,,,,,,,"$32,484",,"$8,231",,,,,,,,,"$126,659","$9,540",,,,,"$47,079",,"$88,391",,,"$100,738",,,,,,,"$374,413",,,,,,,,,,,,,"$234,806","$3,472",,,,
0431197,,The Kingdom (2007),,,"$3,488,768","$380,504",,"$897,230",,"$261,637","$103,361",,"$208,473",,,"$129,351","$48,093",,"$46,945","$134,508","$171,215","$441,020",,,"$34,831","$42,658","$155,424","$34,102",,"$141,640","$3,907,998","$2,603,962",,,"$336,815","$138,232","$59,204","$138,572","$444,672","$213,798","$851,352",,"$2,672,238",,,"$52,709","$297,409","$24,839","$57,999","$402,885","$1,180,640",,"$376,488",,"$1,165,128","$527,676","$22,410","$478,282",,,,"$432,829","$261,463","$598,594",,,"$84,337","$700,508",,,"$536,852","$45,935","$54,050","$489,968",,"$1,838,821","$1,207,803","$668,113","$642,792",,,,"$463,003","$898,516","$514,283","$113,716","$1,185,715","$5,755,077","$7,559","$238,899","$70,479",
0486051,,Wind Chill (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$124,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,989",,,,
