Movie Name,France,Greece,Netherlands,United Kingdom,Portugal,Domestic,Colombia,Uruguay,Peru,Chile,United Arab Emirates,Mexico,Argentina,Bolivia,Paraguay,Russia/CIS,Thailand,South Korea,Türkiye,Ukraine,Estonia,Lithuania,Philippines,New Zealand,China,Australia,Spain,Singapore,Norway,Germany,Italy,Finland,South Africa,Iceland,Slovenia,Hong Kong,Taiwan,Belgium,Japan,India,Vietnam,Malaysia,Indonesia,Pakistan,Switzerland,Poland,Sweden,Denmark,Austria,Israel,Hungary,Czech Republic,Lebanon,Croatia,Romania,Egypt,Slovakia,Bulgaria,Serbia and Montenegro,Latvia,Cyprus,Brazil,Venezuela,Ecuador,Panama,Dominican Republic,Switzerland (French),Nigeria,Trinidad & Tobago,Kuwait,Qatar,Bahrain,Jordan,Oman,Jamaica
Ouija: Origin of Evil (2016),"$2,616,956","$148,358","$569,872","$3,452,187",,,"$1,243,726","$89,800","$912,715","$804,732","$699,936","$5,232,885","$1,857,201","$122,191","$58,042","$1,071,659","$149,917","$2,257,288","$105,438","$187,330","$54,565","$94,523","$791,048","$196,314",,"$1,765,832","$3,413,476","$672,805",,"$1,972,929","$2,675,728","$100,600","$41,091",,"$49,227",,"$613,541","$327,642",,,"$1,153,848","$1,489,286","$3,115,055","$74,113","$346,666","$456,094","$384,256",,"$244,377",,,,"$89,641","$62,727","$187,491","$299,065",,,,,,"$1,795,635","$144,524","$450,891","$995,908",,,,,,,,,,
Trolls (2016),"$18,495,935","$713,867","$3,847,213","$30,263,365","$1,404,043","$154,025,064","$1,726,604","$213,968","$977,426","$2,591,493","$1,691,224","$7,286,662","$2,897,407","$323,196","$40,187","$13,012,294","$131,804","$4,481,930","$1,089,423","$792,874",,"$439,266","$989,062","$1,622,802","$7,913,005","$12,962,523","$10,310,875","$845,277","$2,284,324","$8,898,705","$4,911,414","$332,376","$859,996","$292,621","$267,561","$254,386",,"$2,267,137",,"$233,386","$247,486","$410,324","$344,620",,"$1,602,127","$337,609","$2,909,418","$2,671,694",,"$1,764,880","$591,358","$960,102",,"$355,671","$1,168,137",,"$580,239","$569,192",,,,"$7,411,095",,"$578,220",,,,,,,,,,,
Struggle for Life (2016),"$667,962",,,,,,,,,,,,"$7,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial (2016),"$950,247","$38,925","$100,122","$1,159,504","$43,574",,,,,,,,,,,,,"$218,014",,,,,,"$136,082",,"$466,355","$436,374",,,,"$107,415",,"$57,632",,,,,,,,,,,,,"$28,105",,,,"$88,318",,,,,,,,,,,,"$90,371",,,,,,,,,,,,,
Jack Reacher: Never Go Back (2016),"$7,261,023","$339,894","$1,719,007","$9,825,861","$620,312",,"$460,127","$23,455","$336,624","$108,927","$2,775,573","$2,426,651","$430,458","$41,966","$16,523","$3,268,002","$856,787","$3,856,365","$739,836","$440,899",,"$62,186","$1,151,374","$895,708","$8,968,438","$4,775,283","$1,529,132","$1,253,704","$679,021","$4,223,343","$2,059,766","$493,063","$609,677","$101,711","$48,169","$1,569,306","$3,616,268","$673,578","$7,870,403","$1,094,074",,"$1,936,379","$3,043,879",,"$1,210,242","$347,696","$1,147,313","$549,320","$722,296","$816,185","$340,211","$118,530",,,"$562,644",,"$71,509","$229,656",,,,"$2,784,874","$5,570,780",,"$822,785",,,,,,,,,,
American Pastoral (2016),"$99,399","$34,010","$23,326","$137,099","$70,910",,"$18,163","$6,234",,,"$37,218",,,,,"$11,525",,"$10,967","$18,365","$17,967",,,,,,,"$136,240",,,,"$817,402","$18,874","$10,850",,$491,,,,,,,,,,,,,,,,"$27,962",,,,,,"$1,933","$20,403",,,,,,,,,,,,,,,,,
Manchester by the Sea (2016),"$3,288,833","$378,096","$1,002,776","$4,561,092","$453,684",,"$101,449","$63,540","$78,690","$113,700","$98,364","$495,473","$413,438","$14,922","$7,671","$199,887","$49,110","$395,719","$165,895",,"$48,495","$28,318",,"$228,679","$1,167,763","$2,425,326","$2,286,051","$51,803","$721,318","$2,723,647","$2,120,953","$358,951","$172,444","$24,679","$42,971","$223,133","$374,738","$375,033","$1,462,747",,,,,,"$805,929","$282,873","$1,039,345","$391,543","$312,677","$742,451","$81,802","$55,245","$37,554","$56,444",,"$16,067","$16,929",,,"$21,204",,"$603,431","$25,530","$62,757",,"$18,388",,,,,,,,,
Lion (2016),"$1,336,945","$178,053","$2,174,010","$15,407,947","$327,024","$51,738,905","$262,758","$237,748","$169,034","$185,613","$263,345","$941,895","$747,656","$794,008",,"$330,315",,"$665,418","$214,350","$24,080","$82,416","$118,521",,"$2,930,174","$2,534,618","$22,887,820","$3,005,872",,"$1,257,631","$4,682,467","$4,417,584","$237,930","$530,605","$50,649","$31,619","$373,378","$304,347","$1,387,812","$2,899,653","$453,997",,,,,"$2,777,034",,"$2,227,605","$809,032","$392,932","$2,199,329","$57,099","$47,856","$122,752","$209,167","$277,669",,"$60,310","$49,836","$99,451",,,"$786,689",,,"$44,476",,,,,,,,,,
The Autopsy of Jane Doe (2016),"$1,280,407",,,"$16,065","$48,765",,"$389,799","$89,648",,,,"$1,192,311","$559,481","$93,531","$44,742","$188,620",,"$148,126","$70,345","$15,433",,"$36,234",,,,,"$29,815",,"$459,081",,"$480,426",,,,,,,,,,,,,,,"$167,497",,,,,,,,"$38,569",,,,,,,,"$810,674",,,,,,,,,,,,,
The People Vs. Fritz Bauer (2015),"$203,931","$2,330","$35,655",,"$9,786",,,,,,,,$41,,,,,,,,,,,,,,"$302,307",,"$8,761","$1,925,793","$274,561",,,,,,,,,,,,,,,,,,"$32,325",,,,,,,,,,,,,,,,,,,,,,,,,,
