Movie Name,France,Greece,Netherlands,United Kingdom,Portugal,Domestic,Colombia,Uruguay,Peru,Chile,United Arab Emirates,Mexico,Argentina,Bolivia,Paraguay,Russia/CIS,Thailand,South Korea,Türkiye,Ukraine,Estonia,Lithuania,Philippines,New Zealand,China,Australia,Spain,Singapore,Norway,Germany,Italy,Finland,South Africa,Iceland,Slovenia,Hong Kong,Taiwan,Belgium,Japan,India,Vietnam,Malaysia,Indonesia,Pakistan,Switzerland,Poland,Sweden,Denmark,Austria,Israel,Hungary,Czech Republic,Lebanon,Croatia,Romania,Egypt,Slovakia,Bulgaria,Serbia and Montenegro,Latvia,Cyprus,Brazil,Venezuela,Ecuador,Panama,Dominican Republic,Switzerland (French),Nigeria,Trinidad & Tobago,Kuwait,Qatar,Bahrain,Jordan,Oman,Jamaica
Heartstone (2016),,,,$985,"$1,176",,,,,,,,,,,,,"$35,142",,,,,,,,,,,,,,,,"$324,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salute (2008),,,,"$2,486",,,,,,,,,,,,,,,,,,,,,,"$169,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Bhaag Jayegi (2016),,,,"$63,449",,,,,,,,,,,,,,,,,,,,"$11,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock on 2 (2016),,,,"$34,043",$513,,,,,,,,,,,,,,,,,,,"$5,749",,,,,,,,,,,,,,,,"$2,154,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rules Don't Apply (2016),,,,"$60,428",,,,,,,,,,,,,,,,,,,,"$7,669",,"$52,301","$76,469",,,,"$17,556",,"$13,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies of the People (2009),,,,"$7,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleed for This (2016),,,,"$672,685","$89,803",,,,,,"$73,120",,,,,"$166,132","$5,609","$41,614",,,,"$6,596",,,,,,,"$17,754","$66,328","$451,780","$17,872","$3,063",,,,,"$2,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Greasy Strangler (2016),,,,"$21,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Steel (2016),,,,,"$7,517",,"$63,035","$3,215",,,"$83,318",,,"$91,091","$5,373","$408,673","$356,847",,"$53,313","$42,869",,,,,"$272,819",,,,,,,,"$159,564","$7,314","$2,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Stone (2016),,,,,$292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casi divas (2008),,,,,,"$46,612",,,,,,"$3,693,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitro (2007),,,,,,"$3,768,878",,,,,"$13,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Distinguished Citizen (2016),,,,,,,"$20,381","$100,979",,,,,"$2,998,504",,"$1,510","$7,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No manches Frida (2016),,,,,,,"$23,152",,,,,"$11,836,599",,"$152,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bling (2016),,,,,,,"$171,046",,"$85,000",,,,,,,"$148,260",,"$584,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,000",,,,,,,,,,,
Smoke & Mirrors (2016),,,,,,,"$17,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I Saw You (2012),,,,,,,"$33,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papeles en el viento (2015),,,,,,,,"$44,581","$6,439","$3,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El custodio (2006),,,,,,,,"$2,354",,,,"$40,779","$107,488",,,,,,,,,,,,,,"$6,316",,,"$7,561",,,,,,,,$894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La última cima (2010),,,,,,,,"$3,787",,,,,,,,,,,,,,,,,,,"$968,401",,,,,,,,,,,,,,,,,,,,,,,,,"$25,601",,,,,,,,,,,,,,,,,,,,,,,
Barbie in Rock 'N Royals (2015),,,,,,,,,"$6,726",,,"$12,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,537",,,,,,,,,,,,,
Barbie: Spy Squad (2016),,,,,,,,,"$2,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Misfits Club (2014),,,,,,,,,"$180,827","$34,741",,"$50,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level Up (2016),,,,,,,,,,,"$22,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Monster (2016),,,,,,,,,,,"$50,409",,,,,,"$11,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Vestvood: Amerikan Hero (2016),,,,,,,,,,,"$53,215",,,,,"$6,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pet (2016),,,,,,,,,,,"$13,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl with All the Gifts (2016),,,,,,,,,,,,"$972,048","$2,979","$2,648",$62,"$508,398","$45,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladrones (2015),,,,,,,,,,,,"$440,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abattoir (2016),,,,,,,,,,,,,"$74,875",,,"$249,662","$14,497","$251,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Floor Below (2015),,,,,,,,,,,,,"$24,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At War with Love (2016),,,,,,,,,,,,,"$21,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Possession Experiment (2016),,,,,,,,,,,,,"$113,807","$45,220","$8,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Duelist (2016),,,,,,,,,,,,,,,,"$5,995,423",,,,"$93,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diggers (2016),,,,,,,,,,,,,,,,"$627,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardians of the Night (2016),,,,,,,,,,,,,,,,"$509,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector (2016),,,,,,,,,,,,,,,,"$707,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who Gets the Dog? (2016),,,,,,,,,,,,,,,,"$50,050",,,,"$22,303",,,,,,,,,,"$755,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brimstone (2016),,,,,,,,,,,,,,,,"$110,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Oats (2016),,,,,,,,,,,,,,,,"$66,982",,,,,,,,,,,"$119,374",,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,995",,,,,,,,,,,,,,,,,,,,,
Under the Sun (2015),,,,,,,,,,,,,,,,"$39,708",,"$161,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army of One (2016),,,,,,,,,,,,,,,,"$79,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Tsarevich & the Grey Wolf (2011),,,,,,,,,,,,,,,,"$24,617,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Tsarevich i Seryy Volk 3 (2016),,,,,,,,,,,,,,,,"$9,775,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Amour (2016),,,,,,,,,,,,,,,,"$23,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyosha Popovich and Tugarin Zmey (2004),,,,,,,,,,,,,,,,"$1,730,000",,,,,,,,,,,,,,,,,,,,,"$2,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilya and the Robber (2007),,,,,,,,,,,,,,,,"$9,739,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belle Du Seigneur (2012),,,,,,,,,,,,,,,,"$226,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Kind of Murder (2016),,,,,,,,,,,,,,,,"$88,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Heroes on Distant Shores (2012),,,,,,,,,,,,,,,,"$31,136,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tri bogatyrya: Khod konem (2015),,,,,,,,,,,,,,,,"$12,909,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Not to Rescue a Princess (2010),,,,,,,,,,,,,,,,"$19,010,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Grand Chef (2007),,,,,,,,,,,,,,,,,"$70,751","$20,028,922",,,,,,,"$427,710",,,"$216,374",,,,,,,,"$28,704","$3,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badges of Fury (2013),,,,,,,,,,,,,,,,,"$35,035",,,,,,"$43,896","$13,430","$45,300,000","$24,027",,"$182,804",,,,,,,,"$121,210",,,,,,"$469,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asura (2016),,,,,,,,,,,,,,,,,,"$18,120,183",,,,,,"$4,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Brand New Life (2009),,,,,,,,,,,,,,,,,,"$116,306","$8,703",,,,,,,,"$1,501","$8,274","$34,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where's the Dragon? (2015),,,,,,,,,,,,,,,,,,"$41,921",,,,,,,"$3,847,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dare to Be Wild (2015),,,,,,,,,,,,,,,,,,"$5,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stormy Night (2005),,,,,,,,,,,,,,,,,,"$1,543,969",,,,,,,,,,,,,,,,,,"$349,841","$469,099",,"$15,002,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Meters (2016),,,,,,,,,,,,,,,,,,"$7,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounty Hunters (2016),,,,,,,,,,,,,,,,,,,,,,,,"$3,459","$31,911,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line Walker (2016),,,,,,,,,,,,,,,,,,,,,,,,"$51,719","$87,941,104","$234,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freaky Ali (2016),,,,,,,,,,,,,,,,,,,,,,,,"$6,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What a Wonderful Family! (2016),,,,,,,,,,,,,,,,,,,,,,,,"$2,298","$4,587,849","$19,719","$394,706",,,,,,,,,,,,"$10,728,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Mekong (2016),,,,,,,,,,,,,,,,,,,,,,,,"$67,100","$172,477,764","$494,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry & Snowman (2015),,,,,,,,,,,,,,,,,,,,,,,,"$17,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inch'Allah (2012),,,,,,,,,,,,,,,,,,,,,,,,"$22,984",,,"$208,209",,,,,,,,,,,"$44,272",,,,,,,,,,,,,,,,,,,,,,,,"$32,351",,,,,,,,,,,,,
Sour Grapes (2016),,,,,,,,,,,,,,,,,,,,,,,,"$12,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call of Heroes (2016),,,,,,,,,,,,,,,,,,,,,,,,,"$25,033,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insanity (2014),,,,,,,,,,,,,,,,,,,,,,,,,"$7,080,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Raiders (2016),,,,,,,,,,,,,,,,,,,,,,,,,"$145,692,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting Home (2007),,,,,,,,,,,,,,,,,,,,,,,,,"$1,675,150",,,,,,,,,,,"$36,472",$569,"$1,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Ladder: The Art of Cai Guo-Qiang (2016),,,,,,,,,,,,,,,,,,,,,,,,,"$277,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomsday: The Sinking of Japan (2006),,,,,,,,,,,,,,,,,,,,,,,,,"$1,596,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Fool (2014),,,,,,,,,,,,,,,,,,,,,,,,,"$2,059,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Women's Balcony (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Longnose (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$690,318",,,,,,,"$5,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Things from Another World (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,486,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballad (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,483",,,"$19,277,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
