imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2302966,,I (2015),,"$203,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,340",,,,,,,,,,,,,,,,,,,,,,,,,"$1,525,562",,,,
2245003,,Miss You Already (2015),,"$1,323,675","$106,448",,,,"$36,305",,"$20,592",,"$10,998",,"$22,581",,,,,,,,"$423,347","$249,264",,,"$45,873",,,,,,,,,,"$21,329",,,"$1,407,695","$119,063","$152,195",,,,"$19,089",,,"$17,043",,,,,"$38,680","$40,370",,"$36,504","$29,837",,,,,,,"$9,656",,"$65,264","$2,215,536",,,
3862750,,The Perfect Guy (2015),,,,"$20,299",,,,,,,,,,,,,"$12,666",,"$5,107",,,"$74,869","$40,440",,,,,,,,,"$11,563","$26,797",,"$58,147",,,,,,"$247,178",$702,"$7,204",,,,,"$15,264",,,,,,,"$636,575",,,,,,,,,,"$185,357","$342,500",,,
3164256,,Rock the Kasbah (2015),,,"$13,245",,,,"$10,253",,,,,,,,,,,,,"$3,833",,"$113,228",,,,,,,,"$62,865",,,,"$2,776",,,,"$10,806",,"$27,400",,,,,,"$37,011","$12,827",,,"$19,498",,"$9,477",,,"$7,452",,"$6,910",,,,,,,,"$30,420","$5,509",,,
4515684,,The Treasure (2015),,,,,,,"$3,145",,,,,,,,,,,,,,,,,,,,$851,,,,,,,,,,,,,,,,,,,,"$3,409",,,"$10,850",,,,,,,"$13,934",,,,,,,,,,,,
3181776,,Momentum (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$65,175",,,,,,,,"$49,015",,,,,"$256,862",,,,,,,,,,,,"$69,146",,,,,,,
4163020,,Tales of Halloween (2015),,,,,,"$12,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$111,288","$99,772",,,,,,,,,,,,"$138,705",,,,,,,,,,,,,,,,,,"$20,248",
1931421,,Dolfje Weerwolfje (2011),,,"$13,726",,"$86,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,617,383",,,,,,,,,,,,,,,,,,"$2,059",,,,,,,,,,,,
3603808,,The Diabolical (2015),,,,,,"$18,183",,,,,"$167,016",,,,,,,,,,,,,,,,,,,,,,,,,,"$61,210",,,,,,,,,,,,,,,,,,,,,,,,,"$23,049",,,,,,,
4374460,,Aferim! (2015),,,,,,,,"$2,305",,,,,,,,,,,,,,,,"$17,334",,,,,,,,,,,,,,,,,,,,,,,,,"$221,748",,,,,$613,,,,,,,,,,,,,,,
