Movie Name,Belgium,Portugal,Singapore,France,United Kingdom,Netherlands,Domestic,South Korea,Thailand,Hong Kong,Mexico,Italy,Germany,Spain,Romania,South Africa,Türkiye,Austria,Lebanon,Finland,United Arab Emirates,Hungary,Brazil,Argentina,Venezuela,Uruguay,Chile,Australia,New Zealand,Russia/CIS,Greece,Egypt,Lithuania,Croatia,Slovenia,Norway,Estonia,Serbia and Montenegro,Latvia,Iceland,Slovakia,Peru,Colombia,Central America,Ecuador,Bolivia,Taiwan,Indonesia,Malaysia,Philippines,Sweden,Denmark,Poland,Ukraine,Israel,Czech Republic,Bulgaria,Nigeria,Bahrain,Jordan,East Africa,Ghana,Oman,Ethiopia,Japan,India,Vietnam,Dominican Republic,Curaçao,Aruba,Kuwait,Qatar,Trinidad & Tobago,Jamaica,Switzerland,Puerto Rico,Lesser Antilles,China,Russia,Pakistan,Mongolia,Cambodia,Paraguay
Paris 36 (2008),"$196,131","$31,219","$17,874","$9,932,560",,,,"$5,834",,"$27,013","$26,303",,"$454,404","$732,328",,"$6,858",,"$26,403",,"$4,210",,$35,,"$101,821","$94,140","$8,388",,"$145,063","$16,114","$41,683","$52,697",,,,,"$4,355",,,,,,"$31,221","$47,267",,,"$3,764","$13,016",,,,"$1,701",,,,,,,,,,,,,,,,,,,,,,,,"$66,680",,,,,,,,
Taking Woodstock (2009),"$26,934","$104,595","$23,622",,,,,"$85,101","$10,197","$58,689","$30,530","$646,308","$747,241","$43,338","$6,262",,"$7,200","$89,735",,"$8,209",,,,,,,,"$169,345","$9,650",,,,,,,"$30,468","$4,059",,"$20,760","$6,274",,,"$1,903",,,,"$256,856",,,,"$40,726","$10,435",,,,"$5,498",,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween II (2009),"$34,808",,"$196,960",,"$2,105,571","$118,284",,,,,"$602,683","$1,146,982",,,"$55,951",,"$182,232",,"$25,484",,"$147,410",,"$119,658","$119,236",,,"$63,966",,,,"$204,347","$49,397",,"$40,044","$37,577",,,,,"$12,334",,"$123,877","$118,926",,,"$34,719","$82,909",,,"$154,404",,,,,,"$25,242",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Secret in Their Eyes (2009),"$337,802","$241,121",,"$493,060","$1,166,844","$559,880",,"$122,825",,"$94,794","$495,622","$1,566,701","$949,301","$8,220,014",,,"$122,834","$220,248",,"$120,013",,,"$1,805,523","$9,255,067","$61,759","$397,437","$446,321","$643,784","$441,340","$76,304","$499,894",,"$1,619",,,,,,,,,"$116,376",,,"$34,900","$19,137","$34,547",,,,,"$143,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 (2009),"$86,863","$42,892","$220,919","$4,506,172","$770,156",,,"$599,609","$20,774","$114,126","$1,935,755",,,"$835,769",,"$13,189","$18,467",,"$6,221","$13,122","$68,139",,"$475,011","$38,881","$74,091",,"$102,027","$187,680","$41,515","$5,072,691","$66,560",,"$105,193",,,,"$7,698",,"$25,883","$14,763",,"$67,368",,,"$99,817",,"$9,924",,"$16,109",,,,,"$172,636",,"$64,097",,,,,,,,,"$115,947",,,,,,,,,,,,,,,,,,
The White Ribbon (2009),"$497,190","$93,517","$20,037","$4,019,904","$315,160",,,"$72,378",,"$23,826","$83,884","$844,455","$5,601,024","$2,226,344","$6,465","$44,774","$27,169","$1,131,585",,"$6,098",,,"$343,187","$180,975",,"$21,623","$48,591","$140,525","$21,382","$62,993","$569,470",,"$4,389",,,"$269,985",,"$13,277",,$795,,"$36,940","$34,799",,,,,,,,"$91,087","$223,242",,,,"$14,391","$5,348",,,,,,,,,,,,,,,,,,,,,,,,,,
Pandorum (2009),"$32,753","$43,113","$299,217",,"$1,032,492",,,"$1,036,192","$205,563","$54,044","$285,967","$1,049,843","$932,423","$1,037,315","$84,699","$28,415",,"$87,561","$12,558",,"$104,376",,"$155,391",,,,,,,"$2,504,568",,"$33,447","$30,863","$28,359",,,"$17,264",,"$24,709","$10,042",,"$31,258","$13,164",,"$40,456",,"$128,416",,"$432,731","$113,108",,,,"$210,155",,,"$33,024","$11,213",,,"$2,551",,,,"$170,225",,,,,,,,,,,,,,,,,,
The Men Who Stare at Goats (2009),"$327,273","$544,549","$88,004","$2,900,114","$6,638,379","$304,016",,"$127,080","$51,352","$120,103","$211,257","$5,577,762","$6,189,482","$4,426,474","$71,382","$71,929","$191,477","$1,207,373","$7,824","$261,592","$146,657","$177,689","$139,183","$195,188","$51,515","$15,758","$42,713","$1,326,574","$141,402","$2,689,586","$287,579",,"$28,477","$90,474","$74,580","$406,658","$58,326","$28,811","$25,786","$15,186",,,"$13,109",,,"$11,396","$150,665",,,,"$113,736","$372,971","$203,005","$218,372","$96,173","$172,045","$56,540",,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer's Body (2009),"$578,583",,"$526,663","$2,802,563","$1,995,861","$264,513","$16,204,793",,,"$263,346","$1,791,152","$584,320","$117,640","$1,462,153",,"$256,779","$162,881",,,,,,"$395,387","$195,110","$884,511","$3,665","$143,185",,"$32,255","$1,326,525",,"$42,202","$35,705",,,,,,,"$16,653",,"$270,575","$109,651",,"$107,815","$58,936",,,"$559,214","$363,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Informant! (2009),"$227,494","$223,698","$177,350","$2,102,308","$580,490","$152,632",,,,"$81,520","$129,290","$607,953","$494,990","$789,433",,"$61,818",,"$140,393",,"$176,575","$77,207","$75,712","$454,448",,,"$22,556",,"$1,216,264","$85,576",,"$113,676",,"$10,394","$47,054",,"$128,236",,,,"$12,589",,,"$42,137",,"$20,687",,"$39,179",,,"$21,830","$88,386","$52,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
