Movie Name,Belgium,Portugal,Singapore,France,United Kingdom,Netherlands,Domestic,South Korea,Thailand,Hong Kong,Mexico,Italy,Germany,Spain,Romania,South Africa,Türkiye,Austria,Lebanon,Finland,United Arab Emirates,Hungary,Brazil,Argentina,Venezuela,Uruguay,Chile,Australia,New Zealand,Russia/CIS,Greece,Egypt,Lithuania,Croatia,Slovenia,Norway,Estonia,Serbia and Montenegro,Latvia,Iceland,Slovakia,Peru,Colombia,Central America,Ecuador,Bolivia,Taiwan,Indonesia,Malaysia,Philippines,Sweden,Denmark,Poland,Ukraine,Israel,Czech Republic,Bulgaria,Nigeria,Bahrain,Jordan,East Africa,Ghana,Oman,Ethiopia,Japan,India,Vietnam,Dominican Republic,Curaçao,Aruba,Kuwait,Qatar,Trinidad & Tobago,Jamaica,Switzerland,Puerto Rico,Lesser Antilles,China,Russia,Pakistan,Mongolia,Cambodia,Paraguay
Hachi: A Dog's Tale (2009),"$38,085","$160,646","$233,668","$1,117,274","$1,563,107","$76,412",,"$613,639","$47,718","$543,178","$2,651,633","$7,465,403","$1,526,521","$3,080,944",,"$181,740",,"$542,582","$19,883","$20,157","$34,508",,"$3,502,608","$312,385",,"$22,019","$288,311",,,"$2,046,840",,,,"$5,413",,,,,,,,"$362,576",,,,"$1,515","$167,121",,"$48,045",,"$50,520",,,,,,,,,,,,,,"$20,025,195",,,,,,,,,,,,,,,,,,
Leap Year (2010),"$6,372","$77,502",,"$55,698","$2,740,697","$117,142",,"$727,057",,,,"$36,639","$812,288","$305,205","$112,796","$281,741","$215,541",,"$36,375","$2,283","$56,711","$78,743",,,,,,"$1,503",,,"$71,743",,"$48,548","$67,344","$163,068",,"$36,502","$14,152","$59,070","$1,843",,,"$1,593",,,,,,,,,,,"$332,753","$213,780","$41,182","$33,188","$18,521",,,,,,,,,,,,,,,,,,,,,,,,,
The Book of Eli (2010),"$574,030","$552,478","$384,884","$4,653,432","$6,294,247","$1,012,045",,"$1,428,769","$677,088",,"$4,043,777","$3,916,301","$3,543,027","$5,069,500","$316,100","$772,044","$821,559","$499,655","$204,507",,"$823,004","$211,273","$4,470,700","$591,241","$996,734","$106,178","$254,655","$3,403,495","$391,768","$4,760,458","$423,439","$277,990","$60,288","$219,043","$90,552","$24,803","$31,814","$40,582","$43,031","$59,353","$76,762","$273,559","$1,010,996",,"$181,820","$84,676","$519,389","$630,714","$692,387","$528,495",,,"$457,301","$277,954",,"$86,896","$193,003",,,,,,,,"$4,844,339",,,,,,,,,,,,,,,,,,
The Girl Who Kicked the Hornet's Nest (2009),"$88,114","$8,148","$28,636","$428,677","$878,910","$750,282",,,,"$38,920",,"$818,396","$3,843,388","$3,580,508","$5,424","$30,809","$25,750","$149,160",,"$736,561",,,,,,,,"$2,376,199","$687,709",,,,"$1,515",,,"$5,253,667",,,,"$186,189",,,,,,,,,,,"$10,097,688","$9,034,083",,,,"$37,406",,,,,,,,,,,,,,,,,,,,,,,,,,,
A Prophet (2009),"$325,265","$75,429",,"$10,309,555","$1,504,451","$463,100",,"$167,091",,"$23,497","$56,483","$794,872","$169,998","$567,672","$6,950",,,"$74,708","$12,309","$64,073","$2,105",,"$170,212",,"$42,189","$1,621",,"$49,865","$68,312","$302,644",,,,,,"$136,980",,,,"$7,977",,,"$19,529",,,,"$8,807",,,,"$138,767","$121,080","$96,987",,,,,,"$3,796",,,,,,,,,,,,,,,,,,,,,,,,
My One and Only (2009),"$4,468","$28,258","$4,957",,,,,"$42,532","$5,066",,"$366,490",,,,,,,,,,"$29,223",,,,"$39,487",,,"$98,419","$65,537",,,,,,,,,,,,,,,,,,"$3,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood: The Last Vampire (2009),"$16,677","$43,991","$384,834","$1,374,994","$830,098",,,"$544,647","$252,787","$426,897",,,,,"$17,955","$110,392","$126,980",,"$32,336",,"$120,470",,,,,,,,,,"$26,066","$5,915",,,,,,,,,,,,,,,"$130,497",,"$555,401","$142,189",,,,,,,,,,,,,,,"$473,992",,,,,,,,,,,,,,,,,,
The Duchess of Langeais (2007),"$3,475",,,"$227,434","$60,661",,,,,,,"$201,487",,"$188,572",,,,"$18,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Kitchen (2009),"$113,435","$14,232",,"$467,466",,"$74,554",,"$42,863",,"$18,102","$18,095","$2,371,166","$10,813,421","$788,001","$8,784",,"$509,421","$516,598",,"$22,296",,,"$25,149","$44,376",,,,"$274,059","$41,174","$281,522","$919,834",,"$18,374",,,"$83,193",,,,,,,,,,,"$18,247",,,,,"$251,790","$150,112",,,,$974,,,,,,,,,,,,,,,,,,,,,,,,,,
Quiet Chaos (2008),"$87,986",,,"$382,988","$118,274","$186,883",,"$18,906",,,,"$9,204,569","$387,296","$529,427",,,,"$84,366",,,,,"$55,275",,,,,"$26,973",,,"$22,836",,,,,"$8,103",,,,,,,,,,,,,,,,"$86,269",,,,,,,,,,,,,,,,,,,,,,,"$114,536",,,,,,,,
Altiplano (2009),"$154,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Concert (2009),"$820,323","$185,038","$20,986","$13,779,022","$144,533",,,"$685,704",,"$67,564","$293,111","$4,825,505","$3,069,266","$2,131,980","$85,267","$228,835","$93,517","$460,521",,"$57,189",,,"$259,224","$140,634","$96,923","$106,725",,"$648,823","$350,737","$4,886",,,"$5,603",,,,,,"$1,859",,,"$60,509","$213,360",,,"$2,294",,,,,,"$188,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chaser (2008),"$29,740",,"$60,197","$504,328","$38,803",,,"$35,760,133",,"$35,645",,,,,,,"$28,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowhere Boy (2009),"$19,305",,"$25,769","$205,344","$1,553,087","$153,337",,"$75,628",,"$34,847","$246,681","$84,992","$470,613","$155,081","$3,427",,,"$39,503",,,,,"$203,656",,,,,"$807,879","$157,614","$117,330",,,,,,,,,,$411,,"$40,441",,,,,"$12,346",,,,"$16,583","$53,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troubled Water (2008),"$6,218","$11,386",,,,,,,,,"$19,361",,,,,,"$4,587","$22,744",,,,,,"$29,878",,,,,,,,,,,,"$1,124,174",,,,,,,,,,,"$6,620",,,,,"$7,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legion (2010),"$65,794",,"$476,098","$1,371,000","$321,524",,,,"$588,669","$297,993","$2,403,289","$810,426","$313,299","$3,213,507","$71,258","$90,428","$399,254","$191,705",,,,"$66,664",,"$303,264","$610,696","$23,883","$444,893","$446,200",,"$7,375,849",,,"$26,802","$40,278","$29,471",,"$14,127","$15,096","$21,656","$14,071","$49,302","$501,215","$625,699",,"$191,464","$82,430","$164,757","$723,331","$1,181,038","$1,136,978",,"$13,382","$279,505",,,"$31,086","$55,083","$43,057",,,"$23,095","$5,375",,,"$256,684",,,,,,,,,,,,,,,,,,
Extraordinary Measures (2010),"$21,231",,,"$355,487","$200,822",,,,,,"$791,466","$14,921",,"$881,738",,"$50,208",,,,,,,,,,,,,,,,,,,,,,,,,,"$64,810",,,,,,,,"$109,091",,,,,,,,,,,,,,,"$487,739",,,,,,,,,,,,,,,,,,
Edge of Darkness (2010),"$716,475","$511,220","$210,981","$2,837,509","$5,187,049","$1,140,932",,"$1,183,839","$42,453","$205,633","$4,070,888","$1,820,221","$1,736,428","$3,481,358","$135,767","$244,920","$716,758","$191,533","$112,285","$103,005","$569,429","$130,200","$2,274,542","$1,141,602","$828,534","$127,710","$184,033","$3,008,179","$236,065","$707,618","$559,809",,"$11,438","$47,334","$27,536","$146,964","$12,450","$24,808","$8,527","$54,073","$45,644","$408,339","$448,286",,"$127,238","$45,517","$144,218",,"$195,320","$123,170","$344,424","$528,041","$589,007",,,"$35,729","$27,594",,,,,,,,,,,,,,,,,,,,,,,,,,
Triangle (2009),"$53,130",,"$47,784",,"$894,985","$182,485",,"$24,270",,,,,,,,,,,"$31,195",,"$29,442",,,,,,,,,,,"$61,346",,,,,,,,,,,,,,,,,,,,,"$8,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Love You Phillip Morris (2009),"$393,388","$247,596","$107,466","$2,952,631","$3,496,127","$496,580",,"$524,398","$35,304","$262,673","$148,209","$2,739,427","$518,424","$980,060",,"$153,086",,"$267,518",,"$66,187",,,"$1,084,987","$345,688",,"$14,120","$52,491",,,"$823,374","$252,835",,"$34,434","$25,786",,"$701,436","$22,974",,"$42,831","$70,789",,,,,,,"$352,740",,,"$85,853","$788,038","$285,829","$180,875",,,"$170,496","$5,177",,,,,"$1,620",,,,,,,,,,,,,,,,,,,,,
Fish Tank (2009),"$95,025","$8,444",,"$492,090","$171,838",,,,,"$18,756","$22,261","$22,471","$245,909","$282,878",,,,"$25,669",,,,,,"$6,592",,,,"$27,813",,"$21,766",,,$288,,,"$104,203",,"$11,687",,,,,"$42,181",,,,"$4,836",,,,"$348,574","$73,880",,,,"$2,464",,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentine's Day (2010),"$1,583,712","$691,806","$1,085,569","$9,960,261","$15,460,467","$3,320,832","$110,528,528","$1,130,038","$486,125","$1,180,734","$3,278,718","$1,846,603","$8,296,049","$3,658,151","$339,750","$1,583,752","$712,348","$1,938,896","$219,726","$783,018","$607,190","$940,276","$4,405,954","$885,179","$717,222","$134,009","$320,998","$14,478,430","$1,486,751","$4,717,113","$759,802","$261,047","$137,453","$155,753","$246,792","$884,268","$107,958","$131,583","$111,862","$97,951","$139,275","$437,169","$397,455",,"$346,625","$45,439","$560,927","$428,149","$525,404","$752,679","$802,121","$1,062,220","$694,351","$593,982","$520,626","$206,689","$167,861","$61,935",,,"$84,604",,,,"$3,837,335",,,,,,,,,,,,,,,,,,
The Wolfman (2010),"$1,104,657","$930,826","$628,198","$2,947,731","$7,315,126","$713,685",,"$1,835,922","$721,089","$401,606","$11,144,027","$5,937,460","$3,053,121","$5,776,500","$239,734","$535,525","$748,895","$888,179","$115,714","$254,183","$521,191","$290,305","$4,250,237","$1,121,565","$914,570","$57,406","$762,258","$3,774,847","$381,167","$4,735,079","$1,424,930","$183,357","$57,373","$145,585","$127,464","$772,728","$28,494","$89,919","$69,662","$40,346","$63,495","$978,807","$1,045,872",,"$323,146","$142,291","$346,004","$1,101,085","$1,313,991","$596,321","$916,741","$551,534","$738,756","$596,189",,"$233,071","$128,388","$43,451",,,"$20,051","$9,772",,,"$1,584,005",,,,,,,,,,,,,,,,,,
Shutter Island (2010),"$3,000,673","$1,232,057","$760,168","$26,406,255","$16,304,568","$2,632,442","$128,012,934","$6,685,838","$189,047","$919,463","$4,286,629","$9,434,156","$14,708,736","$11,402,431","$439,979","$686,846","$1,432,580","$1,821,686","$165,389","$1,006,495","$769,876","$714,732","$4,834,195","$1,578,795","$634,691","$144,361","$739,576","$9,517,133","$856,565","$5,430,049","$3,362,171","$261,844","$140,653","$254,410","$190,246","$2,499,231","$112,555","$105,693","$121,440","$120,750","$147,446","$553,457","$532,767",,"$139,720","$26,827","$827,726","$772,735","$333,572","$256,820","$3,714,446","$1,769,957","$1,345,629","$274,559","$1,230,486","$527,831",,"$34,485",,,"$32,795","$11,005",,,"$16,954,176",,,,,,,,,,,,,,,,,,
Ondine (2009),"$32,605","$52,514",,"$59,862",,"$59,818","$550,472",,,,"$57,900",,"$161,239",,,,"$253,327","$9,645","$10,394",,"$25,061",,"$34,802","$72,270",,,,,,,"$32,371",,"$2,648","$17,851",,,,,"$1,934",,,,,,,,,,,,,,"$343,767",,,"$11,581",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl Who Played with Fire (2009),"$196,087","$25,319","$63,514","$1,294,649","$2,556,558","$1,072,278",,,,"$46,780","$77,176","$2,055,044","$4,526,144","$7,772,456","$9,562","$148,095","$66,596","$176,546",,"$975,940",,,,"$67,286",,"$17,254","$34,990","$2,949,123","$795,909",,,,"$2,941",,,"$7,848,798",,,,"$234,258",,"$19,717",,,,"$2,323","$42,030",,,,"$14,469,511","$11,922,845",,,,"$45,255",,,,,,,,,,,,,,,,,,,,,,,,,,,
Percy Jackson & the Olympians: The Lightning Thief (2010),"$2,090,477","$415,031","$2,101,203","$10,356,705","$11,035,357","$1,923,665",,"$11,562,185","$1,660,301","$2,010,674","$6,024,219","$4,139,909","$7,968,745","$5,879,303","$1,679,627","$584,837","$561,198","$900,066","$84,323","$411,289","$257,582","$443,369","$9,290,334","$724,087","$1,517,744","$45,739","$803,087","$4,567,200","$685,875","$7,572,460","$1,715,058","$109,326","$42,731","$41,723","$47,562","$722,839","$31,144","$44,454","$38,907","$60,239","$54,477","$966,880","$869,135",,"$570,938","$121,320","$1,180,488","$1,554,109","$2,023,441","$2,056,265","$947,492","$1,127,223","$592,776","$463,083","$416,788","$331,354","$248,109","$65,737","$45,152",,"$47,770","$21,681",,,"$14,725,558",,,,,,,,,,,,,,,,,,
The Ghost Writer (2010),"$933,211","$535,491","$61,382","$7,870,069","$5,719,387","$624,652",,"$1,094,322","$49,936","$205,552","$574,555","$4,811,454","$3,147,954","$7,125,447","$147,150","$65,716",,"$307,618","$47,708","$241,148","$110,503","$138,481","$728,417","$789,829","$66,393","$69,635","$183,642","$2,078,040","$343,884","$1,116,025","$1,012,881","$15,575","$1,314","$4,401",,"$413,057","$13,166","$57,819","$40,880","$34,707","$9,477","$121,953",,,,"$3,392","$32,268",,,,"$518,711","$497,111","$2,637,644",,,"$139,179","$48,762",,,,,,,,,,,,,,,,,,,,,,,,,,
The Secret of Kells (2009),"$46,968",,,"$921,121","$95,869",,"$676,775",,,,,,,"$62,679",,,,,,,,,,,,,,,,"$18,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Spy Next Door (2010),"$158,521","$298,025","$863,170","$255,595","$3,971,159","$531,321","$24,307,086","$9,867","$685,825","$169,475","$1,434,014",,,"$1,477,123","$84,014","$648,495","$77,134",,"$48,095",,"$740,937","$69,158","$647,533","$170,583","$1,656,148","$56,821",,"$1,885,876",,"$1,498,538","$53,916",,,"$74,826",,,,"$2,526",,"$15,768",,"$422,376","$70,271",,"$206,523","$27,269",,,"$1,296,526","$842,162",,,"$123,947","$45,877",,"$77,693","$168,543",,,,,,,,"$159,731",,,,,,,,,,,,,,,,,,
Agora (2009),"$169,087","$573,389","$44,258","$2,328,651",,"$103,281",,,"$17,639","$47,541","$395,684","$2,965,896","$256,643","$29,609,470","$105,063","$69,538",,"$73,593","$134,053",,"$194,126","$19,962",,"$202,379",,"$22,188",,"$259,206","$57,916","$296,378","$492,943",,"$9,310",,,,"$2,525",,,"$4,498",,"$157,325",,,"$21,437","$10,170","$10,764",,,,,,"$69,995",,,"$82,885","$30,126",,,,,,,,,,,,,,,,,,,,,,,,,,
Singh Is King (2008),"$23,190",,,,"$2,490,130",,,,,,,,,,,"$39,829",,,,,,,,,,,,"$219,172","$73,513",,,,,,,,,,,,,,,,,,,,"$48,111",,,,,,,,,"$11,189",,,,,,,,"$22,174,962",,,,,"$42,535",,,,,,,,,,,,
District 13: Ultimatum (2009),"$297,863",,"$101,130","$8,925,734",,,,"$2,650,165","$74,800",,,,,,,"$10,286",,,"$45,074",,"$262,218",,,,,,,,,"$1,596,532",,,,,,,,,"$5,867","$6,900",,,,,,,,,,,,,,"$42,402",,,,,,,,,,,,,,,,,,,,,"$48,645",,,,,,,,
The Crazies (2010),"$168,229","$81,618","$129,461","$1,030,743","$4,889,087","$218,280",,"$980,341","$59,246","$180,721","$1,104,264","$1,499,039","$1,031,601","$827,739",,"$77,597","$179,848","$270,258",,"$32,372","$110,042",,"$68,596","$280,365","$315,322",,"$53,057",,,"$584,574","$172,750",,"$8,710",,"$17,928",,"$3,368",,,"$12,529",,"$270,361",,,"$85,381","$40,975","$128,102",,"$205,197","$104,151",,"$214,782","$94,161",,,"$26,123",,,,,,,,,,,,,,,,,,,,,,,,,,,
Dear John (2010),"$556,190","$381,018","$382,606","$529,661","$7,918,385","$1,871,191",,"$1,240,866","$117,515","$239,813","$842,754","$922,261","$3,184,100","$2,590,323",,"$156,055","$210,063","$329,017","$42,078","$86,770","$156,577","$90,233","$258,261","$69,939","$141,889","$45,829","$59,378","$4,164,640","$3,927,521","$1,791,934","$103,140",,"$45,779","$99,856",,"$180,688",,,,"$22,088",,"$142,444","$75,910",,"$121,068","$21,271","$303,974",,,"$455,383","$219,610","$254,275","$168,071","$69,096","$226,731","$90,167","$63,406",,,,,,,,,,,,,,,,,,,,,,,,,,
The Trap (2007),"$2,333",,,,,"$1,790",,,,,,,"$28,447","$6,933",,,,,,,,,,,,,,,,,"$38,115",,,,,,,"$187,370",,,,,,,,,"$4,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Rec]² (2009),"$147,246","$58,184","$174,499","$3,854,263","$101,716",,,,,"$394,106","$2,233,560","$1,161,285",,"$7,684,043",,,"$232,264",,,,,,"$365,392","$303,775","$355,718",,"$96,032",,"$13,253","$400,510",,,,,,,,,,,,"$486,292","$248,981",,"$84,022",,"$15,025",,,,,,"$415,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Name Is Khan (2010),"$32,375",,,"$110,005","$3,530,549","$127,875",,"$2,618,866",,"$121,976",,"$152,972","$513,943","$152,259",,"$270,698",,,"$61,406",,"$2,109,306",,,,,,,"$785,538","$232,586","$161,064",,"$517,018",,,,,,,,,,"$63,827",,,,,"$46,909",,"$254,110",,,,"$55,073",,,,,"$29,939","$459,593",,,"$10,136",,,,"$10,152,301",,,,,,,,,,,,,,,,,
Alice in Wonderland (2010),"$6,245,391","$3,525,009","$3,319,768","$45,855,971","$64,437,055","$8,910,059","$334,191,110","$17,954,373","$1,837,901","$5,681,087","$31,347,734","$39,952,697","$34,638,318","$28,769,165","$1,323,181","$3,188,348","$2,399,846","$5,635,346","$430,952","$3,794,730","$2,376,268","$1,567,143","$28,360,362","$8,193,223","$4,335,113","$509,177","$3,140,515","$33,234,316","$3,626,649","$42,114,337","$2,985,480","$503,454","$545,457","$336,719","$171,221","$4,239,984","$435,445","$212,062","$359,905","$215,744","$1,093,280","$1,825,228","$6,768,771",,"$2,323,343","$676,994","$2,442,366","$2,047,959","$3,633,080","$3,136,113","$6,483,980","$4,631,884","$7,926,017","$3,484,583","$4,927,834","$2,650,680","$804,133","$38,106",,,"$92,105","$20,391",,,"$133,694,649",,,,,,,,,,,,,,,,,,
A Town Called Panic (2009),"$139,726",,,"$145,454","$26,312",,,,,,,,,"$24,343",,,,"$3,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,179",,,,,,,,,,,,,,,,,,,,,,,,,,
Green Zone (2010),"$809,198","$258,531","$647,334","$5,867,337","$8,259,161","$1,026,969","$35,053,660","$4,022,869","$789,484","$485,103","$902,874","$3,636,987","$2,984,399","$3,855,647","$75,608","$289,702","$309,435","$458,974","$157,308","$223,379","$747,178","$139,085","$508,137",,"$444,506","$13,593","$24,974","$5,969,528","$461,587","$1,810,601",,"$119,960","$38,884","$32,874","$58,433","$704,474","$35,364",,"$31,848","$64,727",,"$113,241","$131,978",,"$32,920","$7,751","$469,732","$1,032,116","$446,535","$385,808","$844,187","$815,977","$59,448",,,"$84,241","$43,523","$14,914",,,"$30,094","$6,530",,,"$7,969,339",,,,,,,,,,,,,,,,,,
Ajami (2009),"$55,834",,,"$355,275",,,,,,,"$5,269",,"$167,329","$66,666",,,,,,,,,,"$20,173",,"$14,361",,,,"$14,752",,,,,,,,,,,,,,,,,"$9,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Paris with Love (2010),"$452,140","$157,040","$261,709","$2,811,631","$2,609,205","$951,185","$24,077,427","$2,520,137","$292,640","$100,092","$1,542,491","$1,246,434","$1,544,822","$1,854,791","$144,804","$256,181","$396,352","$328,275","$179,264","$23,286","$557,903","$31,285","$1,311,891","$133,729",,"$16,135","$42,393","$1,743,558","$251,841","$2,411,887","$36,560","$181,477","$41,649","$89,792",,"$93,667","$29,112","$10,945","$44,044","$31,542",,"$127,445","$173,997",,"$27,100","$13,545","$419,464",,"$316,958","$196,856","$60,576","$175,513",,"$82,610",,"$19,921","$129,669",,,,,,,,"$2,291,526",,,,,,,,,,,,,,,,,,
Greenberg (2010),"$47,966","$102,309","$21,031","$262,495","$420,341","$122,489",,,,"$28,390",,"$189,582","$173,545",,,"$7,465",,"$90,064",,,,,,,,,,"$57,653",,"$455,755","$34,288",,,,,,,,,"$1,880",,,,,,,"$13,183",,,,"$81,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn's Finest (2009),"$272,359","$270,828",,"$2,497,918","$1,903,596","$178,698","$27,163,593",,"$41,805","$85,562","$469,945",,"$1,399,280","$1,191,786",,,,"$193,790","$8,823","$47,147","$217,543","$111,615","$743,109","$172,005","$66,844","$31,244","$36,542",,,,"$97,198","$26,961",,"$30,159",,,,,,"$9,782",,"$50,058","$58,096",,,"$3,176","$84,141",,,,,"$93,480",,,,"$22,557","$67,322",,,,,"$2,735",,,,,,,,,,,,,,,,,,,,,
She's Out of My League (2010),"$367,195","$510,544","$240,213","$19,801","$1,300,362","$439,743",,,,,"$1,241,951","$308,584","$2,202,382",,"$164,102","$668,820",,"$838,538","$81,874","$83,050","$239,077","$288,228",,,,,,"$2,937,685","$211,399","$2,999,793",,"$54,380",,"$59,813","$145,145","$151,077","$29,576",,"$25,278","$38,520",,,,,,,"$63,885",,"$96,063",,"$21,880","$164,220","$202,913","$415,869",,,,"$17,641",,,,,,,,,,,,,,,,,,,,,,,,,
Harry Brown (2009),"$26,199",,,,"$6,649,562",,,,,,,,,,,,,,,"$4,405","$34,463",,,,,,,"$1,407,625","$382,917",,,,,,,"$29,183",,,,"$5,530",,,,,,,,,,,,"$12,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orphan (2009),,"$328,984","$400,746","$5,790,293","$3,538,218","$518,022",,"$3,078,994","$158,321","$1,069,646","$3,836,710","$1,283,140","$957,930","$2,713,843","$45,137","$118,712","$454,693","$139,253","$58,448","$38,318","$213,145",,"$814,780","$610,784","$2,096,667","$44,656","$722,045","$741,241","$157,630","$1,538,885","$819,189","$119,269","$88,259","$78,085","$73,877","$73,615","$48,888","$41,167","$32,846","$24,985","$10,570","$626,784","$574,599","$113,875","$98,769","$73,403","$652,099","$614,532","$375,664","$306,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Goods: Live Hard, Sell Hard (2009)",,"$4,753","$10,247",,,,,,,,"$10,649",,,,,,,,,,"$92,767",,"$39,898",,,,,,,,,,,,,,,,,"$19,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Time Traveler's Wife (2009),,"$118,433","$495,208","$226,318","$12,171,979","$251,566",,"$4,657,881","$122,210","$620,066","$2,345,730","$710,243","$1,598,672","$1,073,725","$77,663","$417,300","$478,833","$280,315","$37,506",,"$228,344","$185,017","$1,395,325","$128,974","$57,996","$5,912","$56,630","$5,182,619","$618,569","$1,182,418","$73,626",,"$73,453","$83,556","$32,382",,"$32,533",,"$40,750","$14,593","$17,909","$198,926","$71,814","$25,637","$41,781","$12,138","$442,996",,"$209,263","$235,282",,,"$55,556",,"$448,482","$31,022","$38,229","$16,858",,,"$19,061","$7,078",,,"$933,360",,,,,,,,,,,,,,,,,,
The Haunting of Molly Hartley (2008),,"$39,725","$50,376",,,,,,,,"$326,515",,,,,,,,"$1,602",,"$111,269",,,,"$205,353",,,,,"$856,342",,,,,,,,,,,,"$152,014",,,,,,,,"$115,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetro (2009),,"$82,669",,"$646,638",,,,,,,"$21,559","$631,756",,"$696,742",,,,"$41,618",,,,,"$195,996",,,,,,,"$18,829",,,,,,,,,,,,,,,,,,,,,,,"$20,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyfriends and Girlfriends (1987),,$320,,,,,"$823,243",$781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirst (2009),,"$6,254","$56,588","$391,269",,,"$318,574","$11,950,322",,"$168,260","$51,824",,,,"$3,231",,"$33,102",,,,,,"$4,812",,,,,"$2,327",,"$18,167",,,,,,,,,,,,"$76,086",,,,,,,,,,"$4,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle for Terra (2007),,"$104,797","$14,267",,,,"$1,647,083","$88,903",,,"$241,313","$297,695",,"$28,483","$57,607","$39,905","$170,786",,"$2,716",,"$63,197",,"$49,480","$81,176",,,,,,"$707,108",,,,,"$17,630",,,,,,,"$41,886","$148,922",,"$90,106",,,,"$18,440","$44,684",,,"$190,041",,,,"$27,663",,,,,,,,,,,,,,,,,,,,,"$2,021,665",,,,,
Le Plaisir (1952),,"$1,245",,$852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cove (2009),,"$5,835","$67,067",,,,,"$11,676",,"$50,311","$25,012",,"$42,530","$44,844",,"$5,543",,,,"$11,832",,,,,,,,"$17,157","$32,097",,,,$302,,,,"$2,962",,,,,,,,,,"$13,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whip It (2009),,"$8,341","$98,627","$507,286","$542,864",,,"$192,914","$8,045","$16,460","$99,047",,"$117,989",,,"$12,091",,,"$3,488",,"$31,654",,,,,,,"$1,504,167","$155,129","$254,587",,,$130,,"$27,217",,,,,"$9,207",,,,,,,"$7,175",,,,,,,,,"$40,700","$10,822",,,,,,,,,,,,,,,,,,,,,,,,,,
Zombieland (2009),,"$78,630","$270,562","$2,611,917","$5,549,291",,,,,,"$1,250,209",,"$1,220,568","$3,351,911","$77,234","$53,522","$66,331",,"$14,795","$102,393","$126,484","$118,861","$408,565","$107,716","$226,544","$23,931","$79,956","$2,467,594","$468,424","$3,917,065",,,"$26,586","$35,498","$37,948","$409,805","$53,229","$32,721","$27,691","$80,548","$36,974","$134,707","$165,261",,"$99,526","$25,763",,"$231,555","$357,462","$194,625","$567,970","$405,960","$375,458",,"$169,894","$90,063","$26,509","$11,597","$24,354",,,"$5,864",,,"$56,799",,,,"$1,922","$3,210",,,,,,,,,,,,,
Van Gogh (1991),,$513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spread (2009),,"$415,685","$70,921","$2,033,758",,,,"$610,567",,,"$794,370",,,"$2,052,392","$334,742",,"$140,681",,"$60,791","$147,153","$90,617",,"$602,656","$121,929","$150,777","$6,517","$18,770","$16,390",,"$2,430,154","$40,773",,"$67,767",,,"$141,547","$48,073",,"$104,926",,,"$97,928",,,"$14,725","$2,740","$149,945",,,,"$201,389","$18,052","$352,458","$308,278",,,"$137,773",,,,,,,,,,,,,,,,,,,,,,,,,,
The Boys Are Back (2009),,"$50,092","$5,897",,,,,,,,,"$18,536",,"$288,286",,"$108,312",,,,,"$7,503",,,"$40,985",,"$5,342",,"$1,771,873","$74,140",,,,,"$9,067",,,,,,,,"$43,524","$16,499",,,$820,,,,,"$1,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
