imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Bosnia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies,Yugoslavia
0076759,,Star Wars: Episode IV - A New Hope (1977),"$1,342,322","$8,871,494","$1,069,482",,,"$1,409,731","$79,905",,"$2,824,307","$55,305",,"$524,187","$1,050,359",,"$516,272","$95,020",,"$69,463",,"$1,193,862","$460,998,507","$230,000",,,"$84,540","$21,791","$620,183","$11,371,635","$14,605,904","$363,897",,"$541,864","$591,759","$1,681","$378,852","$503,367","$312,233","$3,361,807","$23,327","$15,216,513",,"$23,461","$50,680",,"$46,514","$13,324","$250,594","$2,391,527","$1,318,822","$1,641,934","$1,293,915",,,"$24,793","$480,798","$1,000,323","$1,327,264","$359,311","$775,021",,"$114,387",,,,"$47,728","$466,734",,"$43,273","$443,626",,"$1,297,610","$4,967,598","$2,050,843","$1,535,838","$975,132","$1,225,361","$334,792",,,"$26,453,539","$89,564","$272,640",,,
0103994,,Like Water for Chocolate (1992),,,,,,,,,,,,,,,,,,,,,"$21,665,468",,,,,,,,,,,,,,,,,"$78,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110322,,Legends of the Fall (1994),,,,,,,,,,,,,,,,,,,,,"$66,638,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,911",,,,,,,,,,,,,,
0110527,,Miracle on 34th Street (1994),,,,,,,,,,,,,,,,,,,,,"$17,320,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110632,,Natural Born Killers (1994),,$797,,,,,,,,,,,,,,,,,,,"$50,282,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110413,,Léon: The Professional (1994),,,,,,,,,,,,,,,,,,,,,"$19,501,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,401",,,,,,"$5,289",,"$11,297",,,,,,
0110912,,Pulp Fiction (1994),,"$29,679",,,,,,,,,,,,,,,,"$107,187",,,"$107,928,762",,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,765",,$512,,,,,,,,"$1,257",,,,,,,,,"$2,601",,,,"$37,187","$91,374",,,,,,,,,,,,,
0110963,,Queen Margot (1994),,,,,,,,,,,,,,,,,,,,,"$1,304,237",,,,,,,,,,,,"$14,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111495,,Three Colors: Red (1994),,,,,,,,,,,,,,,,,,,,,"$3,581,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,224",,,,,,,,,,,,,,,,,,"$16,253",,,,,
0108394,,Three Colors: Blue (1993),,,,,,,,,,,,,,,,,,,,,"$1,324,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,133",,,,,,,,,,,,,"$65,777",,,,,,,,,"$16,180",,,,,,,,,"$17,879",,,,,
