imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2268016,,Magic Mike XXL (2015),"$115,206","$9,036,427","$1,162,767",,"$1,369,797","$30,241","$771,193","$103,449",,"$27,200",,"$38,772","$114,545","$369,745",,,"$73,547",,"$68,447",,"$974,794","$1,284,811","$8,006,367",,"$16,474","$160,139","$78,963","$73,036",,,"$73,531","$1,076,751",,,,"$63,674","$21,137","$63,296",,"$274,633","$2,959,619","$995,247","$8,304","$1,595,869",,,"$34,465","$573,781","$775,349","$513,167",,,,"$1,371,075","$19,305","$439,449","$362,611","$76,350","$555,429",,"$1,014,510","$1,236,052","$170,035","$169,992","$1,411,299","$651,595","$155,742",,"$124,198",,"$10,466,689","$16,575","$438,073",
3270108,,Jackie & Ryan (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,316",,,,,,,,,,,,,,
0787500,,Love Comes Lately (2007),,,"$27,933",,,,"$99,742",,,,,,,,,"$78,079",,,,,,,"$21,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0386669,,Battle of the Brave (2004),,,,,,,,"$2,561",,,,,,,,"$1,599,716",,,,,,"$113,169",,,,,,,,,,,,,,,"$1,744",,,,,,,,,,,,,,,"$5,734",,,,,$714,,,,"$333,655",,,,,,,,,,,,,
3040964,,The Jungle Book (2016),"$8,862,758","$20,727,878","$2,303,017",,"$4,813,615","$842,959","$10,886,275","$763,873",,"$4,739,063","$150,431,684","$5,629,021","$45,898","$1,262,304","$2,883,901","$364,001,123","$1,349,242","$35,456","$42,500",,"$1,137,691","$28,011,400","$19,672,002",,,"$3,403,921","$509,468","$229,521","$38,835,000",,"$412,616","$11,956,478","$23,073,831",,,,"$140,199","$102,277","$5,685,000","$24,351,449","$10,665,030","$3,464,927",,"$3,677,980","$142,477",,"$1,461,681","$3,536,000","$2,507,223","$882,767",,"$1,797,170",,"$20,359,530","$28,626","$3,517,370","$347,278","$65,174","$2,126,980","$18,901,624","$19,385,604","$7,715,641","$3,701,126","$1,141,721","$2,270,210","$2,726,000","$5,219,657","$1,163,056","$1,723,037","$9,159,319","$66,601,849","$188,939","$1,517,326",
3819668,,"Dragon Ball Z: Resurrection ""F"" (2015)","$2,902,971","$1,093,511",,,,"$136,253","$1,207,904",,,"$1,391,670","$1,607,680","$796,314",,,,,"$899,015",,,,,,"$301,096",,,"$269,649",,,,,,"$589,376","$30,117,264",,,,,,"$225,065","$6,155,757",,"$135,419",,,"$1,803",,"$2,037,530","$5,416",,,,,,,"$2,919",,,,,"$150,465","$289,150",,,,,,"$41,529",,,"$96,420","$168,560","$45,799","$1,532,860","$16,785"
1137470,,Accidental Love (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087832,,Kod apokalipsisa (2007),,,,,,,,,,,"$2,044,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,035,021",,,,,,,,,,,,,,,,,,,,
0929261,,The Restless (2006),,,,,"$1,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,415",,,,,,,,,,,,,"$6,435",,,,,,,,"$8,943,691",,,,,,,"$50,309",,,,,,,
2979920,,Bombay Velvet (2015),,"$42,055",,"$20,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,374",,,"$10,114",,,"$43,445",,,,,,"$35,326",,,,,,,,,,,,,,,,,,,,"$145,195",,,
