imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Malta,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0304857,,Two Men Went to War (2002),,,"$5,625",,,,,,,,,,,,,,,,,,,,"$151,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340855,,Monster (2003),"$269,637",,"$2,119,596","$427,882",,,,,,,"$19,799",,,"$95,560",,,,,,,,,,,,,,,"$370,459","$1,963,105","$1,992,775","$489,200",,"$31,067",,,,,"$3,276,112",,,,,,,,,,,,,"$1,690,109",,,,"$341,232","$407,531",,"$712,121",,,,,"$289,753","$183,367",,,,,"$459,214",,,,,,"$1,171,230",,"$1,600,514",,,,"$12,200","$61,364",,,"$4,554,719",,,,
0349205,,Cheaper by the Dozen (2003),"$221,798",,"$6,661,344","$596,648",,,,"$368,494",,,"$69,114",,,"$346,582",,,,,,"$13,497",,,"$138,614,544",,,,"$44,924",,"$105,974","$1,711,208","$2,601,651","$72,950",,"$50,815",,,,,"$737,941",,,,,,,,,,,,,"$5,258,206",,,,"$261,912","$425,015",,"$214,426",,,,,"$107,695","$326,517",,,,,"$1,226,970",,"$30,757",,,,"$902,020",,"$5,595,927","$162,513","$238,559",,"$257,108","$132,456",,"$251,300","$12,950,898",,,,
0159365,,Cold Mountain (2003),"$269,057",,"$4,793,715","$1,056,713",,,,,,,"$49,718",,,"$135,737",,,,,,"$220,021",,,,,,,"$34,457",,"$154,463","$5,808,988","$4,920,092","$857,660","$396,807","$140,868",,,,,"$4,577,709",,"$6,792,582",,,,,"$169,160",,,,,,"$2,280,232",,,,"$1,758,433","$901,841",,"$1,089,442",,,,,"$496,868","$145,113",,,,,"$914,264",,,,,,"$373,998",,"$6,738,971",,,,"$91,700","$1,366,933",,,"$16,651,409",,,,
0338337,,Paycheck (2003),"$142,565",,"$1,415,367","$596,835",,,,"$872,240",,"$662,301","$44,427",,"$56,880","$48,302",,"$88,309","$75,981",,"$44,201","$36,651","$69,726","$414,280",,,,"$28,549","$24,226",,"$113,074","$5,103,918","$3,477,704","$413,245","$602,463","$317,979","$58,255","$67,340","$359,470","$355,435","$21,336,675",,"$6,222,228",,"$32,264",,,"$20,161",,,,"$331,165",,"$1,231,309",,"$9,825",,"$1,203,898","$306,713",,"$189,600",,,"$84,793","$410,749","$160,363","$466,311",,,"$52,063","$1,763,243","$2,022,148",,"$13,098","$370,312",,"$57,773","$579,708",,"$2,620,890","$460,541","$715,448","$1,284,810","$578,061","$340,411","$233,891","$194,600","$4,563,849",,"$111,884",,
0316396,,Peter Pan (2003),"$454,532",,"$6,298,228","$392,912",,,,,,,"$71,205",,,"$269,812",,,,,,"$143,874",,,,,,,"$26,069",,"$282,318","$9,586,919","$1,677,395",,"$415,058","$97,098",,,,,"$2,426,814",,"$4,053,196",,,,,,,,,,,"$3,535,245",,,,"$682,408","$587,869",,"$484,714",,,,,"$211,815","$285,978",,,,,"$1,096,820",,,,,,"$911,776",,"$4,662,688",,,,"$689,100","$390,595",,,"$16,552,531",,,,
0335013,,The Company (2003),,,"$57,186",,,,,,,,,,,,,,,,,"$2,810",,,"$2,283,914",,,,,,,"$1,007,397","$342,790",,"$14,199",,,,,,"$1,349,221",,,,,,,,,,,,,,,,,,,,,,,,,,"$16,631",,,,,,,,,,,,,"$139,371",,,"$39,186",,"$13,327",,,"$75,229",,,,
0318850,,The Young Black Stallion (2003),,,"$120,718",,,,,,,,,,,,,,,,,,,,"$6,751,389",,,,,,,"$2,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,915",,,,,"$5,156",,,,
0304229,,Japanese Story (2003),"$2,659",,"$2,862,768",,,,,,,,,,,,,,,,,,,,"$647,054",,,,,,,,,,"$8,630",,,,,,,,,,,,,,,,,,,"$34,746",,,,,"$194,520",,,,,,,,"$8,353",,,,,,,,,,,,,"$8,998",,,,,,,,"$330,885",,,,
0287963,,Secret Things (2002),,,,,,,,,,,,,,,,,,,,"$5,243",,,"$105,090",,,,,,,"$100,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,859",,,,,,,,,,,,,
