Movie Name,Argentina,Uruguay,Brazil,Colombia,Singapore,Germany,France,United Kingdom,Italy,Netherlands,Poland,Belgium,Austria,Portugal,Estonia,United Arab Emirates,Lebanon,Czech Republic,Ukraine,Hungary,Switzerland (German),Norway,Finland,South Africa,Croatia,Türkiye,Romania,Jordan,Denmark,Latvia,Lithuania,Kenya,Iceland,Mexico,Ecuador,Australia,South Korea,New Zealand,Philippines,Thailand,Hong Kong,Nigeria,Ghana,Peru,Bolivia,Chile,Japan,Spain,Domestic,Sweden,Greece,Slovakia,Serbia and Montenegro,Bulgaria,Slovenia,Oman,Russia/CIS,Taiwan,India,China,Switzerland (French),Israel,Venezuela,Vietnam,Malaysia,Qatar,Bahrain,Russia,Ireland,Egypt,Switzerland,Panama,Paraguay,Pakistan,Cambodia,Kuwait,Iraq,Ethiopia,Central America,Indonesia,Cyprus,Trinidad & Tobago,Mongolia
Hotel Transylvania 2 (2015),"$2,438,444","$621,245","$10,803,311","$5,416,051","$1,827,903","$13,331,074","$16,090,097","$29,832,652","$10,490,459","$3,319,511","$5,775,313","$2,993,671","$1,856,251","$1,386,568","$358,280","$2,858,098","$418,131","$1,792,522","$1,981,115","$1,277,507","$861,197","$1,052,268","$1,005,413","$1,186,945","$420,498","$2,164,190","$1,038,346","$261,439","$2,238,124","$424,185","$603,546","$33,519","$195,342","$23,925,697","$3,082,485","$8,661,963","$9,239,158","$918,728","$2,680,255","$1,039,900","$1,244,721","$63,491","$20,237","$4,044,637","$1,366,460","$3,989,196","$127,816","$12,347,946","$169,700,110","$3,307,545","$1,442,885","$996,323","$321,037","$805,995","$434,903","$169,210","$15,885,694","$1,673,939","$667,714","$18,701,176","$658,024","$2,216,969","$24,966,016","$1,743,465","$2,379,721","$689,437","$688,922",,,"$329,587",,,,,,,,"$4,630","$2,600,000",,,,
The Dinner (2014),"$51,522","$36,321",,,,,,,"$937,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Look Down (2008),"$17,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeheld (2015),"$13,336","$3,517","$74,721",,,"$82,867","$148,900","$18,245","$231,083","$31,904",,,"$15,833","$45,444",,,,,,,,,"$24,319","$5,628",,"$10,954",,,,,,,,,,,,"$16,316",,,"$66,410",,,,,,,"$93,044",,,,,,,$840,,"$8,622",,,,,,"$9,153",,,,,,,,,,,,,,,,,,,,
By the Sea (2015),"$158,002","$4,100","$123,286",,,"$90,455","$77,958","$37,732","$244,457",,"$69,674","$9,418","$11,425",,,,"$27,057","$21,059","$225,760",,,,"$8,258",,"$8,551","$165,964","$85,770",,"$8,123","$20,419","$21,152",,,"$100,691","$51,802","$174,334","$36,704",,"$19,187","$11,618","$84,791",,,"$27,513",,,,"$25,120",,"$14,294","$53,772","$18,501",,,"$6,513",,"$208,984",,,,,"$38,927","$140,732",,,,,,,,,,,,,,,,,,,,
The Little Prince (2015),"$964,460","$151,342","$7,243,920","$1,121,845",,"$1,850,702","$11,547,541",,"$10,254,077","$260,243","$3,325,436","$941,911","$399,288","$608,038","$66,525","$212,157","$185,554","$442,107","$383,143","$283,519","$64,994","$235,685","$131,706","$392,479","$178,020","$1,404,194","$151,168",,,"$135,478","$247,271",,,"$6,073,185","$226,848",,"$3,559,516",,"$84,765","$265,810","$1,755,125",,,"$426,567","$96,863","$524,766","$4,785,971","$661,536",,,"$641,920","$205,090","$129,649","$129,591","$111,700",$219,"$6,312","$2,017,047",,"$24,037,389","$402,828",,"$683,780","$19,244",,,,,,,"$110,010",,,,,,,,,,,,
An Italian Name (2015),"$36,173",,,,,,,,"$3,152,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonder Woman (2017),"$3,700,000","$213,556","$33,500,000","$6,355,612",,"$9,200,000","$16,300,000","$28,100,000","$3,900,000","$3,700,000","$1,366,850","$713,000",,"$1,040,816",,"$4,322,551",,"$605,048","$826,118","$843,293",,"$2,857,232","$981,610","$1,530,519",,"$1,700,000","$1,114,612",,,,"$124,388",,"$317,791","$22,686,262",,"$23,921,017","$15,500,000","$3,631,668","$9,900,000","$3,446,962","$6,500,000",,,,"$964,205",,"$12,200,000","$8,300,000","$412,845,172",,"$981,640","$348,897",,"$279,264","$88,325",,"$8,500,000","$11,000,000","$2,563,510","$90,498,909",,,,,,,,,,,"$2,300,000",,"$221,718",,,,,,,"$8,600,000",,,
The Circle (2017),"$537,852","$46,291","$2,617,294","$246,987",,"$3,627,344","$2,710,162",,"$2,328,649","$1,361,225","$499,631",,,"$314,072",,"$558,422",,"$184,193","$138,996","$209,505",,,"$146,416","$127,224",,"$208,758","$138,277",,,,"$35,082",,"$9,459","$325,468",,"$7,827","$484,333",,,,,,,,"$45,394",,,"$1,813,176",,,"$147,121","$101,675",,"$81,468","$18,659",,"$1,055,767",,,,,,,,,,,,,,,,"$31,828",,,,,,,,,,
Silence (2016),"$106,685","$12,312","$318,985","$151,600",,,"$2,186,142","$1,895,486","$1,722,338","$115,183","$187,762",,,"$964,332",,"$120,044",,"$22,452","$48,128","$57,792",,"$23,417","$41,782","$61,797",,"$38,258","$125,616",,,,"$69,156",,"$13,536","$275,720",,,"$663,037","$80,022",,"$39,111",,,,,,,"$4,662,108","$1,852,862",,,"$406,930","$15,496",,"$13,209",$894,,"$440,590",,,,,,,,,,,,,,,,"$1,850",,,,,,,,,,
