Movie Name,Italy,France,Argentina,Uruguay,South Korea,Germany,Netherlands,Spain,Belgium,Brazil,China,Serbia and Montenegro,Russia/CIS,United Kingdom,India,Singapore,Norway,Bulgaria,Türkiye,Portugal,Mexico,Australia,New Zealand,Malaysia,Kuwait,South Africa,Peru,Chile,Lebanon,Taiwan,Nigeria,Greece,Austria,Switzerland,Poland,Czech Republic,Finland,Slovenia,Romania,Lithuania,Slovakia,Domestic,Colombia,Denmark,United Arab Emirates,Iceland,Thailand,Hong Kong,Vietnam,Japan,Ukraine,Sweden,Oman,Venezuela,Israel,Hungary,Ecuador,Philippines,Egypt,Kenya,Ghana
Bachna Ae Haseeno (2008),,,,,,,,,,,,,,"$574,033","$9,842,212",,,,,,,"$158,270","$7,011","$7,261","$47,419","$48,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion (2008),,,,,,,,,,,,,,"$61,237","$8,354,547",,,,,,,"$47,849",$369,"$3,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krazzy 4 (2008),,,,,,,,,,,,,,"$268,364","$6,459,038",,,,,,,"$39,303",,"$7,807","$12,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisna: The Warrior Poet (2005),,,,,,,,,,,,,,"$338,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Man on the Moon (2014),,,,,,,,,,,,,,"$1,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabangg (2010),,,,,,,,,,,,,,"$1,247,468",,,,,,,,"$255,674","$63,461","$48,117",,"$39,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khatta Meetha (2010),,,,,,,,,,,,,,"$391,082","$7,278,655",,,,,,,"$57,277","$30,041","$20,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golmaal 3 (2010),,,,,,,,,,,,,,"$420,273",,,,,,,,"$349,134","$94,228","$44,167",,"$19,144",,,,,"$8,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No One Killed Jessica (2011),,,,,,,,,,,,,,"$127,569",,,,,,,,"$59,492","$6,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodyguard (2011),,,,,,,,,,,,,,"$2,277,769","$26,825,717",,,,,,,"$266,151","$105,651","$82,397",,"$124,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank You (2011),,,,,,,,,,,,,,"$756,833",,,,,,,,"$57,278","$41,152","$35,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ek Thi Daayan (2013),,,,,,,,,,,,,,"$89,689",,,,,,,,,,"$4,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singham Returns (2014),,,,,,,,,,,,,,"$596,561",,,,,,,,"$137,613","$8,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja Natwarlal (2014),,,,,,,,,,,,,,"$125,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasee Toh Phasee (2014),,,,,,,,,,,,,,"$247,924","$5,998,081",,,,,,,,"$22,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 States (2014),,,,,,,,,,,,,,"$880,895","$18,827,631",,,,,,,"$330,321","$109,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dil Dhadakne Do (2015),,,,,,,,,,,,,,"$630,680","$13,708,447",,,,,,,"$380,561","$81,009",,,,,,,,,,"$3,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rocket Post (2004),,,,,,,,,,,,,,"$6,233",,,,,,,,,"$58,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under the Shadow (2016),,,,,,,,,,,,,,"$93,215",,,,,,,,,"$1,911",,,,,,,,,"$6,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome (2007),,,,,,,,,,,,,,,"$29,170,783",,,,,,,"$136,190","$23,671","$11,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Smoking (2007),,,,,,,,,,,,,,,"$758,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
