Movie Name,Russia/CIS,China,Thailand,Taiwan,Germany,Colombia,India,Japan,France,Italy,Mexico,Israel,Netherlands,Denmark,Spain,United Kingdom,Sweden,Belgium,Switzerland,South Africa,Portugal,Austria,Iceland,Estonia,Qatar,Croatia,Bahrain,Latvia,Kuwait,United Arab Emirates,Greece,Lithuania,Oman,Lebanon,Jordan,Venezuela,Brazil,Argentina,Ecuador,Panama,Peru,Costa Rica,Bolivia,Nicaragua,Uruguay,Dominican Republic,Chile,Aruba,Hong Kong,Malaysia,Singapore,Australia,South Korea,Finland,Domestic,Norway,Poland,Türkiye,New Zealand,Ukraine,Czech Republic,Slovakia,Bulgaria,Slovenia,Paraguay,Serbia and Montenegro,Philippines,Vietnam,Hungary,Romania,Egypt,Trinidad & Tobago,Indonesia,Pakistan,Cyprus,Mongolia,Jamaica,Nigeria,Honduras
The Fate of the Furious (2017),"$28,845,239","$392,807,017","$9,367,766","$21,430,971","$32,450,125","$12,727,612","$19,771,148","$35,613,959","$29,892,297","$16,416,948","$36,309,142","$6,154,777","$8,577,673","$4,037,486","$15,497,540","$37,539,469","$4,155,614","$5,364,190","$6,081,803","$5,573,497","$4,814,925","$4,159,760","$365,642","$519,057",,"$613,432",,"$459,859",,"$10,241,438","$2,272,184","$559,875",,"$1,667,458",,"$3,980,344","$23,650,596","$18,239,438","$5,040,403","$11,540,612","$7,224,636",,"$1,899,041",,"$1,116,878",,"$6,974,391",,"$6,661,970","$12,162,185","$5,525,513","$21,415,926","$26,671,587","$2,289,495","$226,008,385","$3,930,296","$5,731,952","$8,965,295","$3,598,920","$2,407,647","$1,550,774","$784,117","$166,872","$597,837","$947,280","$519,519","$7,675,535","$6,935,211","$1,776,593","$3,544,445","$1,620,308","$1,661,872","$19,329,335","$2,442,235","$395,832",,,,
It Comes at Night (2017),"$439,779",,,,,,,,"$1,096,907",,"$408,814",,"$290,500",,"$639,467","$783,517","$294,362","$169,334",,,"$66,679",,,,,,,,,"$60,954",,,,,,,"$86,821","$214,681",,"$5,469",,,,,,,,,,,,"$325,720","$55,287","$138,657",,"$383,017","$238,346","$23,645",,"$28,271",,,,,,,,,,,,,,,,,,,
Cars 3 (2017),"$10,534,795","$20,826,558","$565,271","$1,510,403","$11,603,826","$3,341,514","$1,695,456","$16,060,309","$19,596,053","$9,828,920","$15,591,138",,"$3,033,421","$2,875,728","$8,211,629","$15,277,599","$4,032,967","$2,652,461","$1,977,827","$1,136,286","$1,439,797","$1,806,404","$189,261",,,,,,,"$1,609,857","$1,380,457","$378,556",,,,"$645,568","$10,912,578","$7,854,673",,,,,"$476,035",,"$447,495",,"$3,212,962",,"$2,320,706","$1,186,592","$1,088,449","$10,299,673","$3,169,850","$2,056,548",,"$1,979,621","$4,050,559","$2,800,004","$1,506,598","$1,122,918","$1,127,287","$522,147","$364,252","$252,134","$180,030",,"$1,275,148",,"$757,101","$757,561",,,"$1,858,250",,,,,,
False Confessions (2017),"$18,842",,,,,,,,,,,,,,,,,,,,"$8,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini's First Time (2006),"$52,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,162",,"$49,034",,,,,,,,,,,,,,,,,,,,,,,,
Paris-Willouby (2015),"$5,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Skyline (2017),"$609,603",,"$194,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Call for Nowhere (2016),"$68,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Dark Song (2016),"$13,823",,,,,,,,,,,,,,,"$9,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolki 5 (2016),"$13,609,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
