imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,E/W Africa,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Laos,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0460485,,KM 31: Kilometre 31 (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,795","$10,963,219",,,,,,,,,,,,,,,,,,"$69,461",,,,,,,,,,,,,,,,,,,,"$241,860",
0864761,,The Duchess (2008),"$263,387",,"$3,631,592","$156,158",,"$458,360","$2,093","$440,790",,,"$48,704","$75,042",,"$62,772",,,,"$286,885",,,,,,,"$14,448",,,,"$77,634","$1,761,579","$677,525",,"$373,833",,"$214,817","$86,545",,,,,"$2,901,441",,,,,,"$70,833","$63,169",,"$88,146",,"$509,855",,"$191,965","$420,892",,"$84,627",,,"$44,164",,"$313,031","$187,010",,,"$192,430","$340,724",,,"$95,554",,,"$127,451",,"$1,197,805","$1,487,262","$160,070","$153,446",,,,,"$12,340",,"$147,880",,"$80,776","$11,869,300","$3,640","$118,431",
1084950,,Rachel Getting Married (2008),,,"$438,367","$154,559",,"$23,974","$312,670","$334,135",,,,,,"$29,014",,"$1,923",,,,,,,,,,,"$3,738",,"$40,083","$438,675","$273,535",,"$56,891",,"$48,780",,,,,"$14,593","$288,409",,"$361,991",,,,"$11,559",,,,,"$163,954",,"$33,901","$22,210",,,,,,,,"$108,123",,,,,,,"$68,234",,,"$58,193",,"$27,535","$285,120","$44,630",,,,,,,,,,"$18,952","$477,379",,,
0758774,,Body of Lies (2008),"$930,022",,"$4,924,310","$865,910",,"$895,108","$33,195","$1,625,422","$217,282","$383,872",,"$234,585",,"$469,701","$123,774",,,"$160,781",,"$924,738",,,,"$57,217","$43,779","$368,885","$52,873",,"$144,240","$7,047,530","$5,351,455",,"$1,295,910",,"$772,815","$198,223","$40,757","$606,489","$509,120","$651,213","$6,005,344",,"$9,651,930",,,,"$35,917","$213,809",,"$87,918","$218,000","$2,147,839",,"$1,097,269","$390,584","$32,062","$761,448",,,"$220,185","$458,918","$521,467","$877,852",,,"$304,094","$1,018,965",,"$51,782","$713,516","$101,206","$83,001","$520,155",,"$2,791,289","$7,558,975","$491,725","$1,404,939",,,,"$1,072,583","$577,019",,"$1,276,581","$142,157","$889,804","$4,419,345","$51,395","$584,341",
0970411,,City of Ember (2008),,,"$317,841",,,"$159,413",,,"$76,369",,,,,,"$25,707",,,"$24,407",,,,,,,,"$7,946",,,,"$797,117",,,"$92,561",,"$177,729","$48,968","$13,745",,,,"$1,618,068",,,,,,"$6,946","$12,092",,,"$94,433",,,"$16,879",,,,,,,"$156,214",,"$52,972","$98,126",,"$147,983","$643,514",,"$2,353","$243,756",,,"$80,346",,,"$1,595,399",,,,,,"$169,240","$386,665",,"$311,929",,"$209,560","$2,468,399",,,
0841027,,Magicians (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$125,089",,,,,,,,,,,,,,,,,,,,,"$1,751,868",,,
0467197,,Max Payne (2008),"$165,343",,"$2,118,438","$529,142","$79,640","$319,884","$23,631","$1,042,018","$142,361","$170,737",,"$74,714",,"$87,099","$31,943",,,"$150,211","$248,048","$466,153",,"$33,837",,"$42,378","$86,334","$147,261","$94,240",,"$543,271","$3,233,461","$2,983,015",,"$579,228","$623,231",,"$262,581","$76,142","$122,795","$480,034","$233,110","$1,849,465","$61,628",,"$89,595","$220,368",,"$89,028","$86,851","$87,902","$176,225","$657,894","$1,406,445",,"$849,507","$375,752","$19,265","$519,152","$31,168",,"$156,696","$775,703","$756,340","$425,116","$593,469","$109,337","$194,145","$6,479,113","$513,242","$49,499","$784,223","$82,658","$62,067","$414,147",,"$1,217,541","$3,329,645","$724,964","$470,402",,,,"$257,686","$745,153",,"$776,133","$623,502","$570,174","$3,818,126","$4,637","$620,977","$112,317"
1007028,,Zack and Miri Make a Porno (2008),"$32,456",,"$1,270,158","$29,716",,"$286,845","$1,881","$726,241",,,,,,,"$14,887",,,"$45,159",,"$12,400","$31,457,946",,,,"$3,853",,"$32,040",,"$174,310",,"$318,384",,"$132,935",,"$85,910",,"$37,890",,,"$311,277","$630,524",,,,,,"$30,523",,,,,"$341,052",,"$250,980","$205,123",,"$113,769",,,,,,"$183,332",,,"$35,227","$911,372",,,"$108,465",,,"$37,861",,,"$878,711","$134,647",,,,,"$84,984",,,"$85,995","$114,156",,"$3,663,335",,,
1175491,,W. (2008),"$65,346",,"$170,712",,,"$139,848","$48,536","$48,536",,,,"$8,808",,,,,,,,"$69,430",,,,,,,,,"$25,884","$1,240,109",,,"$30,742",,"$14,652",,"$8,020",,,,"$28,684",,,,,,,"$7,315",,,,,,"$82,033",,,"$191,462",,,"$5,587",,,"$270,334",,,,,,,,,,,,,,,,,,,,,,,,"$68,854","$1,477,703",,"$23,499",
1046163,,My Best Friend's Girl (2008),"$99,311",,"$1,230,088",,,"$444,591","$18,593","$1,985,004","$12,433","$17,833",,"$59,152",,,"$165,667",,,"$63,902",,"$39,413",,,,"$21,538","$56,201",,,,"$50,964","$547,058",,,"$207,450",,"$69,429","$535,553","$42,535",,,,"$1,537,633",,,,,,"$108,241","$65,164",,"$193,142","$139,703","$956,550",,"$1,260,910","$157,363","$10,065","$48,903",,,"$279,926","$76,014","$894,313","$181,054","$253,536",,"$425,474","$2,886,947",,,"$178,478","$32,808",,"$581,045",,,"$1,730,906","$84,286",,,,,"$206,480","$68,475",,"$298,111","$359,576","$129,740","$3,158,855","$25,444","$409,580",
