Movie Name,United Arab Emirates,Mexico,Peru,Ecuador,France,Greece,Austria,Belgium,United Kingdom,Iceland,Argentina,Chile,New Zealand,Brazil,Uruguay,Australia,Bulgaria,Spain,Germany,Domestic,Russia/CIS,South Africa,Lebanon,Oman,Jordan,Kenya,East Africa,Norway,Taiwan,Malaysia,Philippines,Singapore,Thailand,Israel,Italy,Netherlands,Denmark,Sweden,Portugal,Türkiye,Czech Republic,Croatia,Finland,Slovakia,Serbia and Montenegro,Slovenia,South Korea,Hong Kong,Colombia,Switzerland (German),Hungary,Romania,Poland,Ukraine,Lithuania,Estonia,Latvia,Egypt,Bolivia,India,China,Qatar,Venezuela,Switzerland (French),Japan,Bahrain,Nigeria,Ghana,Ethiopia,Vietnam,Switzerland
Run All Night (2015),"$1,659,075","$3,765,177","$609,569","$335,275","$2,904,398","$414,247","$316,257","$438,479","$3,033,411","$35,220","$461,642","$382,167","$209,278","$1,013,320","$78,832","$1,038,829","$80,292","$1,278,216","$2,634,943",,"$980,224","$389,447","$294,744","$160,789","$65,614","$17,552","$17,552","$131,078","$1,551,263","$885,092","$726,575","$607,179","$338,755","$713,466","$1,052,643","$605,692","$194,506","$575,393","$264,629",,"$96,059","$51,119","$18,554","$104,390","$22,362","$10,359","$1,953,415","$453,186",,"$369,920","$276,357","$301,796","$365,455",,"$33,590","$18,924","$17,729","$201,953","$106,163","$147,242",,,"$663,171","$87,206","$1,292,719",,"$40,723",,,"$259,506",
Clown (2014),"$114,356","$1,726,619","$159,807","$70,488",,,,,,,"$295,554",,,,"$7,416",,,,,,,,,"$19,092","$6,433",,,,,,"$65,981",,,,"$1,720,061",,,,,,,,,,,,,,"$118,142",,,,,,,,,,"$22,647",,,,,,,,,,,,
Cinderella (2015),"$3,025,190","$15,486,930","$2,670,566","$2,086,057","$11,265,336","$899,620","$946,527","$1,951,006","$32,849,459","$97,904","$1,368,674","$1,593,498","$2,544,059","$16,135,396","$197,946","$17,332,032","$396,396","$8,693,087","$7,700,576","$201,151,353","$11,464,091","$1,113,164","$600,532","$203,292","$169,184","$257,957","$257,957","$4,113,689","$1,704,196","$4,526,298","$4,702,050","$6,045,781","$2,555,524","$729,315","$16,178,079","$1,427,671","$911,417","$1,705,712","$1,122,985","$1,211,658","$567,891","$112,514","$1,013,205","$174,076","$92,283","$58,518","$5,064,161","$2,487,624","$2,543,497","$1,093,963","$518,592","$536,161","$2,144,073","$647,757","$82,442","$95,449","$77,541","$246,728","$422,027","$1,650,320","$71,570,000",,"$8,189,996","$680,102","$47,180,932",,"$18,676",,,"$39,133",
Gerhard Richter Painting (2011),,"$3,576",,,,,"$6,897",,,,,,,$781,,,,,"$463,645","$242,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Diary of a Teenage Girl (2015),,"$2,985",$865,,,,,"$30,004","$125,845",,,,,,,,,"$18,346","$61,306",,,"$7,437",,,,,,,,,,,,,,,,"$39,922","$10,462",,,,,,,,,,,,,,$959,,,,,,,,,,,,,,,,,,
Me and Earl and the Dying Girl (2015),,"$34,493",,,"$11,945",,"$33,005","$37,520","$1,126,638",,,"$19,266","$90,971",,,"$342,021",,"$188,131","$25,799",,,"$18,133",,,,,,"$14,976",,,"$34,161","$71,070",,,,,"$29,630",,,,,,,,,,,"$24,225",,,,,,,,,,,,,,,,,,,,,,,
Black Venus (2010),,"$22,964",,,,,,,,,,,,,,,,,,,"$3,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party Girl (2014),,"$29,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody the Robosapien (2013),,"$191,504","$54,817",,,,,,"$2,347",,,,,,,,,,,,,,,$543,,,,,,,,"$36,178",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,209",,,"$1,904",,,,,,,,,
Three Many Weddings (2013),,"$400,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,005",,,,,,,,
