Movie Name,Japan,Singapore,Taiwan,Russia/CIS,France,Spain,United Kingdom,Türkiye,United Arab Emirates,Hong Kong,Germany,Austria,Bulgaria,Belgium,Portugal,Serbia and Montenegro,Brazil,Colombia,Mexico,Peru,Venezuela,Philippines,Thailand,Poland,Netherlands,Greece,Slovenia,Croatia,New Zealand,Italy,South Africa,Lebanon,Denmark,Ukraine,Norway,Finland,Czech Republic,Hungary,Egypt,Slovakia,East Africa,Iceland,Nigeria,Ecuador,Argentina,South Korea,Australia,Malaysia,India,Bahrain,Sweden,Israel,Chile,Uruguay,Bolivia,Domestic,China,Indonesia,Switzerland,Vietnam,Romania,Estonia,Lithuania,Latvia,Cyprus,Trinidad & Tobago,Paraguay,Kenya,Oman,Qatar,Central America,Ghana
42 (2013),"$2,400,591",,,,,,"$13,091",,,,"$35,198","$1,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$95,059,709",,,,,,,,,,,,,,,,
Wolf Children (2012),"$52,544,777",,,,,,,,,"$58,985","$15,433",,,"$6,726",,,,,,,,,"$21,172",,,,,,,,,,,,,,,,,,"$514,658",,,,,"$1,838,028",,,,,,,,,,,,,,,,,,,,,,,,,,
Deadfall (2012),,"$44,290",,,,"$101,127","$95,401",,"$125,185","$1,905","$315,018","$134,499","$40,482","$22,505","$19,346","$17,310","$532,831","$172,789","$161,081","$44,069","$5,525","$29,046","$17,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byzantium (2012),,"$14,270",,,,"$7,421","$382,833","$7,289","$37,732",,,,,"$24,070",,,,,,,,,"$72,038","$114,351","$44,420","$10,885","$4,474","$2,752","$16,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Up Revolution (2012),,"$1,978,566",,"$8,410,129","$9,489,199","$2,281,416","$4,206,880",,"$2,173,686","$2,322,161","$12,690,216","$1,718,138","$187,719","$3,046,050","$433,629","$22,494",,,,"$7,858",,"$1,091,954","$2,770,867","$1,247,270","$3,256,987","$698,633","$128,107","$251,251","$1,062,204","$5,552,315","$2,408,244","$762,846","$687,818","$531,429","$447,508","$430,107","$420,290","$357,177","$325,073","$159,314","$81,084","$73,895","$64,802","$109,228","$40,553","$6,191,133","$5,501,601","$2,512,639","$1,096,554",,,,,,,,,,,,,,,,,,,,,,,
Hitchcock (2012),,"$84,751",,"$900,598","$1,612,627","$1,274,794","$2,392,662","$79,772","$43,437","$210,126","$1,390,466","$136,287",,"$178,877","$187,624","$38,534","$467,401","$4,935,889","$708,083","$60,996","$43,703","$13,327",,"$163,452","$138,428","$120,572","$9,141","$17,370","$364,718","$378,643","$110,029","$24,314","$115,318","$86,398","$75,740","$58,906","$79,277","$64,256",,"$12,717","$12,796",,,"$32,858","$137,154",,"$3,776,750",,,"$2,634","$310,142","$59,990","$91,966","$24,313","$3,156",,,,,,,,,,,,,,,,,
Hyde Park on Hudson (2012),,"$9,705",,"$108,013","$1,084,466",,"$523,332",,"$13,144","$54,432","$244,424","$49,514",,"$46,879","$24,409",,"$74,676",,,,,,"$5,626","$43,542",,"$19,010","$4,483",,"$323,753","$747,767","$69,404","$10,632","$10,108",,,,,,,,,,,,,,"$1,132,779",,,,"$4,238",,,,,,,,,,,,,,,,,,,,,
Yossi (2012),,"$10,452",,,,,"$1,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warm Bodies (2013),,"$1,309,471",,"$5,902,565","$2,362,003","$1,389,607","$4,250,343","$332,878","$356,928","$1,848,070","$2,013,184","$264,311",,"$936,911","$255,136","$11,680","$2,505,758","$372,614","$1,274,888","$979,448","$140,188","$975,046","$1,730,241","$195,851","$231,535",,,"$56,228","$447,519","$2,316,873","$216,305","$94,625","$150,029","$284,785","$294,081","$331,738",,"$46,583","$135,623",,"$3,149","$35,593",,,"$445,262","$7,444,453","$3,347,644","$937,688",,,"$366,514",,"$332,491","$82,856","$100,787",,,,,,,,,,,,,,,,,
Aftershock (2010),,"$598,718","$413,373",,,,,,,"$1,953,803",,,"$4,235",,,,,,,,,,"$18,057",,,,,,"$76,345",,,,,,,,,,,,,,,,,"$323,022",,"$99,384",,,,,,,,"$62,962","$96,569,846",,,"$177,763",,,,,,,,,,,,
