Movie Name,Japan,Singapore,Taiwan,Russia/CIS,France,Spain,United Kingdom,Türkiye,United Arab Emirates,Hong Kong,Germany,Austria,Bulgaria,Belgium,Portugal,Serbia and Montenegro,Brazil,Colombia,Mexico,Peru,Venezuela,Philippines,Thailand,Poland,Netherlands,Greece,Slovenia,Croatia,New Zealand,Italy,South Africa,Lebanon,Denmark,Ukraine,Norway,Finland,Czech Republic,Hungary,Egypt,Slovakia,East Africa,Iceland,Nigeria,Ecuador,Argentina,South Korea,Australia,Malaysia,India,Bahrain,Sweden,Israel,Chile,Uruguay,Bolivia,Domestic,China,Indonesia,Switzerland,Vietnam,Romania,Estonia,Lithuania,Latvia,Cyprus,Trinidad & Tobago,Paraguay,Kenya,Oman,Qatar,Central America,Ghana
Lay the Favorite (2012),,,,,"$94,553",$585,"$349,806","$347,752",,,"$142,891","$14,522",,,,,"$78,211",,,,,,"$10,273","$118,080",,"$21,455",,,,"$37,741",,,,,,,,,,,,,,,,,,,,,,,,,,"$20,998",,,,,,,,,,,,,,,,
Il ne faut jurer... de rien! (2005),,,,,"$5,844,288",,,,,,,,,,,$721,,,,,,,,,,,,,,,,,,"$131,715",,,,,,,,,,,,,,,,,,,,,,"$23,442",,,"$42,401",,,,,,,,,,,,,
Versailles (2008),,,,,"$840,273","$2,227",,,,,,,,"$42,956",,,,,,,,,,,"$4,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Iceman (2012),,,,,"$350,962",,"$868,569",,"$48,090","$641,473",,,,"$118,649","$27,091",,,,"$41,123","$21,906","$99,347",,,,"$156,610","$29,872",,"$5,255",,"$101,540",,"$5,589",,,,,,,,,,"$18,481",,,"$49,220",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister (2012),,,,,"$399,891","$15,248","$4,840",,,,"$102,015","$6,600",,"$34,374","$4,939",,"$41,026",,,,,,,,,,,,,"$442,434",,,,,,,,,,,,,,,"$11,088",,,,,,,,,"$1,060",,,,,,,,,,,,,,,,,,
Diana Vreeland: The Eye Has to Travel (2011),,,,,"$81,688",,"$80,332",,,,,,,,,,,,,,,,,,"$86,017",,,,"$340,473",,,,,,,,,,,,,,,,,,"$115,383",,,,,,,,,,,,,,,,,,,,,,,,,
Blood of My Blood (2007),,,,,"$13,240","$65,326",,,,,,,,,,,,,"$430,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,730",,,,,,,,,,,,,,,,
Shadow Dancer (2012),,,,,"$207,323","$1,472","$1,274,811","$15,123",,,,,"$4,117","$57,530","$8,395",,,,,,,,,"$28,055","$50,391","$112,128","$2,515","$11,681","$60,097","$240,384","$49,418",,,,,"$31,235",,,,,,,,,,,,,,,,,,,,"$100,616",,,,,,,,,,,,,,,,
The Chef (2012),,,,,"$2,902,408","$1,037,454",,,"$25,741","$92,163","$1,253,992","$350,811",,"$214,789","$35,516",,,"$122,695","$272,377","$50,827",,,,"$358,950","$45,015","$471,266","$17,856","$32,095","$238,047","$442,676",,"$26,391","$68,167",,,"$12,612","$31,104","$47,770","$4,560","$47,107",,,,,"$117,853",,"$413,664",,,,,,,"$19,326","$5,290",,,,,,,,,,,,,,,,,"$144,046"
Sightseers (2012),,,,,"$297,929","$254,898","$1,044,983",,,,"$173,371","$28,048",,"$19,821","$9,561",,,,,,,,,,,,,,"$120,641","$21,055",,,,,,,,,,,,"$4,007",,,,,"$69,649",,,,"$17,164",,,,,,,,,,,,,,,,,,,,,
The Big Picture (2010),,,,,"$9,500,875",,"$294,989",,,,,,,"$4,242",,,,,,,,,,,,,,,"$55,251",,,,,,,,,,,,,,,,,,,,,,,,,,,"$158,411",,,,,,,,,,,,,,,,
The East (2013),,,,,"$38,826","$160,749","$233,165",,,,"$88,896","$23,924",,"$26,314",,,,,,,,,,,,,,,,,"$18,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Edge (2006),,,,,"$33,044",,,,,"$313,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Testament of Dr. Mabuse (1933),,,,,"$9,541","$18,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Act of Killing (2012),,,,,"$10,320","$61,258","$163,777",,,,$440,,,,,,,,,,,,"$3,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$486,919",,,,,,,,,,,,,,,,
Room 237 (2012),,,,,"$16,403",,"$54,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Coffee in Berlin (2012),,,,,"$178,377","$101,773",,,,,"$2,035,193","$87,653",,"$51,985",,,,,"$48,453",,,,,,"$159,088","$13,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accomplices (2009),,,,,"$783,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,592",,,,,,,,,"$8,134",,,,,,,,,,,,,,,,,,
Like Someone in Love (2012),,,,,"$18,121",,"$41,692",,,,,"$4,738",,"$5,286","$27,916","$6,085","$155,543",,,,,,,,,,,,,"$64,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violeta Went to Heaven (2011),,,,,,"$55,667",,,,,,"$7,409",,,,,"$170,820",,,"$4,687",,,,,,,,,,,,,,,,,,,,,,,,,"$15,876",,,,,,,,"$1,190,077",,,,,,,,,,,,,,,,,,,
Juan of the Dead (2011),,,,,,"$74,004","$1,057",,,,"$31,773",$198,,,,,"$6,120",,"$74,547",,,,,,,,,,,"$97,234",,,,,,,,,,,,,,,,,,,,,,,,,"$21,901",,,,,,,,,,,,,,,,,
Las Acacias (2011),,,,,,"$21,896","$68,022",,,,,,,,"$1,588",,"$8,994",,,,,,,"$2,367",,,,,,,,,,,"$131,165",,,,,,,,,,"$113,013",,,,,,,,,"$2,934",,"$6,000",,,,,,,,,,,,,,,,
Planet of Snail (2011),,,,,,"$2,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upstream Color (2013),,,,,,"$4,160","$83,683",,,,,,,,,,,,"$55,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai (2011),,,,,,"$19,559","$2,566",,,,,,,,"$5,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep the Lights On (2012),,,,,,"$46,787","$66,651",,,"$15,171",,,,,,,"$13,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lore (2012),,,,,,"$109,976","$391,439",,,,"$225,864","$19,621",,"$120,583","$33,522",,"$98,066",,"$29,531",,,,,,"$275,294",,,,,,,,,,,,,,,,,,,,"$84,753",,,,,,,,,"$3,045",,,,,,,,,,,,,,,,,,
The Solitude of Prime Numbers (2010),,,,,,"$34,819",,,,,"$94,165","$23,420",,"$84,226","$3,362",,,,,,,,,,"$337,808",,,,,"$4,928,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wadjda (2012),,,,,,"$504,825","$558,785",,,,"$1,796,943","$165,593",,"$259,654",,,"$83,933","$99,782","$205,992",,,,,"$16,346","$167,834",,,,"$175,808","$493,466",,,,,,,,,,,,,,,"$79,037",,"$507,357",,,,,,,"$36,067",,,,,,,,,,,,,,,,,,
My Name Is Juani (2006),,,,,,"$2,971,263",,,,,,,,,,,"$6,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Silence (2010),,,,,,"$180,992",,,,,"$132,204",,,,"$3,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,214",,,,,,,,,,,,,,,,
Deadly Code (2013),,,,,,"$5,710",,,"$34,363",,,,,,,,,,,,,,,,,,,,,"$5,719,341",,"$3,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Fantastic Fear of Everything (2012),,,,,,,"$96,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage 24 (2012),,,,,,,"$372,153","$159,030","$57,330","$57,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nativity! (2009),,,,,,,"$8,413,928",,,,"$32,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,108",,,,,,,,,,,,,,,,,,,,,,,,,,
Barfi! (2012),,,,,,,"$1,159,376","$78,667",,"$29,356",,,,,,,,,,,,,,,,,,,"$52,753",,,,,,,,,,,,,,"$13,104",,,,"$303,345","$48,659",,,,,,,,,,,,,,,,,,,,,,,,
Neighboring Sounds (2012),,,,,,,"$6,558",,,,,,,,"$4,098",,"$393,789",,"$1,656",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,135",,,,,,,,,,,"$60,255",,,,,,,,,,,,,,,,
Chasing Ice (2012),,,,,,,"$21,839",,,,,"$8,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Khoon Maaf (2011),,,,,,,"$79,015",,,,,,,,,,,,,,,,,,,,,,"$3,686",,,,,,,,,,,,,,,,,,,"$12,764","$3,559,178",,,,,,,,,,,,,,,,,,,,,,,
The Guilt Trip (2012),,,,,,,"$1,500,680",,"$131,127",,"$214,754",,,,,,,,,,,,,"$60,429",,,,,"$43,243",,"$73,692","$44,112",,,,,,,"$16,102",,,,,,,,"$1,616,810",,,,,"$490,378",,,,,,,,,,,,,,,,,,,,
The Eye of the Storm (2011),,,,,,,"$74,758",,,,,,,,"$47,764",,,,,,,,,,,"$13,602",,,,,"$37,687",,,,,,,,,,,,,,,,"$1,847,312",,,,,,,,,,,,,,,,,,,,,,,,,
Vidal Sassoon: The Movie (2010),,,,,,,"$38,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born to Be Wild (2011),,,,,,,"$28,952",,,,,,,,,,"$11,857","$10,390","$9,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$669,098",$237,,,,,,,,,,,,,,,,,,,,,,,,
Offender (2012),,,,,,,"$178,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,600","$2,291",,
The Sweeney (2012),,,,,,,"$7,171,391",,"$20,852",,"$168,023",,,,$263,,,,,,,,,,,,,,"$114,464",,,,,,,,,,,,,,,,,,"$206,669",,,,,,,,,,,,,,,,,,,,,,,,,
English Vinglish (2012),,,,,,,"$747,905",,,"$230,871","$57,469",$500,,,,,,,,,,,,,,,,,"$28,575",,,,,,,,,,,,,,"$5,453",,,,"$131,959",,"$7,234,332",,,,,,,,,,,,,,,,,,,,,,,
Dabangg 2 (2012),,,,,,,"$1,526,621",,,,,,,,,,,,,,,,,,,,,,"$171,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beware of Mr. Baker (2012),,,,,,,"$93,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger & Rosa (2012),,,,,,,"$278,973","$9,904",,,"$83,936","$20,034",,,,,"$51,308","$26,027","$97,616","$5,722","$21,153",,,,,,,,,,,,,,,,,,,,,,,,"$40,435",,,,,,"$9,716",,"$10,032","$6,947",,,,,,,,,,,,,,,,,,
Jason Becker: Not Dead Yet (2012),,,,,,,"$2,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Model (2011),,,,,,,"$1,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe (2007),,,,,,,"$1,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churchill: The Hollywood Years (2004),,,,,,,"$478,981","$10,134","$40,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return (2011),,,,,,,$762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Me Kuchu (2012),,,,,,,"$2,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gatekeepers (2012),,,,,,,"$157,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heroine (2012),,,,,,,"$490,016",,,,,,,,,,,,,,,,,,,,,,"$23,085",,,,,,,,,,,,,,"$6,602",,,,"$80,554",,"$6,269,316",,,,,,,,,,,,,,,,,,,,,,,
Leviathan (2012),,,,,,,"$20,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steep (2007),,,,,,,"$58,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Brother the Devil (2012),,,,,,,"$87,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don (2006),,,,,,,"$2,826,980",,,,,,,,,,,,,,,,,,,,,,"$52,556",,,,,,,,,,,,,,,,,,"$233,903",,"$14,302,729",,,,,,,,,,,,,,,,,,,,,,,
A Bunch of Amateurs (2008),,,,,,,"$56,160",,,,,,,,,,,,,,,,,,,,,,"$173,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patience (2012),,,,,,,"$30,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koi... Mil Gaya (2003),,,,,,,"$922,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,574,012",,,,,,,,,,,,,,,,,,,,,,,
Not Fade Away (2012),,,,,,,,"$25,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incir Reçeli (2011),,,,,,,,"$220,823",,,,$349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom (2013),,,,,,,,"$12,807","$110,717",,,,,,"$15,112",,,,,,,,,,,,,,,,,"$24,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peace, Love & Misunderstanding (2011)",,,,,,,,,"$28,629",,,,,,"$1,043",,"$20,814",,,,,,,,,,,,,,"$68,375",,,,,,,,,,,,,,,,,,,"$395,459",,,,,,,,,,,,,,,,,,,,,,
The Last Godfather (2010),,,,,,,,,"$112,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,586,583",,,,,,,,,,,,,,,,,,,,,,,,,,
Fire with Fire (2012),,,,,,,,,,"$15,266",,,,,,,"$478,596","$36,691","$690,085","$46,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,217",,,,,,,,,,,,,,,,,,,,,,,,
Starlet (2012),,,,,,,,,,"$6,997",,,,,,,"$38,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,182",,,,,,,,,,,,,,,,,,,,,,,,,,,
Whores' Glory (2011),,,,,,,,,,,"$40,627","$119,538",,,,,,,,,,,,"$6,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flat (2011),,,,,,,,,,,"$111,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silent Night (2012),,,,,,,,,,,,"$112,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,567",,,,,,,"$4,187",,,,,,,,,
Wrong (2012),,,,,,,,,,,,,,"$4,473",,,"$9,292",,,,,,,"$45,288",,,,"$1,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Flowers (2011),,,,,,,,,,,,,,"$2,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Day He Arrives (2011),,,,,,,,,,,,,,,$725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$308,602",,,,,,,,,,"$13,746",,,,,,,,,,,,,,,,
The Samaritan (2012),,,,,,,,,,,,,,,"$12,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip (2012),,,,,,,,,,,,,,,,"$38,110",,,"$54,032",,,,,,,,,,,,,,,,,,"$2,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebellion (2011),,,,,,,,,,,,,,,,,"$12,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young & Wild (2012),,,,,,,,,,,,,,,,,"$1,678",,,,"$17,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$188,309",,,,,,,,,,,,,,,,,,,
The Man Who Laughs (2012),,,,,,,,,,,,,,,,,"$116,309",,,,,,"$21,173",,,,,,,,,,,,,,,,,,,,,,,"$243,690",,,,,,,,,,,,,,,,,,,,,,,,,,
All That I Love (2009),,,,,,,,,,,,,,,,,"$2,160",,,,,,,"$839,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,794",,,,,,,,,
Confessions of a Brazilian Call Girl (2011),,,,,,,,,,,,,,,,,"$12,356,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skylab (2011),,,,,,,,,,,,,,,,,"$106,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,655",,,,,,,,,"$13,025",,,,,,,,,,,,,,,,,,
Made In Mexico (2012),,,,,,,,,,,,,,,,,,,"$891,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addicted (2014),,,,,,,,,,,,,,,,,,,"$5,684",,,,,,,,"$3,586",,,,"$104,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,056",,,,,,,,"$18,332",,,,
In Their Skin (2012),,,,,,,,,,,,,,,,,,,"$36,428","$17,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brass Teapot (2012),,,,,,,,,,,,,,,,,,,"$194,089","$43,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,997",,,,,,,,,,,,,,,,
To the Arctic 3D (2012),,,,,,,,,,,,,,,,,,,"$23,302",,,,"$6,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ABCs of Death (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,832",,,,,,,,,,,,,,,,
Antiviral (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Whale (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,889",,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,881",,,,,,,,,,,,,,,,
The Willow Tree (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odette Toulemonde (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,472",,,,,,,,,"$4,354",,,,,,,,,,,,,,,,,,
Nameless Gangster: Rules of the Time (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,471,226",,,,,,,,,,,,,,,,,,,,,,,,,,
Sound City (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$98,328",,,,,,,,,,,,,,,,,,,,,,,,,
Udaan (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$427,401",,,,,,,,,,,,,,,,,,,,,,,
Burn (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,109,276",,,,,,,,,,,,,,,,
