Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
Frankenweenie (2012),"$35,291,068","$2,086,236","$133,630","$14,635","$1,185,406","$2,921,525","$407,641","$451,925","$7,290,604","$38,441","$41,700","$99,693","$365,774","$68,781",,"$135,847","$6,595,987","$154,984","$65,308","$91,874","$63,933",,"$23,851",,"$5,121,552","$1,076,216","$1,145,240","$1,736,110","$623,209","$535,352","$23,520","$178,189","$3,411,418","$214,110","$208,872","$269,173","$38,868","$3,653","$38,380",,,,,"$216,278",,"$906,802","$631,930","$115,764","$117,628","$7,287,912",,,"$10,917","$346,851",,,,,"$237,155","$565,806","$383,457",,,,,,,,,,,,
A Good Old Fashioned Orgy (2011),"$200,227",,,"$8,438",,,,,,,,,"$178,753",,"$343,187","$9,975",,,,,,,,,,,,,,,,,"$628,905","$9,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choking Man (2006),"$5,474",,,,,,,,,,,,,,,,"$2,778",,,,,,,,,,,"$1,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoodwinked 2: Hood vs. Evil (2011),"$10,143,779","$2,004,233",,"$17,963",,"$190,233","$77,673",,,,,,"$157,785","$5,517","$62,052","$472,754",,"$269,733",,"$142,617","$55,440",,,,"$1,214,545","$96,540","$238,475","$3,035,533","$156,328",,,"$338,484","$2,646,465","$131,010",,"$130,173",,,"$44,652",,,,,"$64,733",,"$35,814",,"$34,118",,,,,,"$70,060",,,,,"$1,034,202","$969,439",,,,,,,,,,,,,
[REC] 3: Genesis (2012),"$9,600",,,,"$352,905","$3,117,251",,"$285,273","$3,125,167",,,,"$124,650","$4,324",,"$14,129","$2,004","$114,886",,,,,,,"$2,125,524","$248,032","$549,067",,"$539,017","$27,896","$3,296",,,,,"$20,907",,,,,,,,,,,,"$44,476",,,,,,,,,,,,"$311,170",,,,,,,,,$401,,,,
Last Ride (2009),"$6,853","$244,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Chi Zero (2012),"$212,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,509",,"$408,804","$59,346","$37,659",,,,,,,"$8,196",,,,,,,,,,,"$340,299",,,,,,"$218,469",,,,,,,,,,,,,
Cloud Atlas (2012),"$27,108,272","$1,261,330","$159,664","$92,629","$4,900,481","$1,136,104","$12,663,498","$3,118,636","$3,458,987","$420,293","$513,364","$1,026,637","$209,525","$307,957","$1,072,340","$714,008","$2,524,295","$1,803,417","$513,234","$296,055","$868,122","$111,505","$111,848","$308,238","$2,000,048","$513,328","$780,947","$4,931,137","$136,107","$254,815","$53,777",,"$17,055,182","$383,894","$808,704",,,,,,,,,"$1,888,105","$636,398","$182,649",,"$7,164","$144,254","$1,443,331",,"$197,844","$70,137","$214,263",,,,,"$3,023,466","$1,379,007",,,,,"$27,710,000",,,,,,,,
The Day (2011),"$20,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,702",,,"$56,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake in Fright (1971),"$50,394","$167,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amour (2012),"$6,739,492","$1,004,085","$1,077,294","$21,340","$1,569,547","$1,855,252","$2,201,889","$249,908","$4,255,623","$757,992","$276,304",,"$668,430","$317,758","$2,232,194","$231,303","$1,323,206","$147,746","$381,947",,"$1,018,428","$28,314","$12,338",,"$665,662","$11,960","$251,709","$1,320,218","$42,792","$175,839","$54,700","$253,082","$86,631","$29,416","$25,180","$8,363",,,"$12,965",,,,,,,"$160,725",,"$13,843",,,,"$10,032","$33,945",,,,,,,"$136,688",,,,,,,,,,,,,
