Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
Life of Pi (2012),,"$28,420,882","$3,784,262","$260,133","$10,851,740","$12,420,919","$26,838,011","$2,502,826","$14,488,422","$2,869,653","$7,841,336","$553,835","$2,354,176","$1,581,700","$6,330,976","$1,678,091","$45,489,770","$2,930,140","$2,160,740","$2,421,370","$2,269,925","$285,748","$338,443","$222,699","$20,350,935","$5,200,264","$4,746,237","$14,850,001","$3,336,925","$3,620,711","$309,550","$4,151,922","$30,149,653","$3,181,787","$1,348,776","$3,217,230","$1,632,550","$603,949","$304,756","$152,283","$71,810",,"$358,915","$2,566,112","$1,811,430","$4,439,941","$1,071,402","$706,891","$2,076,267","$19,653,717","$13,329,683","$278,208","$271,340","$4,134,666",,,,,"$15,083,457","$6,097,443",,,,,"$90,806,000",,,,,,,,
The Man with the Iron Fists (2012),,"$384,769",,,"$982,017","$878,737","$459,956",,"$154,170",,,,"$105,195",,"$86,573",,"$180,192",,,,,,,,"$177,778",,"$88,665",,"$111,082",,,,,"$119,132","$261,702","$324,340",,,,,,,,,,,,,"$79,841",,,,,,,,,,,,"$518,279",,,,,,,,,,,,
The Other Son (2012),,"$319,624",,,"$511,084","$271,129",,,"$1,137,851",,,,"$96,266",,,,,,,,,,,,,,,"$109,836",,,"$47,964","$40,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bait (2012),,"$806,005",,,"$1,946,386",,,"$99,675",,,,,"$138,794",,"$189,887",,"$679,159","$35,689",,,,,"$11,823",,,,,,,,,"$42,465","$2,470,767","$145,680","$251,234","$251,943",,,"$168,429",,,,,,,,,,"$25,544",,,,,"$1,310,502",,,,,,,,,,,"$24,893,354",,,,,,,,
Student of the Year (2012),,"$67,722",,,,,,,,,,,,,,,"$518,015",,,,,,,,,,,,,,,"$52,353",,,,,,,,,,,,,,,,,,,"$8,776,712",,,"$29,105",,,,,,,,,,,,,,,,,,,
A Late Quartet (2012),,"$729,448",,,"$78,581","$1,369,676","$450,166",,"$70,364",,,,"$85,578","$117,602","$367,653","$15,984","$758,076","$5,691",,,,,,,,,,"$69,280",,,,"$250,404",,,,,,,,,,,,,,,,,,,,"$2,301",,,,,,,"$341,162","$29,195",,,,,,,,,,,,,
The Lady (2011),,"$238,109","$113,080",,"$458,943",,"$224,468","$16,957","$3,404,191","$144,073",,,"$194,496",,,"$17,304","$451,066",,,"$15,966","$40,880",,"$2,301",,"$394,611","$72,533","$29,404","$92,260","$27,440","$56,170","$17,518",,"$8,233","$366,524","$170,479","$70,954",,,"$7,593",,,,,,,"$121,995","$5,209","$5,800",,,,,,"$120,669",,,,,,"$587,525",,,,,,,,,,,,,
Lincoln (2012),,"$7,248,069","$1,120,012","$46,022","$8,304,392","$6,624,357","$5,134,662","$330,071","$10,683,693","$1,075,642","$653,283","$216,358","$1,298,006","$194,502","$1,250,868","$931,677","$13,264,838","$333,928","$899,874","$197,745","$469,011","$60,561","$73,170","$54,922","$2,245,784","$278,513","$756,390","$4,947,430","$258,039","$468,354","$161,855","$631,308","$724,284","$276,020","$51,618","$385,129","$420,180","$44,741","$73,299","$24,188",,,"$25,053",,"$71,742","$643,728","$102,470","$33,776","$174,714","$9,467,518","$268,541",,"$39,878","$77,615",,,,,"$768,793","$775,958",,,,,,,,,,,,,
OMG: Oh My God! (2012),,"$83,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$129,678",,,,,,,,,,,,,,,,,,,"$11,347,453",,,,,,,,,,,,,,,,,,,,,,
Red Dawn (2012),,"$1,134,023",,"$21,084",,,"$658,101",,"$286,998",,,,,,,"$157,810","$679,139",,,"$193,516","$167,548",,,,,"$60,009","$32,813","$460,393","$82,099",,,,"$684,791","$60,126","$376,847","$572,505",,"$48,925","$58,902",,,,,"$31,957",,,,,"$187,782",,,,,,,,,,,"$188,145",,,,,,,,,,,,,
Rise of the Guardians (2012),,"$13,767,196","$1,409,710","$120,427","$9,618,836","$8,360,297","$6,926,594","$1,822,972","$25,314,994","$867,390","$2,424,971","$345,373","$2,734,414","$1,007,365","$1,500,693","$1,576,068","$19,559,694","$2,706,356","$80,781","$2,103,188","$1,262,321","$242,149","$381,149","$141,981","$16,911,684","$3,688,494","$314,955","$12,470,793","$1,962,097","$2,343,826","$138,282","$1,711,311","$14,862,284","$1,990,302","$884,115","$865,233","$1,384,784","$150,935","$83,974","$42,092","$10,813",,,"$1,749,620","$1,008,561","$2,140,834","$1,312,283","$469,382","$1,542,753",,"$433,338","$635,923","$127,206","$1,876,588",,,,,"$6,491,615","$317,567","$864,842",,,,,,,,,,,,
Chicken with Plums (2011),,,"$40,146",,"$541,904","$222,788","$214,244",,"$1,576,326",,,,"$58,456",,,"$13,786",,"$19,671","$179,431",,"$51,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,084",,,,,,,,,,,,,
People Like Us (2012),,,"$2,108",,"$19,697","$16,939",,,,,,,,,,,"$31,768",,,"$36,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,039",,,,,,,,,,,,,,,,,,,,,,,,
The Angels' Share (2012),,,"$62,532",,"$1,583,350","$875,237","$1,138,813","$174,506","$3,744,840","$501,255","$76,455","$9,741","$274,811","$21,333","$183,204","$2,328","$3,028,569","$12,450","$126,666",,"$165,694","$8,279",,,,,"$59,682","$181,510",,,$824,"$306,635","$99,699",,,,,,,,,,,,,"$65,278",,,,,,"$1,653","$6,062",,,,,,"$32,396",,,,,,,,,,,,,,
Dark Horse (2011),,,"$4,233",,,,,,"$58,555",,,,,,,"$1,803","$26,384",,,,,,,,"$33,201",,,,"$29,382",,,,"$15,269",,,,,,"$2,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkle (2012),,,"$2,212",,,,"$21,705",,,,,,,,,,"$25,678",,,"$105,791",,,,,,,,,,,,,,,,"$10,104",,,,"$10,438","$64,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcano (2011),,,"$9,276","$82,872",,,,,,,,,,,,,,,,,,,"$11,496",,,,,,,,,"$20,605","$292,097",,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,981",,,,,,,,,,,,,
Sinister (2012),,,"$558,958","$29,870","$690,505","$2,539,312","$1,237,963","$178,095","$3,261,878","$245,104","$322,272","$252,546","$406,267","$214,614","$801,435","$79,629","$10,603,856","$190,313",,,"$391,816",,"$42,752","$136,248","$1,813,699","$458,175","$839,290","$2,156,508","$379,985","$491,729","$102,728",,"$2,097,889","$616,377","$323,184","$236,677",,"$98,326",,,,,,,"$53,708","$479,356","$97,533","$60,291","$347,046",,,,,"$1,234,385",,,,,"$229,837","$128,054",,,,,,,,,,,,,
The Hypnotist (2012),,,"$406,749",,"$302,865","$646,803","$323,977","$125,585","$114,772","$916,246","$3,803,292","$40,845","$51,949","$272,220",,,,"$30,042","$26,820",,"$34,030","$3,523","$3,423",,,,,,,,,,,,,,,,,,,,,,,"$62,467","$13,167",,,,,,"$2,960",,,,,,,,,,,,,,,,,,,,
Chernobyl Diaries (2012),,,,"$20,086","$1,025,978","$855,270","$2,495,145","$742,269","$850,245","$12,762","$355,619",,"$313,153",,"$566,685","$36,545","$2,551,018","$231,603",,"$15,021","$616,859",,,"$6,733","$4,334,873","$197,461","$1,229,057","$1,294,607","$295,173","$318,876","$49,904",,,"$137,103","$320,208","$271,406",,"$33,355","$14,444",,,,,,"$184,256","$421,040","$24,436","$110,701","$47,616",,,"$29,172",,"$133,229",,,,,,"$128,472",,,,,,,,,,,,,
Inhale (2010),,,,"$40,731",,,,,,,,,,,,$989,,"$10,635",,,,,,,,,,,,,,,,,,,,,"$23,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Importance of Tying Your Own Shoes (2011),,,,"$2,252",,,"$65,431",,,,"$4,915,924",,,,,,,,,,"$28,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seeking a Friend for the End of the World (2012),,,,"$24,745","$287,836",,"$299,771","$176,764","$396,121",,,,"$10,415",,"$135,435","$95,917","$1,324,317","$154,605",,"$23,460",,,"$10,946",,"$297,063","$108,368","$94,733","$315,351","$74,833","$44,489","$3,858",,"$467,170","$89,926","$4,218",,,,,"$1,703",,,,,"$36,383",,,,,,,,,,,,,,,"$124,616",,,,,,,,,,,,,
Killer Joe (2011),,,,"$17,764","$269,614",,,,"$746,398",,,,"$165,162","$15,281",,,"$1,286,303","$25,370","$23,361","$5,664",,,"$4,240",,,,,"$64,592",,,,,,,,"$22,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Possession (2012),,,,"$10,607","$2,107,294","$2,768,294","$1,091,732","$545,890","$2,872,245","$162,705",,"$135,623","$388,195",,"$880,137","$89,577","$5,319,903","$178,642",,"$65,043","$317,703",,"$60,090","$57,508","$3,855,521",,"$1,212,082","$2,823,230","$414,622","$384,047","$58,838",,"$3,079,881","$570,108","$396,480",,,"$130,279","$44,383",,,,,,"$55,983",,"$152,767","$170,652",,,,,,"$1,163,518",,,,,,"$425,296",,,,,,,,,,,,,
The Cold Light of Day (2012),,,,"$22,318","$777,495","$2,033,522","$808,523",,"$1,036,092","$12,545",,"$27,399","$182,005",,"$256,542","$169,952","$1,892,814",,"$20,989","$169,037","$199,351",,"$21,694","$8,150",,,,,,,,,"$1,015,144","$203,630","$334,182","$470,928",,"$68,126","$111,035",,,,,,"$60,309",,,,"$85,626",,,"$61,933",,"$296,532",,,,,"$392,050","$58,180",,,,,,,,,,,,,
House at the End of the Street (2012),,,,"$13,782","$389,545",,"$1,463,627",,,,,,"$87,917",,"$353,785","$74,311","$3,819,271",,"$151,781","$46,935","$283,318","$18,699","$22,478",,"$1,135,888","$404,825","$474,971","$910,126","$324,824","$68,557","$34,326",,"$800,312","$164,383","$139,617","$394,065",,"$54,197","$20,473",,,,,,,,,"$18,280","$89,242",,,,,"$231,822",,,,,,"$65,751",,,,,,,,,,,,,
The Babymakers (2012),,,,"$19,372","$320,095",,,,,,,,,,"$10,394","$36,329",,,,,,,,,,,,,,,,,"$23,740",,,,,,"$34,608",,,,,,"$23,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasing Mavericks (2012),,,,"$6,012",,"$90,027","$89,890","$25,661","$173,172",,,"$34,571",,,,"$75,828","$76,066",,,"$74,040","$11,225",,,"$8,951",,,,,,,,,"$1,075,973","$96,256",,"$21,582",,,"$21,008",,,,,,,,,,"$11,503",,,,,,,,,,,"$47,595",,,,,,,,,,,,,
The Marc Pease Experience (2009),,,,,"$368,331","$11,397",,,,,,,,,,"$6,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Decoy Bride (2011),,,,,"$4,764",,,,,,,,,,,,"$6,554","$76,151",,,,,,,,,,,,,,,,,,"$29,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forgiveness of Blood (2011),,,,,"$26,386",,,,,,,,,,,,"$2,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanderlust (2012),,,,,"$325,436","$785,069","$435,169","$157,992","$42,737",,,,,,"$229,248","$450,490","$1,744,462",,,,,"$105,446","$17,068","$105,446","$938,197",,,,"$314,173",,,,,,,,"$500,476",,,,,,,"$155,109",,"$55,763",,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Killing Fields (2011),,,,,"$131,922",,,,"$354,843",,,,,,,"$12,918","$193,858","$45,293",,,,,"$22,200",,,,,,"$14,242",,,,"$341,925",,"$12,837","$60,009",,,,,,,,,,,,,,,,,,,,,,,,"$35,803",,,,,,,,,,,,,
Infection (2004),,,,,"$33,425",,,,,,,,,,,,,,,,,,,,,,"$22,108",,"$32,914","$42,955",,,,,"$24,300",,,,,,,,,,,,,,,"$6,609,556",,,,,,,,,,,,,,"$235,806",,,,,,,,,
The Immature (2011),,,,,"$21,858,834","$184,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celeste & Jesse Forever (2012),,,,,"$17,998",,"$167,052",,,,,,,,,"$4,754","$21,409","$89,750",,"$23,174",,,,,,,,"$45,218",,,,"$8,234",,"$36,755","$5,683",,,,,,,,,"$46,267",,,,,,,,,,,,,,,,"$79,868",,,,,,,,,,,,,
ATM (2012),,,,,"$230,654",,,,,,,,"$4,626",,"$94,250","$15,047",,"$100,439",,,,,,,,,,"$59,815",,,,,"$122,757","$3,610","$64,753","$190,796",,,"$29,558",,,,,,,,,,,,,,,,,,,,,"$2,437",,,,,,,,,,,,,
The Dinosaur Project (2012),,,,,"$286,439",,,,,,,,,,,,"$22,577",,,,,,,,"$270,473",,,"$313,897","$133,827",,,,"$134,486","$210,533","$255,401",,,,,,,,,,,,,"$14,491",,,,,,"$770,203",,,,,,,,,,,,,,,$249,,,,
Hello I Must Be Going (2012),,,,,"$221,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360 (2011),,,,,"$364,825","$596,637","$553,937","$301,266","$170,240",,,,"$88,953",,"$59,233","$150,229","$163,181","$352,725",,"$39,892","$220,114",,,,,"$61,768","$149,372","$824,540","$64,996",,"$31,505",,,,"$10,744",,,,,,,,,,"$27,493",,,"$14,556",,,,,,,,,,,,"$50,426",,,,,,,,,,,,,
Red Lights (2012),,,,,"$1,221,700","$4,026,519","$281,449",,,,,,"$249,064",,"$370,135","$140,291","$1,722,392","$251,112",,,"$84,150",,"$11,330",,"$1,313,401","$314,314","$184,393","$503,627","$193,284","$135,250","$13,497",,"$1,854,841","$88,446",,"$311,501",,,"$25,667",,,,,"$206,827","$47,992",,,,,,,,,"$75,498",,,,,"$243,304","$184,705",,,,,,,,,,,,,
Love Lasts Three Years (2011),,,,,"$317,843",,"$257,070",,"$5,576,229",,,,"$173,170",,,,,"$159,946","$35,891",,"$54,704",,,,,"$312,025",,,,,"$2,876",,"$636,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marley (2012),,,,,"$283,038","$47,451","$182,856",,,,,,,,"$202,609","$5,291","$1,491,008",,,"$15,027","$38,633",,,,,,"$13,514",,,,"$2,813",,"$131,672","$3,184",,"$7,119",,,"$5,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silent Hill: Revelation (2012),,,,,"$911,434",,"$2,899,299","$818,250","$1,960,917",,,"$209,931","$249,455",,"$286,869","$58,084","$2,974,637","$576,864",,"$100,686","$514,384","$66,001","$74,176","$77,828","$2,017,707","$1,510,827","$810,413","$497,624","$485,863","$89,387",,,"$13,141,854","$403,102","$720,970","$238,240",,"$136,677","$8,686",,,,,"$885,398","$111,483","$429,334","$198,738","$34,946","$324,694","$1,894,753",,"$80,217",,"$1,242,786",,,,,,"$791,034",,,,,,,,,,,,,
The Patience Stone (2012),,,,,"$239,831","$180,513",,,,,,,"$33,384",,,,"$5,137",,"$8,188",,,,,,,,,"$23,701",,,,"$15,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bay (2012),,,,,"$345,156",,,,"$352,431",,,,"$17,240",,"$36,789",,$862,,,,,,,,"$306,014",,,,"$184,410",,,,,,"$78,956","$121,113",,"$30,033",,,,,,,,,"$41,636","$35,944",,,,,,,,,,,,,,,,,,,,,,,,,
Kill Me Please (2010),,,,,"$147,864",,"$20,594",,,,,,"$60,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,242,805",,,,,,,,
Among Wolves (2010),,,,,,"$4,224,250","$2,594,965",,,,,,,,,,,,,,"$2,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Clown (2011),,,,,,"$4,958",,,,,,,,,,,,,,,,,,,,,,"$6,725,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fish Child (2009),,,,,,"$39,063",,,"$35,065",,,,,,,,,,,,"$3,562",,,,,,"$152,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There Be Dragons (2011),,,,,,"$3,094,376",,,,,,,,,,"$69,181",,"$94,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,053",,,,,,,,,,,,,,,,,,,,,,,,
I Wish (2011),,,,,,"$120,181",,,,,,,"$26,814",,,"$13,315","$136,418",,,,,,,,,,,"$80,519",,,,"$82,491",,,"$9,132",,,,,,,,,,,,,,,"$1,397,577",,,,,,,,,"$302,675","$56,618",,,,,,,,,,,,,
Blackthorn (2011),,,,,,"$552,200",,,"$178,240",,,,,,,,"$24,427",,,,,,,,,,,,,,,"$5,254",,,,,,,,,,,,,,,,"$27,204",,,,,,,,,,,,,,,,,,,,,,,,,
Outlaws (2012),,,,,,"$150,279",,"$527,740",,,,,,,,,,,,,,,,,"$3,770,488",,"$3,528",,"$44,610",,,,,,,"$4,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeon Woochi (2009),,,,,,$355,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,967",,,"$1,037",,,,,,,,,,,,,,,,,,,"$62,977",,,,,"$38,615,945",,,,,,,,,,,,,,
Extraterrestrial (2011),,,,,,"$216,814",,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,591","$7,247","$32,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rage (2009),,,,,,"$145,524",,,"$93,622",,,,,,,,,,,,,,,,"$80,239",,,,,,,,,,,,,,,,,,,,,"$86,988",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidewalls (2011),,,,,,"$85,310","$27,743",,,,,,"$21,432",,,,,,,,"$15,989",,,,,,"$306,679","$539,325",,,"$9,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hara-Kiri: Death of a Samurai (2011),,,,,,"$39,985",,,"$62,552",,,,,,,,"$1,200",,,,,,,,,,,,,,,,"$18,664",,,,,,,,,,,,,,,,,"$5,237,269",,,,,,,,,,,,,,,,,,,,,,,
Our Children (2012),,,,,,"$72,064",,,"$343,707",,,,"$252,652",,,,,,,,,,,,,,,,,,,,"$8,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium Rush (2012),,,,,,"$94,191","$253,437",,"$1,005,041",,"$3,228",,"$24,055",,,"$195,171","$329,804",,,"$243,240",,,,,"$899,300",,,,,"$146,414",,,,"$715,000","$232,485","$487,418",,"$16,049","$50,078","$17,429","$46,196",,"$2,342",,,,,,,,"$128,879","$110,583",,"$732,741",,,,,,,"$1,722,989",,,,,,,,,,,,
The Odd Life of Timothy Green (2012),,,,,,"$70,123","$28,631",,,,,,,,,,"$1,644,431","$25,122",,,,,,,"$1,206,738",,"$251,907",,,"$88,854","$7,501",,,,,,,,,,,,,,,"$135,728",,,,,,,,,,,,,,,,,,,,,,,,,,,
Chameleon (2008),,,,,,"$1,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$568,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robot & Frank (2012),,,,,,"$607,082","$223,305",,"$122,807",,"$1,611",,"$11,615",,,"$6,658","$369,669",,,"$10,245","$46,045",,,,,,,,,,,"$43,419",,,,"$8,011",,,,,,,,,,,,,,,,,,,,,,,,"$30,918",,,,,,,,,,,,,
Ai Weiwei: Never Sorry (2012),,,,,,"$9,856","$148,588",,,,,,,,,,"$173,987",,,,"$8,407",,,,,,,,,,,,"$6,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola Versus (2012),,,,,,"$42,201","$52,512",,"$1,127",,,,,,,,$544,"$91,213",,,,,,,,,,,,,,,,,,,,,"$15,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Paperboy (2012),,,,,,"$370,362",,"$107,126","$1,225,043",,,,"$60,023","$14,514",,"$124,528","$597,639","$37,772","$17,662",,,,"$7,994",,"$162,621",,,"$142,328",,,,,"$147,871",,"$12,383","$39,598",,,"$10,015",,,,,,,,"$9,900","$3,200",,,,,,,,,,,,,,,,,,,,,,,,,
Not Here to Be Loved (2005),,,,,,"$116,635","$220,369",,"$1,302,093","$24,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$265,242",,"$8,615",,,,,,,,,
Gangs of Wasseypur (2012),,,,,,$665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,383,977",,,,,,,,,,,,,,,,,,,,,,
The Imposter (2012),,,,,,"$71,807",,,,"$18,786",,,"$3,088",,,,"$1,809,401","$15,259",,,,,,,,,,,,,,"$117,929","$67,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Broken Cameras (2011),,,,,,$120,,,,,,,,,,,"$36,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stolen (2012),,,,,,"$720,216",,,"$895,000",,,,"$92,701",,"$155,482",,"$490,395","$187,114","$48,921",,,,"$25,809",,"$751,849","$180,009","$256,312","$1,154,140","$117,420","$39,170","$57,995",,"$2,491,001","$50,028","$498,695","$670,752",,,"$174,169",,,,,"$240,030",,,,"$2,645","$41,645",,,"$58,655","$8,461","$802,486",,,,,,,,,,,"$6,900,000",,,,,,,,
Labor Pains (2009),,,,,,"$287,260",,,,,,,,,,,,,,,,,,,"$670,871",,,,"$129,778",,,,"$684,129",,,"$68,589",,,"$4,810",,,,,,,,,"$10,771",,,,,,,,,,,,,,,,,,,,,,,,,"$39,574"
Capital (2012),,,,,,"$1,360,117",,,"$2,804,415",,,,"$99,938",,,"$51,311",,"$6,602","$242,020",,,,,,,,,"$156,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Think Like a Man (2012),,,,,,,"$165,257",,,"$11,381",,,"$29,876",,,,"$1,027,944",,,"$1,273,221",,,,,,,,,,,,,,,,"$425,650",,"$40,907","$179,232","$60,485","$253,445","$16,380","$11,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin '36 (2009),,,,,,,"$323,209",,,,,,,,,,,,,,"$5,566",,,,,,,,,,,,,"$24,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,618",,,,,,,,,
"Life, Above All (2010)",,,,,,,"$68,479",,,,,,,"$16,548",,"$2,850","$8,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Thousand Words (2012),,,,,,,"$467,391",,"$16,365",,,,,,,,,,,"$258,891",,,,,,,,,"$267,354",,,,,,,"$1,138,727",,"$64,869","$127,658",,"$3,556",,,,,,,"$8,904",,,,,,,,,,,,,,,,,,,,,,,,,
Chimpanzee (2012),,,,,,,"$546,297",,"$3,489,943",,,,"$166,059",,"$867,434",,"$197,793",,,"$14,392",,,,,"$149,379",,"$58,493",,,"$9,879",,,,,,,,,,,,,,,,"$61,628","$130,277",,,,,,,,,,,,,"$6,755",,,,,,,,,,,,,
The Apparition (2012),,,,,,,"$46,771",,,,,,,,,,,,,,,,,,"$412,522","$854,514","$574,702",,"$291,131","$284,059","$29,300",,"$2,654,235","$283,722",,"$210,743",,"$40,514","$21,613",,,,,,,"$367,215","$171,765","$47,108","$123,932",,,,,,,,,,,,,,,,,,,,,,,,
Klitschko (2011),,,,,,,"$451,188",,,,,,,,,,,,,,"$66,580",,,,,,,,,,,,,,,,,,,,,,,"$62,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smashed (2012),,,,,,,"$107,837",,,,,,,,,,"$15,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beloved Berlin Wall (2009),,,,,,,"$226,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,507",,,,,,,,,,,,,
Sound of Noise (2010),,,,,,,,"$17,924","$126,979",,"$91,638","$1,610","$20,072",,,,,"$8,036",,,,,,,,,,,,,,,"$70,701",,,,,,,,,,,,,,,,,,,,,,,,,,"$45,782",,,,,"$49,059",,,,,,,,,
5 Days of War (2011),,,,,,,,"$46,048",,,,,,"$9,851",,,,,,,,,,,,,,,,,,,,"$9,146","$38,880","$171,274",,,"$24,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Bear (2012),,,,,,,,"$5,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Woman Who Dreamed of a Man (2010),,,,,,,,"$28,842",,"$255,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Hotel Rooms (2012),,,,,,,,"$54,699",,,,,,,,,,,,,,,,,,,,,,,,,"$57,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Moth Diaries (2011),,,,,,,,"$162,193",,,,,,,,,"$156,153",,,,,,,,,,,,,,,,,"$32,739","$1,027","$54,586",,,"$2,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Being Flynn (2012),,,,,,,,,"$15,020",,,,"$19,804",,"$30,713","$48,858",,,"$43,412","$32,937",,,,,"$140,252",,,,"$34,467",,,,,"$11,718","$5,439",,,,,,,,,,"$8,181",,,,,,,,,,,,,,,"$52,171",,,,,,,,,,,,,
The Sugar Curtain (2005),,,,,,,,,"$175,893",,,,,,,,,,,,,,,,"$6,961",,,,,"$1,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael (2011),,,,,,,,,"$12,675",,,,,,,$765,"$21,365",,,,"$42,527",,,,"$27,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Clink of Ice (2010),,,,,,,,,"$5,545,341",,,,"$3,925",,,,,,,,,,,,"$27,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Men (2011),,,,,,,,,"$1,031,266",,,,"$23,752",,,,"$72,080","$11,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleepless Night (2011),,,,,,,,,"$298,383",,,,"$21,985",,,,,"$11,180",,,,,,,,,,,,,,,"$290,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
